energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-6.00000000,1.71737051,0.06915340,0.06617872,0.51575960,0.25251490,0.80021566,0.00000000,0.07929921,0.82218308
-5.99399700,1.69813533,0.06897192,0.06482589,0.51292067,0.24934211,0.79151876,0.00000000,0.07798519,0.81527071
-5.98799400,1.68051270,0.06879965,0.06353661,0.51063553,0.24614663,0.78323058,0.00000000,0.07672255,0.80953025
-5.98199100,1.66468828,0.06862844,0.06233852,0.50895639,0.24294148,0.77542617,0.00000000,0.07550540,0.80506179
-5.97598799,1.65073475,0.06845050,0.06125157,0.50789986,0.23972958,0.76813355,0.00000000,0.07432289,0.80190325
-5.96998499,1.63861288,0.06825878,0.06028747,0.50744675,0.23650416,0.76133393,0.00000000,0.07315976,0.80003084
-5.96398199,1.62817817,0.06804738,0.05944953,0.50754343,0.23324985,0.75496444,0.00000000,0.07199713,0.79936229
-5.95797899,1.61919214,0.06781188,0.05873292,0.50810487,0.22994424,0.74892309,0.00000000,0.07081354,0.79976260
-5.95197599,1.61133757,0.06754954,0.05812523,0.50901893,0.22655978,0.74307552,0.00000000,0.06958603,0.80105173
-5.94597299,1.60423649,0.06725945,0.05760737,0.51015163,0.22306593,0.73726315,0.00000000,0.06829144,0.80301380
-5.93996998,1.59746981,0.06694255,0.05715476,0.51135317,0.21943135,0.73131211,0.00000000,0.06690756,0.80540714
-5.93396698,1.59059728,0.06660145,0.05673866,0.51246429,0.21562605,0.72504235,0.00000000,0.06541436,0.80797455
-5.92796398,1.58317667,0.06624016,0.05632770,0.51332247,0.21162327,0.71827651,0.00000000,0.06379502,0.81045322
-5.92196098,1.57478117,0.06586365,0.05588944,0.51376790,0.20740108,0.71084792,0.00000000,0.06203679,0.81258380
-5.91595798,1.56501429,0.06547726,0.05539186,0.51364880,0.20294357,0.70260750,0.00000000,0.06013164,0.81411819
-5.90995498,1.55352154,0.06508615,0.05480483,0.51282585,0.19824162,0.69342906,0.00000000,0.05807672,0.81482583
-5.90395198,1.53999876,0.06469454,0.05410141,0.51117574,0.19329316,0.68321312,0.00000000,0.05587446,0.81449832
-5.89794897,1.52419707,0.06430512,0.05325894,0.50859364,0.18810304,0.67188895,0.00000000,0.05353252,0.81295236
-5.89194597,1.50592451,0.06391841,0.05225988,0.50499476,0.18268254,0.65941503,0.00000000,0.05106345,0.81003119
-5.88594297,1.48504505,0.06353227,0.05109240,0.50031486,0.17704855,0.64577818,0.00000000,0.04848414,0.80560472
-5.87993997,1.46147535,0.06314158,0.04975074,0.49451015,0.17122251,0.63099141,0.00000000,0.04581516,0.79956865
-5.87393697,1.43517995,0.06273805,0.04823517,0.48755645,0.16522930,0.61509102,0.00000000,0.04307990,0.79184294
-5.86793397,1.40616574,0.06231030,0.04655189,0.47944802,0.15909606,0.59813312,0.00000000,0.04030369,0.78237005
-5.86193097,1.37447620,0.06184411,0.04471251,0.47019611,0.15285106,0.58018995,0.00000000,0.03751284,0.77111311
-5.85592796,1.34018610,0.06132291,0.04273349,0.45982749,0.14652274,0.56134632,0.00000000,0.03473376,0.75805448
-5.84992496,1.30339700,0.06072844,0.04063536,0.44838306,0.14013891,0.54169638,0.00000000,0.03199212,0.74319481
-5.84392196,1.26423402,0.06004156,0.03844185,0.43591666,0.13372621,0.52134090,0.00000000,0.02931204,0.72655267
-5.83791896,1.22284376,0.05924318,0.03617903,0.42249414,0.12730977,0.50038523,0.00000000,0.02671549,0.70816485
-5.83191596,1.17939354,0.05831522,0.03387435,0.40819274,0.12091307,0.47893788,0.00000000,0.02422178,0.68808716
-5.82591296,1.13407170,0.05724164,0.03155581,0.39310061,0.11455809,0.45710976,0.00000000,0.02184719,0.66639572
-5.81990995,1.08708864,0.05600930,0.02925116,0.37731667,0.10826552,0.43501401,0.00000000,0.01960479,0.64318828
-5.81390695,1.03867814,0.05460875,0.02698719,0.36095041,0.10205514,0.41276613,0.00000000,0.01750432,0.61858560
-5.80790395,0.98909880,0.05303492,0.02478918,0.34412177,0.09594625,0.39048453,0.00000000,0.01555231,0.59273240
-5.80190095,0.93863480,0.05128751,0.02268045,0.32696085,0.08995804,0.36829097,0.00000000,0.01375219,0.56579779
-5.79589795,0.88759598,0.04937121,0.02068206,0.30960737,0.08411002,0.34631102,0.00000000,0.01210456,0.53797485
-5.78989495,0.83631666,0.04729570,0.01881264,0.29220981,0.07842227,0.32467424,0.00000000,0.01060755,0.50947929
-5.78389195,0.78515314,0.04507538,0.01708828,0.27492421,0.07291560,0.30351394,0.00000000,0.00925712,0.48054710
-5.77788894,0.73447979,0.04272893,0.01552262,0.25791239,0.06761155,0.28296652,0.00000000,0.00804750,0.45143112
-5.77188594,0.68468372,0.04027866,0.01412692,0.24133992,0.06253231,0.26317029,0.00000000,0.00697153,0.42239674
-5.76588294,0.63615815,0.03774973,0.01291018,0.22537354,0.05770040,0.24426380,0.00000000,0.00602109,0.39371664
-5.75987994,0.58929482,0.03516929,0.01187941,0.21017825,0.05313828,0.22638368,0.00000000,0.00518741,0.36566505
-5.75387694,0.54447562,0.03256552,0.01103969,0.19591416,0.04886784,0.20966212,0.00000000,0.00446136,0.33851149
-5.74787394,0.50206388,0.02996672,0.01039444,0.18273305,0.04490983,0.19422402,0.00000000,0.00383379,0.31251446
-5.74187094,0.46239569,0.02740040,0.00994546,0.17077501,0.04128321,0.18018403,0.00000000,0.00329565,0.28791525
-5.73586793,0.42577154,0.02489250,0.00969306,0.16016492,0.03800451,0.16764348,0.00000000,0.00283828,0.26493209
-5.72986493,0.39244879,0.02246669,0.00963607,0.15100920,0.03508724,0.15668744,0.00000000,0.00245341,0.24375501
-5.72386193,0.36263509,0.02014379,0.00977180,0.14339276,0.03254129,0.14738200,0.00000000,0.00213337,0.22454139
-5.71785893,0.33648320,0.01794143,0.01009600,0.13737636,0.03037250,0.13977187,0.00000000,0.00187106,0.20741264
-5.71185593,0.31408718,0.01587377,0.01060268,0.13299433,0.02858223,0.13387845,0.00000000,0.00166001,0.19245176
-5.70585293,0.29548035,0.01395143,0.01128405,0.13025297,0.02716714,0.12969845,0.00000000,0.00149436,0.17970222
-5.69984992,0.28063484,0.01218156,0.01213030,0.12912943,0.02611908,0.12720317,0.00000000,0.00136887,0.16916787
-5.69384692,0.26946299,0.01056803,0.01312954,0.12957140,0.02542510,0.12633840,0.00000000,0.00127889,0.16081405
-5.68784392,0.26182037,0.00911174,0.01426763,0.13149748,0.02506769,0.12702519,0.00000000,0.00122032,0.15456976
-5.68184092,0.25751051,0.00781099,0.01552824,0.13479833,0.02502504,0.12916136,0.00000000,0.00118959,0.15033087
-5.67583792,0.25629113,0.00666193,0.01689283,0.13933870,0.02527164,0.13262378,0.00000000,0.00118362,0.14796423
