energy_ev,total_up,Hg_p_up,Hg_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,1.09416819,0.21329111,0.57203655,0.08103314,0.05518113,0.01990682,0.24345600
-5.99399700,1.06559890,0.20712123,0.55468658,0.07943792,0.05235111,0.01847894,0.24221078
-5.98799400,1.04580653,0.20271294,0.54167746,0.07848766,0.04995162,0.01720943,0.24312309
-5.98199100,1.03510329,0.20012815,0.53316533,0.07820308,0.04799913,0.01611083,0.24624463
-5.97598799,1.03363640,0.19939613,0.52921965,0.07859076,0.04650280,0.01519356,0.25158780
-5.96998499,1.04138453,0.20051309,0.52982121,0.07964296,0.04546444,0.01446604,0.25912456
-5.96398199,1.05815791,0.20344252,0.53486213,0.08133795,0.04487874,0.01393486,0.26878600
-5.95797899,1.08360200,0.20811625,0.54414780,0.08364052,0.04473363,0.01360508,0.28046277
-5.95197599,1.11720464,0.21443596,0.55740070,0.08650281,0.04501076,0.01348049,0.29400632
-5.94597299,1.15830627,0.22227536,0.57426584,0.08986541,0.04568612,0.01356384,0.30923083
-5.93996998,1.20611305,0.23148283,0.59431792,0.09365864,0.04673080,0.01385721,0.32591594
-5.93396698,1.25971255,0.24188439,0.61706979,0.09780410,0.04811169,0.01436216,0.34381013
-5.92796398,1.31809161,0.25328712,0.64198218,0.10221627,0.04979239,0.01507996,0.36263477
-5.92196098,1.38015617,0.26548280,0.66847446,0.10680431,0.05173402,0.01601170,0.38208877
-5.91595798,1.44475257,0.27825178,0.69593627,0.11147398,0.05389608,0.01715834,0.40185377
-5.90995498,1.51069017,0.29136708,0.72373976,0.11612950,0.05623737,0.01852065,0.42159986
-5.90395198,1.57676487,0.30459860,0.75125240,0.12067557,0.05871677,0.02009908,0.44099165
-5.89794897,1.64178314,0.31771743,0.77784992,0.12501936,0.06129409,0.02189353,0.45969473
-5.89194597,1.70458629,0.33050023,0.80292942,0.12907240,0.06393089,0.02390302,0.47738237
-5.88594297,1.76407457,0.34273355,0.82592224,0.13275247,0.06659117,0.02612534,0.49374236
-5.87993997,1.81923052,0.35421815,0.84630643,0.13598542,0.06924215,0.02855656,0.50848379
-5.87393697,1.86914123,0.36477315,0.86361846,0.13870674,0.07185482,0.03119058,0.52134373
-5.86793397,1.91301889,0.37423985,0.87746401,0.14086307,0.07440462,0.03401864,0.53209355
-5.86193097,1.95021906,0.38248537,0.88752742,0.14241343,0.07687185,0.03702887,0.54054467
-5.85592796,1.98025609,0.38940568,0.89357955,0.14333021,0.07924211,0.04020583,0.54655367
