energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,3.53352141,2.16745538,1.25177279,0.02074388,0.46353839,0.11777570,0.30607187,0.02889683,1.67145864
-5.99399700,3.59679426,2.22682562,1.27122708,0.01970728,0.48314688,0.11789817,0.30718061,0.02927499,1.68622241
-5.98799400,3.65980896,2.28688072,1.29035163,0.01876981,0.50250228,0.11873495,0.30822088,0.02966246,1.70152092
-5.98199100,3.72233828,2.34732119,1.30917957,0.01793722,0.52146704,0.12027752,0.30919352,0.03006422,1.71739212
-5.97598799,3.78422117,2.40788076,1.32779022,0.01721225,0.53992585,0.12251399,0.31010024,0.03048682,1.73388092
-5.96998499,3.84536030,2.46833001,1.34630525,0.01659465,0.55778915,0.12542941,0.31094258,0.03093812,1.75103338
-5.96398199,3.90571735,2.52847895,1.36488323,0.01608138,0.57499593,0.12900598,0.31172076,0.03142701,1.76889060
-5.95797899,3.96530656,2.58817857,1.38371256,0.01566677,0.59151575,0.13322336,0.31243274,0.03196300,1.78748266
-5.95197599,4.02418710,2.64732152,1.40300325,0.01534286,0.60734976,0.13805876,0.31307351,0.03255585,1.80682325
-5.94597299,4.08245460,2.70584192,1.42297776,0.01509973,0.62253056,0.14348714,0.31363472,0.03321509,1.82690509
-5.93996998,4.14023244,2.76371448,1.44386124,0.01492594,0.63712104,0.14948125,0.31410485,0.03394960,1.84769691
-5.93396698,4.19766301,2.82095270,1.46587148,0.01480893,0.65121178,0.15601160,0.31446982,0.03476710,1.86914189
-5.92796398,4.25489940,2.87760630,1.48920890,0.01473551,0.66491741,0.16304641,0.31471427,0.03567378,1.89115804
-5.92196098,4.31209751,2.93375760,1.51404689,0.01469226,0.67837166,0.17055143,0.31482327,0.03667388,1.91364022
-5.91595798,4.36940872,2.98951687,1.54052271,0.01466606,0.69172135,0.17848972,0.31478452,0.03776936,1.93646389
-5.90995498,4.42697298,3.04501650,1.56872923,0.01464440,0.70511950,0.18682140,0.31459098,0.03895956,1.95949026
-5.90395198,4.48491236,3.10040390,1.59870776,0.01461583,0.71871783,0.19550329,0.31424352,0.04024108,1.98257236
-5.89794897,4.54332483,3.15583331,1.63044208,0.01457024,0.73265879,0.20448860,0.31375377,0.04160756,2.00556165
-5.89194597,4.60227831,3.21145642,1.66385396,0.01449913,0.74706773,0.21372658,0.31314657,0.04304965,2.02831477
-5.88594297,4.66180487,3.26741237,1.69880024,0.01439581,0.76204534,0.22316225,0.31246212,0.04455506,2.05069971
-5.87993997,4.72189528,3.32381725,1.73507173,0.01425551,0.77766093,0.23273619,0.31175754,0.04610867,2.07260112
-5.87393697,4.78249406,3.38075378,1.77239405,0.01407546,0.79394682,0.24238450,0.31110749,0.04769273,2.09392437
-5.86793397,4.84349522,3.43826155,1.81043047,0.01385482,0.81089432,0.25203893,0.31060406,0.04928719,2.11459809
-5.86193097,4.90473913,3.49632868,1.84878686,0.01359464,0.82845138,0.26162720,0.31035551,0.05087007,2.13457494
-5.85592796,4.96601081,3.55488518,1.88701875,0.01329770,0.84652238,0.27107364,0.31048407,0.05241794,2.15383079
-5.84992496,5.02704004,3.61379882,1.92464049,0.01296829,0.86496987,0.28030009,0.31112264,0.05390648,2.17236221
-5.84392196,5.08750334,3.67287360,1.96113619,0.01261203,0.88361847,0.28922711,0.31241068,0.05531103,2.19018267
-5.83791896,5.14702829,3.73185135,1.99597234,0.01223556,0.90226070,0.29777546,0.31448928,0.05660730,2.20731750
-5.83191596,5.20519985,3.79041620,2.02861165,0.01184628,0.92066442,0.30586781,0.31749560,0.05777198,2.22379816
-5.82591296,5.26156870,3.84820199,2.05852768,0.01145204,0.93858167,0.31343072,0.32155710,0.05878343,2.23965602
-5.81990995,5.31566109,3.90480198,2.08521966,0.01106090,0.95575829,0.32039665,0.32678553,0.05962234,2.25491607
-5.81390695,5.36698984,3.95978052,2.10822691,0.01068084,0.97194395,0.32670604,0.33327122,0.06027228,2.26959092
