energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
0.25512756,1.08454285,-1.08454267,0.15570206,-0.15570194,0.05594147,-0.05594138,0.00482706,-0.00482700,0.10345573,-0.10345446,0.21105594,-0.21105615,0.32933683,-0.32933745,0.01865213,-0.01865191,0.46865269,-0.46865395
0.26113057,1.10463849,-1.10463913,0.16140026,-0.16140011,0.05709233,-0.05709229,0.00529372,-0.00529367,0.11317004,-0.11316875,0.21221405,-0.21221446,0.33286226,-0.33286316,0.02047118,-0.02047095,0.46751030,-0.46751204
0.26713357,1.12339272,-1.12339419,0.16739721,-0.16739705,0.05818762,-0.05818763,0.00576926,-0.00576921,0.12324264,-0.12324133,0.21295910,-0.21295970,0.33567778,-0.33567898,0.02235917,-0.02235894,0.46538200,-0.46538419
0.27313657,1.14066864,-1.14067094,0.17361766,-0.17361751,0.05922967,-0.05922972,0.00624795,-0.00624790,0.13358153,-0.13358022,0.21331064,-0.21331143,0.33772540,-0.33772689,0.02429466,-0.02429444,0.46236981,-0.46237242
0.27913957,1.15640222,-1.15640530,0.17998742,-0.17998728,0.06022469,-0.06022480,0.00672370,-0.00672366,0.14408745,-0.14408616,0.21330854,-0.21330949,0.33897263,-0.33897440,0.02625514,-0.02625491,0.45862658,-0.45862956
0.28514257,1.17060232,-1.17060611,0.18643457,-0.18643446,0.06118240,-0.06118255,0.00719019,-0.00719014,0.15465517,-0.15465390,0.21301210,-0.21301317,0.33941337,-0.33941540,0.02821724,-0.02821703,0.45435254,-0.45435580
0.29114557,1.18334822,-1.18335261,0.19289071,-0.19289062,0.06211544,-0.06211562,0.00764097,-0.00764093,0.16517497,-0.16517375,0.21249839,-0.21249956,0.33906799,-0.33907025,0.03015718,-0.03015698,0.44978995,-0.44979341
0.29714857,1.19478457,-1.19478944,0.19929203,-0.19929197,0.06303868,-0.06303890,0.00806968,-0.00806964,0.17553453,-0.17553337,0.21185996,-0.21186119,0.33798256,-0.33798501,0.03205110,-0.03205091,0.44521604,-0.44521959
0.30315158,1.20511418,-1.20511938,0.20558035,-0.20558032,0.06396844,-0.06396868,0.00847011,-0.00847009,0.18562086,-0.18561978,0.21120187,-0.21120312,0.33622726,-0.33622985,0.03387557,-0.03387540,0.44093441,-0.44093795
0.30915458,1.21458867,-1.21459403,0.21170393,-0.21170393,0.06492157,-0.06492181,0.00883645,-0.00883643,0.19532244,-0.19532145,0.21063820,-0.21063942,0.33389397,-0.33389666,0.03560805,-0.03560790,0.43726532,-0.43726871
