energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.48340636,0.82832786,2.32932345,0.02244971,0.10681916,0.71009094,1.54469592,0.00846445,0.43955042
-5.99399700,4.40926141,0.79667498,2.28271881,0.02259998,0.10232913,0.69007996,1.52996729,0.00850490,0.43657735
-5.98799400,4.32121423,0.76244923,2.22869617,0.02270367,0.09773212,0.66809068,1.51036850,0.00854688,0.43196982
-5.98199100,4.22099098,0.72622886,2.16828613,0.02276167,0.09309387,0.64450158,1.48632600,0.00859399,0.42582873
-5.97598799,4.11045648,0.68860577,2.10258427,0.02277437,0.08847766,0.61970314,1.45833123,0.00864939,0.41827566
-5.96998499,3.99155928,0.65016779,2.03271913,0.02274162,0.08394268,0.59408612,1.42692598,0.00871563,0.40944891
-5.96398199,3.86627625,0.61148219,1.95982094,0.02266271,0.07954274,0.56803063,1.39268616,0.00879455,0.39949937
-5.95797899,3.73655847,0.57308111,1.88499202,0.02253651,0.07532508,0.54189614,1.35620429,0.00888720,0.38858608
-5.95197599,3.60428035,0.53544925,1.80927980,0.02236155,0.07132955,0.51601287,1.31807172,0.00899372,0.37687206
-5.94597299,3.47119341,0.49901402,1.73365314,0.02213618,0.06758789,0.49067461,1.27886110,0.00911337,0.36452004
-5.93996998,3.33888643,0.46413857,1.65898275,0.02185877,0.06412342,0.46613322,1.23910997,0.00924448,0.35168876
-5.93396698,3.20875326,0.43111754,1.58602596,0.02152790,0.06095087,0.44259488,1.19930619,0.00938452,0.33852948
-5.92796398,3.08196908,0.40017555,1.51541634,0.02114254,0.05807655,0.42021803,1.15987592,0.00953017,0.32518315
-5.92196098,2.95947599,0.37146822,1.44765820,0.02070226,0.05549870,0.39911311,1.12117460,0.00967741,0.31177811
-5.91595798,2.84197809,0.34508550,1.38312589,0.02020733,0.05320812,0.37934386,1.08348149,0.00982165,0.29842852
-5.90995498,2.72994591,0.32105697,1.32206774,0.01965888,0.05118897,0.36093019,1.04699784,0.00995793,0.28523332
-5.90395198,2.62362980,0.29935864,1.26461429,0.01905897,0.04941974,0.34385226,1.01184875,0.01008102,0.27227603
-5.89794897,2.52308133,0.27992100,1.21079024,0.01841060,0.04787435,0.32805569,0.97808863,0.01018566,0.25962501
-5.89194597,2.42818151,0.26263768,1.16052945,0.01771773,0.04652338,0.31345764,0.94570981,0.01026676,0.24733435
-5.88594297,2.33867443,0.24737460,1.11369245,0.01698518,0.04533531,0.29995337,0.91465372,0.01031955,0.23544527
-5.87993997,2.25420454,0.23397887,1.07008549,0.01621856,0.04427783,0.28742315,0.88482418,0.01033976,0.22398779
-5.87393697,2.17435597,0.22228741,1.02948036,0.01542416,0.04331903,0.27573915,0.85610170,0.01032384,0.21298278
-5.86793397,2.09869176,0.21213483,0.99163431,0.01460872,0.04242862,0.26477209,0.82835837,0.01026902,0.20244403
-5.86193097,2.02679161,0.20336035,0.95630903,0.01377934,0.04157895,0.25439742,0.80147220,0.01017349,0.19238046
-5.85592796,1.95828624,0.19581360,0.92328828,0.01294327,0.04074594,0.24450077,0.77534042,0.01003642,0.18279816
-5.84992496,1.89288705,0.18935923,0.89239323,0.01210769,0.03990981,0.23498255,0.74989085,0.00985803,0.17370230
-5.84392196,1.83041008,0.18388022,0.86349534,0.01127963,0.03905564,0.22576158,0.72509103,0.00963960,0.16509876
-5.83791896,1.77079326,0.17927994,0.83652604,0.01046573,0.03817371,0.21677763,0.70095459,0.00938338,0.15699545
-5.83191596,1.71410673,0.17548299,0.81148330,0.00967216,0.03725963,0.20799286,0.67754470,0.00909259,0.14940323
-5.82591296,1.66055601,0.17243501,0.78843477,0.00890446,0.03631433,0.19939226,0.65497461,0.00877125,0.14233649
-5.81990995,1.61047831,0.17010151,0.76751763,0.00816755,0.03534375,0.19098296,0.63340534,0.00842410,0.13581335
-5.81390695,1.56433256,0.16846593,0.74893527,0.00746555,0.03435852,0.18279276,0.61304085,0.00805638,0.12985550
-5.80790395,1.52268379,0.16752714,0.73295108,0.00680187,0.03337334,0.17486786,0.59412104,0.00767375,0.12448769
-5.80190095,1.48618307,0.16729649,0.71987969,0.00617911,0.03240641,0.16726993,0.57691304,0.00728203,0.11973700
-5.79589795,1.45554376,0.16779469,0.71007608,0.00559917,0.03147865,0.16007280,0.56170136,0.00688707,0.11563190
-5.78989495,1.43151537,0.16904855,0.70392288,0.00506321,0.03061297,0.15335890,0.54877728,0.00649459,0.11220115
-5.78389195,1.41485597,0.17108782,0.70181644,0.00457174,0.02983346,0.14721549,0.53842813,0.00611000,0.10947258
-5.77788894,1.40630419,0.17394218,0.70415204,0.00412469,0.02916463,0.14173107,0.53092679,0.00573830,0.10747191
-5.77188594,1.40655156,0.17763845,0.71130856,0.00372149,0.02863065,0.13699184,0.52652180,0.00538397,0.10622150
-5.76588294,1.41621601,0.18219811,0.72363310,0.00336114,0.02825467,0.13307856,0.52542836,0.00505085,0.10573923
-5.75987994,1.43581706,0.18763513,0.74142587,0.00304229,0.02805813,0.13006368,0.52782047,0.00474214,0.10603743
-5.75387694,1.46575312,0.19395408,0.76492560,0.00276333,0.02806024,0.12800890,0.53382423,0.00446037,0.10712190
-5.74787394,1.50628137,0.20114854,0.79429587,0.00252247,0.02827742,0.12696325,0.54351246,0.00420735,0.10899110
-5.74187094,1.55750041,0.20919984,0.82961265,0.00231781,0.02872291,0.12696149,0.55690061,0.00398425,0.11163542
-5.73586793,1.61933599,0.21807605,0.87085342,0.00214738,0.02940635,0.12802311,0.57394386,0.00379163,0.11503667
-5.72986493,1.69153018,0.22773120,0.91788803,0.00200922,0.03033351,0.13015166,0.59453550,0.00362947,0.11916769
-5.72386193,1.77363414,0.23810489,0.97047203,0.00190138,0.03150607,0.13333456,0.61850642,0.00349728,0.12399211
-5.71785893,1.86500497,0.24912214,1.02824241,0.00182200,0.03292149,0.13754326,0.64562578,0.00339419,0.12946434
-5.71185593,1.96480700,0.26069363,1.09071652,0.00176927,0.03457292,0.14273382,0.67560281,0.00331899,0.13552983
-5.70585293,2.07201780,0.27271638,1.15729425,0.00174145,0.03644928,0.14884781,0.70808975,0.00327027,0.14212540
-5.69984992,2.18543947,0.28507487,1.22726401,0.00173686,0.03853532,0.15581358,0.74268596,0.00324650,0.14918002
-5.69384692,2.30371523,0.29764275,1.29981243,0.00175386,0.04081198,0.16354781,0.77894328,0.00324609,0.15661573
-5.68784392,2.42535173,0.31028510,1.37403823,0.00179084,0.04325664,0.17195738,0.81637262,0.00326755,0.16434894
-5.68184092,2.54874680,0.32286134,1.44896991,0.00184614,0.04584369,0.18094152,0.85445174,0.00330950,0.17229195
-5.67583792,2.67222244,0.33522863,1.52358710,0.00191807,0.04854507,0.19039423,0.89263434,0.00337080,0.18035478
-5.66983492,2.79406248,0.34724596,1.59684516,0.00200484,0.05133106,0.20020681,0.93036011,0.00345058,0.18844726
-5.66383192,2.91255390,0.35877851,1.66770230,0.00210458,0.05417100,0.21027059,0.96706583,0.00354836,0.19648127
-5.65782891,3.02603072,0.36970241,1.73514835,0.00221524,0.05703427,0.22047970,1.00219712,0.00366405,0.20437314
-5.65182591,3.13291897,0.37990955,1.79823412,0.00233466,0.05989112,0.23073381,1.03522062,0.00379804,0.21204608
-5.64582291,3.23178086,0.38931226,1.85610019,0.00246053,0.06271367,0.24094068,1.06563615,0.00395118,0.21943249
-5.63981991,3.32135661,0.39784761,1.90800388,0.00259040,0.06547671,0.25101853,1.09298855,0.00412482,0.22647617
-5.63381691,3.40060173,0.40548102,1.95334308,0.00272173,0.06815852,0.26089796,1.11687870,0.00432077,0.23313412
-5.62781391,3.46871824,0.41220909,1.99167581,0.00285191,0.07074149,0.27052346,1.13697325,0.00454132,0.23937803
-5.62181091,3.52517795,0.41806118,2.02273442,0.00297833,0.07321258,0.27985431,1.15301276,0.00478909,0.24519513
-5.61580790,3.56973668,0.42309978,2.04643370,0.00309841,0.07556350,0.28886485,1.16481771,0.00506703,0.25058858
-5.60980490,3.60243840,0.42741946,2.06287219,0.00320972,0.07779073,0.29754405,1.17229236,0.00537824,0.25557707
-5.60380190,3.62360902,0.43114436,2.07232679,0.00331001,0.07989521,0.30589444,1.17542593,0.00572587,0.26019379
-5.59779890,3.63383976,0.43442428,2.07524049,0.00339733,0.08188182,0.31393026,1.17429140,0.00611294,0.26448478
-5.59179590,3.63396097,0.43742957,2.07220408,0.00347008,0.08375857,0.32167521,1.16904164,0.00654214,0.26850661
-5.58579290,3.62500758,0.44034485,2.06393249,0.00352707,0.08553569,0.32915953,1.15990327,0.00701570,0.27232361
-5.57978989,3.60817771,0.44336206,2.05123708,0.00356762,0.08722448,0.33641694,1.14716847,0.00753513,0.27600462
-5.57378689,3.58478675,0.44667306,2.03499516,0.00359158,0.08883617,0.34348130,1.13118503,0.00810107,0.27961964
-5.56778389,3.55621901,0.45046212,2.01611844,0.00359937,0.09038071,0.35038339,1.11234526,0.00871314,0.28323634
-5.56178089,3.52387951,0.45489882,1.99552183,0.00359199,0.09186571,0.35714787,1.09107406,0.00936973,0.28691670
-5.55577789,3.48914811,0.46013160,1.97409428,0.00357104,0.09329549,0.36379076,1.06781695,0.01006796,0.29071405
-5.54977489,3.45333828,0.46628229,1.95267290,0.00353867,0.09467037,0.37031738,1.04302819,0.01080359,0.29467045
-5.54377189,3.41766232,0.47344209,1.93202157,0.00349755,0.09598623,0.37672111,1.01715986,0.01157103,0.29881479
-5.53776888,3.38320423,0.48166884,1.91281479,0.00345084,0.09723438,0.38298285,0.99065198,0.01236336,0.30316156
-5.53176588,3.35090125,0.49098601,1.89562729,0.00340207,0.09840183,0.38907136,0.96392411,0.01317249,0.30771036
-5.52576288,3.32153412,0.50138313,1.88092935,0.00335507,0.09947178,0.39494437,0.93736859,0.01398928,0.31244623
-5.51975988,3.29572582,0.51281780,1.86908748,0.00331389,0.10042446,0.40055035,0.91134548,0.01480378,0.31734065
-5.51375688,3.27394771,0.52521879,1.86036990,0.00328267,0.10123828,0.40583093,0.88617921,0.01560551,0.32235325
-5.50775388,3.25653191,0.53849025,1.85495574,0.00326551,0.10189101,0.41072364,0.86215675,0.01638376,0.32743395
