energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,1.14632929,0.00772738,0.20069981,0.71854858,0.23994099,0.33967659,0.00000000
-5.99399700,1.09482311,0.00731676,0.18989350,0.69322450,0.22567810,0.32958600,0.00000000
-5.98799400,1.04217152,0.00697285,0.17904580,0.66548772,0.21199438,0.31848536,0.00000000
-5.98199100,0.98913279,0.00669903,0.16827384,0.63576634,0.19906859,0.30661873,0.00000000
-5.97598799,0.93655397,0.00650052,0.15770350,0.60454952,0.18709395,0.29427100,0.00000000
-5.96998499,0.88535095,0.00638414,0.14746669,0.57237510,0.17627423,0.28176090,0.00000000
-5.96398199,0.83648778,0.00635809,0.13769867,0.53981644,0.16681989,0.26943314,0.00000000
-5.95797899,0.79095578,0.00643172,0.12853537,0.50746904,0.15894428,0.25765028,0.00000000
-5.95197599,0.74975278,0.00661521,0.12011095,0.47593720,0.15285989,0.24678430,0.00000000
-5.94597299,0.71386306,0.00691925,0.11255548,0.44582144,0.14877469,0.23720831,0.00000000
-5.93996998,0.68423809,0.00735472,0.10599282,0.41770678,0.14688836,0.22928835,0.00000000
-5.93396698,0.66177841,0.00793224,0.10053872,0.39215232,0.14738859,0.22337569,0.00000000
-5.92796398,0.64731683,0.00866180,0.09629915,0.36968227,0.15044722,0.21979955,0.00000000
-5.92196098,0.64160289,0.00955229,0.09336878,0.35077852,0.15621633,0.21886043,0.00000000
-5.91595798,0.64528888,0.01061099,0.09182975,0.33587480,0.16482436,0.22082411,0.00000000
-5.90995498,0.65891726,0.01184315,0.09175050,0.32535236,0.17637210,0.22591637,0.00000000
-5.90395198,0.68290978,0.01325149,0.09318497,0.31953709,0.19092890,0.23431847,0.00000000
-5.89794897,0.71755832,0.01483577,0.09617175,0.31869787,0.20852905,0.24616342,0.00000000
-5.89194597,0.76301751,0.01659239,0.10073364,0.32304602,0.22916852,0.26153311,0.00000000
-5.88594297,0.81929953,0.01851407,0.10687719,0.33273559,0.25280237,0.28045632,0.00000000
-5.87993997,0.88627110,0.02058965,0.11459262,0.34786434,0.27934273,0.30290764,0.00000000
-5.87393697,0.96365293,0.02280395,0.12385382,0.36847523,0.30865787,0.32880735,0.00000000
-5.86793397,1.05102180,0.02513780,0.13461863,0.39455811,0.34057225,0.35802229,0.00000000
