energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,0.01488729,0.01442796,0.00004398,0.00000000,0.00236612,0.00452186,0.00011193,0.00574629
-5.99399700,0.01812213,0.01755453,0.00005511,0.00000000,0.00287885,0.00550888,0.00013622,0.00699521
-5.98799400,0.02190343,0.02120581,0.00006876,0.00000000,0.00347761,0.00666443,0.00016461,0.00845526
-5.98199100,0.02628632,0.02543340,0.00008544,0.00000000,0.00417087,0.00800619,0.00019749,0.01014778
-5.97598799,0.03132339,0.03028587,0.00010574,0.00000000,0.00496656,0.00955134,0.00023526,0.01209319
-5.96998499,0.03706269,0.03580677,0.00013036,0.00000000,0.00587182,0.01131597,0.00027828,0.01431017
-5.96398199,0.04354547,0.04203231,0.00016013,0.00000000,0.00689255,0.01331448,0.00032684,0.01681483
-5.95797899,0.05080392,0.04898903,0.00019599,0.00000000,0.00803306,0.01555890,0.00038118,0.01961980
-5.95197599,0.05885879,0.05669139,0.00023906,0.00000000,0.00929567,0.01805826,0.00044143,0.02273339
-5.94597299,0.06771719,0.06513946,0.00029062,0.00000000,0.01068033,0.02081792,0.00050764,0.02615872
-5.93996998,0.07737055,0.07431690,0.00035211,0.00000000,0.01218424,0.02383901,0.00057973,0.02989291
-5.93396698,0.08779296,0.08418915,0.00042520,0.00000000,0.01380161,0.02711792,0.00065750,0.03392651
-5.92796398,0.09894000,0.09470226,0.00051176,0.00000000,0.01552341,0.03064597,0.00074061,0.03824305
-5.92196098,0.11074813,0.10578226,0.00061388,0.00000000,0.01733730,0.03440918,0.00082855,0.04281879
-5.91595798,0.12313486,0.11733528,0.00073386,0.00000000,0.01922759,0.03838824,0.00092073,0.04762286
-5.90995498,0.13599964,0.12924850,0.00087422,0.00000001,0.02117543,0.04255874,0.00101638,0.05261756
-5.90395198,0.14922567,0.14139197,0.00103765,0.00000001,0.02315906,0.04689150,0.00111464,0.05775912
-5.89794897,0.16268247,0.15362134,0.00122703,0.00000002,0.02515427,0.05135323,0.00121457,0.06299869
-5.89194597,0.17622928,0.16578144,0.00144532,0.00000003,0.02713497,0.05590730,0.00131516,0.06828364
-5.88594297,0.18971917,0.17771062,0.00169557,0.00000004,0.02907387,0.06051470,0.00141537,0.07355922
-5.87993997,0.20300362,0.18924572,0.00198076,0.00000006,0.03094331,0.06513514,0.00151418,0.07877025
-5.87393697,0.21593760,0.20022749,0.00230380,0.00000009,0.03271612,0.06972817,0.00161063,0.08386313
-5.86793397,0.22838456,0.21050619,0.00266732,0.00000013,0.03436655,0.07425438,0.00170385,0.08878772
-5.86193097,0.24022152,0.21994719,0.00307363,0.00000019,0.03587117,0.07867649,0.00179310,0.09349929
-5.85592796,0.25134359,0.22843622,0.00352453,0.00000028,0.03720977,0.08296037,0.00187782,0.09796023
-5.84992496,0.26166790,0.23588396,0.00402119,0.00000041,0.03836609,0.08707585,0.00195767,0.10214150
-5.84392196,0.27113658,0.24222982,0.00456399,0.00000059,0.03932849,0.09099735,0.00203251,0.10602374
-5.83791896,0.27971871,0.24744458,0.00515241,0.00000084,0.04009039,0.09470423,0.00210245,0.10959791
-5.83191596,0.28741092,0.25153172,0.00578485,0.00000120,0.04065056,0.09818084,0.00216782,0.11286543
