energy_ev,total_up,Pd_p_up,Pd_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,8.38813652,1.85558639,7.06292724,1.09331572,0.06048162,0.92667282,0.00000000
-5.99399700,8.64770915,1.95420523,7.26588732,1.11849976,0.06266266,0.96346826,0.00000000
-5.98799400,8.90348936,2.05627929,7.46333811,1.14217422,0.06472517,1.00236581,0.00000000
-5.98199100,9.15297625,2.16164873,7.65294831,1.16375749,0.06664320,1.04337442,0.00000000
-5.97598799,9.39389928,2.27018199,7.83259277,1.18268849,0.06839492,1.08650805,0.00000000
-5.96998499,9.62425645,2.38176279,8.00039678,1.19844264,0.06996298,1.13177787,0.00000000
-5.96398199,9.84233955,2.49627350,8.15476983,1.21054703,0.07133465,1.17918282,0.00000000
-5.95797899,10.04674535,2.61357594,8.29442717,1.21859417,0.07250187,1.22869919,0.00000000
-5.95197599,10.23637237,2.73349065,8.41839842,1.22225390,0.07346104,1.28026966,0.00000000
-5.94597299,10.41040391,2.85577604,8.52602290,1.22128272,0.07421273,1.33379248,0.00000000
-5.93996998,10.56827858,2.98010879,8.61693222,1.21553031,0.07476117,1.38911142,0.00000000
-5.93396698,10.70965059,3.10606720,8.69102148,1.20494293,0.07511371,1.44600737,0.00000000
-5.92796398,10.83434275,3.23311877,8.74841092,1.18956359,0.07528010,1.50419207,0.00000000
-5.92196098,10.94229542,3.36061355,8.78940081,1.16952906,0.07527183,1.56330479,0.00000000
-5.91595798,11.03351542,3.48778419,8.81442223,1.14506398,0.07510137,1.62291244,0.00000000
-5.90995498,11.10802844,3.61375376,8.82398735,1.11647224,0.07478149,1.68251345,0.00000000
-5.90395198,11.16583865,3.73755146,8.81864217,1.08412634,0.07432459,1.74154566,0.00000000
-5.89794897,11.20689873,3.85813641,8.79892489,1.04845506,0.07374222,1.79939824,0.00000000
-5.89194597,11.23109258,3.97442900,8.76533258,1.00993004,0.07304462,1.85542729,0.00000000
-5.88594297,11.23823249,4.08534856,8.71829815,0.96905201,0.07224041,1.90897476,0.00000000
-5.87993997,11.22807109,4.18985624,8.65817908,0.92633712,0.07133651,1.95938991,0.00000000
-5.87393697,11.20032778,4.28700080,8.58525828,0.88230386,0.07033811,2.00605243,0.00000000
-5.86793397,11.15472790,4.37596552,8.49975699,0.83746118,0.06924884,2.04839626,0.00000000
-5.86193097,11.09105226,4.45611337,8.40185834,0.79229801,0.06807104,2.08593280,0.00000000
-5.85592796,11.00919363,4.52702825,8.29173998,0.74727450,0.06680613,2.11827255,0.00000000
