energy_ev,total_up,Sb_p_up,Sb_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,3.87760861,1.24726736,0.02571509,1.99059317,2.13221566,1.80080266,0.00000000
-5.99399700,3.88647396,1.26127912,0.02600757,1.98647675,2.13815507,1.79173896,0.00000000
-5.98799400,3.89112888,1.27337911,0.02628017,1.97854423,2.14211986,1.78076339,0.00000000
-5.98199100,3.89075458,1.28342188,0.02652898,1.96655639,2.14359547,1.76730238,0.00000000
-5.97598799,3.88467335,1.29131275,0.02675040,1.95036714,2.14214240,1.75085447,0.00000000
-5.96998499,3.87238181,1.29701644,0.02694135,1.92993591,2.13741545,1.73100909,0.00000000
-5.96398199,3.85357458,1.30056222,0.02709945,1.90533483,2.12917782,1.70746101,0.00000000
-5.95797899,3.82815699,1.30204503,0.02722313,1.87675015,2.11730922,1.68001986,0.00000000
-5.95197599,3.79624592,1.30162235,0.02731166,1.84447768,2.10180765,1.64861461,0.00000000
-5.94597299,3.75815881,1.29950673,0.02736516,1.80891227,2.08278463,1.61329273,0.00000000
-5.93996998,3.71439140,1.29595436,0.02738457,1.77053206,2.06045439,1.57421449,0.00000000
-5.93396698,3.66558559,1.29125016,0.02737145,1.72987800,2.03511754,1.53164270,0.00000000
-5.92796398,3.61248934,1.28569042,0.02732787,1.68753006,2.00714037,1.48592872,0.00000000
-5.92196098,3.55591114,1.27956382,0.02725615,1.64408124,1.97693093,1.43749537,0.00000000
-5.91595798,3.49667175,1.27313229,0.02715866,1.60011103,1.94491357,1.38681796,0.00000000
-5.90995498,3.43555629,1.26661276,0.02703754,1.55615969,1.91150327,1.33440410,0.00000000
-5.90395198,3.37326951,1.26016115,0.02689449,1.51270493,1.87708146,1.28077368,0.00000000
-5.89794897,3.31039711,1.25385966,0.02673055,1.47014220,1.84197483,1.22643966,0.00000000
-5.89194597,3.24737530,1.24770840,0.02654595,1.42876978,1.80643824,1.17189071,0.00000000
-5.88594297,3.18447061,1.24162186,0.02634000,1.38877944,1.77064295,1.11757638,0.00000000
-5.87993997,3.12177092,1.23543072,0.02611106,1.35025305,1.73467060,1.06389538,0.00000000
-5.87393697,3.05918832,1.22888903,0.02585657,1.31316535,1.69851341,1.01118721,0.00000000
-5.86793397,2.99647341,1.22168628,0.02557321,1.27739255,1.66208044,0.95972751,0.00000000
-5.86193097,2.93324007,1.21346402,0.02525700,1.24272613,1.62520936,0.90972682,0.00000000
-5.85592796,2.86899907,1.20383576,0.02490361,1.20889096,1.58768306,0.86133274,0.00000000
-5.84992496,2.80319820,1.19240925,0.02450863,1.17556656,1.54924979,0.81463495,0.00000000
-5.84392196,2.73526652,1.17880983,0.02406785,1.14241029,1.50964568,0.76967255,0.00000000
-5.83791896,2.66465985,1.16270327,0.02357762,1.10908095,1.46861806,0.72644318,0.00000000
-5.83191596,2.59090463,1.14381705,0.02303514,1.07526153,1.42594818,0.68491315,0.00000000
-5.82591296,2.51363760,1.12195866,0.02243873,1.04067980,1.38147185,0.64502794,0.00000000
-5.81990995,2.43263891,1.09702984,0.02178808,1.00512571,1.33509683,0.60672234,0.00000000
-5.81390695,2.34785664,1.06903618,0.02108438,0.96846465,1.28681583,0.56992976,0.00000000
-5.80790395,2.25942166,1.03809126,0.02033041,0.93064601,1.23671450,0.53459017,0.00000000
-5.80190095,2.16765188,1.00441540,0.01953056,0.89170681,1.18497394,0.50065631,0.00000000
-5.79589795,2.07304605,0.96832900,0.01869076,0.85177033,1.13186771,0.46809793,0.00000000
