energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.01354535,0.08208923,0.02528263,0.14526335,0.10793729,0.17442860,3.33300183
-5.99399700,3.74045250,0.07897934,0.02362944,0.13746210,0.10322672,0.16630032,3.09519522
-5.98799400,3.48016785,0.07626769,0.02200329,0.12997002,0.09891181,0.15870357,2.86797993
-5.98199100,3.23611109,0.07410463,0.02042707,0.12297444,0.09516624,0.15190635,2.65383436
-5.97598799,3.01173134,0.07264284,0.01892317,0.11666178,0.09216574,0.14617778,2.45526236
-5.96998499,2.81040743,0.07203519,0.01751295,0.11121393,0.09008532,0.14178373,2.27471027
-5.96398199,2.63535894,0.07243248,0.01621619,0.10680491,0.08909635,0.13898255,2.11449429
-5.95797899,2.48956826,0.07398102,0.01505067,0.10359754,0.08936364,0.13802081,1.97673855
-5.95197599,2.37571277,0.07682004,0.01403182,0.10174040,0.09104236,0.13912886,1.86332318
-5.94597299,2.29610594,0.08107887,0.01317245,0.10136477,0.09427484,0.14251650,1.77584140
-5.93996998,2.25264597,0.08687387,0.01248250,0.10258178,0.09918719,0.14836833,1.71556426
-5.93396698,2.24677032,0.09430516,0.01196896,0.10547954,0.10588575,0.15683908,1.68341179
-5.92796398,2.27941501,0.10345313,0.01163569,0.11012040,0.11445344,0.16804878,1.67992902
-5.92196098,2.35097782,0.11437482,0.01148345,0.11653827,0.12494598,0.18207784,1.70526616
-5.91595798,2.46128521,0.12710024,0.01150983,0.12473618,0.13738816,0.19896225,1.75916205
-5.90995498,2.60956327,0.14162890,0.01170930,0.13468395,0.15177025,0.21868901,1.84093089
-5.90395198,2.79441388,0.15792643,0.01207329,0.14631634,0.16804472,0.24119192,1.94945268
-5.89794897,3.01379782,0.17592178,0.01259025,0.15953167,0.18612352,0.26634812,2.08316792
-5.89194597,3.26502683,0.19550496,0.01324584,0.17419104,0.20587598,0.29397559,2.24007813
-5.88594297,3.54476735,0.21652574,0.01402308,0.19011847,0.22712776,0.32383184,2.41775338
-5.87993997,3.84905818,0.23879326,0.01490262,0.20710186,0.24966085,0.35561412,2.61334854
-5.87393697,4.17334467,0.26207687,0.01586299,0.22489524,0.27321492,0.38896134,2.82362975
-5.86793397,4.51253103,0.28610837,0.01688103,0.24322199,0.29749011,0.42345786,3.04501226
-5.86193097,4.86105205,0.31058546,0.01793221,0.26177946,0.32215128,0.45863935,3.27361044
-5.85592796,5.21296445,0.33517679,0.01899120,0.28024469,0.34683387,0.49400053,3.50530025
-5.84992496,5.56205681,0.35952813,0.02003231,0.29828129,0.37115113,0.52900486,3.73579352
-5.84392196,5.90197630,0.38326995,0.02103012,0.31554725,0.39470262,0.56309592,3.96072281
-5.83791896,6.22636877,0.40602578,0.02196001,0.33170351,0.41708383,0.59571017,4.17573497
-5.83191596,6.52902825,0.42742145,0.02279881,0.34642293,0.43789645,0.62629063,4.37659035
-5.82591296,6.80405044,0.44709467,0.02352534,0.35939941,0.45675906,0.65430114,4.55926464
-5.81990995,7.04598469,0.46470464,0.02412098,0.37035672,0.47331776,0.67924053,4.72004940
-5.81390695,7.24997833,0.47994137,0.02457016,0.37905674,0.48725633,0.70065624,4.85564736
-5.80790395,7.41190723,0.49253426,0.02486072,0.38530664,0.49830545,0.71815677,4.96325844
-5.80190095,7.52848711,0.50225961,0.02498429,0.38896480,0.50625071,0.73142249,5.04065292
-5.79589795,7.59736048,0.50894685,0.02493641,0.38994504,0.51093882,0.74021432,5.08622826
-5.78989495,7.61715544,0.51248301,0.02471664,0.38821914,0.51228202,0.74438002,5.09904727
-5.78389195,7.58751362,0.51281552,0.02432847,0.38381731,0.51026030,0.74385763,5.07885562
-5.77788894,7.50908606,0.50995304,0.02377916,0.37682673,0.50492142,0.73867620,5.02607805
-5.77188594,7.38349727,0.50396437,0.02307939,0.36738823,0.49637868,0.72895357,4.94179347
-5.76588294,7.21327927,0.49497561,0.02224287,0.35569111,0.48480670,0.71489154,4.82768998
-5.75987994,7.00177865,0.48316553,0.02128583,0.34196655,0.47043520,0.69676847,4.68600209
-5.75387694,6.75304096,0.46875956,0.02022646,0.32647975,0.45354125,0.67492987,4.51943285
-5.74787394,6.47167756,0.45202253,0.01908429,0.30952122,0.43444032,0.64977723,4.33106433
-5.74187094,6.16272070,0.43325062,0.01787956,0.29139766,0.41347635,0.62175571,4.12426042
-5.73586793,5.83147296,0.41276271,0.01663264,0.27242265,0.39101156,0.59134109,3.90256588
-5.72986493,5.48335687,0.39089154,0.01536344,0.25290775,0.36741616,0.55902661,3.66960567
-5.72386193,5.12377046,0.36797506,0.01409088,0.23315418,0.34305846,0.52531003,3.42898820
-5.71785893,4.75795370,0.34434813,0.01283246,0.21344543,0.31829571,0.49068155,3.18421608
-5.71185593,4.39086997,0.32033494,0.01160390,0.19404104,0.29346596,0.45561273,2.93860683
-5.70585293,4.02710575,0.29624236,0.01041888,0.17517172,0.26888122,0.42054695,2.69522588
-5.69984992,3.67079064,0.27235427,0.00928883,0.15703577,0.24482194,0.38589139,2.45683312
-5.69384692,3.32553882,0.24892707,0.00822289,0.13979705,0.22153303,0.35201086,2.22584388
-5.68784392,2.99441184,0.22618639,0.00722791,0.12358417,0.19922130,0.31922335,2.00430405
-5.68184092,2.67990201,0.20432494,0.00630849,0.10849099,0.17805442,0.28779743,1.79387911
-5.67583792,2.38393468,0.18350151,0.00546719,0.09457822,0.15816106,0.25795122,1.59585562
-5.66983492,2.10788709,0.16384104,0.00470467,0.08187585,0.13963228,0.22985294,1.41115393
-5.66383192,1.85262124,0.14543553,0.00401997,0.07038632,0.12252387,0.20362281,1.24035011
-5.65782891,1.61852777,0.12834580,0.00341071,0.06008819,0.10685937,0.17933591,1.08370527
-5.65182591,1.40557785,0.11260387,0.00287340,0.05094000,0.09263379,0.15702608,0.94120029
-5.64582291,1.21338029,0.09821577,0.00240369,0.04288429,0.07981751,0.13669033,0.81257394
-5.63981991,1.04124105,0.08516474,0.00199661,0.03585152,0.06836048,0.11829373,0.69736260
-5.63381691,0.88822273,0.07341456,0.00164681,0.02976374,0.05819634,0.10177440,0.59494004
-5.62781391,0.75320222,0.06291298,0.00134874,0.02453796,0.04924639,0.08704865,0.50455588
-5.62181091,0.63492451,0.05359506,0.00109685,0.02008913,0.04142330,0.07401584,0.42537156
-5.61580790,0.53205181,0.04538635,0.00088574,0.01633262,0.03463453,0.06256300,0.35649311
-5.60980490,0.44320682,0.03820590,0.00071024,0.01318630,0.02878523,0.05256915,0.29700007
-5.60380190,0.36700993,0.03196892,0.00056552,0.01057215,0.02378079,0.04390904,0.24597032
-5.59779890,0.30210999,0.02658917,0.00044713,0.00841738,0.01952895,0.03645647,0.20250067
-5.59179590,0.24720891,0.02198099,0.00035105,0.00665525,0.01594137,0.03008711,0.16572329
-5.58579290,0.20108038,0.01806097,0.00027368,0.00522548,0.01293494,0.02468072,0.13481821
