energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.22619171,0.01669495,0.03004242,0.04489155,0.36376906,0.78781872,0.29438725
-5.99399700,1.27706249,0.01529039,0.03219216,0.04296655,0.38864215,0.83840228,0.29726093
-5.98799400,1.32792770,0.01398335,0.03430997,0.04111971,0.41314717,0.88862364,0.30052373
-5.98199100,1.37770323,0.01277795,0.03636006,0.03935695,0.43686347,0.93761212,0.30400205
-5.97598799,1.42523721,0.01167538,0.03830560,0.03767930,0.45935794,0.98445525,0.30749954
-5.96998499,1.46934733,0.01067419,0.04010976,0.03608350,0.48019746,1.02822540,0.31080473
-5.96398199,1.50886131,0.00977073,0.04173693,0.03456290,0.49896225,1.06800858,0.31369946
-5.95797899,1.54265893,0.00895953,0.04315387,0.03310838,0.51525950,1.10293433,0.31596778
-5.95197599,1.56971367,0.00823373,0.04433091,0.03170934,0.52873668,1.13220534,0.31740488
-5.94597299,1.58913196,0.00758553,0.04524304,0.03035475,0.53909405,1.15512558,0.31782568
-5.93996998,1.60018841,0.00700663,0.04587094,0.02903405,0.54609563,1.17112557,0.31707260
-5.93396698,1.60235532,0.00648858,0.04620178,0.02773802,0.54957829,1.17978364,0.31502228
-5.92796398,1.59532520,0.00602317,0.04622987,0.02645950,0.54945841,1.18084234,0.31159082
-5.92196098,1.57902543,0.00560269,0.04595702,0.02519394,0.54573592,1.17421906,0.30673759
-5.91595798,1.55362439,0.00522022,0.04539275,0.02393981,0.53849543,1.16001058,0.30046715
-5.90995498,1.51952906,0.00486978,0.04455413,0.02269879,0.52790457,1.13849134,0.29282967
-5.90395198,1.47737437,0.00454650,0.04346548,0.02147585,0.51420947,1.11010549,0.28391947
-5.89794897,1.42800489,0.00424668,0.04215778,0.02027916,0.49772774,1.07545334,0.27387219
-5.89194597,1.37245001,0.00396787,0.04066793,0.01911985,0.47883926,1.03527280,0.26286056
