energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.67368352,0.55672293,0.39832850,0.00616829,0.46045014,1.41060923,0.74950585,0.02926515,1.00026590
-5.99399700,2.62750733,0.55589354,0.39165852,0.00559973,0.44825621,1.38121785,0.73542010,0.02833340,0.99079725
-5.98799400,2.58021395,0.55490033,0.38423333,0.00506377,0.43584511,1.35486860,0.72077840,0.02729705,0.98078904
-5.98199100,2.53242194,0.55380699,0.37616482,0.00456394,0.42326835,1.33156190,0.70576297,0.02617087,0.97049270
-5.97598799,2.48482700,0.55269069,0.36757488,0.00410305,0.41059002,1.31127936,0.69059034,0.02497177,0.96018608
-5.96998499,2.43818718,0.55164059,0.35859364,0.00368325,0.39788556,1.29398160,0.67550714,0.02371828,0.95016758
-5.96398199,2.39330433,0.55075552,0.34935731,0.00330597,0.38523984,1.27960618,0.66078423,0.02242992,0.94074904
-5.95797899,2.35100226,0.55014092,0.34000567,0.00297202,0.37274504,1.26806580,0.64670944,0.02112660,0.93224717
-5.95197599,2.31210217,0.54990501,0.33067918,0.00268159,0.36049821,1.25924695,0.63357895,0.01982797,0.92497395
-5.94597299,2.27739609,0.55015434,0.32151589,0.00243434,0.34859863,1.25300914,0.62168782,0.01855283,0.91922620
-5.93996998,2.24761932,0.55098891,0.31264808,0.00222940,0.33714523,1.24918485,0.61131971,0.01731863,0.91527449
-5.93396698,2.22342281,0.55249696,0.30419889,0.00206549,0.32623402,1.24758010,0.60273644,0.01614097,0.91335207
-5.92796398,2.20534671,0.55474984,0.29627908,0.00194092,0.31595575,1.24797600,0.59616773,0.01503321,0.91364401
-5.92196098,2.19379618,0.55779705,0.28898387,0.00185367,0.30639392,1.25013100,0.59180148,0.01400627,0.91627715
-5.91595798,2.18902076,0.56166178,0.28239032,0.00180144,0.29762312,1.25378406,0.58977526,0.01306835,0.92131147
-5.90995498,2.19109837,0.56633727,0.27655508,0.00178165,0.28970790,1.25865856,0.59016923,0.01222492,0.92873310
-5.90395198,2.19992493,0.57178423,0.27151289,0.00179155,0.28270209,1.26446719,0.59300112,0.01147873,0.93844972
-5.89794897,2.21521045,0.57792944,0.26727580,0.00182819,0.27664874,1.27091745,0.59822334,0.01082994,0.95028865
-5.89194597,2.23648234,0.58466589,0.26383321,0.00188849,0.27158052,1.27771803,0.60572277,0.01027628,0.96399782
-5.88594297,2.26309609,0.59185449,0.26115287,0.00196929,0.26752063,1.28458572,0.61532306,0.00981335,0.97925010
-5.87993997,2.29425341,0.59932735,0.25918272,0.00206736,0.26448417,1.29125299,0.62678971,0.00943492,0.99565086
-5.87393697,2.32902766,0.60689280,0.25785367,0.00217944,0.26247985,1.29747595,0.63983775,0.00913333,1.01274878
-5.86793397,2.36639567,0.61434182,0.25708313,0.00230233,0.26151187,1.30304254,0.65414165,0.00889982,1.03004972
-5.86193097,2.40527512,0.62145587,0.25677929,0.00243291,0.26158206,1.30778082,0.66934737,0.00872497,1.04703322
-5.85592796,2.44456602,0.62801575,0.25684595,0.00256819,0.26269187,1.31156698,0.68508582,0.00859906,1.06317109
-5.84992496,2.48319469,0.63381121,0.25718772,0.00270540,0.26484429,1.31433280,0.70098733,0.00851248,1.07794751
-5.84392196,2.52015851,0.63865084,0.25771534,0.00284201,0.26804549,1.31607224,0.71669644,0.00845600,1.09087969
-5.83791896,2.55456920,0.64237184,0.25835105,0.00297584,0.27230606,1.31684676,0.73188633,0.00842115,1.10153837
-5.83191596,2.58569286,0.64484914,0.25903357,0.00310505,0.27764171,1.31678880,0.74627222,0.00840041,1.10956707
-5.82591296,2.61298464,0.64600341,0.25972260,0.00322825,0.28407343,1.31610336,0.75962310,0.00838742,1.11469935
-5.81990995,2.63611630,0.64580755,0.26040254,0.00334449,0.29162703,1.31506696,0.77177122,0.00837712,1.11677297
-5.81390695,2.65499503,0.64429117,0.26108528,0.00345332,0.30033194,1.31402389,0.78261882,0.00836582,1.11574041
-5.80790395,2.66977243,0.64154280,0.26181188,0.00355475,0.31021947,1.31337947,0.79214181,0.00835121,1.11167486
