energy_ev,total_up,Bi_p_up,Bi_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,0.99352522,0.45429745,0.00497424,0.86338735,0.40627469,0.01342228,0.05226568
-5.99399700,0.99674259,0.45322804,0.00485770,0.86381651,0.40802191,0.01347581,0.05330250
-5.98799400,0.99796735,0.45131651,0.00474143,0.86360888,0.40884615,0.01346771,0.05434725
-5.98199100,0.99741030,0.44867962,0.00462691,0.86297160,0.40885283,0.01340033,0.05540128
-5.97598799,0.99533287,0.44545545,0.00451565,0.86213287,0.40817125,0.01327730,0.05646681
-5.96998499,0.99203925,0.44179947,0.00440914,0.86133503,0.40695069,0.01310349,0.05754682
-5.96398199,0.98786659,0.43787978,0.00430883,0.86082619,0.40535568,0.01288480,0.05864489
-5.95797899,0.98317365,0.43387163,0.00421609,0.86085064,0.40356068,0.01262805,0.05976490
-5.95197599,0.97832859,0.42995152,0.00413214,0.86163869,0.40174438,0.01234074,0.06091080
-5.94597299,0.97369624,0.42629118,0.00405806,0.86339624,0.40008395,0.01203087,0.06208622
-5.93996998,0.96962564,0.42305165,0.00399469,0.86629489,0.39874934,0.01170665,0.06329415
-5.93396698,0.96643836,0.42037788,0.00394266,0.87046299,0.39789807,0.01137636,0.06453660
-5.92796398,0.96441827,0.41839391,0.00390230,0.87597832,0.39767067,0.01104806,0.06581427
-5.92196098,0.96380304,0.41719910,0.00387363,0.88286283,0.39818682,0.01072942,0.06712629
-5.91595798,0.96477798,0.41686544,0.00385639,0.89107981,0.39954265,0.01042755,0.06847001
-5.90995498,0.96747228,0.41743601,0.00384998,0.90053382,0.40180890,0.01014885,0.06984086
-5.90395198,0.97195776,0.41892488,0.00385353,0.91107340,0.40503032,0.00989887,0.07123231
-5.89794897,0.97825019,0.42131808,0.00386587,0.92249657,0.40922596,0.00968222,0.07263590
-5.89194597,0.98631279,0.42457582,0.00388563,0.93455879,0.41439051,0.00950253,0.07404136
-5.88594297,0.99606171,0.42863564,0.00391123,0.94698316,0.42049636,0.00936242,0.07543686
-5.87993997,1.00737293,0.43341630,0.00394097,0.95947212,0.42749628,0.00926351,0.07680927
-5.87393697,1.02009019,0.43882217,0.00397308,0.97172020,0.43532643,0.00920638,0.07814448
-5.86793397,1.03403322,0.44474783,0.00400581,0.98342704,0.44390959,0.00919070,0.07942781
-5.86193097,1.04900590,0.45108255,0.00403744,0.99430998,0.45315827,0.00921524,0.08064442
-5.85592796,1.06480374,0.45771449,0.00406640,1.00411548,0.46297754,0.00927792,0.08177968
-5.84992496,1.08122019,0.46453426,0.00409128,1.01262883,0.47326748,0.00937595,0.08281957
-5.84392196,1.09805161,0.47143775,0.00411090,1.01968151,0.48392503,0.00950585,0.08375107
-5.83791896,1.11510057,0.47832812,0.00412433,1.02515588,0.49484529,0.00966358,0.08456249
-5.83191596,1.13217750,0.48511674,0.00413090,1.02898699,0.50592212,0.00984460,0.08524372
-5.82591296,1.14910072,0.49172342,0.00413023,1.03116140,0.51704831,0.01004399,0.08578652
-5.81990995,1.16569511,0.49807561,0.00412218,1.03171326,0.52811519,0.01025653,0.08618469
-5.81390695,1.18178972,0.50410707,0.00410688,1.03071780,0.53901199,0.01047679,0.08643423
-5.80790395,1.19721469,0.50975600,0.00408466,1.02828287,0.54962505,0.01069926,0.08653352
-5.80190095,1.21179804,0.51496291,0.00405602,1.02453899,0.55983706,0.01091839,0.08648339
-5.79589795,1.22536262,0.51966844,0.00402159,1.01962849,0.56952660,0.01112876,0.08628725
-5.78989495,1.23772381,0.52381139,0.00398208,1.01369464,0.57856793,0.01132516,0.08595123
-5.78389195,1.24868829,0.52732718,0.00393821,1.00687124,0.58683148,0.01150268,0.08548427
-5.77788894,1.25805407,0.53014679,0.00389070,0.99927334,0.59418474,0.01165683,0.08489830
-5.77188594,1.26561212,0.53219649,0.00384019,0.99098964,0.60049399,0.01178365,0.08420838
-5.76588294,1.27114949,0.53339824,0.00378726,0.98207702,0.60562651,0.01187976,0.08343292
-5.75987994,1.27445401,0.53367090,0.00373232,0.97255729,0.60945344,0.01194247,0.08259387
-5.75387694,1.27532016,0.53293208,0.00367569,0.96241651,0.61185304,0.01196981,0.08171696
-5.74787394,1.27355608,0.53110070,0.00361752,0.95160663,0.61271425,0.01196062,0.08083191
-5.74187094,1.26899115,0.52809990,0.00355783,0.94004944,0.61194045,0.01191451,0.07997261
-5.73586793,1.26148387,0.52386031,0.00349652,0.92764238,0.60945306,0.01183189,0.07917736
-5.72986493,1.25092948,0.51832336,0.00343335,0.91426597,0.60519501,0.01171397,0.07848893
-5.72386193,1.23726705,0.51144456,0.00336803,0.89979228,0.59913367,0.01156264,0.07795467
-5.71785893,1.22048546,0.50319646,0.00330019,0.88409399,0.59126330,0.01138047,0.07762640
-5.71185593,1.20062815,0.49357115,0.00322945,0.86705359,0.58160681,0.01117060,0.07756034
-5.70585293,1.17779618,0.48258226,0.00315540,0.84857214,0.57021666,0.01093665,0.07781672
-5.69984992,1.15214963,0.47026616,0.00307770,0.82857727,0.55717506,0.01068257,0.07845934
-5.69384692,1.12390703,0.45668263,0.00299605,0.80703006,0.54259322,0.01041263,0.07955491
-5.68784392,1.09334308,0.44191459,0.00291024,0.78393044,0.52660998,0.01013119,0.08117210
-5.68184092,1.06078456,0.42606725,0.00282014,0.75932109,0.50938952,0.00984273,0.08338051
-5.67583792,1.02660470,0.40926661,0.00272578,0.73328962,0.49111869,0.00955163,0.08624926
-5.66983492,0.99121622,0.39165732,0.00262727,0.70596918,0.47200364,0.00926222,0.08984542
-5.66383192,0.95506337,0.37340016,0.00252488,0.67753751,0.45226627,0.00897863,0.09423226
-5.65782891,0.91861318,0.35466922,0.00241900,0.64821457,0.43214036,0.00870478,0.09946727
-5.65182591,0.88234647,0.33564883,0.00231013,0.61825916,0.41186776,0.00844437,0.10560008
-5.64582291,0.84674875,0.31653052,0.00219891,0.58796452,0.39169457,0.00820085,0.11267035
-5.63981991,0.81230155,0.29751000,0.00208608,0.55765343,0.37186763,0.00797743,0.12070572
-5.63381691,0.77947435,0.27878437,0.00197244,0.52767301,0.35263137,0.00777709,0.12971981
-5.62781391,0.74871756,0.26054965,0.00185890,0.49838943,0.33422508,0.00760264,0.13971055
-5.62181091,0.72045664,0.24299857,0.00174641,0.47018287,0.31688072,0.00745671,0.15065888
-5.61580790,0.69508768,0.22631893,0.00163596,0.44344291,0.30082133,0.00734182,0.16252782
-5.60980490,0.67297450,0.21069228,0.00152855,0.41856441,0.28626003,0.00726039,0.17526217
-5.60380190,0.65444727,0.19629310,0.00142520,0.39594409,0.27339959,0.00721481,0.18878887
-5.59779890,0.63980273,0.18328833,0.00132691,0.37597777,0.26243258,0.00720746,0.20301791
-5.59179590,0.62930571,0.17183733,0.00123466,0.35905818,0.25354189,0.00724074,0.21784400
-5.58579290,0.62319191,0.16209204,0.00114938,0.34557334,0.24690169,0.00731710,0.23314888
-5.57978989,0.62167153,0.15419735,0.00107198,0.33590530,0.24267846,0.00743904,0.24880412
-5.57378689,0.62493341,0.14829157,0.00100326,0.33042898,0.24103221,0.00760914,0.26467440
-5.56778389,0.63314931,0.14450682,0.00094401,0.32951099,0.24211743,0.00783001,0.28062106
-5.56178089,0.64647783,0.14296921,0.00089492,0.33350814,0.24608378,0.00810433,0.29650572
-5.55577789,0.66506753,0.14379889,0.00085661,0.34276539,0.25307626,0.00843476,0.31219382
-5.54977489,0.68905892,0.14710954,0.00082961,0.35761295,0.26323473,0.00882392,0.32755784
-5.54377189,0.71858479,0.15300751,0.00081437,0.37836253,0.27669267,0.00927431,0.34248007
-5.53776888,0.75376876,0.16159042,0.00081127,0.40530240,0.29357493,0.00978822,0.35685471
-5.53176588,0.79472174,0.17294514,0.00082057,0.43869134,0.31399473,0.01036769,0.37058918
-5.52576288,0.84153631,0.18714524,0.00084246,0.47875139,0.33804953,0.01101431,0.38360468
-5.51975988,0.89427910,0.20424790,0.00087702,0.52565957,0.36581621,0.01172918,0.39583593
-5.51375688,0.95298138,0.22429039,0.00092421,0.57953862,0.39734536,0.01251275,0.40723003
-5.50775388,1.01762821,0.24728607,0.00098392,0.64044717,0.43265512,0.01336470,0.41774488
-5.50175088,1.08814667,0.27322032,0.00105588,0.70836954,0.47172463,0.01428382,0.42734688
-5.49574787,1.16439367,0.30204625,0.00113972,0.78320555,0.51448750,0.01526790,0.43600857
-5.48974487,1.24614414,0.33368061,0.00123494,0.86476081,0.56082546,0.01631363,0.44370604
-5.48374187,1.33308011,0.36800002,0.00134091,0.95273802,0.61056275,0.01741653,0.45041657
-5.47773887,1.42478150,0.40483766,0.00145687,1.04672950,0.66346132,0.01857088,0.45611668
-5.47173587,1.52071924,0.44398079,0.00158190,1.14621177,0.71921742,0.01976972,0.46078067
-5.46573287,1.62025126,0.48516909,0.00171498,1.25054223,0.77745970,0.02100484,0.46437981
-5.45972986,1.72262189,0.52809425,0.00185492,1.35895869,0.83774917,0.02226684,0.46688237
