energy_ev,total_up,C_s_up,C_p_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,1.85403668,0.00021268,0.87442028,1.02129635,1.25851825,0.00089984,0.03058085
-5.99399700,1.80088369,0.00023660,0.85089200,0.99587542,1.22502809,0.00102786,0.02730795
-5.98799400,1.74188128,0.00027034,0.82380386,0.96625414,1.18626274,0.00120311,0.02449788
-5.98199100,1.67824446,0.00031427,0.79376176,0.93316692,1.14310515,0.00142955,0.02212608
-5.97598799,1.61134308,0.00036884,0.76144349,0.89743063,1.09654004,0.00171196,0.02016980
-5.96998499,1.54265795,0.00043458,0.72757746,0.85991852,1.04762289,0.00205587,0.01860859
-5.96398199,1.47373404,0.00051203,0.69292026,0.82153286,0.99744745,0.00246741,0.01742462
-5.95797899,1.40613272,0.00060172,0.65823404,0.78317724,0.94711300,0.00295319,0.01660274
-5.95197599,1.34138469,0.00070414,0.62426446,0.74572962,0.89769260,0.00352011,0.01613055
-5.94597299,1.28094521,0.00081961,0.59171998,0.71001690,0.85020331,0.00417518,0.01599820
-5.93996998,1.22615327,0.00094835,0.56125310,0.67679207,0.80557943,0.00492525,0.01619827
-5.93396698,1.17819577,0.00109032,0.53344423,0.64671441,0.76464948,0.00577683,0.01672552
-5.92796398,1.13807790,0.00124525,0.50878840,0.62033349,0.72811754,0.00673575,0.01757666
-5.92196098,1.10660044,0.00141257,0.48768531,0.59807730,0.69654940,0.00780698,0.01875022
-5.91595798,1.08434443,0.00159139,0.47043278,0.58024472,0.67036367,0.00899428,0.02024646
-5.90995498,1.07166349,0.00178047,0.45722356,0.56700248,0.64982785,0.01029995,0.02206742
-5.90395198,1.06868379,0.00197823,0.44814556,0.55838665,0.63505933,0.01172466,0.02421717
-5.89794897,1.07531143,0.00218273,0.44318518,0.55430819,0.62603092,0.01326712,0.02670213
-5.89194597,1.09124664,0.00239171,0.44223361,0.55456253,0.62258044,0.01492402,0.02953173
-5.88594297,1.11600434,0.00260263,0.44509552,0.55884258,0.62442404,0.01668987,0.03271912
-5.87993997,1.14894015,0.00281270,0.45150007,0.56675473,0.63117242,0.01855692,0.03628218
-5.87393697,1.18928082,0.00301896,0.46111348,0.57783709,0.64234939,0.02051528,0.04024463
-5.86793397,1.23615821,0.00321837,0.47355293,0.59157950,0.65741212,0.02255295,0.04463727
-5.86193097,1.28864540,0.00340788,0.48840115,0.60744448,0.67577225,0.02465603,0.04949935
-5.85592796,1.34579395,0.00358454,0.50522138,0.62488838,0.69681729,0.02680903,0.05487982
-5.84992496,1.40667084,0.00374562,0.52357212,0.64338208,0.71993150,0.02899517,0.06083864
-5.84392196,1.47039395,0.00388868,0.54302125,0.66243047,0.74451581,0.03119686,0.06744773
-5.83791896,1.53616476,0.00401168,0.56315914,0.68159002,0.77000592,0.03339609,0.07479181
-5.83191596,1.60329710,0.00411308,0.58361035,0.70048395,0.79588841,0.03557503,0.08296863
-5.82591296,1.67124094,0.00419192,0.60404358,0.71881433,0.82171412,0.03771645,0.09208882
-5.81990995,1.73960008,0.00424788,0.62417962,0.73637081,0.84710872,0.03980431,0.10227502
-5.81390695,1.80814328,0.00428130,0.64379714,0.75303564,0.87178002,0.04182417,0.11366027
-5.80790395,1.87680795,0.00429324,0.66273601,0.76878478,0.89552206,0.04376362,0.12638560
-5.80190095,1.94569628,0.00428545,0.68089834,0.78368516,0.91821583,0.04561258,0.14059672
-5.79589795,2.01506380,0.00426035,0.69824699,0.79788814,0.93982677,0.04736354,0.15643986
-5.78989495,2.08530038,0.00422102,0.71480187,0.81161944,0.96039913,0.04901163,0.17405675
-5.78389195,2.15690445,0.00417105,0.73063398,0.82516595,0.98004757,0.05055457,0.19357883
-5.77788894,2.23045104,0.00411454,0.74585757,0.83885991,0.99894619,0.05199251,0.21512079
-5.77188594,2.30655488,0.00405596,0.76062067,0.85306104,1.01731556,0.05332772,0.23877372
-5.76588294,2.38582966,0.00400001,0.77509432,0.86813734,1.03540808,0.05456413,0.26459792
-5.75987994,2.46884520,0.00395151,0.78946092,0.88444526,1.05349220,0.05570684,0.29261593
