energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
-6.00000000,3.16301998,0.02593987,0.44845386,2.15036684,0.60137247,0.80026104,0.00000000,1.26341074,0.00000000
-5.99399700,3.19293123,0.02731506,0.45589764,2.15661267,0.62630621,0.79561962,0.00000000,1.26257602,0.00000000
-5.98799400,3.21622409,0.02876819,0.46238523,2.15448830,0.65229655,0.78831019,0.00000000,1.25809888,0.00000000
-5.98199100,3.23418251,0.03031017,0.46803616,2.14454979,0.67958807,0.77870575,0.00000000,1.25057517,0.00000000
-5.97598799,3.24824375,0.03195078,0.47299634,2.12755912,0.70840832,0.76723171,0.00000000,1.24067621,0.00000000
-5.96998499,3.25993263,0.03369803,0.47743002,2.10445126,0.73895142,0.75434989,0.00000000,1.22912244,0.00000000
-5.96398199,3.27079145,0.03555733,0.48151086,2.07629458,0.77136207,0.74054132,0.00000000,1.21665520,0.00000000
-5.95797899,3.28230930,0.03753091,0.48541262,2.04424627,0.80572081,0.72628857,0.00000000,1.20400797,0.00000000
-5.95197599,3.29585444,0.03961721,0.48929994,2.00950534,0.84203170,0.71205854,0.00000000,1.19187855,0.00000000
-5.94597299,3.31261335,0.04181051,0.49331979,1.97326543,0.88021300,0.69828640,0.00000000,1.18090342,0.00000000
-5.93996998,3.33353975,0.04410066,0.49759411,1.93666992,0.92009178,0.68536151,0.00000000,1.17163555,0.00000000
-5.93396698,3.35931616,0.04647305,0.50221394,1.90077136,0.96140303,0.67361593,0.00000000,1.16452671,0.00000000
-5.92796398,3.39033013,0.04890875,0.50723547,1.86649707,1.00379345,0.66331585,0.00000000,1.15991505,0.00000000
-5.92196098,3.42666615,0.05138491,0.51267814,1.83462243,1.04683008,0.65465646,0.00000000,1.15801838,0.00000000
-5.91595798,3.46811335,0.05387532,0.51852487,1.80575257,1.09001358,0.64776016,0.00000000,1.15893337,0.00000000
-5.90995498,3.51418831,0.05635114,0.52472430,1.78031303,1.13279546,0.64267808,0.00000000,1.16264041,0.00000000
-5.90395198,3.56417112,0.05878180,0.53119491,1.75854906,1.17459871,0.63939477,0.00000000,1.16901367,0.00000000
-5.89794897,3.61715239,0.06113598,0.53783055,1.74053303,1.21484062,0.63783536,0.00000000,1.17783547,0.00000000
-5.89194597,3.67208796,0.06338268,0.54450715,1.72617878,1.25295672,0.63787497,0.00000000,1.18881413,0.00000000
-5.88594297,3.72785780,0.06549224,0.55108996,1.71526157,1.28842455,0.63934940,0.00000000,1.20160392,0.00000000
-5.87993997,3.78332562,0.06743732,0.55744091,1.70744192,1.32078592,0.64206665,0.00000000,1.21582598,0.00000000
-5.87393697,3.83739545,0.06919381,0.56342564,1.70229173,1.34966657,0.64581849,0.00000000,1.23108885,0.00000000
-5.86793397,3.88906195,0.07074162,0.56891967,1.69932092,1.37479202,0.65039140,0.00000000,1.24700762,0.00000000
-5.86193097,3.93745200,0.07206521,0.57381351,1.69800305,1.39599888,0.65557641,0.00000000,1.26322050,0.00000000
-5.85592796,3.98185531,0.07315406,0.57801630,1.69779875,1.41324103,0.66117732,0.00000000,1.27940212,0.00000000
-5.84992496,4.02174319,0.07400286,0.58145795,1.69817578,1.42659042,0.66701703,0.00000000,1.29527308,0.00000000
-5.84392196,4.05677511,0.07461152,0.58408988,1.69862532,1.43623263,0.67294181,0.00000000,1.31060546,0.00000000
-5.83791896,4.08679375,0.07498506,0.58588422,1.69867403,1.44245753,0.67882363,0.00000000,1.32522438,0.00000000
-5.83191596,4.11180993,0.07513330,0.58683195,1.69789220,1.44564580,0.68456042,0.00000000,1.33900596,0.00000000
-5.82591296,4.13197947,0.07507045,0.58694012,1.69589811,1.44625221,0.69007484,0.00000000,1.35187227,0.00000000
-5.81990995,4.14757450,0.07481463,0.58622862,1.69235951,1.44478675,0.69531175,0.00000000,1.36378396,0.00000000
-5.81390695,4.15895195,0.07438734,0.58472670,1.68699283,1.44179475,0.70023470,0.00000000,1.37473148,0.00000000
-5.80790395,4.16652187,0.07381287,0.58246979,1.67956107,1.43783714,0.70482220,0.00000000,1.38472576,0.00000000
-5.80190095,4.17071821,0.07311780,0.57949677,1.66987116,1.43347191,0.70906377,0.00000000,1.39378927,0.00000000
-5.79589795,4.17197399,0.07233044,0.57584801,1.65777169,1.42923758,0.71295651,0.00000000,1.40194807,0.00000000
-5.78989495,4.17070244,0.07148035,0.57156425,1.64315135,1.42563943,0.71650227,0.00000000,1.40922563,0.00000000
-5.78389195,4.16728505,0.07059789,0.56668647,1.62593879,1.42313878,0.71970570,0.00000000,1.41563869,0.00000000
-5.77788894,4.16206649,0.06971377,0.56125657,1.60610388,1.42214547,0.72257326,0.00000000,1.42119541,0.00000000
-5.77188594,4.15535606,0.06885864,0.55531878,1.58366034,1.42301335,0.72511322,0.00000000,1.42589573,0.00000000
-5.76588294,4.14743446,0.06806266,0.54892155,1.55866966,1.42603846,0.72733651,0.00000000,1.42973378,0.00000000
-5.75987994,4.13856440,0.06735505,0.54211967,1.53124566,1.43145926,0.72925828,0.00000000,1.43270190,0.00000000
-5.75387694,4.12900313,0.06676354,0.53497631,1.50155935,1.43945828,0.73089990,0.00000000,1.43479569,0.00000000
-5.74787394,4.11901511,0.06631388,0.52756455,1.46984338,1.45016446,0.73229118,0.00000000,1.43601964,0.00000000
-5.74187094,4.10888279,0.06602919,0.51996841,1.43639556,1.46365557,0.73347252,0.00000000,1.43639265,0.00000000
-5.73586793,4.09891406,0.06592929,0.51228289,1.40158076,1.47995999,0.73449669,0.00000000,1.43595286,0.00000000
-5.72986493,4.08944519,0.06602999,0.50461299,1.36583092,1.49905769,0.73543018,0.00000000,1.43476147,0.00000000
-5.72386193,4.08083856,0.06634238,0.49707174,1.32964258,1.52087995,0.73635377,0.00000000,1.43290504,0.00000000
-5.71785893,4.07347510,0.06687210,0.48977715,1.29357199,1.54530807,0.73736238,0.00000000,1.43049615,0.00000000
-5.71185593,4.06774181,0.06761874,0.48284829,1.25822748,1.57217119,0.73856414,0.00000000,1.42767242,0.00000000
-5.70585293,4.06401546,0.06857528,0.47640072,1.22425950,1.60124363,0.74007866,0.00000000,1.42459390,0.00000000
-5.69984992,4.06264355,0.06972771,0.47054155,1.19234824,1.63224249,0.74203470,0.00000000,1.42143906,0.00000000
-5.69384692,4.06392441,0.07105489,0.46536443,1.16318950,1.66482597,0.74456723,0.00000000,1.41839973,0.00000000
-5.68784392,4.06808793,0.07252854,0.46094482,1.13747897,1.69859325,0.74781415,0.00000000,1.41567535,0.00000000
-5.68184092,4.07527876,0.07411365,0.45733588,1.11589555,1.73308658,0.75191277,0.00000000,1.41346679,0.00000000
-5.67583792,4.08554338,0.07576898,0.45456531,1.09908427,1.76779597,0.75699621,0.00000000,1.41197030,0.00000000
-5.66983492,4.09882236,0.07744805,0.45263329,1.08763920,1.80216702,0.76318981,0.00000000,1.41137174,0.00000000
-5.66383192,4.11494850,0.07910018,0.45151186,1.08208698,1.83561189,0.77060774,0.00000000,1.41184139,0.00000000
-5.65782891,4.13365132,0.08067192,0.45114557,1.08287144,1.86752332,0.77934986,0.00000000,1.41352961,0.00000000
-5.65182591,4.15456773,0.08210862,0.45145372,1.09033977,1.89729148,0.78949881,0.00000000,1.41656328,0.00000000
-5.64582291,4.17725831,0.08335606,0.45233383,1.10473066,1.92432288,0.80111751,0.00000000,1.42104316,0.00000000
-5.63981991,4.20122833,0.08436226,0.45366632,1.12616490,1.94806065,0.81424699,0.00000000,1.42704220,0.00000000
-5.63381691,4.22595225,0.08507914,0.45532014,1.15463865,1.96800525,0.82890458,0.00000000,1.43460451,0.00000000
-5.62781391,4.25090020,0.08546420,0.45715899,1.19001977,1.98373462,0.84508257,0.00000000,1.44374517,0.00000000
-5.62181091,4.27556490,0.08548195,0.45904797,1.23204744,1.99492254,0.86274724,0.00000000,1.45445053,0.00000000
-5.61580790,4.29948760,0.08510518,0.46086004,1.28033519,2.00135443,0.88183841,0.00000000,1.46667911,0.00000000
-5.60980490,4.32228132,0.08431587,0.46248231,1.33437740,2.00293943,0.90226942,0.00000000,1.48036290,0.00000000
-5.60380190,4.34365044,0.08310581,0.46382152,1.39355920,1.99971825,0.92392774,0.00000000,1.49540903,0.00000000
-5.59779890,4.36340527,0.08147685,0.46480860,1.45716961,1.99186599,0.94667598,0.00000000,1.51170176,0.00000000
-5.59179590,4.38147104,0.07944083,0.46540208,1.52441751,1.97968978,0.97035367,0.00000000,1.52910470,0.00000000
-5.58579290,4.39789065,0.07701905,0.46559009,1.59444997,1.96362115,0.99477932,0.00000000,1.54746334,0.00000000
-5.57978989,4.41282104,0.07424154,0.46539092,1.66637232,1.94420317,1.01975319,0.00000000,1.56660758,0.00000000
-5.57378689,4.42652315,0.07114592,0.46485203,1.73926910,1.92207298,1.04506023,0.00000000,1.58635438,0.00000000
-5.56778389,4.43934590,0.06777613,0.46404760,1.81222516,1.89794012,1.07047343,0.00000000,1.60651033,0.00000000
-5.56178089,4.45170450,0.06418095,0.46307469,1.88434593,1.87256164,1.09575722,0.00000000,1.62687399,0.00000000
