energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.30695364,0.03831858,0.00000000,0.00992617,0.16441076,0.01289158,2.12887940,1.62200581,0.41934972
-5.99399700,3.20289263,0.03734700,0.00000000,0.01005987,0.15864431,0.01237001,2.06371998,1.56634803,0.40536432
-5.98799400,3.08831610,0.03623140,0.00000000,0.01015833,0.15256720,0.01182386,1.99156865,1.50416726,0.39033321
-5.98199100,2.96502614,0.03499107,0.00000000,0.01021998,0.14626648,0.01126270,1.91359017,1.43644206,0.37448020
-5.97598799,2.83493381,0.03364682,0.00000000,0.01024400,0.13983661,0.01069622,1.83101622,1.36422139,0.35804338
-5.96998499,2.70000738,0.03222037,0.00000000,0.01023033,0.13337505,0.01013394,1.74511391,1.28859687,0.34126774
-5.96398199,2.56222200,0.03073381,0.00000000,0.01017970,0.12697818,0.00958507,1.65715502,1.21067529,0.32439803
-5.95797899,2.42351241,0.02920906,0.00000000,0.01009363,0.12073755,0.00905831,1.56838691,1.13155237,0.30767219
-5.95197599,2.28573006,0.02766733,0.00000000,0.00997444,0.11473667,0.00856168,1.48000603,1.05228848,0.29131538
-5.94597299,2.15060567,0.02612869,0.00000000,0.00982519,0.10904845,0.00810246,1.39313457,0.97388716,0.27553488
-5.93996998,2.01971802,0.02461170,0.00000000,0.00964963,0.10373326,0.00768704,1.30880077,0.89727670,0.26051595
-5.93396698,1.89446950,0.02313306,0.00000000,0.00945211,0.09883767,0.00732087,1.22792335,0.82329536,0.24641863
-5.92796398,1.77606852,0.02170742,0.00000000,0.00923749,0.09439396,0.00700844,1.15129998,0.75268021,0.23337559
-5.92196098,1.66551868,0.02034721,0.00000000,0.00901098,0.09042017,0.00675324,1.07959982,0.68605971,0.22149100
-5.91595798,1.56361421,0.01906257,0.00000000,0.00877802,0.08692089,0.00655776,1.01335997,0.62394981,0.21084027
-5.90995498,1.47094120,0.01786135,0.00000000,0.00854412,0.08388840,0.00642352,0.95298534,0.56675334,0.20147065
-5.90395198,1.38788372,0.01674920,0.00000000,0.00831465,0.08130434,0.00635106,0.89875168,0.51476230,0.19340255
-5.89794897,1.31463399,0.01572965,0.00000000,0.00809471,0.07914160,0.00633995,0.85081100,0.46816259,0.18663142
-5.89194597,1.25120572,0.01480428,0.00000000,0.00788894,0.07736645,0.00638888,0.80919908,0.42704085,0.18113003
-5.88594297,1.19744968,0.01397293,0.00000000,0.00770133,0.07594068,0.00649562,0.77384438,0.39139270,0.17685110
-5.87993997,1.15307059,0.01323388,0.00000000,0.00753513,0.07482373,0.00665708,0.74457795,0.36113213,0.17373001
-5.87393697,1.11764485,0.01258408,0.00000000,0.00739270,0.07397476,0.00686934,0.72114382,0.33610152,0.17168763
-5.86793397,1.09063824,0.01201935,0.00000000,0.00727541,0.07335442,0.00712765,0.70320962,0.31608195,0.17063303
-5.86193097,1.07142344,0.01153462,0.00000000,0.00718359,0.07292648,0.00742654,0.69037711,0.30080343,0.17046616
-5.85592796,1.05929684,0.01112406,0.00000000,0.00711654,0.07265908,0.00775980,0.68219254,0.28995497,0.17108026
-5.84992496,1.05349481,0.01078132,0.00000000,0.00707251,0.07252581,0.00812056,0.67815664,0.28319407,0.17236423
-5.84392196,1.05320910,0.01049961,0.00000000,0.00704877,0.07250636,0.00850143,0.67773445,0.28015578,0.17420475
-5.83791896,1.05760179,0.01027191,0.00000000,0.00704174,0.07258699,0.00889453,0.68036484,0.28046101,0.17648828
-5.83191596,1.06581957,0.01009102,0.00000000,0.00704710,0.07276065,0.00929166,0.68546987,0.28372427,0.17910288
-5.82591296,1.07700772,0.00994971,0.00000000,0.00705996,0.07302698,0.00968442,0.69246421,0.28956063,0.18194001
-5.81990995,1.09032383,0.00984079,0.00000000,0.00707508,0.07339199,0.01006441,0.70076442,0.29759208,0.18489619
-5.81390695,1.10495118,0.00975717,0.00000000,0.00708701,0.07386760,0.01042340,0.70979838,0.30745313,0.18787453
-5.80790395,1.12011193,0.00969197,0.00000000,0.00709036,0.07447105,0.01075350,0.71901467,0.31879584,0.19078631
-5.80190095,1.13507971,0.00963860,0.00000000,0.00708002,0.07522416,0.01104741,0.72789186,0.33129402,0.19355227
-5.79589795,1.14919172,0.00959077,0.00000000,0.00705127,0.07615238,0.01129859,0.73594757,0.34464675,0.19610396
-5.78989495,1.16185967,0.00954264,0.00000000,0.00700008,0.07728386,0.01150142,0.74274709,0.35858124,0.19838468
-5.78389195,1.17257943,0.00948886,0.00000000,0.00692317,0.07864827,0.01165140,0.74791128,0.37285468,0.20035038
-5.77788894,1.18093895,0.00942462,0.00000000,0.00681816,0.08027559,0.01174526,0.75112349,0.38725547,0.20197007
-5.77188594,1.18662397,0.00934576,0.00000000,0.00668364,0.08219479,0.01178106,0.75213524,0.40160342,0.20322601
-5.76588294,1.18942142,0.00924882,0.00000000,0.00651925,0.08443238,0.01175820,0.75077037,0.41574921,0.20411343
-5.75987994,1.18922002,0.00913107,0.00000000,0.00632563,0.08701096,0.01167746,0.74692753,0.42957288,0.20463988
-5.75387694,1.18600821,0.00899061,0.00000000,0.00610441,0.08994770,0.01154094,0.74058076,0.44298174,0.20482411
-5.74787394,1.17986929,0.00882633,0.00000000,0.00585814,0.09325296,0.01135193,0.73177822,0.45590740,0.20469465
-5.74187094,1.17097402,0.00863802,0.00000000,0.00559018,0.09692886,0.01111480,0.72063895,0.46830249,0.20428799
-5.73586793,1.15957102,0.00842626,0.00000000,0.00530460,0.10096815,0.01083479,0.70734798,0.48013695,0.20364660
-5.72986493,1.14597541,0.00819250,0.00000000,0.00500600,0.10535332,0.01051783,0.69214983,0.49139422,0.20281674
-5.72386193,1.13055624,0.00793894,0.00000000,0.00469942,0.11005597,0.01017029,0.67534070,0.50206763,0.20184632
-5.71785893,1.11372333,0.00766853,0.00000000,0.00439013,0.11503670,0.00979878,0.65725975,0.51215709,0.20078286
-5.71185593,1.09591420,0.00738486,0.00000000,0.00408353,0.12024538,0.00940986,0.63827979,0.52166642,0.19967165
-5.70585293,1.07758169,0.00709210,0.00000000,0.00378502,0.12562203,0.00900992,0.61879771,0.53060141,0.19855431
-5.69984992,1.05918268,0.00679487,0.00000000,0.00349985,0.13109814,0.00860491,0.59922502,0.53896881,0.19746771
-5.69384692,1.04116856,0.00649816,0.00000000,0.00323304,0.13659860,0.00820024,0.57997884,0.54677634,0.19644350
-5.68784392,1.02397745,0.00620717,0.00000000,0.00298932,0.14204404,0.00780067,0.56147350,0.55403358,0.19550799
-5.68184092,1.00802857,0.00592726,0.00000000,0.00277302,0.14735363,0.00741021,0.54411304,0.56075387,0.19468271
-5.67583792,0.99371845,0.00566378,0.00000000,0.00258812,0.15244814,0.00703213,0.52828456,0.56695684,0.19398527
-5.66983492,0.98141896,0.00542197,0.00000000,0.00243814,0.15725317,0.00666896,0.51435258,0.57267146,0.19343066
-5.66383192,0.97147670,0.00520687,0.00000000,0.00232621,0.16170236,0.00632252,0.50265433,0.57793933,0.19303276
-5.65782891,0.96421343,0.00502321,0.00000000,0.00225505,0.16574051,0.00599408,0.49349583,0.58281779,0.19280604
-5.65182591,0.95992699,0.00487529,0.00000000,0.00222699,0.16932627,0.00568437,0.48714870,0.58738264,0.19276710
-5.64582291,0.95889224,0.00476697,0.00000000,0.00224405,0.17243446,0.00539378,0.48384757,0.59173002,0.19293615
-5.63981991,0.96136161,0.00470153,0.00000000,0.00230791,0.17505766,0.00512246,0.48378788,0.59597728,0.19333815
-5.63381691,0.96756483,0.00468165,0.00000000,0.00241999,0.17720720,0.00487043,0.48712413,0.60026257,0.19400351
-5.62781391,0.97770775,0.00470937,0.00000000,0.00258148,0.17891322,0.00463774,0.49396834,0.60474304,0.19496831
-5.62181091,0.99196999,0.00478603,0.00000000,0.00279340,0.18022399,0.00442452,0.50438890,0.60959157,0.19627403
-5.61580790,1.01050151,0.00491229,0.00000000,0.00305658,0.18120442,0.00423110,0.51840965,0.61499221,0.19796669
-5.60980490,1.03341844,0.00508809,0.00000000,0.00337174,0.18193378,0.00405802,0.53600950,0.62113436,0.20009550
-5.60380190,1.06079817,0.00531268,0.00000000,0.00373949,0.18250276,0.00390609,0.55712253,0.62820608,0.20271104
-5.59779890,1.09267444,0.00558462,0.00000000,0.00416035,0.18301006,0.00377636,0.58163874,0.63638675,0.20586320
-5.59179590,1.12903259,0.00590184,0.00000000,0.00463476,0.18355859,0.00367012,0.60940565,0.64583957,0.20959879
-5.58579290,1.16980552,0.00626167,0.00000000,0.00516307,0.18425144,0.00358878,0.64023076,0.65670420,0.21395912
-5.57978989,1.21487070,0.00666090,0.00000000,0.00574554,0.18518788,0.00353387,0.67388493,0.66908996,0.21897759
-5.57378689,1.26404864,0.00709585,0.00000000,0.00638230,0.18645952,0.00350688,0.71010670,0.68307002,0.22467752
-5.56778389,1.31710279,0.00756244,0.00000000,0.00707331,0.18814675,0.00350919,0.74860737,0.69867675,0.23107017
-5.56178089,1.37374109,0.00805628,0.00000000,0.00781830,0.19031569,0.00354195,0.78907677,0.71589852,0.23815317
-5.55577789,1.43361897,0.00857274,0.00000000,0.00861670,0.19301566,0.00360597,0.83118933,0.73467808,0.24590942
-5.54977489,1.49634366,0.00910704,0.00000000,0.00946754,0.19627731,0.00370162,0.87461025,0.75491250,0.25430638
-5.54377189,1.56147930,0.00965432,0.00000000,0.01036934,0.20011142,0.00382870,0.91900136,0.77645460,0.26329589
-5.53776888,1.62855265,0.01020974,0.00000000,0.01131998,0.20450843,0.00398643,0.96402635,0.79911579,0.27281440
-5.53176588,1.69705879,0.01076848,0.00000000,0.01231657,0.20943860,0.00417333,1.00935497,0.82267006,0.28278363
-5.52576288,1.76646648,0.01132584,0.00000000,0.01335529,0.21485285,0.00438720,1.05466605,0.84685881,0.29311161
-5.51975988,1.83622284,0.01187726,0.00000000,0.01443130,0.22068406,0.00462513,1.09964893,0.87139636,0.30369396
-5.51375688,1.90575702,0.01241832,0.00000000,0.01553855,0.22684900,0.00488349,1.14400349,0.89597578,0.31441549
-5.50775388,1.97448289,0.01294477,0.00000000,0.01666974,0.23325049,0.00515799,1.18743862,0.92027476,0.32515187
-5.50175088,2.04180070,0.01345251,0.00000000,0.01781618,0.23977996,0.00544376,1.22966942,0.94396142,0.33577152
-5.49574787,2.10709802,0.01393755,0.00000000,0.01896783,0.24632018,0.00573541,1.27041336,0.96669981,0.34613752
-5.48974487,2.16975016,0.01439604,0.00000000,0.02011329,0.25274802,0.00602718,1.30938594,0.98815499,0.35610962
-5.48374187,2.22912082,0.01482421,0.00000000,0.02123989,0.25893740,0.00631309,1.34629626,1.00799778,0.36554622
-5.47773887,2.28456314,0.01521836,0.00000000,0.02233384,0.26476204,0.00658703,1.38084305,1.02590899,0.37430649
-5.47173587,2.33542212,0.01557483,0.00000000,0.02338047,0.27009819,0.00684300,1.41271184,1.04158339,0.38225238
