energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,2.97845303,0.81855871,0.48120552,0.00876914,0.15344748,0.98735582,1.49255495,1.24402348,0.00000000
-5.99399700,3.05908872,0.84475146,0.49664379,0.00921487,0.15570089,1.01682947,1.53059440,1.27996954,0.00000000
-5.98799400,3.14191568,0.86999193,0.51215119,0.00968385,0.15816497,1.04554062,1.57090077,1.31560884,0.00000000
-5.98199100,3.22572576,0.89397625,0.52754509,0.01017303,0.16074980,1.07310412,1.61288514,1.35046255,0.00000000
-5.97598799,3.30929929,0.91642302,0.54263478,0.01067857,0.16336776,1.09914470,1.65594199,1.38405756,0.00000000
-5.96998499,3.39141428,0.93707748,0.55722282,0.01119583,0.16593523,1.12330392,1.69945043,1.41593165,0.00000000
-5.96398199,3.47085618,0.95571513,0.57110702,0.01171930,0.16837412,1.14524714,1.74277569,1.44563889,0.00000000
-5.95797899,3.54642873,0.97214472,0.58408333,0.01224260,0.17061329,1.16467037,1.78527122,1.47275515,0.00000000
-5.95197599,3.61696634,0.98621068,0.59594942,0.01275858,0.17258968,1.18130677,1.82628201,1.49688395,0.00000000
-5.94597299,3.68134809,0.99779484,0.60650889,0.01325935,0.17424930,1.19493265,1.86514950,1.51766241,0.00000000
-5.93996998,3.73851350,1.00681760,0.61557606,0.01373647,0.17554791,1.20537276,1.90121825,1.53476734,0.00000000
-5.93396698,3.78747993,1.01323836,0.62298105,0.01418116,0.17645150,1.21250472,1.93384458,1.54792139,0.00000000
-5.92796398,3.82736116,1.01705539,0.62857496,0.01458453,0.17693656,1.21626244,1.96240713,1.55689895,0.00000000
-5.92196098,3.85738666,1.01830510,0.63223489,0.01493783,0.17699000,1.21663834,1.98631897,1.56153173,0.00000000
-5.91595798,3.87692084,1.01706076,0.63386857,0.01523278,0.17660903,1.21368437,2.00504111,1.56171374,0.00000000
-5.90995498,3.88548137,1.01343069,0.63341826,0.01546185,0.17580064,1.20751170,2.01809674,1.55740533,0.00000000
-5.90395198,3.88275578,1.00755595,0.63086384,0.01561857,0.17458106,1.19828902,2.02508555,1.54863623,0.00000000
-5.89794897,3.86861526,0.99960766,0.62622470,0.01569776,0.17297493,1.18623952,2.02569762,1.53550718,0.00000000
-5.89194597,3.84312486,0.98978387,0.61956054,0.01569580,0.17101437,1.17163657,2.01972584,1.51819005,0.00000000
-5.88594297,3.80654919,0.97830597,0.61097071,0.01561077,0.16873798,1.15479813,2.00707650,1.49692628,0.00000000
-5.87993997,3.75935310,0.96541491,0.60059232,0.01544262,0.16618966,1.13608002,1.98777703,1.47202346,0.00000000
-5.87393697,3.70219666,0.95136691,0.58859696,0.01519313,0.16341740,1.11586815,1.96198058,1.44385020,0.00000000
-5.86793397,3.63592432,0.93642892,0.57518636,0.01486594,0.16047204,1.09456988,1.92996686,1.41282904,0.00000000
-5.86193097,3.56154826,0.92087379,0.56058685,0.01446646,0.15740591,1.07260474,1.89213898,1.37942782,0.00000000
-5.85592796,3.48022608,0.90497514,0.54504315,0.01400163,0.15427157,1.05039453,1.84901629,1.34414943,0.00000000
-5.84992496,3.39323338,0.88900200,0.52881143,0.01347976,0.15112048,1.02835323,1.80122318,1.30752031,0.00000000
-5.84392196,3.30193207,0.87321332,0.51215212,0.01291019,0.14800176,1.00687680,1.74947416,1.27007797,0.00000000
-5.83791896,3.20773529,0.85785236,0.49532264,0.01230301,0.14496090,0.98633321,1.69455585,1.23235791,0.00000000
