energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.47721890,0.00653686,0.13801393,0.00902621,0.07183110,0.22215030,0.13022185
-5.99399700,0.52745660,0.00709379,0.15269703,0.00979914,0.07918230,0.24640011,0.14367594
-5.98799400,0.57909950,0.00764300,0.16781745,0.01056353,0.08670122,0.27147512,0.15746179
-5.98199100,0.63156049,0.00817575,0.18320632,0.01130716,0.09429843,0.29710752,0.17141777
-5.97598799,0.68418208,0.00868304,0.19867355,0.01201751,0.10187504,0.32299180,0.18536444
-5.96998499,0.73624829,0.00915589,0.21401119,0.01268205,0.10932464,0.34878976,0.19910802
-5.96398199,0.78699977,0.00958559,0.22899775,0.01328861,0.11653569,0.37413708,0.21244462
-5.95797899,0.83565181,0.00996399,0.24340334,0.01382580,0.12339431,0.39865149,0.22516524
-5.95197599,0.88141463,0.01028379,0.25699554,0.01428336,0.12978729,0.42194211,0.23706133
-5.94597299,0.92351541,0.01053880,0.26954588,0.01465253,0.13560545,0.44361994,0.24793074
-5.93996998,0.96122128,0.01072421,0.28083649,0.01492643,0.14074687,0.46330896,0.25758387
-5.93396698,0.99386238,0.01083673,0.29066697,0.01510030,0.14512030,0.48065745,0.26584977
-5.92796398,1.02085414,0.01087482,0.29886099,0.01517177,0.14864819,0.49534925,0.27258199
-5.92196098,1.04171790,0.01083877,0.30527245,0.01514101,0.15126960,0.50711435,0.27766382
-5.91595798,1.05609900,0.01073076,0.30979093,0.01501083,0.15294258,0.51573840,0.28101300
-5.90995498,1.06378165,0.01055484,0.31234625,0.01478670,0.15364611,0.52107084,0.28258528
-5.90395198,1.06469991,0.01031692,0.31291190,0.01447669,0.15338145,0.52303115,0.28237715
-5.89794897,1.05894430,0.01002461,0.31150711,0.01409136,0.15217279,0.52161308,0.28042725
-5.89194597,1.04676390,0.00968712,0.30819772,0.01364355,0.15006737,0.51688656,0.27681657
-5.88594297,1.02856361,0.00931500,0.30309555,0.01314817,0.14713481,0.50899727,0.27166754
