k_distance,band,energy_ev
0.00000000,0,-68.29986646
0.00000000,1,-68.26216777
0.00000000,2,-35.25827981
0.00000000,3,-34.91274105
0.00000000,4,-34.91267820
0.00000000,5,-34.84173134
0.00000000,6,-34.84168301
0.00000000,7,-34.81682397
0.00000000,8,-14.52327523
0.00000000,9,-13.59222533
0.00000000,10,-11.86529623
0.00000000,11,-6.82899276
0.00000000,12,-4.71865647
0.00000000,13,-4.71864541
0.00000000,14,-4.56342948
0.00000000,15,-2.05083888
0.00000000,16,-2.05079471
0.00000000,17,-0.90832566
0.00000000,18,-0.54183602
0.00000000,19,-0.54162308
0.00000000,20,-0.08969320
0.00000000,21,-0.04036051
0.00000000,22,-0.04027226
0.00000000,23,1.97690620
0.00000000,24,1.97699053
0.00000000,25,2.27286781
0.00000000,26,3.17046293
0.00000000,27,3.17058104
0.00000000,28,4.85128398
0.00000000,29,6.94925560
0.01785714,0,-68.29978330
0.01785714,1,-68.26213767
0.01785714,2,-35.25793563
0.01785714,3,-34.91451122
0.01785714,4,-34.91318422
0.01785714,5,-34.84270682
0.01785714,6,-34.84184371
0.01785714,7,-34.81630629
0.01785714,8,-14.51762962
0.01785714,9,-13.58878592
0.01785714,10,-11.86467210
0.01785714,11,-6.82214023
0.01785714,12,-4.79875569
0.01785714,13,-4.71561089
0.01785714,14,-4.48259710
0.01785714,15,-2.08072099
0.01785714,16,-2.04971319
0.01785714,17,-0.90373717
0.01785714,18,-0.59198758
0.01785714,19,-0.58456086
0.01785714,20,-0.15022018
0.01785714,21,-0.00025086
0.01785714,22,0.04618844
0.01785714,23,1.97453448
0.01785714,24,1.98360980
0.01785714,25,2.29130810
0.01785714,26,3.16850905
0.01785714,27,3.17163102
0.01785714,28,4.87012306
0.01785714,29,6.90716028
0.03571429,0,-68.29953697
0.03571429,1,-68.26204302
0.03571429,2,-35.25690461
0.03571429,3,-34.91984971
0.03571429,4,-34.91449595
0.03571429,5,-34.84577256
0.03571429,6,-34.84217578
0.03571429,7,-34.81488310
