energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,2.44959759,0.00099173,0.61624164,1.07349805,1.17836808,0.02895226,0.53536105
-5.99399700,2.49082375,0.00105185,0.62814361,1.10083117,1.20276820,0.02836448,0.54453786
-5.98799400,2.52904646,0.00110915,0.64013907,1.12658808,1.22695497,0.02769725,0.55196431
-5.98199100,2.56361354,0.00116259,0.65205175,1.15040333,1.25061868,0.02695136,0.55748541
-5.97598799,2.59387780,0.00121120,0.66369460,1.17192336,1.27342788,0.02612886,0.56096096
-5.96998499,2.61920394,0.00125400,0.67486980,1.19080985,1.29502990,0.02523314,0.56227019
-5.96398199,2.63897725,0.00129013,0.68536951,1.20674333,1.31505284,0.02426894,0.56131641
-5.95797899,2.65261373,0.00131879,0.69497749,1.21942750,1.33310936,0.02324233,0.55803143
-5.95197599,2.65957167,0.00133934,0.70347172,1.22859377,1.34880215,0.02216061,0.55237957
-5.94597299,2.65936418,0.00135128,0.71062785,1.23400624,1.36173102,0.02103220,0.54436088
-5.93996998,2.65157216,0.00135429,0.71622358,1.23546678,1.37150164,0.01986647,0.53401356
-5.93396698,2.63585752,0.00134822,0.72004381,1.23282015,1.37773537,0.01867350,0.52141518
-5.92796398,2.61197561,0.00133315,0.72188635,1.22595884,1.38008014,0.01746388,0.50668280
-5.92196098,2.57978683,0.00130931,0.72156799,1.21482759,1.37822178,0.01624843,0.48997173
-5.91595798,2.53926651,0.00127717,0.71893070,1.19942728,1.37189533,0.01503795,0.47147321
-5.90995498,2.49051276,0.00123732,0.71384769,1.17981800,1.36089598,0.01384298,0.45141075
-5.90395198,2.43375189,0.00119055,0.70622899,1.15612127,1.34508898,0.01267357,0.43003568
-5.89794897,2.36934104,0.00113775,0.69602632,1.12852111,1.32441819,0.01153902,0.40762174
-5.89194597,2.29776791,0.00107995,0.68323706,1.09726395,1.29891273,0.01044779,0.38445924
-5.88594297,2.21964744,0.00101821,0.66790696,1.06265737,1.26869148,0.00940727,0.36084891
-5.87993997,2.13571556,0.00095366,0.65013155,1.02506755,1.23396515,0.00842377,0.33709570
-5.87393697,2.04682014,0.00088744,0.63005618,0.98491559,1.19503574,0.00750243,0.31350291
-5.86793397,1.95390935,0.00082067,0.60787454,0.94267266,1.15229342,0.00664721,0.29036673
-5.86193097,1.85801790,0.00075441,0.58382576,0.89885421,1.10621086,0.00586097,0.26797149
-5.85592796,1.76025150,0.00068970,0.55819023,0.85401324,1.05733526,0.00514549,0.24658576
-5.84992496,1.66176994,0.00062744,0.53128422,0.80873301,1.00627829,0.00450164,0.22645921
-5.84392196,1.56376935,0.00056847,0.50345361,0.76361913,0.95370439,0.00392948,0.20782050
-5.83791896,1.46746406,0.00051351,0.47506681,0.71929138,0.90031773,0.00342840,0.19087596
-5.83191596,1.37406843,0.00046318,0.44650733,0.67637542,0.84684844,0.00299733,0.17580904
-5.82591296,1.28477913,0.00041798,0.41816607,0.63549442,0.79403836,0.00263482,0.16278041
-5.81990995,1.20075800,0.00037830,0.39043368,0.59726089,0.74262685,0.00233927,0.15192849
-5.81390695,1.12311582,0.00034446,0.36369319,0.56226869,0.69333709,0.00210903,0.14337027
-5.80790395,1.05289710,0.00031665,0.33831310,0.53108537,0.64686299,0.00194251,0.13720217
-5.80190095,0.99106587,0.00029501,0.31464102,0.50424477,0.60385718,0.00183828,0.13350091
-5.79589795,0.93849256,0.00027961,0.29299800,0.48223995,0.56492009,0.00179513,0.13232397
-5.78989495,0.89594183,0.00027045,0.27367357,0.46551634,0.53059032,0.00181212,0.13370985
-5.78389195,0.86406131,0.00026751,0.25692149,0.45446518,0.50133624,0.00188853,0.13767771
-5.77788894,0.84337115,0.00027072,0.24295619,0.44941711,0.47754895,0.00202384,0.14422673
