energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,1.77590457,0.14896641,0.00000000,0.62957335,0.81221964,0.01250017,0.66825768
-5.99399700,1.77591677,0.15021504,0.00000000,0.62883751,0.81655639,0.01322566,0.66372528
-5.98799400,1.77363520,0.15141832,0.00000000,0.62765022,0.81998532,0.01396807,0.65817323
-5.98199100,1.76950773,0.15261399,0.00000000,0.62612377,0.82269436,0.01472277,0.65181748
-5.97598799,1.76401126,0.15383871,0.00000000,0.62437372,0.82488588,0.01548443,0.64488902
-5.96998499,1.75762659,0.15512551,0.00000000,0.62251249,0.82676503,0.01624690,0.63762388
-5.96398199,1.75081403,0.15650154,0.00000000,0.62064338,0.82852826,0.01700317,0.63025327
-5.95797899,1.74399119,0.15798599,0.00000000,0.61885504,0.83035275,0.01774534,0.62299442
-5.95197599,1.73751377,0.15958855,0.00000000,0.61721691,0.83238726,0.01846465,0.61604244
-5.94597299,1.73166057,0.16130832,0.00000000,0.61577583,0.83474492,0.01915160,0.60956374
-5.93996998,1.72662337,0.16313327,0.00000000,0.61455401,0.83749820,0.01979611,0.60369110
-5.93396698,1.72250208,0.16504038,0.00000000,0.61354866,0.84067655,0.02038771,0.59852076
-5.92796398,1.71930563,0.16699630,0.00000000,0.61273313,0.84426665,0.02091588,0.59411161
-5.92196098,1.71695826,0.16895866,0.00000000,0.61205976,0.84821534,0.02137029,0.59048640
-5.91595798,1.71531099,0.17087791,0.00000000,0.61146424,0.85243498,0.02174124,0.58763503
-5.90995498,1.71415761,0.17269949,0.00000000,0.61087121,0.85681111,0.02201992,0.58551953
-5.90395198,1.71325424,0.17436649,0.00000000,0.61020107,0.86121179,0.02219887,0.58408067
-5.89794897,1.71234149,0.17582234,0.00000000,0.60937734,0.86549821,0.02227225,0.58324558
-5.89194597,1.71116796,0.17701370,0.00000000,0.60833451,0.86953604,0.02223615,0.58293618
-5.88594297,1.70951374,0.17789320,0.00000000,0.60702571,0.87320668,0.02208888,0.58307789
-5.87993997,1.70721280,0.17842194,0.00000000,0.60542994,0.87641808,0.02183108,0.58360808
-5.87393697,1.70417292,0.17857174,0.00000000,0.60355839,0.87911424,0.02146588,0.58448392
-5.86793397,1.70039216,0.17832684,0.00000000,0.60145952,0.88128309,0.02099891,0.58568922
-5.86193097,1.69597096,0.17768517,0.00000000,0.59922257,0.88296223,0.02043819,0.58723972
-5.85592796,1.69111934,0.17665898,0.00000000,0.59697929,0.88424218,0.01979406,0.58918688
-5.84992496,1.68615862,0.17527486,0.00000000,0.59490381,0.88526701,0.01907890,0.59161961
-5.84392196,1.68151784,0.17357326,0.00000000,0.59321052,0.88623238,0.01830689,0.59466417
-5.83791896,1.67772487,0.17160731,0.00000000,0.59215014,0.88738095,0.01749368,0.59848206
-5.83191596,1.67539273,0.16944131,0.00000000,0.59200405,0.88899561,0.01665597,0.60326602
-5.82591296,1.67520192,0.16714871,0.00000000,0.59307718,0.89139066,0.01581118,0.60923446
-5.81990995,1.67787944,0.16480983,0.00000000,0.59568974,0.89490162,0.01497706,0.61662442
-5.81390695,1.68417566,0.16250944,0.00000000,0.60016813,0.89987406,0.01417125,0.62568351
-5.80790395,1.69484000,0.16033422,0.00000000,0.60683543,0.90665202,0.01341098,0.63666111
-5.80190095,1.71059652,0.15837033,0.00000000,0.61600186,0.91556659,0.01271270,0.64979930
-5.79589795,1.73212042,0.15670114,0.00000000,0.62795547,0.92692511,0.01209180,0.66532370
-5.78989495,1.76001626,0.15540514,0.00000000,0.64295346,0.94100146,0.01156238,0.68343475
-5.78389195,1.79479863,0.15455425,0.00000000,0.66121432,0.95802778,0.01113699,0.70429964
-5.77788894,1.83687589,0.15421243,0.00000000,0.68291096,0.97818780,0.01082652,0.72804509
-5.77188594,1.88653702,0.15443470,0.00000000,0.70816500,1.00161195,0.01064006,0.75475119
-5.76588294,1.94394206,0.15526649,0.00000000,0.73704213,1.02837418,0.01058477,0.78444641
-5.75987994,2.00911564,0.15674331,0.00000000,0.76954864,1.05849044,0.01066587,0.81710384
-5.75387694,2.08194367,0.15889074,0.00000000,0.80562898,1.09191854,0.01088656,0.85263860
-5.74787394,2.16217265,0.16172457,0.00000000,0.84516427,1.12855919,0.01124802,0.89090649
-5.74187094,2.24941131,0.16525111,0.00000000,0.88797161,1.16825781,0.01174941,0.93170367
-5.73586793,2.34313401,0.16946753,0.00000000,0.93380421,1.21080690,0.01238782,0.97476746
-5.72986493,2.44268564,0.17436216,0.00000000,0.98235206,1.25594864,0.01315838,1.01977803
-5.72386193,2.54728761,0.17991480,0.00000000,1.03324338,1.30337747,0.01405419,1.06636108
