energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.13190848,0.00030655,0.06857682,0.00132075,0.00646957,0.02596873,0.06291830
-5.99399700,0.12391959,0.00030519,0.06483175,0.00122314,0.00598694,0.02461573,0.05937652
-5.98799400,0.11834171,0.00031704,0.06231957,0.00112819,0.00576443,0.02388235,0.05690010
-5.98199100,0.11526360,0.00034268,0.06110092,0.00103617,0.00580343,0.02379504,0.05554270
-5.97598799,0.11481616,0.00038283,0.06125865,0.00094740,0.00610945,0.02439135,0.05537764
-5.96998499,0.11717306,0.00043840,0.06289794,0.00086229,0.00669251,0.02572030,0.05649806
-5.96398199,0.12254974,0.00051043,0.06614568,0.00078127,0.00756714,0.02784226,0.05901642
-5.95797899,0.13120082,0.00060009,0.07114895,0.00070480,0.00875238,0.03082840,0.06306321
-5.95197599,0.14341603,0.00070864,0.07807262,0.00063333,0.01027150,0.03475972,0.06878502
-5.94597299,0.15951458,0.00083737,0.08709624,0.00056735,0.01215167,0.03972560,0.07634181
-5.93996998,0.17983804,0.00098755,0.09841000,0.00050734,0.01442331,0.04582197,0.08590362
-5.93396698,0.20474192,0.00116034,0.11221000,0.00045377,0.01711947,0.05314897,0.09764642
-5.92796398,0.23458587,0.00135677,0.12869269,0.00040717,0.02027487,0.06180825,0.11174745
-5.92196098,0.26972275,0.00157762,0.14804876,0.00036806,0.02392499,0.07189990,0.12837994
-5.91595798,0.31048682,0.00182337,0.17045643,0.00033706,0.02810489,0.08351902,0.14770726
-5.90995498,0.35718118,0.00209410,0.19607441,0.00031485,0.03284810,0.09675208,0.16987684
-5.90395198,0.41006497,0.00238945,0.22503464,0.00030222,0.03818529,0.11167314,0.19501375
-5.89794897,0.46934058,0.00270858,0.25743510,0.00030010,0.04414305,0.12834003,0.22321429
-5.89194597,0.53514133,0.00305005,0.29333290,0.00030959,0.05074263,0.14679066,0.25453985
-5.88594297,0.60752022,0.00341189,0.33273800,0.00033198,0.05799872,0.16703952,0.28901108
-5.87993997,0.68644003,0.00379154,0.37560777,0.00036881,0.06591838,0.18907471,0.32660292
-5.87393697,0.77176542,0.00418587,0.42184273,0.00042183,0.07450007,0.21285536,0.36724039
-5.86793397,0.86325733,0.00459123,0.47128364,0.00049303,0.08373286,0.23830986,0.41079570
-5.86193097,0.96057009,0.00500352,0.52371031,0.00058468,0.09359589,0.26533483,0.45708667
