energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,2.72181487,0.89123235,0.01530763,1.55270218,0.20882057,1.24357331,0.00000000
-5.99399700,2.76424910,0.91672425,0.01588446,1.58883111,0.21651854,1.22481754,0.00000000
-5.98799400,2.80384476,0.93814870,0.01639347,1.62106125,0.22398055,1.21047770,0.00000000
-5.98199100,2.83856498,0.95488429,0.01682303,1.64818805,0.23101849,1.19968518,0.00000000
-5.97598799,2.86642828,0.96639945,0.01716280,1.66909910,0.23744450,1.19147790,0.00000000
-5.96998499,2.88558180,0.97227199,0.01740414,1.68281321,0.24307700,1.18484035,0.00000000
-5.96398199,2.89436910,0.97220474,0.01754033,1.68851456,0.24774663,1.17874398,0.00000000
-5.95797899,2.89138995,0.96603668,0.01756688,1.68558057,0.25130181,1.17218647,0.00000000
-5.95197599,2.87554953,0.95374885,0.01748165,1.67360229,0.25361381,1.16422819,0.00000000
-5.94597299,2.84609528,0.93546502,0.01728493,1.65239671,0.25458098,1.15402486,0.00000000
-5.93996998,2.80264019,0.91144695,0.01697945,1.62201043,0.25413205,1.14085520,0.00000000
-5.93396698,2.74517203,0.88208468,0.01657023,1.58271496,0.25222843,1.12414281,0.00000000
-5.92796398,2.67404869,0.84788235,0.01606447,1.53499408,0.24886525,1.10347193,0.00000000
-5.92196098,2.58998042,0.80944029,0.01547123,1.47952402,0.24407137,1.07859671,0.00000000
-5.91595798,2.49400061,0.76743440,0.01480118,1.41714771,0.23790817,1.04944428,0.00000000
-5.90995498,2.38742669,0.72259369,0.01406623,1.34884446,0.23046735,1.01611181,0.00000000
-5.90395198,2.27181375,0.67567733,0.01327916,1.27569654,0.22186775,0.97885838,0.00000000
-5.89794897,2.14890314,0.62745197,0.01245323,1.19885445,0.21225148,0.93809225,0.00000000
-5.89194597,2.02056887,0.57867049,0.01160183,1.11950221,0.20177948,0.89435465,0.00000000
-5.88594297,1.88876412,0.53005312,0.01073810,1.03882440,0.19062671,0.84830112,0.00000000
-5.87993997,1.75547038,0.48227131,0.00987467,0.95797607,0.17897720,0.80068137,0.00000000
-5.87393697,1.62265118,0.43593528,0.00902333,0.87805667,0.16701928,0.75231878,0.00000000
-5.86793397,1.49221215,0.39158510,0.00819489,0.80008882,0.15494094,0.70409055,0.00000000
-5.86193097,1.36596853,0.34968579,0.00739898,0.72500241,0.14292577,0.65690917,0.00000000
-5.85592796,1.24562089,0.31062597,0.00664399,0.65362414,0.13114942,0.61170598,0.00000000
-5.84992496,1.13273929,0.27472012,0.00593705,0.58667265,0.11977677,0.56941718,0.00000000
-5.84392196,1.02875553,0.24221365,0.00528402,0.52475860,0.10895978,0.53097253,0.00000000
-5.83791896,0.93496288,0.21329061,0.00468959,0.46838942,0.09883617,0.49728661,0.00000000
-5.83191596,0.85252202,0.18808306,0.00415740,0.41797777,0.08952874,0.46925253,0.00000000
-5.82591296,0.78247196,0.16668174,0.00369015,0.37385293,0.08114533,0.44773748,0.00000000
-5.81990995,0.72574409,0.14914709,0.00328979,0.33627414,0.07377942,0.43357966,0.00000000
-5.81390695,0.68317786,0.13552021,0.00295767,0.30544490,0.06751098,0.42758573,0.00000000
-5.80790395,0.65553595,0.12583294,0.00269471,0.28152717,0.06240777,0.43052800,0.00000000
-5.80190095,0.64351753,0.12011661,0.00250152,0.26465470,0.05852659,0.44314073,0.00000000
-5.79589795,0.64776786,0.11840903,0.00237861,0.25494449,0.05591467,0.46611450,0.00000000
-5.78989495,0.66888282,0.12075924,0.00232638,0.25250577,0.05461072,0.50008837,0.00000000
-5.78389195,0.70740764,0.12722981,0.00234530,0.25744596,0.05464584,0.54563911,0.00000000
-5.77788894,0.76382880,0.13789661,0.00243586,0.26987307,0.05604395,0.60326744,0.00000000
-5.77188594,0.83855924,0.15284583,0.00259858,0.28989459,0.05882179,0.67338115,0.00000000
-5.76588294,0.93191683,0.17216849,0.00283400,0.31761258,0.06298844,0.75627557,0.00000000
-5.75987994,1.04409689,0.19595253,0.00314254,0.35311547,0.06854434,0.85211177,0.00000000
-5.75387694,1.17513996,0.22427288,0.00352440,0.39646658,0.07547991,0.96089346,0.00000000
-5.74787394,1.32489619,0.25717985,0.00397943,0.44769039,0.08377370,1.08244351,0.00000000
-5.74187094,1.49298840,0.29468636,0.00450693,0.50675689,0.09339045,1.21638153,0.00000000
-5.73586793,1.67877599,0.33675477,0.00510551,0.57356523,0.10427884,1.36210375,0.00000000
-5.72986493,1.88132200,0.38328385,0.00577285,0.64792757,0.11636946,1.51876668,0.00000000
-5.72386193,2.09936588,0.43409665,0.00650559,0.72955419,0.12957285,1.68527602,0.00000000
-5.71785893,2.33130432,0.48893019,0.00729917,0.81804112,0.14377806,1.86028214,0.00000000
-5.71185593,2.57518245,0.54742747,0.00814767,0.91286130,0.15885165,2.04218320,0.00000000
-5.70585293,2.82869718,0.60913276,0.00904379,1.01336021,0.17463750,2.22913688,0.00000000
-5.69984992,3.08921418,0.67349053,0.00997882,1.11875701,0.19095745,2.41908112,0.00000000
-5.69384692,3.35379946,0.73984863,0.01094265,1.22815159,0.20761282,2.60976410,0.00000000
-5.68784392,3.61926542,0.80746596,0.01192392,1.34053795,0.22438699,2.79878304,0.00000000
-5.68184092,3.88223115,0.87552460,0.01291017,1.45482391,0.24104890,2.98363122,0.00000000
-5.67583792,4.13919532,0.94314643,0.01388805,1.56985666,0.25735754,3.16175177,0.00000000
-5.66983492,4.38661971,1.00941359,0.01484367,1.68445358,0.27306718,3.33059690,0.00000000
-5.66383192,4.62102038,1.07339225,0.01576290,1.79743687,0.28793327,3.48769032,0.00000000
-5.65782891,4.83906329,1.13415885,0.01663178,1.90767077,0.30171883,3.63069093,0.00000000
-5.65182591,5.03766012,1.19082752,0.01743690,2.01409945,0.31420096,3.75745508,0.00000000
-5.64582291,5.21406051,1.24257773,0.01816583,2.11578356,0.32517729,3.86609520,0.00000000
-5.63981991,5.36593623,1.28868070,0.01880750,2.21193348,0.33447206,3.95503223,0.00000000
-5.63381691,5.49145335,1.32852325,0.01935256,2.30193715,0.34194159,4.02303983,0.00000000
-5.62781391,5.58932890,1.36162809,0.01979372,2.38538053,0.34747873,4.06927830,0.00000000
-5.62181091,5.65886878,1.38766918,0.02012596,2.46205934,0.35101634,4.09331682,0.00000000
-5.61580790,5.69998511,1.40648156,0.02034669,2.53198065,0.35252926,4.09514299,0.00000000
-5.60980490,5.71319145,1.41806493,0.02045588,2.59535394,0.35203504,4.07515914,0.00000000
-5.60380190,5.69957614,1.42258081,0.02045594,2.65257139,0.34959304,4.03416563,0.00000000
-5.59779890,5.66075447,1.42034330,0.02035170,2.70417821,0.34530216,3.97333173,0.00000000
