energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-2.72836418,6.97687457,0.00245659,1.59130559,0.01165342,3.65936612,0.80743609,0.37077025,2.17953471,1.76004177
-2.72236118,6.70460488,0.00223999,1.47839738,0.01095086,3.62375628,0.79588203,0.35279304,2.09929409,1.64427532
-2.71635818,6.43940769,0.00203000,1.37240577,0.01025913,3.58176032,0.78383232,0.33508582,2.02312536,1.53399727
-2.71035518,6.18030578,0.00182841,1.27318356,0.00958105,3.53250496,0.77098949,0.31771803,1.95029840,1.42922873
-2.70435218,5.92624912,0.00163671,1.18047444,0.00891912,3.47525636,0.75706737,0.30075773,1.88003224,1.32990417
-2.69834917,5.67620891,0.00145605,1.09394142,0.00827551,3.40946249,0.74180492,0.28427320,1.81153864,1.23589421
-2.69234617,5.42926186,0.00128731,1.01319413,0.00765214,3.33478784,0.72497880,0.26833379,1.74406282,1.14702708
-2.68634317,5.18466095,0.00113107,0.93781410,0.00705071,3.25113882,0.70641417,0.25301030,1.67691972,1.06310781
-2.68034017,4.94188992,0.00098761,0.86737699,0.00647267,3.15867848,0.68599320,0.23837452,1.60952433,0.98393443
-2.67433717,4.70069972,0.00085697,0.80147118,0.00591932,3.05783004,0.66366098,0.22449827,1.54141511,0.90931099
-2.66833417,4.46112631,0.00073899,0.73971249,0.00539176,2.94926887,0.63942857,0.21145175,1.47226977,0.83905699
-2.66233117,4.22349011,0.00063327,0.68175474,0.00489092,2.83390373,0.61337313,0.19930159,1.40191331,0.77301341
-2.65632816,3.98837860,0.00053930,0.62729636,0.00441754,2.71284800,0.58563527,0.18810837,1.33031841,0.71104555
-2.65032516,3.75661402,0.00045642,0.57608330,0.00397219,2.58738271,0.55641376,0.17792421,1.25759867,0.65304308
-2.64432216,3.52920919,0.00038388,0.52790866,0.00355522,2.45891307,0.52595805,0.16879012,1.18399568,0.59891779
-2.63831916,3.30731465,0.00032086,0.48260965,0.00316681,2.32892090,0.49455895,0.16073368,1.10986096,0.54859967
-2.63231616,3.09216067,0.00026654,0.44006249,0.00280690,2.19891517,0.46253811,0.15376692,1.03563399,0.50203186
-2.62631316,2.88499767,0.00022005,0.40017575,0.00247523,2.07038315,0.43023675,0.14788467,0.96181786,0.45916513
-2.62031016,2.68703850,0.00018056,0.36288299,0.00217132,1.94474434,0.39800425,0.14306344,0.88895381,0.41995238
-2.61430715,2.49940559,0.00014725,0.32813510,0.00189448,1.82330925,0.36618712,0.13926097,0.81759605,0.38434355
-2.60830415,2.32308551,0.00011936,0.29589294,0.00164383,1.70724472,0.33511884,0.13641648,0.74828805,0.35228154
-2.60230115,2.15889286,0.00009617,0.26612057,0.00141832,1.59754698,0.30511088,0.13445157,0.68154133,0.32369904
