energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Zr_p_up,Zr_d_up
0.67533767,1.83093407,0.01170442,0.23909165,0.20050916,0.00000000,0.69678712,1.33126006
0.68134067,1.88526758,0.01213736,0.24395703,0.20967003,0.00000000,0.71227316,1.37049436
0.68734367,1.93905484,0.01256461,0.24877437,0.21885180,0.00000000,0.72717278,1.40953648
0.69334667,1.99189478,0.01298421,0.25353677,0.22800197,0.00000000,0.74143771,1.44804009
0.69934967,2.04339084,0.01339424,0.25823433,0.23706828,0.00000000,0.75502209,1.48566057
0.70535268,2.09316057,0.01379279,0.26285472,0.24600006,0.00000000,0.76788443,1.52206268
0.71135568,2.14084485,0.01417806,0.26738386,0.25474951,0.00000000,0.77998923,1.55692775
0.71735868,2.18611599,0.01454834,0.27180653,0.26327274,0.00000000,0.79130832,1.58996053
0.72336168,2.22868474,0.01490207,0.27610697,0.27153064,0.00000000,0.80182163,1.62089516
0.72936468,2.26830571,0.01523781,0.28026934,0.27948943,0.00000000,0.81151745,1.64950030
0.73536768,2.30478123,0.01555429,0.28427806,0.28712091,0.00000000,0.82039208,1.67558329
0.74137069,2.33796337,0.01585039,0.28811796,0.29440226,0.00000000,0.82844895,1.69899317
0.74737369,2.36775423,0.01612514,0.29177436,0.30131563,0.00000000,0.83569720,1.71962264
0.75337669,2.39410461,0.01637771,0.29523293,0.30784732,0.00000000,0.84215006,1.73740877
0.75937969,2.41701111,0.01660736,0.29847956,0.31398667,0.00000000,0.84782290,1.75233265
0.76538269,2.43651189,0.01681345,0.30150009,0.31972484,0.00000000,0.85273139,1.76441788
0.77138569,2.45268142,0.01699539,0.30428010,0.32505338,0.00000000,0.85688983,1.77372799
0.77738869,2.46562441,0.01715262,0.30680477,0.32996287,0.00000000,0.86030984,1.78036298
0.78339170,2.47546935,0.01728461,0.30905879,0.33444155,0.00000000,0.86299959,1.78445494
0.78939470,2.48236178,0.01739079,0.31102648,0.33847428,0.00000000,0.86496365,1.78616303
0.79539770,2.48645792,0.01747062,0.31269201,0.34204171,0.00000000,0.86620352,1.78566794
0.80140070,2.48791857,0.01752353,0.31403984,0.34511984,0.00000000,0.86671886,1.78316601
0.80740370,2.48690389,0.01754899,0.31505526,0.34768007,0.00000000,0.86650939,1.77886328
0.81340670,2.48356904,0.01754651,0.31572519,0.34968972,0.00000000,0.86557721,1.77296958
0.81940970,2.47806097,0.01751570,0.31603889,0.35111309,0.00000000,0.86392958,1.76569303
0.82541271,2.47051636,0.01745633,0.31598890,0.35191297,0.00000000,0.86158178,1.75723503
0.83141571,2.46106086,0.01736838,0.31557184,0.35205261,0.00000000,0.85855996,1.74778595
0.83741871,2.44980953,0.01725215,0.31478916,0.35149806,0.00000000,0.85490364,1.73752176
0.84342171,2.43686842,0.01710826,0.31364777,0.35022083,0.00000000,0.85066775,1.72660157
0.84942471,2.42233713,0.01693783,0.31216051,0.34820054,0.00000000,0.84592397,1.71516631
0.85542771,2.40631218,0.01674242,0.31034630,0.34542778,0.00000000,0.84076121,1.70333841
0.86143072,2.38889090,0.01652417,0.30823011,0.34190660,0.00000000,0.83528521,1.69122253
0.86743372,2.37017568,0.01628580,0.30584268,0.33765689,0.00000000,0.82961716,1.67890727
0.87343672,2.35027820,0.01603063,0.30321995,0.33271620,0.00000000,0.82389139,1.66646762
0.87943972,2.32932340,0.01576256,0.30040223,0.32714105,0.00000000,0.81825233,1.65396803
0.88544272,2.30745297,0.01548604,0.29743330,0.32100752,0.00000000,0.81285064,1.64146590
0.89144572,2.28482796,0.01520603,0.29435924,0.31441112,0.00000000,0.80783901,1.62901520
0.89744872,2.26163048,0.01492790,0.29122727,0.30746584,0.00000000,0.80336754,1.61666996
0.90345173,2.23806407,0.01465735,0.28808447,0.30030240,0.00000000,0.79957912,1.60448736
