energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.40158839,0.00976956,0.91168638,2.64849082,1.86031798,0.01401817,1.28001924
-5.99399700,4.29329313,0.00943358,0.86852763,2.52710250,1.82294516,0.01453905,1.25489684
-5.98799400,4.18629065,0.00909576,0.82671381,2.40748910,1.78595567,0.01504243,1.22986273
-5.98199100,4.08179968,0.00876063,0.78668838,2.29070832,1.74981347,0.01552142,1.20530894
-5.97598799,3.98085314,0.00843251,0.74884305,2.17768820,1.71490691,0.01596964,1.18157406
-5.96998499,3.88426862,0.00811543,0.71350332,2.06920628,1.68153465,0.01638147,1.15893568
-5.96398199,3.79263028,0.00781299,0.68091771,1.96587610,1.64989674,0.01675218,1.13760554
-5.95797899,3.70628174,0.00752836,0.65125072,1.86814118,1.62009082,0.01707805,1.11772727
-5.95197599,3.62532928,0.00726421,0.62457966,1.77627574,1.59211327,0.01735648,1.09937640
-5.94597299,3.54965400,0.00702263,0.60089523,1.69039179,1.56586460,0.01758598,1.08256257
-5.93996998,3.47893158,0.00680518,0.58010544,1.61045141,1.54115855,0.01776615,1.06723318
-5.93396698,3.41265764,0.00661280,0.56204253,1.53628313,1.51773393,0.01789756,1.05327855
-5.92796398,3.35017738,0.00644583,0.54647242,1.46760133,1.49526869,0.01798166,1.04053790
-5.92196098,3.29071749,0.00630400,0.53310594,1.40402736,1.47339508,0.01802056,1.02880611
-5.91595798,3.23341932,0.00618647,0.52161149,1.34511154,1.45171549,0.01801685,1.01784090
-5.90995498,3.17737173,0.00609179,0.51162831,1.29035482,1.42981815,0.01797335,1.00737045
-5.90395198,3.12164299,0.00601797,0.50278007,1.23922960,1.40729228,0.01789291,0.99710114
-5.89794897,3.06531100,0.00596254,0.49468804,1.19119905,1.38374222,0.01777823,0.98672559
-5.89194597,3.00749131,0.00592256,0.48698358,1.14573449,1.35880042,0.01763164,0.97593091
