energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.68286582,0.12938837,0.00038122,0.11749123,0.32547363,0.00000000,0.18602371,0.18554988
-5.99399700,0.74299918,0.13941422,0.00039175,0.13582968,0.34469948,0.00000000,0.20807658,0.20519696
-5.98799400,0.80887401,0.14996955,0.00040325,0.15708792,0.36432746,0.00000000,0.23308412,0.22722887
-5.98199100,0.88020110,0.16095957,0.00041523,0.18135716,0.38405911,0.00000000,0.26110499,0.25161886
-5.97598799,0.95666570,0.17228263,0.00042725,0.20870683,0.40360560,0.00000000,0.29218036,0.27832732
-5.96998499,1.03792112,0.18383058,0.00043895,0.23917669,0.42269279,0.00000000,0.32632749,0.30729706
-5.96398199,1.12358178,0.19548915,0.00045003,0.27276942,0.44106553,0.00000000,0.36353309,0.33844864
-5.95797899,1.21321656,0.20713837,0.00046026,0.30944366,0.45849136,0.00000000,0.40374694,0.37167603
-5.95197599,1.30634295,0.21865306,0.00046953,0.34910830,0.47476342,0.00000000,0.44687609,0.40684291
-5.94597299,1.40242279,0.22990351,0.00047781,0.39161802,0.48970276,0.00000000,0.49277999,0.44377985
-5.93996998,1.50086031,0.24075647,0.00048516,0.43677067,0.50316005,0.00000000,0.54126693,0.48228262
-5.93396698,1.60100288,0.25107635,0.00049179,0.48430651,0.51501680,0.00000000,0.59209209,0.52211194
-5.92796398,1.70214509,0.26072690,0.00049798,0.53390966,0.52518617,0.00000000,0.64495751,0.56299469
-5.92196098,1.80353639,0.26957323,0.00050416,0.58521173,0.53361360,0.00000000,0.69951410,0.60462666
-5.91595798,1.90439228,0.27748426,0.00051088,0.63779760,0.54027724,0.00000000,0.75536573,0.64667694
-5.90995498,2.00390900,0.28433548,0.00051879,0.69121314,0.54518829,0.00000000,0.81207547,0.68879376
-5.90395198,2.10128113,0.29001204,0.00052870,0.74497473,0.54839140,0.00000000,0.86917370,0.73061154
-5.89794897,2.19572151,0.29441203,0.00054153,0.79858002,0.54996495,0.00000000,0.92616787,0.77175894
-5.89194597,2.28648255,0.29744979,0.00055831,0.85151963,0.55002123,0.00000000,0.98255356,0.81186755
-5.88594297,2.37287779,0.29905908,0.00058021,0.90328917,0.54870646,0.00000000,1.03782622,0.85058072
-5.87993997,2.45430245,0.29919603,0.00060850,0.95340102,0.54620039,0.00000000,1.09149328,0.88756221
-5.87393697,2.53025194,0.29784156,0.00064455,1.00139548,0.54271531,0.00000000,1.14308586,0.92250406
-5.86793397,2.60033679,0.29500323,0.00068983,1.04685053,0.53849432,0.00000000,1.19216972,0.95513345
-5.86193097,2.66429327,0.29071622,0.00074585,1.08938998,0.53380857,0.00000000,1.23835477,0.98521803
-5.85592796,2.72198859,0.28504354,0.00081417,1.12868965,0.52895332,0.00000000,1.28130288,1.01256958
-5.84992496,2.77342032,0.27807520,0.00089635,1.16448125,0.52424272,0.00000000,1.32073349,1.03704571
-5.84392196,2.81870968,0.26992640,0.00099389,1.19655403,0.52000320,0.00000000,1.35642708,1.05854968
-5.83791896,2.85808895,0.26073486,0.00110825,1.22475418,0.51656552,0.00000000,1.38822619,1.07702825
-5.83191596,2.89188351,0.25065724,0.00124071,1.24898229,0.51425560,0.00000000,1.41603434,1.09246797
-5.82591296,2.92048944,0.23986484,0.00139238,1.26918902,0.51338436,0.00000000,1.43981288,1.10488997
-5.81990995,2.94434782,0.22853888,0.00156412,1.28536959,0.51423693,0.00000000,1.45957635,1.11434382
-5.81390695,2.96391731,0.21686533,0.00175647,1.29755747,0.51706163,0.00000000,1.47538664,1.12090073
-5.80790395,2.97964651,0.20502982,0.00196958,1.30581777,0.52205909,0.00000000,1.48734664,1.12464682
-5.80190095,2.99194784,0.19321261,0.00220318,1.31024097,0.52937237,0.00000000,1.49559376,1.12567654
-5.79589795,3.00117451,0.18158401,0.00245654,1.31093723,0.53907822,0.00000000,1.50029407,1.12408708
-5.78989495,3.00760200,0.17030035,0.00272837,1.30803191,0.55118035,0.00000000,1.50163739,1.11997381
-5.78389195,3.01141545,0.15950080,0.00301686,1.30166246,0.56560504,0.00000000,1.49983384,1.11342729
-5.77788894,3.01270358,0.14930497,0.00331961,1.29197690,0.58219949,0.00000000,1.49511207,1.10453174
-5.77188594,3.01145987,0.13981160,0.00363370,1.27913390,0.60073329,0.00000000,1.48771941,1.09336532
-5.76588294,3.00759093,0.13109809,0.00395565,1.26330441,0.62090303,0.00000000,1.47792382,1.08000195
-5.75987994,3.00093174,0.12322107,0.00428151,1.24467464,0.64234017,0.00000000,1.46601760,1.06451456
-5.75387694,2.99126704,0.11621782,0.00460691,1.22345000,0.66462187,0.00000000,1.45232242,1.04697952
-5.74787394,2.97835758,0.11010830,0.00492718,1.19985966,0.68728460,0.00000000,1.43719529,1.02748189
-5.74187094,2.96196978,0.10489789,0.00523739,1.17416121,0.70983991,0.00000000,1.42103483,1.00612092
-5.73586793,2.94190713,0.10058036,0.00553253,1.14664489,0.73179175,0.00000000,1.40428722,0.98301566
-5.72986493,2.91804131,0.09714108,0.00580765,1.11763689,0.75265471,0.00000000,1.38745100,0.95830990
-5.72386193,2.89034121,0.09456012,0.00605794,1.08750132,0.77197225,0.00000000,1.37108007,0.93217616
-5.71785893,2.85889789,0.09281517,0.00627895,1.05664019,0.78933425,0.00000000,1.35578415,0.90481839
