energy_ev,total_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.60970016,1.07251348,0.00000000,1.34045880,0.53943290,0.02612116,0.47858965,0.03177353,1.31534342
-5.99399700,2.54837747,1.04701575,0.00000000,1.28860366,0.52700830,0.02642704,0.46366074,0.03049142,1.28864731
-5.98799400,2.48216260,1.02059152,0.00000000,1.23532553,0.51404264,0.02657381,0.44917853,0.02908324,1.25738520
-5.98199100,2.41224858,0.99373660,0.00000000,1.18128449,0.50084252,0.02655585,0.43540328,0.02757391,1.22206511
-5.97598799,2.33985792,0.96693799,0.00000000,1.12712782,0.48770909,0.02637092,0.42257115,0.02598913,1.18325611
-5.96998499,2.26621198,0.94066098,0.00000000,1.07348021,0.47492951,0.02602027,0.41089018,0.02435466,1.14157291
-5.96398199,2.19249989,0.91533622,0.00000000,1.02093452,0.46276865,0.02550860,0.40053688,0.02269566,1.09765903
-5.95797899,2.11984811,0.89134756,0.00000000,0.97004310,0.45146153,0.02484397,0.39165352,0.02103608,1.05216910
-5.95197599,2.04929172,0.86902083,0.00000000,0.92130965,0.44120664,0.02403751,0.38434621,0.01939814,1.00575103
-5.94597299,1.98174843,0.84861417,0.00000000,0.87518193,0.43216044,0.02310307,0.37868376,0.01780184,0.95902883
-5.93996998,1.91799641,0.83031042,0.00000000,0.83204536,0.42443328,0.02205677,0.37469724,0.01626467,0.91258665
-5.93396698,1.85865674,0.81421172,0.00000000,0.79221761,0.41808695,0.02091650,0.37238046,0.01480135,0.86695475
-5.92796398,1.80418137,0.80033692,0.00000000,0.75594456,0.41313388,0.01970137,0.37169117,0.01342371,0.82259788
-5.92196098,1.75484698,0.78862187,0.00000000,0.72339761,0.40953815,0.01843111,0.37255307,0.01214068,0.77990662
-5.91595798,1.71075507,0.77892274,0.00000000,0.69467256,0.40721822,0.01712550,0.37485855,0.01095837,0.73919180
-5.90995498,1.67183827,0.77102224,0.00000000,0.66979023,0.40605126,0.01580385,0.37847221,0.00988018,0.70068229
-5.90395198,1.63787274,0.76463879,0.00000000,0.64869874,0.40587903,0.01448449,0.38323491,0.00890709,0.66452593
-5.89794897,1.60849580,0.75943807,0.00000000,0.63127757,0.40651494,0.01318435,0.38896844,0.00803788,0.63079367
-5.89194597,1.58322843,0.75504673,0.00000000,0.61734325,0.40775210,0.01191861,0.39548053,0.00726944,0.59948635
-5.88594297,1.56150136,0.75106756,0.00000000,0.60665652,0.40937203,0.01070044,0.40257015,0.00659716,0.57054388
-5.87993997,1.54268373,0.74709570,0.00000000,0.59893092,0.41115366,0.00954083,0.41003299,0.00601521,0.54385617
-5.87393697,1.52611313,0.74273497,0.00000000,0.59384226,0.41288230,0.00844850,0.41766676,0.00551687,0.51927527
-5.86793397,1.51112567,0.73761393,0.00000000,0.59103901,0.41435817,0.00742995,0.42527640,0.00509489,0.49662813
-5.86193097,1.49708495,0.73140072,0.00000000,0.59015299,0.41540427,0.00648948,0.43267884,0.00474176,0.47572936
-5.85592796,1.48340865,0.72381636,0.00000000,0.59081017,0.41587321,0.00562937,0.43970725,0.00444993,0.45639342
-5.84992496,1.46959179,0.71464570,0.00000000,0.59264122,0.41565269,0.00485005,0.44621458,0.00421210,0.43844572
-5.84392196,1.45522579,0.70374583,0.00000000,0.59529138,0.41466963,0.00415037,0.45207638,0.00402136,0.42173224
-5.83791896,1.44001267,0.69105143,0.00000000,0.59842941,0.41289266,0.00352780,0.45719270,0.00387136,0.40612729
-5.83191596,1.42377391,0.67657707,0.00000000,0.60175542,0.41033290,0.00297873,0.46148909,0.00375639,0.39153924
-5.82591296,1.40645385,0.66041634,0.00000000,0.60500709,0.40704308,0.00249874,0.46491665,0.00367150,0.37791399
-5.81990995,1.38811767,0.64273790,0.00000000,0.60796447,0.40311511,0.00208281,0.46745119,0.00361250,0.36523630
-5.81390695,1.36894413,0.62377863,0.00000000,0.61045290,0.39867607,0.00172558,0.46909156,0.00357599,0.35352889
-5.80790395,1.34921361,0.60383442,0.00000000,0.61234432,0.39388291,0.00142156,0.46985715,0.00355932,0.34284961
-5.80190095,1.32929205,0.58324873,0.00000000,0.61355669,0.38891604,0.00116528,0.46978480,0.00356057,0.33328678
-5.79589795,1.30961157,0.56239965,0.00000000,0.61405188,0.38397208,0.00095148,0.46892529,0.00357846,0.32495312
-5.78989495,1.29064866,0.54168589,0.00000000,0.61383198,0.37925596,0.00077521,0.46733939,0.00361228,0.31797843
-5.78389195,1.27290089,0.52151228,0.00000000,0.61293437,0.37497282,0.00063191,0.46509390,0.00366177,0.31250155
-5.77788894,1.25686299,0.50227530,0.00000000,0.61142563,0.37131984,0.00051750,0.46225769,0.00372702,0.30866184
-5.77188594,1.24300352,0.48434928,0.00000000,0.60939479,0.36847841,0.00042840,0.45889797,0.00380835,0.30659058
-5.76588294,1.23174274,0.46807360,0.00000000,0.60694603,0.36660682,0.00036157,0.45507695,0.00390614,0.30640263
-5.75987994,1.22343275,0.45374141,0.00000000,0.60419127,0.36583380,0.00031452,0.45084911,0.00402078,0.30818882
-5.75387694,1.21834049,0.44159024,0.00000000,0.60124294,0.36625309,0.00028529,0.44625897,0.00415246,0.31200909
-5.74787394,1.21663429,0.43179469,0.00000000,0.59820716,0.36791927,0.00027244,0.44133975,0.00430112,0.31788693
-5.74187094,1.21837447,0.42446146,0.00000000,0.59517775,0.37084489,0.00027503,0.43611264,0.00446631,0.32580521
-5.73586793,1.22350818,0.41962688,0.00000000,0.59223123,0.37499914,0.00029256,0.43058696,0.00464711,0.33570354
-5.72986493,1.23186877,0.41725674,0.00000000,0.58942294,0.38030804,0.00032499,0.42476093,0.00484207,0.34747734
-5.72386193,1.24317965,0.41724870,0.00000000,0.58678462,0.38665611,0.00037262,0.41862319,0.00504915,0.36097861
-5.71785893,1.25706241,0.41943680,0.00000000,0.58432328,0.39388957,0.00043610,0.41215480,0.00526574,0.37601849
-5.71185593,1.27304890,0.42359814,0.00000000,0.58202163,0.40182093,0.00051636,0.40533169,0.00548865,0.39237139
-5.70585293,1.29059691,0.42946129,0.00000000,0.57983978,0.41023475,0.00061453,0.39812744,0.00571416,0.40978064
-5.69984992,1.30910861,0.43671613,0.00000000,0.57771836,0.41889448,0.00073188,0.39051613,0.00593810,0.42796546
-5.69384692,1.32795127,0.44502488,0.00000000,0.57558268,0.42755015,0.00086978,0.38247521,0.00615595,0.44662893
-5.68784392,1.34647935,0.45403373,0.00000000,0.57334784,0.43594649,0.00102956,0.37398829,0.00636296,0.46546675
-5.68184092,1.36405716,0.46338484,0.00000000,0.57092452,0.44383137,0.00121250,0.36504754,0.00655431,0.48417637
-5.67583792,1.38008117,0.47272808,0.00000000,0.56822520,0.45096418,0.00141968,0.35565582,0.00672524,0.50246618
-5.66983492,1.39400125,0.48173240,0.00000000,0.56517048,0.45712381,0.00165192,0.34582832,0.00687126,0.52006439
-5.66383192,1.40533996,0.49009612,0.00000000,0.56169533,0.46211604,0.00190970,0.33559371,0.00698828,0.53672737
-5.65782891,1.41370930,0.49755605,0.00000000,0.55775479,0.46577990,0.00219303,0.32499476,0.00707275,0.55224690
-5.65182591,1.41882430,0.50389508,0.00000000,0.55332923,0.46799305,0.00250145,0.31408844,0.00712185,0.56645641
-5.64582291,1.42051310,0.50894801,0.00000000,0.54842861,0.46867570,0.00283391,0.30294558,0.00713358,0.57923573
-5.63981991,1.41872321,0.51260551,0.00000000,0.54309585,0.46779316,0.00318874,0.29165000,0.00710684,0.59051440
-5.63381691,1.41352402,0.51481618,0.00000000,0.53740910,0.46535694,0.00356359,0.28029743,0.00704151,0.60027351
-5.62781391,1.40510553,0.51558670,0.00000000,0.53148287,0.46142430,0.00395550,0.26899397,0.00693847,0.60854590
-5.62181091,1.39377364,0.51498022,0.00000000,0.52546802,0.45609647,0.00436084,0.25785451,0.00679959,0.61541516
-5.61580790,1.37994235,0.51311307,0.00000000,0.51955068,0.44951557,0.00477542,0.24700096,0.00662764,0.62101317
-5.60980490,1.36412338,0.51015013,0.00000000,0.51395007,0.44186047,0.00519450,0.23656047,0.00642630,0.62551675
-5.60380190,1.34691367,0.50629899,0.00000000,0.50891544,0.43334175,0.00561297,0.22666365,0.00619995,0.62914329
