energy_ev,total_up,Cd_p_up,Cd_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.97336623,0.34956009,0.34298917,0.66244956,0.65985030,0.02812315,0.08141014,0.05225472,0.57595218
-5.99399700,2.00964129,0.33925102,0.34767944,0.66571821,0.68827660,0.02928758,0.07887547,0.05411335,0.58618298
-5.98799400,2.04033036,0.32794474,0.35119241,0.66678274,0.71534658,0.03029278,0.07612219,0.05577512,0.59487555
-5.98199100,2.06487551,0.31580445,0.35345842,0.66561902,0.74061206,0.03111898,0.07318937,0.05720913,0.60188028
-5.97598799,2.08273273,0.30299051,0.35441876,0.66222117,0.76361264,0.03174974,0.07011504,0.05838660,0.60704850
-5.96998499,2.09339417,0.28965753,0.35402879,0.65660535,0.78388967,0.03217264,0.06693546,0.05928194,0.61023879
-5.96398199,2.09641260,0.27595235,0.35226098,0.64881387,0.80100153,0.03237977,0.06368464,0.05987372,0.61132404
-5.95797899,2.09142679,0.26201284,0.34910786,0.63891925,0.81453950,0.03236812,0.06039408,0.06014553,0.61019902
-5.95197599,2.07818642,0.24796728,0.34458460,0.62702796,0.82414357,0.03213982,0.05709265,0.06008679,0.60678788
-5.94597299,2.05657492,0.23393458,0.33873104,0.61328358,0.82951721,0.03170218,0.05380672,0.05969335,0.60105126
-5.93996998,2.02662902,0.22002480,0.33161312,0.59786904,0.83044047,0.03106758,0.05056030,0.05896786,0.59299255
-5.93396698,1.98855356,0.20634013,0.32332344,0.58100764,0.82678070,0.03025321,0.04737546,0.05791999,0.58266281
-5.92796398,1.94273073,0.19297608,0.31398097,0.56296289,0.81850026,0.02928067,0.04427262,0.05656633,0.57016421
-5.92196098,1.88972296,0.18002269,0.30372994,0.54403681,0.80566090,0.02817536,0.04127100,0.05493017,0.55565161
-5.91595798,1.83026921,0.16756571,0.29273773,0.52456692,0.78842444,0.02696587,0.03838901,0.05304091,0.53933218
-5.90995498,1.76527457,0.15568771,0.28119203,0.50492175,0.76704981,0.02568322,0.03564462,0.05093337,0.52146309
-5.90395198,1.69579377,0.14446886,0.26929722,0.48549519,0.74188656,0.02436008,0.03305568,0.04864688,0.50234728
-5.89794897,1.62300905,0.13398759,0.25727022,0.46669975,0.71336518,0.02302999,0.03064018,0.04622427,0.48232756
-5.89194597,1.54820356,0.12432084,0.24533589,0.44895899,0.68198471,0.02172655,0.02841642,0.04371072,0.46177920
-5.88594297,1.47273139,0.11554416,0.23372213,0.43269940,0.64829828,0.02048264,0.02640315,0.04115256,0.44110151
-5.87993997,1.39798544,0.10773144,0.22265497,0.41834195,0.61289727,0.01932974,0.02461955,0.03859612,0.42070850
-5.87393697,1.32536447,0.10095448,0.21235363,0.40629357,0.57639485,0.01829728,0.02308525,0.03608657,0.40101930
-5.86793397,1.25624066,0.09528226,0.20302587,0.39693887,0.53940957,0.01741209,0.02182015,0.03366684,0.38244851
-5.86193097,1.19192858,0.09078006,0.19486364,0.39063218,0.50254984,0.01669785,0.02084432,0.03137666,0.36539686
-5.85592796,1.13365683,0.08750845,0.18803914,0.38769021,0.46639968,0.01617477,0.02017767,0.02925172,0.35024247
-5.84992496,1.08254285,0.08552204,0.18270144,0.38838538,0.43150643,0.01585922,0.01983966,0.02732296,0.33733311
-5.84392196,1.03957150,0.08486820,0.17897357,0.39293990,0.39837063,0.01576347,0.01984893,0.02561609,0.32697925
-5.83791896,1.00557786,0.08558563,0.17695024,0.40152078,0.36743829,0.01589556,0.02022282,0.02415115,0.31944846
-5.83191596,0.98123403,0.08770285,0.17669612,0.41423567,0.33909568,0.01625913,0.02097686,0.02294235,0.31496089
-5.82591296,0.96704016,0.09123662,0.17824463,0.43112964,0.31366647,0.01685343,0.02212418,0.02199798,0.31368588
-5.81990995,0.96331925,0.09619040,0.18159739,0.45218287,0.29141100,0.01767330,0.02367487,0.02132047,0.31573975
-5.81390695,0.97021551,0.10255273,0.18672406,0.47730927,0.27252747,0.01870926,0.02563535,0.02090663,0.32118455
-5.80790395,0.98769585,0.11029579,0.19356281,0.50635607,0.25715463,0.01994764,0.02800759,0.02074790,0.33002779
-5.80190095,1.01555408,0.11937400,0.20202120,0.53910435,0.24537554,0.02137082,0.03078849,0.02083083,0.34222291
-5.79589795,1.05341754,0.12972292,0.21197755,0.57527058,0.23722206,0.02295750,0.03396918,0.02113750,0.35767047
-5.78989495,1.10075573,0.14125841,0.22328286,0.61450916,0.23267965,0.02468303,0.03753442,0.02164611,0.37622002
-5.78389195,1.15689073,0.15387615,0.23576310,0.65641613,0.23169212,0.02651988,0.04146217,0.02233159,0.39767241
-5.77788894,1.22100930,0.16745169,0.24922199,0.70053381,0.23416620,0.02843814,0.04572320,0.02316623,0.42178275
-5.77188594,1.29217642,0.18184101,0.26344427,0.74635672,0.23997547,0.03040609,0.05028095,0.02412037,0.44826374
-5.76588294,1.36935032,0.19688166,0.27819937,0.79333855,0.24896392,0.03239086,0.05509163,0.02516312,0.47678962
-5.75987994,1.45139889,0.21239462,0.29324545,0.84090020,0.26094874,0.03435910,0.06010453,0.02626300,0.50700056
-5.75387694,1.53711759,0.22818674,0.30833388,0.88843892,0.27572276,0.03627772,0.06526258,0.02738869,0.53850764
-5.74787394,1.62524867,0.24405390,0.32321388,0.93533826,0.29305639,0.03811464,0.07050326,0.02850964,0.57089837
-5.74187094,1.71450181,0.25978463,0.33763749,0.98097891,0.31269946,0.03983949,0.07575969,0.02959674,0.60374288
-5.73586793,1.80357584,0.27516442,0.35136449,1.02474997,0.33438309,0.04142434,0.08096202,0.03062285,0.63660053
-5.72986493,1.89118160,0.28998019,0.36416743,1.06606068,0.35782180,0.04284434,0.08603900,0.03156336,0.66902724
-5.72386193,1.97606536,0.30402516,0.37583643,1.10435207,0.38271621,0.04407824,0.09091968,0.03239660,0.70058313
-5.71785893,2.05703265,0.31710371,0.38618362,1.13910844,0.40875639,0.04510889,0.09553525,0.03310418,0.73084067
-5.71185593,2.13297185,0.32903610,0.39504726,1.16986821,0.43562614,0.04592354,0.09982082,0.03367128,0.75939292
-5.70585293,2.20287713,0.33966289,0.40229520,1.19623390,0.46300818,0.04651410,0.10371726,0.03408678,0.78586192
-5.69984992,2.26587002,0.34884889,0.40782763,1.21788083,0.49059032,0.04687715,0.10717271,0.03434335,0.80990689
-5.69384692,2.32121905,0.35648638,0.41157911,1.23456438,0.51807257,0.04701392,0.11014407,0.03443738,0.83123206
-5.68784392,2.36835681,0.36249753,0.41351960,1.24612540,0.54517486,0.04693008,0.11259808,0.03436889,0.84959382
-5.68184092,2.40689387,0.36683597,0.41365470,1.25249371,0.57164544,0.04663543,0.11451210,0.03414131,0.86480707
-5.67583792,2.43662892,0.36948730,0.41202490,1.25368944,0.59726925,0.04614345,0.11587452,0.03376116,0.87675046
-5.66983492,2.45755485,0.37046860,0.40870388,1.24982219,0.62187633,0.04547082,0.11668480,0.03323778,0.88537022
-5.66383192,2.46986022,0.36982701,0.40379608,1.24108800,0.64534949,0.04463683,0.11695307,0.03258287,0.89068259
-5.65782891,2.47392623,0.36763740,0.39743341,1.22776417,0.66763111,0.04366276,0.11669942,0.03181013,0.89277457
-5.65182591,2.47031882,0.36399917,0.38977137,1.21020213,0.68872848,0.04257124,0.11595280,0.03093481,0.89180286
-5.64582291,2.45977632,0.35903255,0.38098470,1.18881854,0.70871743,0.04138560,0.11474974,0.02997325,0.88799112
-5.63981991,2.44319266,0.35287434,0.37126263,1.16408489,0.72774392,0.04012925,0.11313279,0.02894254,0.88162547
-5.63381691,2.42159686,0.34567343,0.36080403,1.13651596,0.74602330,0.03882509,0.11114888,0.02786006,0.87304826
-5.62781391,2.39612896,0.33758622,0.34981250,1.10665752,0.76383711,0.03749496,0.10884763,0.02674317,0.86265041
-5.62181091,2.36801349,0.32877225,0.33849161,1.07507356,0.78152742,0.03615922,0.10627975,0.02560886,0.85086245
-5.61580790,2.33853079,0.31939003,0.32704051,1.04233360,0.79948864,0.03483630,0.10349545,0.02447352,0.83814442
-5.60980490,2.30898727,0.30959340,0.31564984,1.00900035,0.81815714,0.03354240,0.10054317,0.02335270,0.82497508
-5.60380190,2.28068516,0.29952845,0.30449827,0.97561811,0.83799864,0.03229127,0.09746842,0.02226092,0.81184058
-5.59779890,2.25489267,0.28933104,0.29374960,0.94270224,0.85949398,0.03109407,0.09431295,0.02121159,0.79922299
-5.59179590,2.23281516,0.27912508,0.28355047,0.91073003,0.88312344,0.02995929,0.09111419,0.02021685,0.78758901
-5.58579290,2.21556806,0.26902138,0.27402872,0.88013294,0.90935019,0.02889279,0.08790493,0.01928755,0.77737897
-5.57978989,2.20415191,0.25911724,0.26529247,0.85129072,0.93860334,0.02789791,0.08471329,0.01843324,0.76899674
-5.57378689,2.19943025,0.24949654,0.25742965,0.82452702,0.97126100,0.02697562,0.08156288,0.01766210,0.76280037
-5.56778389,2.20211038,0.24023025,0.25050815,0.80010687,1.00763405,0.02612476,0.07847319,0.01698100,0.75909396
-5.56178089,2.21272757,0.23137736,0.24457635,0.77823562,1.04795095,0.02534236,0.07546004,0.01639548,0.75812083
-5.55577789,2.23163263,0.22298595,0.23966399,0.75905942,1.09234422,0.02462390,0.07253616,0.01590975,0.76005800
-5.54977489,2.25898318,0.21509438,0.23578331,0.74266695,1.14083909,0.02396372,0.06971173,0.01552675,0.76501222
-5.54377189,2.29473850,0.20773243,0.23293029,0.72909210,1.19334456,0.02335533,0.06699496,0.01524809,0.77301751
-5.53776888,2.33865819,0.20092240,0.23108589,0.71831756,1.24964753,0.02279179,0.06439258,0.01507408,0.78403422
-5.53176588,2.39030448,0.19467995,0.23021732,0.71027883,1.30941012,0.02226602,0.06191018,0.01500372,0.79794967
-5.52576288,2.44904828,0.18901476,0.23027918,0.70486869,1.37217050,0.02177111,0.05955253,0.01503465,0.81458028
-5.51975988,2.51407907,0.18393095,0.23121448,0.70194173,1.43734745,0.02130059,0.05732371,0.01516317,0.83367516
-5.51375688,2.58441842,0.17942733,0.23295544,0.70131890,1.50424868,0.02084859,0.05522716,0.01538418,0.85492123
-5.50775388,2.65893725,0.17549745,0.23542428,0.70279196,1.57208280,0.02041003,0.05326559,0.01569121,0.87794957
-5.50175088,2.73637665,0.17212953,0.23853380,0.70612778,1.63997501,0.01998065,0.05144092,0.01607639,0.90234314
-5.49574787,2.81537227,0.16930639,0.24218801,0.71107255,1.70698590,0.01955709,0.04975404,0.01653051,0.92764566
