energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.84088441,0.03819023,0.52422219,1.34724366,0.49092739,1.08371385,0.00000000,1.93753668,0.69430839
-5.99399700,2.84863224,0.03595542,0.51527613,1.37364215,0.49858801,1.10135434,0.00000000,1.87483947,0.69729600
-5.98799400,2.85543128,0.03369910,0.50611407,1.39982425,0.50564526,1.11880311,0.00000000,1.81259796,0.69998612
-5.98199100,2.86089572,0.03145076,0.49681199,1.42533478,0.51196513,1.13572335,0.00000000,1.75164895,0.70223649
-5.97598799,2.86452194,0.02923677,0.48742445,1.44966503,0.51739856,1.15173463,0.00000000,1.69272042,0.70387804
-5.96998499,2.86571083,0.02708003,0.47798478,1.47227001,0.52178731,1.16642575,0.00000000,1.63641901,0.70472192
-5.96398199,2.86379813,0.02499973,0.46850663,1.49258935,0.52497102,1.17937078,0.00000000,1.58322379,0.70456836
-5.95797899,2.85809131,0.02301128,0.45898682,1.51007121,0.52679531,1.19014741,0.00000000,1.53348611,0.70321697
-5.95197599,2.84791079,0.02112641,0.44940923,1.52419777,0.52712036,1.19835675,0.00000000,1.48743520,0.70047782
-5.94597299,2.83263322,0.01935341,0.43974945,1.53451104,0.52582950,1.20364351,0.00000000,1.44518856,0.69618281
-5.93996998,2.81173422,0.01769742,0.42997991,1.54063768,0.52283744,1.20571549,0.00000000,1.40676643,0.69019661
-5.93396698,2.78482813,0.01616083,0.42007513,1.54231122,0.51809736,1.20436114,0.00000000,1.37210900,0.68242646
-5.92796398,2.75170227,0.01474372,0.41001673,1.53939058,0.51160681,1.19946433,0.00000000,1.34109547,0.67283036
-5.92196098,2.71234385,0.01344431,0.39979800,1.53187366,0.50341170,1.19101524,0.00000000,1.31356350,0.66142320
-5.91595798,2.66695772,0.01225936,0.38942760,1.51990514,0.49360832,1.17911690,0.00000000,1.28932815,0.64828024
-5.90995498,2.61597392,0.01118461,0.37893242,1.50377800,0.48234324,1.16398671,0.00000000,1.26819905,0.63353803
-5.90395198,2.56004454,0.01021512,0.36835912,1.48392838,0.46981091,1.14595291,0.00000000,1.24999516,0.61739237
-5.89794897,2.50002989,0.00934553,0.35777465,1.46092410,0.45624922,1.12544602,0.00000000,1.23455614,0.60009371
-5.89194597,2.43697470,0.00857031,0.34726538,1.43544708,0.44193315,1.10298559,0.00000000,1.22175020,0.58193998
-5.88594297,2.37207551,0.00788394,0.33693522,1.40827063,0.42716677,1.07916289,0.00000000,1.21147780,0.56326734
-5.87993997,2.30664084,0.00728096,0.32690259,1.38023252,0.41227408,1.05462043,0.00000000,1.20367160,0.54443928
-5.87393697,2.24204628,0.00675608,0.31729663,1.35220522,0.39758905,1.03002914,0.00000000,1.19829258,0.52583457
-5.86793397,2.17968664,0.00630413,0.30825266,1.32506459,0.38344530,1.00606448,0.00000000,1.19532302,0.50783482
-5.86193097,2.12092748,0.00592005,0.29990737,1.29965866,0.37016607,0.98338245,0.00000000,1.19475687,0.49081196
-5.85592796,2.06705843,0.00559888,0.29239378,1.27677769,0.35805460,0.96259677,0.00000000,1.19658841,0.47511660
-5.84992496,2.01925041,0.00533564,0.28583640,1.25712726,0.34738574,0.94425821,0.00000000,1.20080002,0.46106734
-5.84392196,1.97851865,0.00512536,0.28034672,1.24130520,0.33839866,0.92883699,0.00000000,1.20735013,0.44894196
-5.83791896,1.94569307,0.00496298,0.27601935,1.22978357,0.33129138,0.91670894,0.00000000,1.21616215,0.43897039
-5.83191596,1.92139722,0.00484336,0.27292881,1.22289639,0.32621685,0.90814611,0.00000000,1.22711542,0.43133000
