energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.49291540,0.00884075,0.26595528,0.96976899,1.59510265,0.25954037,0.19988161,0.71042108,0.00000000
-5.99399700,2.46756657,0.00856112,0.26510959,0.98678871,1.56520888,0.25754345,0.20530565,0.71032569,0.00000000
-5.98799400,2.44082267,0.00828448,0.26373651,1.00504904,1.53456177,0.25555659,0.21067536,0.70936788,0.00000000
-5.98199100,2.41283941,0.00801437,0.26190807,1.02424538,1.50329828,0.25361052,0.21595983,0.70757550,0.00000000
-5.97598799,2.38380600,0.00775392,0.25969606,1.04406205,1.47158386,0.25173958,0.22112266,0.70499742,0.00000000
-5.96998499,2.35392069,0.00750584,0.25716798,1.06416863,1.43959545,0.24997996,0.22612189,0.70169645,0.00000000
-5.96398199,2.32337052,0.00727232,0.25438352,1.08421883,1.40750629,0.24836863,0.23091070,0.69774329,0.00000000
-5.95797899,2.29231644,0.00705500,0.25139187,1.10385245,1.37547378,0.24694285,0.23543872,0.69321195,0.00000000
-5.95197599,2.26088489,0.00685507,0.24823003,1.12270053,1.34363087,0.24574043,0.23965430,0.68817701,0.00000000
-5.94597299,2.22916641,0.00667328,0.24492205,1.14039399,1.31208165,0.24480077,0.24350727,0.68271287,0.00000000
-5.93996998,2.19722103,0.00651007,0.24147946,1.15657524,1.28090091,0.24416640,0.24695238,0.67689488,0.00000000
-5.93396698,2.16508988,0.00636569,0.23790256,1.17091231,1.25013785,0.24388516,0.24995298,0.67080223,0.00000000
-5.92796398,2.13281180,0.00624035,0.23418270,1.18311457,1.21982298,0.24401256,0.25248496,0.66452217,0.00000000
-5.92196098,2.10044339,0.00613437,0.23030514,1.19294914,1.18997783,0.24461411,0.25454045,0.65815509,0.00000000
-5.91595798,2.06808064,0.00604832,0.22625237,1.20025669,1.16062622,0.24576752,0.25613121,0.65181992,0.00000000
-5.90995498,2.03588000,0.00598313,0.22200769,1.20496546,1.13180611,0.24756420,0.25729131,0.64565909,0.00000000
-5.90395198,2.00407698,0.00594024,0.21755860,1.20710238,1.10358093,0.25011000,0.25807897,0.63984252,0.00000000
-5.89794897,1.97300019,0.00592166,0.21289994,1.20680011,1.07604917,0.25352493,0.25857725,0.63457002,0.00000000
-5.89194597,1.94307940,0.00593004,0.20803640,1.20429933,1.04935150,0.25794152,0.25889354,0.63007166,0.00000000
-5.88594297,1.91484627,0.00596866,0.20298431,1.19994552,1.02367442,0.26350200,0.25915778,0.62660564,0.00000000
-5.87993997,1.88892724,0.00604141,0.19777257,1.19418024,0.99925019,0.27035403,0.25951926,0.62445370,0.00000000
-5.87393697,1.86602824,0.00615278,0.19244255,1.18752679,0.97635266,0.27864525,0.26014232,0.62391387,0.00000000
-5.86793397,1.84691196,0.00630774,0.18704717,1.18057094,0.95528917,0.28851668,0.26120088,0.62529093,0.00000000
