energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.38227568,0.00020298,0.77361588,0.34526415,0.51864948,1.74715651,2.03058183,0.00908402,0.96376551
-5.99399700,4.30700329,0.00020749,0.75925612,0.33712492,0.51427791,1.71156340,1.99769192,0.00920285,0.94706456
-5.98799400,4.22867682,0.00021686,0.74492268,0.32888564,0.50907871,1.67533099,1.96313065,0.00934826,0.92918451
-5.98199100,4.14825974,0.00023125,0.73076793,0.32063899,0.50315936,1.63875129,1.92738535,0.00952247,0.91033379
-5.97598799,4.06672371,0.00025090,0.71692537,0.31248175,0.49664652,1.60211275,1.89093503,0.00972729,0.89075067
-5.96998499,3.98501523,0.00027610,0.70350458,0.30451204,0.48968122,1.56568894,1.85423473,0.00996403,0.87069549
-5.96398199,3.90402352,0.00030719,0.69058717,0.29682647,0.48241347,1.52972804,1.81770087,0.01023340,0.85044213
-5.95797899,3.82455145,0.00034453,0.67822401,0.28951746,0.47499659,1.49444378,1.78169858,0.01053539,0.83026913
-5.95197599,3.74729113,0.00038851,0.66643392,0.28267088,0.46758145,1.46000852,1.74653164,0.01086915,0.81045071
-5.94597299,3.67280529,0.00043950,0.65520414,0.27636392,0.46031100,1.42654894,1.71243550,0.01123299,0.79124828
-5.93996998,3.60151541,0.00049785,0.64449229,0.27066337,0.45331518,1.39414464,1.67957370,0.01162427,0.77290257
-5.93396698,3.53369691,0.00056386,0.63423014,0.26562438,0.44670658,1.36282970,1.64803785,0.01203938,0.75562666
-5.92796398,3.46948148,0.00063778,0.62432861,0.26128953,0.44057685,1.33259695,1.61785098,0.01247382,0.73960024
-5.92196098,3.40886583,0.00071973,0.61468402,0.25768828,0.43499410,1.30340476,1.58897397,0.01292215,0.72496508
-5.91595798,3.35172631,0.00080975,0.60518509,0.25483685,0.43000137,1.27518554,1.56131462,0.01337816,0.71182185
-5.90995498,3.29783811,0.00090773,0.59572033,0.25273823,0.42561605,1.24785558,1.53473875,0.01383491,0.70022835
-5.90395198,3.24689774,0.00101338,0.58618544,0.25138250,0.42183043,1.22132526,1.50908267,0.01428491,0.69019904
-5.89794897,3.19854753,0.00112627,0.57649022,0.25074734,0.41861320,1.19550909,1.48416628,0.01472028,0.68170589
-5.89194597,3.15240073,0.00124574,0.56656479,0.25079867,0.41591177,1.17033476,1.45980620,0.01513295,0.67468042
-5.88594297,3.10806585,0.00137096,0.55636462,0.25149135,0.41365536,1.14575071,1.43582821,0.01551485,0.66901681
-5.87993997,3.06516941,0.00150089,0.54587429,0.25277016,0.41175875,1.12173184,1.41207861,0.01585812,0.66457599
-5.87393697,3.02337601,0.00163426,0.53510973,0.25457075,0.41012630,1.09828290,1.38843389,0.01615534,0.66119059
-5.86793397,2.98240528,0.00176964,0.52411897,0.25682091,0.40865641,1.07543976,1.36480868,0.01639973,0.65867052
-5.86193097,2.94204524,0.00190542,0.51298136,0.25944197,0.40724591,1.05326832,1.34116155,0.01658535,0.65680921
-5.85592796,2.90216206,0.00203984,0.50180539,0.26235037,0.40579446,1.03186157,1.31749885,0.01670726,0.65539016
-5.84992496,2.86270617,0.00217104,0.49072530,0.26545960,0.40420867,1.01133500,1.29387639,0.01676168,0.65419376
-5.84392196,2.82371502,0.00229708,0.47989671,0.26868231,0.40240593,0.99182087,1.27039931,0.01674610,0.65300427
-5.83791896,2.78531270,0.00241602,0.46949146,0.27193265,0.40031767,0.97346176,1.24722019,0.01665938,0.65161651
-5.83191596,2.74770688,0.00252594,0.45969197,0.27512882,0.39789215,0.95640391,1.22453550,0.01650179,0.64984244
-5.82591296,2.71118324,0.00262502,0.45068536,0.27819574,0.39509653,0.94079086,1.20258085,0.01627498,0.64751715
-5.81990995,2.67609797,0.00271160,0.44265751,0.28106773,0.39191838,0.92675767,1.18162493,0.01598200,0.64450410
-5.81390695,2.64286832,0.00278419,0.43578739,0.28369109,0.38836645,0.91442603,1.16196256,0.01562723,0.64069966
-5.80790395,2.61196163,0.00284158,0.43024161,0.28602649,0.38447073,0.90390045,1.14390685,0.01521624,0.63603638
-5.80190095,2.58388301,0.00288282,0.42616956,0.28805099,0.38028196,0.89526566,1.12778071,0.01475570,0.63048528
-5.79589795,2.55916168,0.00290730,0.42369903,0.28975952,0.37587051,0.88858511,1.11390785,0.01425321,0.62405669
-5.78989495,2.53833637,0.00291477,0.42293248,0.29116588,0.37132468,0.88390045,1.10260336,0.01371717,0.61679983
-5.78389195,2.52193975,0.00290530,0.42394396,0.29230289,0.36674857,0.88123195,1.09416412,0.01315651,0.60880103
-5.77788894,2.51048229,0.00287935,0.42677676,0.29322191,0.36225959,0.88057951,1.08885912,0.01258060,0.60018058
-5.77188594,2.50443573,0.00283770,0.43144166,0.29399144,0.35798559,0.88192407,1.08692008,0.01199899,0.59108848
-5.76588294,2.50421666,0.00278144,0.43791593,0.29469510,0.35406179,0.88522933,1.08853245,0.01142126,0.58169906
-5.75987994,2.51017054,0.00271194,0.44614309,0.29542873,0.35062753,0.89044329,1.09382712,0.01085683,0.57220484
-5.75387694,2.52255673,0.00263080,0.45603330,0.29629703,0.34782292,0.89749982,1.10287324,0.01031478,0.56280973
-5.74787394,2.54153507,0.00253981,0.46746452,0.29740952,0.34578537,0.90631990,1.11567224,0.00980374,0.55372193
-5.74187094,2.56715444,0.00244087,0.48028439,0.29887638,0.34464626,0.91681249,1.13215356,0.00933168,0.54514679
-5.73586793,2.59934400,0.00233594,0.49431284,0.30080401,0.34452745,0.92887523,1.15217213,0.00890587,0.53727981
-5.72986493,2.63790730,0.00222700,0.50934536,0.30329065,0.34553805,0.94239472,1.17550793,0.00853272,0.53030017
-5.72386193,2.68251990,0.00211599,0.52515698,0.30642229,0.34777115,0.95724663,1.20186771,0.00821771,0.52436496
-5.71785893,2.73273037,0.00200474,0.54150678,0.31026897,0.35130086,0.97329575,1.23088890,0.00796532,0.51960422
-5.71185593,2.78796507,0.00189497,0.55814289,0.31488163,0.35617934,0.99039591,1.26214566,0.00777897,0.51611709
-5.70585293,2.84753636,0.00178821,0.57480788,0.32028975,0.36243434,1.00838999,1.29515701,0.00766096,0.51396907
-5.69984992,2.91065423,0.00168580,0.59124429,0.32649968,0.37006681,1.02711009,1.32939666,0.00761244,0.51319036
-5.69384692,2.97644079,0.00158889,0.60720025,0.33349399,0.37904911,1.04637792,1.36430439,0.00763339,0.51377551
-5.68784392,3.04394721,0.00149838,0.62243486,0.34123156,0.38932357,1.06600542,1.39929849,0.00772259,0.51568407
-5.68184092,3.11217261,0.00141499,0.63672329,0.34964864,0.40080165,1.08579564,1.43378888,0.00787764,0.51884234
-5.67583792,3.18008415,0.00133919,0.64986127,0.35866065,0.41336382,1.10554396,1.46719050,0.00809493,0.52314600
-5.66983492,3.24663766,0.00127128,0.66166892,0.36816468,0.42686008,1.12503954,1.49893646,0.00836970,0.52846349
-5.66383192,3.31079835,0.00121135,0.67199370,0.37804258,0.44111145,1.14406707,1.52849059,0.00869608,0.53464003
-5.65782891,3.37156074,0.00115933,0.68071247,0.38816451,0.45591220,1.16240864,1.55535887,0.00906712,0.54150205
-5.65182591,3.42796761,0.00111499,0.68773250,0.39839268,0.47103306,1.17984589,1.57909963,0.00947492,0.54886193
-5.64582291,3.47912718,0.00107800,0.69299156,0.40858524,0.48622539,1.19616230,1.59933204,0.00991071,0.55652280
-5.63981991,3.52422850,0.00104788,0.69645701,0.41860016,0.50122610,1.21114552,1.61574275,0.01036498,0.56428337
-5.63381691,3.56255456,0.00102409,0.69812408,0.42829881,0.51576345,1.22458992,1.62809071,0.01082769,0.57194258
-5.62781391,3.59349323,0.00100600,0.69801344,0.43754929,0.52956346,1.23629909,1.63620989,0.01128841,0.57930398
-5.62181091,3.61654562,0.00099295,0.69616823,0.44622935,0.54235675,1.24608849,1.64001017,0.01173654,0.58617981
-5.61580790,3.63133225,0.00098422,0.69265069,0.45422878,0.55388574,1.25378812,1.63947624,0.01216158,0.59239464
-5.60980490,3.63759672,0.00097908,0.68753871,0.46145132,0.56391178,1.25924518,1.63466496,0.01255333,0.59778857
-5.60380190,3.63520729,0.00097679,0.68092229,0.46781595,0.57222205,1.26232678,1.62570100,0.01290218,0.60221997
-5.59779890,3.62415619,0.00097663,0.67290034,0.47325781,0.57863591,1.26292257,1.61277124,0.01319932,0.60556774
-5.59179590,3.60455695,0.00097788,0.66357765,0.47772849,0.58301054,1.26094730,1.59611809,0.01343701,0.60773307
-5.58579290,3.57663978,0.00097987,0.65306246,0.48119600,0.58524537,1.25634322,1.57603175,0.01360878,0.60864071
-5.57978989,3.54074513,0.00098197,0.64146441,0.48364435,0.58528540,1.24908229,1.55284197,0.01370962,0.60823977
-5.57378689,3.49731552,0.00098361,0.62889307,0.48507286,0.58312295,1.23916798,1.52690922,0.01373615,0.60650405
-5.56778389,3.44688562,0.00098428,0.61545705,0.48549521,0.57879796,1.22663670,1.49861567,0.01368669,0.60343192
-5.56178089,3.39007090,0.00098354,0.60126342,0.48493836,0.57239654,1.21155869,1.46835608,0.01356134,0.59904567
-5.55577789,3.32755476,0.00098104,0.58641759,0.48344132,0.56404809,1.19403818,1.43652880,0.01336197,0.59339045
-5.54977489,3.26007440,0.00097651,0.57102344,0.48105384,0.55392083,1.17421283,1.40352708,0.01309216,0.58653276
-5.54377189,3.18840563,0.00096976,0.55518357,0.47783500,0.54221602,1.15225233,1.36973089,0.01275713,0.57855840
-5.53776888,3.11334674,0.00096069,0.53899950,0.47385170,0.52916109,1.12835599,1.33549931,0.01236352,0.56957008
-5.53176588,3.03570200,0.00094928,0.52257187,0.46917709,0.51500192,1.10274947,1.30116376,0.01191928,0.55968454
-5.52576288,2.95626480,0.00093557,0.50600035,0.46388893,0.49999464,1.07568049,1.26702211,0.01143336,0.54902937
-5.51975988,2.87580125,0.00091968,0.48938331,0.45806780,0.48439723,1.04741375,1.23333393,0.01091550,0.53773947
-5.51375688,2.79503434,0.00090179,0.47281723,0.45179531,0.46846131,1.01822501,1.20031688,0.01037598,0.52595334
-5.50775388,2.71462944,0.00088209,0.45639572,0.44515217,0.45242441,0.98839466,1.16814438,0.00982529,0.51380925
-5.50175088,2.63518142,0.00086085,0.44020831,0.43821633,0.43650308,0.95820088,1.13694465,0.00927393,0.50144142
-5.49574787,2.55720406,0.00083833,0.42433908,0.43106108,0.42088704,0.92791272,1.10680107,0.00873213,0.48897633
-5.48974487,2.48112191,0.00081478,0.40886507,0.42375331,0.40573467,0.89778332,1.07775396,0.00820962,0.47652938
-5.48374187,2.40726521,0.00079049,0.39385472,0.41635191,0.39116987,0.86804363,1.04980358,0.00771544,0.46420190
-5.47773887,2.33586789,0.00076569,0.37936645,0.40890648,0.37728046,0.83889689,1.02291431,0.00725778,0.45207883
-5.47173587,2.26706877,0.00074061,0.36544737,0.40145633,0.36411811,0.81051407,0.99701984,0.00684383,0.44022692
-5.46573287,2.20091598,0.00071545,0.35213231,0.39402990,0.35169967,0.78303063,0.97202915,0.00647972,0.42869381
-5.45972986,2.13737421,0.00069036,0.33944326,0.38664460,0.34000985,0.75654455,0.94783296,0.00617038,0.41750782
-5.45372686,2.07633466,0.00066546,0.32738925,0.37930717,0.32900502,0.73111591,0.92431048,0.00591956,0.40667855
-5.44772386,2.01762699,0.00064084,0.31596662,0.37201444,0.31861795,0.70676791,0.90133605,0.00572982,0.39619822
-5.44172086,1.96103269,0.00061656,0.30515977,0.36475452,0.30876314,0.68348926,0.87878551,0.00560248,0.38604369
-5.43571786,1.90629940,0.00059263,0.29494237,0.35750837,0.29934252,0.66123787,0.85654182,0.00553768,0.37617899
-5.42971486,1.85315522,0.00056905,0.28527879,0.35025159,0.29025131,0.63994550,0.83449992,0.00553440,0.36655833
-5.42371186,1.80132251,0.00054581,0.27612589,0.34295647,0.28138362,0.61952320,0.81257048,0.00559051,0.35712927
-5.41770885,1.75053051,0.00052286,0.26743488,0.33559394,0.27263767,0.59986721,0.79068252,0.00570282,0.34783599
-5.41170585,1.70052625,0.00050019,0.25915332,0.32813563,0.26392036,0.58086501,0.76878472,0.00586714,0.33862249
-5.40570285,1.65108352,0.00047775,0.25122700,0.32055567,0.25515113,0.56240120,0.74684571,0.00607833,0.32943548
-5.39969985,1.60200941,0.00045554,0.24360172,0.31283227,0.24626479,0.54436301,0.72485307,0.00633041,0.32022695
-5.39369685,1.55314864,0.00043354,0.23622488,0.30494903,0.23721358,0.52664509,0.70281163,0.00661659,0.31095625
-5.38769385,1.50438564,0.00041177,0.22904684,0.29689589,0.22796807,0.50915361,0.68074096,0.00692946,0.30159162
-5.38169085,1.45564466,0.00039027,0.22202197,0.28866977,0.21851736,0.49180934,0.65867251,0.00726100,0.29211118
-5.37568784,1.40688827,0.00036911,0.21510949,0.28027486,0.20886825,0.47454983,0.63664660,0.00760281,0.28250345
