energy_ev,total_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.23489861,0.60445853,0.15642232,0.48560272,0.00000000,0.08629788,0.11382870,0.57548751,0.00000000
-5.99399700,1.26940802,0.62929543,0.16220066,0.49412899,0.00000000,0.08794202,0.12059328,0.58419726,0.00000000
-5.98799400,1.30199865,0.65370868,0.16773640,0.50171013,0.00000000,0.08933352,0.12719266,0.59210556,0.00000000
-5.98199100,1.33163301,0.67707638,0.17288708,0.50800436,0.00000000,0.09041011,0.13350110,0.59878662,0.00000000
-5.97598799,1.35735314,0.69879974,0.17751779,0.51271681,0.00000000,0.09111771,0.13939657,0.60385953,0.00000000
-5.96998499,1.37831415,0.71832425,0.18150572,0.51561000,0.00000000,0.09141210,0.14476512,0.60700200,0.00000000
-5.96398199,1.39381416,0.73515995,0.18474444,0.51651256,0.00000000,0.09126021,0.14950506,0.60796177,0.00000000
-5.95797899,1.40331944,0.74890014,0.18714763,0.51532558,0.00000000,0.09064100,0.15353104,0.60656544,0.00000000
-5.95197599,1.40648383,0.75923745,0.18865211,0.51202662,0.00000000,0.08954592,0.15677761,0.60272432,0.00000000
-5.94597299,1.40316168,0.76597692,0.18922013,0.50667104,0.00000000,0.08797888,0.15920227,0.59643727,0.00000000
-5.93996998,1.39341360,0.76904509,0.18884060,0.49939083,0.00000000,0.08595588,0.16078767,0.58779023,0.00000000
-5.93396698,1.37750511,0.76849492,0.18752953,0.49039070,0.00000000,0.08350419,0.16154306,0.57695275,0.00000000
-5.92796398,1.35589777,0.76450605,0.18532931,0.47994185,0.00000000,0.08066120,0.16150467,0.56417159,0.00000000
-5.92196098,1.32923350,0.75738032,0.18230709,0.46837343,0.00000000,0.07747299,0.16073508,0.54976158,0.00000000
-5.91595798,1.29831237,0.74753267,0.17855222,0.45606205,0.00000000,0.07399267,0.15932160,0.53409424,0.00000000
-5.90995498,1.26406475,0.73547750,0.17417289,0.44341968,0.00000000,0.07027859,0.15737360,0.51758452,0.00000000
-5.90395198,1.22751895,0.72181119,0.16929206,0.43088028,0.00000000,0.06639240,0.15501891,0.50067616,0.00000000
-5.89794897,1.18976531,0.70719108,0.16404295,0.41888564,0.00000000,0.06239721,0.15239949,0.48382615,0.00000000
-5.89194597,1.15191831,0.69231194,0.15856413,0.40787078,0.00000000,0.05835569,0.14966637,0.46748889,0.00000000
-5.88594297,1.11507784,0.67788056,0.15299457,0.39824939,0.00000000,0.05432837,0.14697421,0.45210064,0.00000000
-5.87993997,1.08029118,0.66458958,0.14746869,0.39039982,0.00000000,0.05037208,0.14447555,0.43806455,0.00000000
-5.87393697,1.04851697,0.65309144,0.14211178,0.38465191,0.00000000,0.04653861,0.14231504,0.42573708,0.00000000
-5.86793397,1.02059247,0.64397339,0.13703582,0.38127516,0.00000000,0.04287359,0.14062395,0.41541594,0.00000000
-5.86193097,0.99720524,0.63773466,0.13233591,0.38046862,0.00000000,0.03941564,0.13951498,0.40733016,0.00000000
-5.85592796,0.97887012,0.63476653,0.12808750,0.38235277,0.00000000,0.03619583,0.13907775,0.40163247,0.00000000
-5.84992496,0.96591251,0.63533613,0.12434436,0.38696373,0.00000000,0.03323734,0.13937511,0.39839422,0.00000000
-5.84392196,0.95845818,0.63957458,0.12113752,0.39425001,0.00000000,0.03055542,0.14044034,0.39760307,0.00000000
-5.83791896,0.95643022,0.64747002,0.11847506,0.40407199,0.00000000,0.02815758,0.14227547,0.39916342,0.00000000
-5.83191596,0.95955294,0.65886575,0.11634276,0.41620417,0.00000000,0.02604398,0.14485072,0.40289963,0.00000000
-5.82591296,0.96736271,0.67346369,0.11470565,0.43034018,0.00000000,0.02420807,0.14810514,0.40856186,0.00000000
-5.81990995,0.97922524,0.69083301,0.11351018,0.44610063,0.00000000,0.02263725,0.15194837,0.41583433,0.00000000
-5.81390695,0.99435860,0.71042368,0.11268709,0.46304333,0.00000000,0.02131379,0.15626357,0.42434579,0.00000000
-5.80790395,1.01186120,0.73158449,0.11215472,0.48067593,0.00000000,0.02021575,0.16091128,0.43368178,0.00000000
-5.80190095,1.03074371,0.75358486,0.11182264,0.49847031,0.00000000,0.01931796,0.16573418,0.44339823,0.00000000
-5.79589795,1.04996359,0.77563966,0.11159552,0.51587847,0.00000000,0.01859306,0.17056253,0.45303604,0.00000000
-5.78989495,1.06846118,0.79693604,0.11137690,0.53234935,0.00000000,0.01801247,0.17522009,0.46213604,0.00000000
-5.78389195,1.08519581,0.81666138,0.11107299,0.54734585,0.00000000,0.01754735,0.17953021,0.47025383,0.00000000
-5.77788894,1.09918071,0.83403105,0.11059604,0.56036169,0.00000000,0.01716950,0.18332204,0.47697400,0.00000000
-5.77188594,1.10951552,0.84831513,0.10986741,0.57093717,0.00000000,0.01685214,0.18643637,0.48192316,0.00000000
-5.76588294,1.11541501,0.85886286,0.10882019,0.57867357,0.00000000,0.01657060,0.18873107,0.48478137,0.00000000
