energy_ev,total_up,In_p_up,In_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.46069042,0.07873530,0.00128551,0.43848744,0.76636290,0.00639000,0.80078067
-5.99399700,1.45229592,0.07415140,0.00120971,0.43626090,0.76749975,0.00573225,0.80554968
-5.98799400,1.46234356,0.07052684,0.00115070,0.43981681,0.77813004,0.00515108,0.82055486
-5.98199100,1.49072078,0.06786197,0.00110874,0.44913164,0.79821726,0.00464747,0.84570428
-5.97598799,1.53695477,0.06613774,0.00108380,0.46407350,0.82753915,0.00422102,0.88070462
-5.96998499,1.60023321,0.06531754,0.00107559,0.48440730,0.86569985,0.00387022,0.92507022
-5.96398199,1.67943305,0.06534922,0.00108360,0.50980250,0.91214629,0.00359259,0.97813698
-5.95797899,1.77315682,0.06616752,0.00110713,0.53984318,0.96618844,0.00338499,1.03908090
-5.95197599,1.87977592,0.06769654,0.00114534,0.57404063,1.02702292,0.00324381,1.10694115
-5.94597299,1.99748016,0.06985242,0.00119726,0.61184793,1.09375979,0.00316516,1.18064720
-5.93996998,2.12433248,0.07254611,0.00126184,0.65267662,1.16545167,0.00314514,1.25904972
-5.93396698,2.25832801,0.07568614,0.00133798,0.69591493,1.24112467,0.00317996,1.34095446
-5.92796398,2.39745573,0.07918135,0.00142459,0.74094720,1.31981026,0.00326612,1.42515842
-5.92196098,2.53976142,0.08294368,0.00152060,0.78717402,1.40057723,0.00340059,1.51048725
-5.91595798,2.68340973,0.08689068,0.00162497,0.83403250,1.48256259,0.00358086,1.59583272
-5.90995498,2.82674350,0.09094805,0.00173678,0.88101584,1.56500046,0.00380510,1.68018899
-5.90395198,2.96833816,0.09505174,0.00185521,0.92769162,1.64724777,0.00407217,1.76268627
-5.89794897,3.10704891,0.09914999,0.00197958,0.97371794,1.72880562,0.00438171,1.84262049
-5.89194597,3.24204868,0.10320483,0.00210934,1.01885669,1.80933540,0.00473414,1.91947763
-5.88594297,3.37285509,0.10719336,0.00224415,1.06298328,1.88866878,0.00513065,1.99295138
-5.87993997,3.49934472,0.11110850,0.00238384,1.10609216,1.96681084,0.00557323,2.06295333
-5.87393697,3.62175379,0.11495927,0.00252840,1.14829777,2.04393601,0.00606455,2.12961469
-5.86793397,3.74066457,0.11877063,0.00267803,1.18983061,2.12037676,0.00660795,2.19327932
-5.86193097,3.85697775,0.12258278,0.00283311,1.23102841,2.19660508,0.00720730,2.25448798
-5.85592796,3.97187124,0.12644998,0.00299418,1.27232243,2.27320754,0.00786694,2.31395414
-5.84992496,4.08674684,0.13043885,0.00316191,1.31421945,2.35085442,0.00859150,2.37253206
-5.84392196,4.20316651,0.13462631,0.00333712,1.35727991,2.43026446,0.00938576,2.43117841
-5.83791896,4.32278071,0.13909706,0.00352069,1.40209298,2.51216617,0.01025445,2.49090868
-5.83191596,4.44725132,0.14394077,0.00371357,1.44924956,2.59725755,0.01120210,2.55275017
-5.82591296,4.57817240,0.14924897,0.00391672,1.49931419,2.68616565,0.01223273,2.61769348
-5.81990995,4.71699164,0.15511175,0.00413108,1.55279714,2.77940778,0.01334971,2.68664428
-5.81390695,4.86493577,0.16161441,0.00435751,1.61012758,2.87735592,0.01455544,2.76037751
-5.80790395,5.02294294,0.16883398,0.00459675,1.67162926,2.98020588,0.01585118,2.83949582
-5.80190095,5.19160466,0.17683586,0.00484938,1.73749956,3.08795263,0.01723670,2.92439392
-5.79589795,5.37111980,0.18567059,0.00511577,1.80779292,3.20037281,0.01871013,3.01523038
-5.78989495,5.56126259,0.19537083,0.00539607,1.88240948,3.31701542,0.02026772,3.11190811
-5.78389195,5.76136594,0.20594864,0.00569016,1.96108960,3.43720110,0.02190365,3.21406431
-5.77788894,5.97032118,0.21739318,0.00599761,2.04341449,3.56003049,0.02360988,3.32107052
-5.77188594,6.18659425,0.22966888,0.00631773,2.12881343,3.68440133,0.02537611,3.43204277
-5.76588294,6.40825849,0.24271422,0.00664950,2.21657725,3.80903417,0.02718973,3.54586182
-5.75987994,6.63304289,0.25644105,0.00699165,2.30587805,3.93250582,0.02903591,3.66120280
-5.75387694,6.85839468,0.27073477,0.00734264,2.39579437,4.05328972,0.03089774,3.77657342
-5.74787394,7.08155435,0.28545517,0.00770071,2.48534134,4.16980198,0.03275649,3.89035961
-5.74187094,7.29964093,0.30043818,0.00806394,2.57350455,4.28045166,0.03459193,4.00087713
-5.73586793,7.50974477,0.31549842,0.00843033,2.65927671,4.38369379,0.03638277,4.10642755
-5.72986493,7.70902484,0.33043258,0.00879782,2.74169564,4.47808324,0.03810722,4.20535675
-5.72386193,7.89480742,0.34502363,0.00916439,2.81988217,4.56232788,0.03974349,4.29611408
-5.71785893,8.06468264,0.35904575,0.00952816,2.89307644,4.63533898,0.04127053,4.37731011
-5.71185593,8.21659542,0.37226988,0.00988739,2.96067111,4.69627717,0.04266863,4.44777109
-5.70585293,8.34892752,0.38446971,0.01024060,3.02223990,4.74459217,0.04392019,4.50658791
-5.69984992,8.46056714,0.39542800,0.01058660,3.07756022,4.78005469,0.04501031,4.55315800
-5.69384692,8.55096337,0.40494295,0.01092452,3.12662861,4.80277900,0.04592746,4.58721819
-5.68784392,8.62016274,0.41283449,0.01125380,3.16966806,4.81323515,0.04666404,4.60886725
-5.68184092,8.66882589,0.41895005,0.01157420,3.20712665,4.81224976,0.04721679,4.61857681
-5.67583792,8.69822292,0.42316985,0.01188578,3.23966722,4.80099497,0.04758712,4.61718980
-5.66983492,8.71020690,0.42541123,0.01218881,3.26814804,4.78096535,0.04778127,4.60590614
-5.66383192,8.70716571,0.42563195,0.01248372,3.29359530,4.75394308,0.04781034,4.58625546
-5.65782891,8.69195316,0.42383230,0.01277099,3.31716801,4.72195204,0.04769011,4.56005751
-5.65182591,8.66780164,0.42005581,0.01305106,3.34011685,4.68720207,0.04744068,4.52937114
-5.64582291,8.63821883,0.41438865,0.01332425,3.36373846,4.65202486,0.04708602,4.49643335
-5.63981991,8.60687222,0.40695753,0.01359058,3.38932711,4.61880360,0.04665326,4.46359029
-5.63381691,8.57746560,0.39792633,0.01384978,3.41812583,4.58989851,0.04617194,4.43322256
-5.62781391,8.55361214,0.38749157,0.01410114,3.45127895,4.56757095,0.04567312,4.40766732
-5.62181091,8.53870916,0.37587672,0.01434346,3.48978841,4.55390878,0.04518842,4.38914023
-5.61580790,8.53581933,0.36332586,0.01457506,3.53447551,4.55075572,0.04474900,4.37966005
-5.60980490,8.54756333,0.35009671,0.01479377,3.58594991,4.55964736,0.04438459,4.38097879
-5.60380190,8.57602814,0.33645340,0.01499695,3.64458716,4.58175647,0.04412253,4.39452031
-5.59779890,8.62269467,0.32265934,0.01518158,3.71051565,4.61784954,0.04398685,4.42132971
-5.59179590,8.68838768,0.30897030,0.01534435,3.78361343,4.66825660,0.04399752,4.46203556
-5.58579290,8.77324964,0.29562813,0.01548179,3.86351474,4.73285528,0.04416978,4.51682653
-5.57978989,8.87673948,0.28285515,0.01559038,3.94962563,4.81107003,0.04451369,4.58544323
-5.57378689,8.99765566,0.27084958,0.01566674,4.04114774,4.90188627,0.04503377,4.66718549
-5.56778389,9.13418224,0.25978195,0.01570778,4.13710862,5.00387914,0.04572890,4.76093466
-5.56178089,9.28395536,0.24979262,0.01571081,4.23639692,5.11525549,0.04659242,4.86518976
