energy_ev,total_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.40758759,0.69490450,0.45585918,1.51153715,0.56606250,0.00430560,0.48015533,0.98308634,0.00000000
-5.99399700,2.40034365,0.68936347,0.45924477,1.44790293,0.57040220,0.00402458,0.48380363,0.97655677,0.00000000
-5.98799400,2.39850864,0.68636381,0.46214488,1.38778546,0.57655704,0.00375714,0.48877923,0.97273169,0.00000000
-5.98199100,2.40287509,0.68631218,0.46461846,1.33216118,0.58468164,0.00350597,0.49519445,0.97200728,0.00000000
-5.97598799,2.41413269,0.68956859,0.46673598,1.28191531,0.59489656,0.00327317,0.50312979,0.97473294,0.00000000
-5.96998499,2.43285610,0.69643945,0.46857754,1.23783310,0.60728501,0.00306031,0.51263241,0.98120543,0.00000000
-5.96398199,2.45949465,0.70717169,0.47023044,1.20059339,0.62189026,0.00286844,0.52371528,0.99166389,0.00000000
-5.95797899,2.49436396,0.72194795,0.47178637,1.17076412,0.63871380,0.00269817,0.53635715,1.00628585,0.00000000
-5.95197599,2.53763963,0.74088285,0.47333835,1.14879953,0.65771433,0.00254975,0.55050331,1.02518408,0.00000000
-5.94597299,2.58935315,0.76402056,0.47497756,1.13503855,0.67880770,0.00242309,0.56606687,1.04840460,0.00000000
-5.93996998,2.64938997,0.79133350,0.47679012,1.12970423,0.70186764,0.00231790,0.58293082,1.07592557,0.00000000
-5.93396698,2.71748994,0.82272236,0.47885410,1.13290365,0.72672750,0.00223376,0.60095051,1.10765734,0.00000000
-5.92796398,2.79324997,0.85801729,0.48123676,1.14462837,0.75318276,0.00217015,0.61995663,1.14344340,0.00000000
-5.92196098,2.87612894,0.89698037,0.48399220,1.16475503,0.78099438,0.00212654,0.63975851,1.18306247,0.00000000
-5.91595798,2.96545478,0.93930928,0.48715946,1.19304635,0.80989289,0.00210244,0.66014772,1.22623142,0.00000000
-5.90995498,3.06043360,0.98464199,0.49076117,1.22915230,0.83958302,0.00209743,0.68090177,1.27260917,0.00000000
-5.90395198,3.16016053,1.03256254,0.49480280,1.27261187,0.86974879,0.00211115,0.70178794,1.32180130,0.00000000
-5.89794897,3.26363234,1.08260761,0.49927237,1.32285546,0.90005900,0.00214337,0.72256700,1.37336546,0.00000000
-5.89194597,3.36976127,1.13427382,0.50414085,1.37920833,0.93017280,0.00219391,0.74299689,1.42681725,0.00000000
-5.88594297,3.47738998,1.18702556,0.50936291,1.44089530,0.95974531,0.00226267,0.76283617,1.48163659,0.00000000
-5.87993997,3.58530734,1.24030303,0.51487827,1.50704712,0.98843313,0.00234954,0.78184722,1.53727444,0.00000000
-5.87393697,3.69226472,1.29353053,0.52061324,1.57670869,1.01589965,0.00245442,0.79979925,1.59315968,0.00000000
-5.86793397,3.79699256,1.34612455,0.52648270,1.64884940,1.04181991,0.00257713,0.81647091,1.64870603,0.00000000
-5.86193097,3.89821703,1.39750170,0.53239215,1.72237575,1.06588521,0.00271735,0.83165271,1.70331906,0.00000000
-5.85592796,3.99467657,1.44708615,0.53823994,1.79614623,1.08780709,0.00287460,0.84514918,1.75640299,0.00000000
