energy_ev,total_up,P_s_up,P_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.28131194,0.00614474,0.00462920,0.04803122,0.01437636,0.20339821,0.00000000
-5.99399700,0.28097960,0.00611704,0.00369832,0.04703362,0.01413139,0.20445064,0.00000000
-5.98799400,0.28035242,0.00605230,0.00293369,0.04606736,0.01398904,0.20505636,0.00000000
-5.98199100,0.27945007,0.00595282,0.00231067,0.04511751,0.01393893,0.20526397,0.00000000
-5.97598799,0.27832055,0.00582168,0.00180709,0.04417599,0.01397244,0.20513980,0.00000000
-5.96998499,0.27703358,0.00566251,0.00140332,0.04324065,0.01408237,0.20476286,0.00000000
-5.96398199,0.27567306,0.00547941,0.00108218,0.04231420,0.01426257,0.20421928,0.00000000
-5.95797899,0.27432894,0.00527681,0.00082884,0.04140290,0.01450745,0.20359645,0.00000000
-5.95197599,0.27308918,0.00505924,0.00063067,0.04051525,0.01481154,0.20297718,0.00000000
-5.94597299,0.27203197,0.00483126,0.00047704,0.03966062,0.01516902,0.20243418,0.00000000
-5.93996998,0.27121891,0.00459726,0.00035911,0.03884805,0.01557340,0.20202526,0.00000000
-5.93396698,0.27068940,0.00436132,0.00026967,0.03808514,0.01601719,0.20178937,0.00000000
-5.92796398,0.27045647,0.00412714,0.00020288,0.03737715,0.01649169,0.20174387,0.00000000
-5.92196098,0.27050454,0.00389791,0.00015417,0.03672639,0.01698695,0.20188297,0.00000000
-5.91595798,0.27078884,0.00367627,0.00012002,0.03613183,0.01749178,0.20217765,0.00000000
-5.90995498,0.27123693,0.00346428,0.00009788,0.03558902,0.01799391,0.20257688,0.00000000
-5.90395198,0.27175191,0.00326339,0.00008605,0.03509027,0.01848029,0.20301025,0.00000000
-5.89794897,0.27221728,0.00307450,0.00008358,0.03462507,0.01893745,0.20339165,0.00000000
-5.89194597,0.27250320,0.00289798,0.00009029,0.03418075,0.01935195,0.20362406,0.00000000
-5.88594297,0.27247380,0.00273375,0.00010670,0.03374330,0.01971093,0.20360498,0.00000000
-5.87993997,0.27199511,0.00258135,0.00013411,0.03329830,0.02000266,0.20323238,0.00000000
-5.87393697,0.27094336,0.00244004,0.00017460,0.03283198,0.02021709,0.20241079,0.00000000
-5.86793397,0.26921305,0.00230888,0.00023117,0.03233220,0.02034644,0.20105725,0.00000000
-5.86193097,0.26672463,0.00218685,0.00030779,0.03178949,0.02038571,0.19910688,0.00000000
-5.85592796,0.26343131,0.00207293,0.00040963,0.03119799,0.02033308,0.19651779,0.00000000
-5.84992496,0.25932478,0.00196617,0.00054313,0.03055621,0.02019034,0.19327509,0.00000000
-5.84392196,0.25443959,0.00186579,0.00071625,0.02986776,0.01996314,0.18939395,0.00000000
-5.83791896,0.24885609,0.00177121,0.00093867,0.02914179,0.01966117,0.18492154,0.00000000
-5.83191596,0.24270188,0.00168213,0.00122195,0.02839330,0.01929818,0.17993773,0.00000000
-5.82591296,0.23615160,0.00159850,0.00157976,0.02764332,0.01889201,0.17455480,0.00000000
-5.81990995,0.22942541,0.00152061,0.00202809,0.02691878,0.01846436,0.16891594,0.00000000
-5.81390695,0.22278588,0.00144904,0.00258535,0.02625229,0.01804058,0.16319277,0.00000000
