energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.05382443,0.03772262,0.00000000,0.00000111,0.00400342,0.04262548,0.01562522
-5.99399700,0.06204726,0.04348556,0.00000000,0.00000127,0.00461503,0.04913743,0.01801231
-5.98799400,0.07101266,0.04976892,0.00000000,0.00000146,0.00528187,0.05623745,0.02061497
-5.98199100,0.08068985,0.05655113,0.00000000,0.00000166,0.00600165,0.06390115,0.02342425
-5.97598799,0.09102736,0.06379614,0.00000000,0.00000187,0.00677054,0.07208780,0.02642523
-5.96998499,0.10195181,0.07145249,0.00000000,0.00000209,0.00758310,0.08073926,0.02959660
-5.96398199,0.11336732,0.07945300,0.00000000,0.00000233,0.00843217,0.08977961,0.03291052
-5.95797899,0.12515575,0.08771487,0.00000000,0.00000257,0.00930899,0.09911528,0.03633270
-5.95197599,0.13717775,0.09614044,0.00000000,0.00000282,0.01020317,0.10863592,0.03982268
-5.94597299,0.14927480,0.10461860,0.00000000,0.00000307,0.01110294,0.11821601,0.04333446
-5.93996998,0.16127212,0.11302687,0.00000000,0.00000331,0.01199529,0.12771710,0.04681728
-5.93396698,0.17298245,0.12123401,0.00000000,0.00000355,0.01286630,0.13699092,0.05021679
-5.92796398,0.18421068,0.12910326,0.00000000,0.00000378,0.01370145,0.14588294,0.05347635
-5.92196098,0.19475901,0.13649600,0.00000000,0.00000400,0.01448602,0.15423652,0.05653854
-5.91595798,0.20443270,0.14327575,0.00000000,0.00000420,0.01520554,0.16189741,0.05934683
-5.90995498,0.21304592,0.14931226,0.00000000,0.00000438,0.01584619,0.16871847,0.06184728
-5.90395198,0.22042773,0.15448574,0.00000000,0.00000453,0.01639524,0.17456429,0.06399026
-5.89794897,0.22642766,0.15869071,0.00000000,0.00000465,0.01684151,0.17931571,0.06573211
-5.89194597,0.23092083,0.16183964,0.00000000,0.00000474,0.01717571,0.18287379,0.06703658
-5.88594297,0.23381230,0.16386599,0.00000001,0.00000480,0.01739078,0.18516331,0.06787613
-5.87993997,0.23504043,0.16472652,0.00000001,0.00000483,0.01748213,0.18613540,0.06823290
-5.87393697,0.23457907,0.16440288,0.00000002,0.00000482,0.01744782,0.18576929,0.06809932
-5.86793397,0.23243859,0.16290230,0.00000002,0.00000478,0.01728863,0.18407305,0.06747847
-5.86193097,0.22866552,0.16025732,0.00000004,0.00000470,0.01700800,0.18108337,0.06638394
-5.85592796,0.22334101,0.15652472,0.00000006,0.00000459,0.01661199,0.17686429,0.06483937
-5.84992496,0.21657801,0.15178354,0.00000008,0.00000446,0.01610899,0.17150494,0.06287774
-5.84392196,0.20851753,0.14613244,0.00000012,0.00000430,0.01550950,0.16511654,0.06054017
-5.83791896,0.19932399,0.13968639,0.00000017,0.00000412,0.01482575,0.15782866,0.05787470
-5.83191596,0.18917993,0.13257301,0.00000025,0.00000392,0.01407133,0.14978504,0.05493473
-5.82591296,0.17828052,0.12492862,0.00000035,0.00000371,0.01326076,0.14113907,0.05177744
-5.81990995,0.16682783,0.11689426,0.00000050,0.00000350,0.01240909,0.13204925,0.04846225
-5.81390695,0.15502543,0.10861181,0.00000071,0.00000328,0.01153147,0.12267476,0.04504921
-5.80790395,0.14307340,0.10022042,0.00000099,0.00000307,0.01064280,0.11317133,0.04159769
-5.80190095,0.13116394,0.09185346,0.00000138,0.00000288,0.00975742,0.10368769,0.03816515
-5.79589795,0.11947794,0.08363591,0.00000191,0.00000271,0.00888882,0.09436251,0.03480628
-5.78989495,0.10818240,0.07568256,0.00000262,0.00000258,0.00804947,0.08532223,0.03157231
-5.78389195,0.09742896,0.06809682,0.00000356,0.00000249,0.00725072,0.07667955,0.02851077
-5.77788894,0.08735343,0.06097026,0.00000481,0.00000245,0.00650273,0.06853274,0.02566552
-5.77188594,0.07807645,0.05438294,0.00000644,0.00000248,0.00581461,0.06096577,0.02307706
-5.76588294,0.06970496,0.04840429,0.00000858,0.00000260,0.00519441,0.05404911,0.02078318
-5.75987994,0.06233460,0.04309461,0.00001134,0.00000283,0.00464942,0.04784114,0.01881988
