energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,1.39618791,1.20102468,0.41681371,0.03466927,0.00095326,0.00635688,1.01747573
-5.99399700,1.45563158,1.26886737,0.42472360,0.03589212,0.00100098,0.00673912,1.06027149
-5.98799400,1.51463602,1.33494610,0.43285721,0.03709303,0.00105010,0.00710535,1.10262061
-5.98199100,1.57245125,1.39839575,0.44115268,0.03823989,0.00109982,0.00744997,1.14400183
-5.97598799,1.62840984,1.45843132,0.44957690,0.03930229,0.00114937,0.00776796,1.18395782
-5.96998499,1.68194874,1.51437511,0.45812673,0.04025253,0.00119797,0.00805498,1.22211102
-5.96398199,1.73262731,1.56568024,0.46682909,0.04106647,0.00124491,0.00830755,1.25817665
-5.95797899,1.78014057,1.61194946,0.47573970,0.04172430,0.00128956,0.00852309,1.29197201
-5.95197599,1.82432685,1.65294796,0.48494061,0.04221113,0.00133132,0.00870002,1.32342181
-5.94597299,1.86516948,1.68860966,0.49453641,0.04251736,0.00136970,0.00883777,1.35255873
-5.93996998,1.90279204,1.71903624,0.50464930,0.04263885,0.00140428,0.00893676,1.37951948
-5.93396698,1.93744751,1.74448922,0.51541312,0.04257689,0.00143473,0.00899836,1.40453598
-5.92796398,1.96950151,1.76537498,0.52696643,0.04233796,0.00146079,0.00902483,1.42792225
-5.92196098,1.99941050,1.78222371,0.53944508,0.04193326,0.00148228,0.00901915,1.45005745
-5.91595798,2.02769571,1.79566310,0.55297435,0.04137810,0.00149910,0.00898494,1.47136565
-5.90995498,2.05491413,1.80638806,0.56766101,0.04069121,0.00151119,0.00892625,1.49229341
-5.90395198,2.08162784,1.81512792,0.58358565,0.03989379,0.00151856,0.00884742,1.51328600
-5.89794897,2.10837297,1.82261271,0.60079556,0.03900873,0.00152128,0.00875293,1.53476336
-5.89194597,2.13562989,1.82954006,0.61929847,0.03805957,0.00151942,0.00864718,1.55709699
-5.88594297,2.16379571,1.83654423,0.63905738,0.03706972,0.00151311,0.00853438,1.58058854
-5.87993997,2.19316055,1.84416865,0.65998686,0.03606156,0.00150250,0.00841843,1.60545140
-5.87393697,2.22388843,1.85284318,0.68195084,0.03505577,0.00148775,0.00830280,1.63179566
-5.86793397,2.25600364,1.86286695,0.70476224,0.03407066,0.00146904,0.00819043,1.65961753
-5.86193097,2.28938309,1.87439735,0.72818431,0.03312180,0.00144656,0.00808376,1.68879333
-5.85592796,2.32375501,1.88744559,0.75193393,0.03222165,0.00142055,0.00798463,1.71907847
-5.84992496,2.35870389,1.90187867,0.77568669,0.03137943,0.00139121,0.00789436,1.75011142
-5.84392196,2.39368163,1.91742764,0.79908371,0.03060113,0.00135879,0.00781376,1.78142258
-5.83791896,2.42802417,1.93370147,0.82174007,0.02988967,0.00132355,0.00774322,1.81244767
-5.83191596,2.46097329,1.95020590,0.84325452,0.02924511,0.00128577,0.00768275,1.84254513
-5.82591296,2.49170246,1.96636621,0.86322039,0.02866507,0.00124572,0.00763211,1.87101696
