energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.51843684,0.01007624,0.01741147,0.13747992,0.09169953,0.17601553,0.00000000,0.10756585,0.02556222
-5.99399700,0.50280278,0.00909509,0.01990797,0.14388807,0.08840780,0.17240570,0.00000000,0.10267733,0.02292033
-5.98799400,0.49753046,0.00829180,0.02282299,0.15335360,0.08691514,0.17242443,0.00000000,0.10007377,0.02075440
-5.98199100,0.50259773,0.00765994,0.02617590,0.16595513,0.08720897,0.17609146,0.00000000,0.09977833,0.01905273
-5.97598799,0.51786723,0.00719108,0.02998085,0.18173794,0.08925574,0.18338865,0.00000000,0.10179573,0.01779896
-5.96998499,0.54309090,0.00687518,0.03424574,0.20071072,0.09300192,0.19426083,0.00000000,0.10611361,0.01697298
-5.96398199,0.57791305,0.00670104,0.03897113,0.22284220,0.09837466,0.20861590,0.00000000,0.11270324,0.01655180
-5.95797899,0.62187240,0.00665663,0.04414923,0.24805775,0.10528238,0.22632469,0.00000000,0.12151974,0.01651020
-5.95197599,0.67440344,0.00672948,0.04976309,0.27623631,0.11361510,0.24722055,0.00000000,0.13250177,0.01682129
-5.94597299,0.73483807,0.00690703,0.05578593,0.30720788,0.12324489,0.27109898,0.00000000,0.14557101,0.01745687
-5.93996998,0.80240797,0.00717691,0.06218077,0.34075206,0.13402635,0.29771767,0.00000000,0.16063137,0.01838782
-5.93396698,0.87624882,0.00752731,0.06890029,0.37659788,0.14579744,0.32679720,0.00000000,0.17756849,0.01958420
-5.92796398,0.95540700,0.00794727,0.07588717,0.41442521,0.15838059,0.35802273,0.00000000,0.19624935,0.02101553
-5.92196098,1.03884945,0.00842699,0.08307474,0.45386803,0.17158443,0.39104696,0.00000000,0.21652256,0.02265084
-5.91595798,1.12547722,0.00895815,0.09038802,0.49451979,0.18520602,0.42549452,0.00000000,0.23821936,0.02445886
-5.90995498,1.21414289,0.00953424,0.09774528,0.53594069,0.19903372,0.46096793,0.00000000,0.26115542,0.02640824
-5.90395198,1.30367176,0.01015082,0.10505984,0.57766714,0.21285075,0.49705515,0.00000000,0.28513373,0.02846774
-5.89794897,1.39288663,0.01080582,0.11224230,0.61922286,0.22643919,0.53333856,0.00000000,0.30994843,0.03060658
-5.89194597,1.48063531,0.01149977,0.11920299,0.66013159,0.23958459,0.56940510,0.00000000,0.33538953,0.03279478
-5.88594297,1.56582000,0.01223601,0.12585462,0.69993069,0.25208079,0.60485737,0.00000000,0.36124850,0.03500368
-5.87993997,1.64742731,0.01302073,0.13211495,0.73818532,0.26373500,0.63932503,0.00000000,0.38732434,0.03720636
-5.87393697,1.72455749,0.01386304,0.13790951,0.77450233,0.27437273,0.67247605,0.00000000,0.41342990,0.03937820
-5.86793397,1.79645143,0.01477484,0.14317398,0.80854331,0.28384245,0.70402731,0.00000000,0.43939814,0.04149740
-5.86193097,1.86251374,0.01577058,0.14785646,0.84003602,0.29201978,0.73375366,0.00000000,0.46508778,0.04354542
-5.85592796,1.92233054,0.01686688,0.15191917,0.86878349,0.29881084,0.76149513,0.00000000,0.49038798,0.04550742
-5.84992496,1.97568071,0.01808203,0.15533974,0.89467027,0.30415479,0.78716153,0.00000000,0.51522172,0.04737255
-5.84392196,2.02253935,0.01943524,0.15811180,0.91766519,0.30802513,0.81073407,0.00000000,0.53954738,0.04913406
-5.83791896,2.06307304,0.02094590,0.16024503,0.93782047,0.31042995,0.83226376,0.00000000,0.56335828,0.05078930
-5.83191596,2.09762643,0.02263259,0.16176444,0.95526680,0.31141079,0.85186630,0.00000000,0.58668007,0.05233951
-5.82591296,2.12670052,0.02451204,0.16270905,0.97020468,0.31104037,0.86971358,0.00000000,0.60956585,0.05378937
-5.81990995,2.15092325,0.02659809,0.16312992,0.98289214,0.30941911,0.88602216,0.00000000,0.63208904,0.05514649
-5.81390695,2.17101359,0.02890053,0.16308769,0.99362940,0.30667060,0.90103891,0.00000000,0.65433452,0.05642054
-5.80790395,2.18774085,0.03142410,0.16264968,1.00274117,0.30293633,0.91502481,0.00000000,0.67638810,0.05762243
-5.80190095,2.20188101,0.03416748,0.16188675,1.01055746,0.29836981,0.92823734,0.00000000,0.69832520,0.05876327
-5.79589795,2.21417247,0.03712253,0.16086999,1.01739397,0.29313035,0.94091278,0.00000000,0.72019913,0.05985335
-5.78989495,2.22527355,0.04027370,0.15966757,1.02353293,0.28737693,0.95324903,0.00000000,0.74202991,0.06090110
-5.78389195,2.23572403,0.04359769,0.15834172,1.02920584,0.28126231,0.96539031,0.00000000,0.76379427,0.06191217
-5.77788894,2.24591314,0.04706346,0.15694617,1.03457877,0.27492776,0.97741441,0.00000000,0.78541764,0.06288863
-5.77188594,2.25605578,0.05063257,0.15552407,1.03974137,0.26849856,0.98932356,0.00000000,0.80676880,0.06382835
-5.76588294,2.26617856,0.05425989,0.15410660,1.04470027,0.26208070,1.00103941,0.00000000,0.82765767,0.06472464
-5.75987994,2.27611674,0.05789460,0.15271227,1.04937735,0.25575855,1.01240269,0.00000000,0.84783673,0.06556617
-5.75387694,2.28552229,0.06148164,0.15134700,1.05361307,0.24959404,1.02317768,0.00000000,0.86700623,0.06633718
-5.74787394,2.29388305,0.06496342,0.15000493,1.05717488,0.24362689,1.03306140,0.00000000,0.88482294,0.06701797
-5.74187094,2.30055185,0.06828170,0.14866996,1.05977029,0.23787624,1.04169712,0.00000000,0.90091248,0.06758570
-5.73586793,2.30478433,0.07137977,0.14731784,1.06106388,0.23234324,1.04869157,0.00000000,0.91488442,0.06801536
-5.72986493,2.30578326,0.07420465,0.14591882,1.06069756,0.22701458,1.05363495,0.00000000,0.92634956,0.06828104
-5.72386193,2.30274697,0.07670922,0.14444059,1.05831266,0.22186664,1.05612270,0.00000000,0.93493843,0.06835721
-5.71785893,2.29491923,0.07885439,0.14285129,1.05357293,0.21687009,1.05577773,0.00000000,0.94032014,0.06822013
-5.71185593,2.28163768,0.08061087,0.14112264,1.04618700,0.21199444,1.05227202,0.00000000,0.94222030,0.06784919
-5.70585293,2.26237824,0.08196078,0.13923270,1.03592895,0.20721258,1.04534627,0.00000000,0.94043721,0.06722818
-5.69984992,2.23679268,0.08289874,0.13716832,1.02265603,0.20250466,1.03482656,0.00000000,0.93485520,0.06634639
-5.69384692,2.20473765,0.08343259,0.13492703,1.00632233,0.19786144,1.02063703,0.00000000,0.92545441,0.06519941
-5.68784392,2.16629312,0.08358353,0.13251830,0.98698768,0.19328667,1.00280795,0.00000000,0.91231634,0.06378973
-5.68184092,2.12176960,0.08338573,0.12996403,0.96482125,0.18879845,0.98147863,0.00000000,0.89562483,0.06212699
-5.67583792,2.07170352,0.08288546,0.12729830,0.94009975,0.18442958,0.95689526,0.00000000,0.87566232,0.06022785
-5.66983492,2.01684132,0.08213962,0.12456641,0.91320010,0.18022679,0.92940354,0.00000000,0.85280161,0.05811564
-5.66383192,1.95811296,0.08121388,0.12182311,0.88458724,0.17624896,0.89943681,0.00000000,0.82749344,0.05581964
-5.65782891,1.89659673,0.08018049,0.11913034,0.85479753,0.17256450,0.86750030,0.00000000,0.80025059,0.05337409
-5.65182591,1.83347702,0.07911569,0.11655442,0.82441881,0.16924800,0.83415230,0.00000000,0.77162933,0.05081705
-5.64582291,1.76999772,0.07809708,0.11416293,0.79406810,0.16637641,0.79998350,0.00000000,0.74220907,0.04818906
-5.63981991,1.70741358,0.07720092,0.11202142,0.76436817,0.16402495,0.76559543,0.00000000,0.71257138,0.04553177
-5.63381691,1.64694231,0.07649954,0.11019017,0.73592423,0.16226312,0.73157930,0.00000000,0.68327938,0.04288655
-5.62781391,1.58971981,0.07605888,0.10872109,0.70930191,0.16115089,0.69849622,0.00000000,0.65485847,0.04029314
