energy_ev,total_up,Al_p_up,Al_d_up,Au_p_up,Au_d_up,Te_p_up,Te_d_up
-6.00000000,6.38651465,0.27563243,0.00000000,0.51116092,5.95882983,0.15274656,0.00000000
-5.99399700,6.17439023,0.27107129,0.00000000,0.49675387,5.75914465,0.14648487,0.00000000
-5.98799400,5.95728837,0.26545780,0.00000000,0.48141546,5.55577886,0.13995943,0.00000000
-5.98199100,5.73615726,0.25884960,0.00000000,0.46522502,5.34954289,0.13321997,0.00000000
-5.97598799,5.51196596,0.25132793,0.00000000,0.44828319,5.14124477,0.12631901,0.00000000
-5.96998499,5.28570565,0.24299583,0.00000000,0.43071200,4.93169370,0.11931138,0.00000000
-5.96398199,5.05838855,0.23397565,0.00000000,0.41265399,4.72170200,0.11225371,0.00000000
-5.95797899,4.83104456,0.22440577,0.00000000,0.39427048,4.51208544,0.10520377,0.00000000
-5.95197599,4.60471564,0.21443682,0.00000000,0.37573893,4.30366189,0.09821976,0.00000000
-5.94597299,4.38044853,0.20422735,0.00000000,0.35724960,4.09724872,0.09135949,0.00000000
-5.93996998,4.15928598,0.19393944,0.00000000,0.33900163,3.89365890,0.08467964,0.00000000
-5.93396698,3.94225720,0.18373403,0.00000000,0.32119877,3.69369638,0.07823497,0.00000000
-5.92796398,3.73036792,0.17376651,0.00000000,0.30404501,3.49815083,0.07207757,0.00000000
-5.92196098,3.52459069,0.16418252,0.00000000,0.28774020,3.30779226,0.06625630,0.00000000
-5.91595798,3.32585570,0.15511428,0.00000000,0.27247608,3.12336556,0.06081627,0.00000000
-5.90995498,3.13504269,0.14667738,0.00000000,0.25843273,2.94558536,0.05579853,0.00000000
-5.90395198,2.95297406,0.13896842,0.00000000,0.24577569,2.77513127,0.05123991,0.00000000
-5.89794897,2.78040955,0.13206330,0.00000000,0.23465391,2.61264365,0.04717311,0.00000000
-5.89194597,2.61804252,0.12601647,0.00000000,0.22519854,2.45872002,0.04362692,0.00000000
