energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-5.58579290,0.62925897,0.02570591,0.00000000,0.18162553,0.10427170,0.00846380,0.26886184
-5.57978989,0.60744526,0.02465102,0.00000000,0.17662321,0.10279304,0.00801117,0.25832782
-5.57378689,0.59159307,0.02382413,0.00000000,0.17348196,0.10255766,0.00761962,0.25018218
-5.56778389,0.58266809,0.02326343,0.00000000,0.17249671,0.10374616,0.00730071,0.24482489
-5.56178089,0.58153859,0.02300332,0.00000000,0.17393434,0.10652381,0.00706465,0.24261307
-5.55577789,0.58895671,0.02307374,0.00000000,0.17802767,0.11103646,0.00692006,0.24385353
-5.54977489,0.60554110,0.02349959,0.00000000,0.18496992,0.11740638,0.00687385,0.24879611
-5.54377189,0.63176077,0.02430018,0.00000000,0.19490923,0.12572824,0.00693105,0.25762750
-5.53776888,0.66792059,0.02548878,0.00000000,0.20794375,0.13606532,0.00709478,0.27046589
-5.53176588,0.71414840,0.02707222,0.00000000,0.22411701,0.14844580,0.00736609,0.28735638
-5.52576288,0.77038443,0.02905062,0.00000000,0.24341406,0.16285962,0.00774395,0.30826727
-5.51975988,0.83637323,0.03141715,0.00000000,0.26575829,0.17925573,0.00822519,0.33308750
-5.51375688,0.91165906,0.03415802,0.00000000,0.29100941,0.19754014,0.00880450,0.36162542
-5.50775388,0.99558515,0.03725252,0.00000000,0.31896258,0.21757487,0.00947448,0.39360909
-5.50175088,1.08729764,0.04067328,0.00000000,0.34934918,0.23917792,0.01022566,0.42868849
-5.49574787,1.18575486,0.04438668,0.00000000,0.38183928,0.26212457,0.01104665,0.46643973
-5.48974487,1.28974233,0.04835350,0.00000000,0.41604598,0.28615006,0.01192429,0.50637152
-5.48374187,1.39789386,0.05252975,0.00000000,0.45153193,0.31095372,0.01284384,0.54793397
-5.47773887,1.50871870,0.05686772,0.00000000,0.48781774,0.33620457,0.01378928,0.59052968
-5.47173587,1.62063448,0.06131724,0.00000000,0.52439249,0.36154843,0.01474363,0.63352711
-5.46573287,1.73200525,0.06582703,0.00000000,0.56072596,0.38661625,0.01568929,0.67627574
-5.45972986,1.84118358,0.07034628,0.00000000,0.59628226,0.41103360,0.01660852,0.71812288
-5.45372686,1.94655549,0.07482623,0.00000000,0.63053457,0.43443084,0.01748387,0.75843130
-5.44772386,2.04658648,0.07922174,0.00000000,0.66298030,0.45645376,0.01829866,0.79659736
-5.44172086,2.13986689,0.08349287,0.00000000,0.69315615,0.47677430,0.01903750,0.83206867
-5.43571786,2.22515470,0.08760628,0.00000000,0.72065249,0.49510068,0.01968677,0.86436067
-5.42971486,2.30141381,0.09153639,0.00000000,0.74512625,0.51118681,0.02023511,0.89307131
-5.42371186,2.36784606,0.09526629,0.00000000,0.76631191,0.52484032,0.02067383,0.91789324
-5.41770885,2.42391546,0.09878835,0.00000000,0.78402994,0.53592893,0.02099731,0.93862284
-5.41170585,2.46936340,0.10210440,0.00000000,0.79819226,0.54438493,0.02120329,0.95516569
