energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.77510668,0.00036462,0.28510950,0.14064692,0.01590753,0.83088254,1.50558287,0.12936484
-5.99399700,1.76329096,0.00036026,0.28535567,0.13510566,0.01579061,0.82404315,1.51673570,0.12712185
-5.98799400,1.74925450,0.00035524,0.28541638,0.13005306,0.01564470,0.81584527,1.52518650,0.12474417
-5.98199100,1.73227403,0.00034967,0.28511737,0.12539215,0.01546644,0.80602401,1.53007817,0.12221155
-5.97598799,1.71176058,0.00034367,0.28430740,0.12103655,0.01525406,0.79437543,1.53065631,0.11951674
-5.96998499,1.68727788,0.00033743,0.28286292,0.11691234,0.01500739,0.78076311,1.52629074,0.11666629
-5.96398199,1.65855504,0.00033118,0.28069151,0.11295935,0.01472782,0.76512232,1.51649223,0.11368098
-5.95797899,1.62549349,0.00032517,0.27773423,0.10913193,0.01441829,0.74746175,1.50092395,0.11059573
-5.95197599,1.58816797,0.00031973,0.27396673,0.10539917,0.01408314,0.72786297,1.47940762,0.10745909
-5.94597299,1.54682210,0.00031520,0.26939918,0.10174470,0.01372804,0.70647753,1.45192427,0.10433229
-5.93996998,1.50185854,0.00031198,0.26407504,0.09816602,0.01335988,0.68352204,1.41860991,0.10128790
-5.93396698,1.45382459,0.00031051,0.25806878,0.09467342,0.01298659,0.65927149,1.37974654,0.09840801
-5.92796398,1.40339363,0.00031125,0.25148264,0.09128871,0.01261705,0.63405089,1.33574905,0.09578221
-5.92196098,1.35134320,0.00031468,0.24444259,0.08804356,0.01226090,0.60822581,1.28714861,0.09350510
-5.91595798,1.29853059,0.00032132,0.23709361,0.08497773,0.01192841,0.58219194,1.23457346,0.09167373
-5.90995498,1.24586659,0.00033168,0.22959448,0.08213711,0.01163034,0.55636406,1.17872770,0.09038467
-5.90395198,1.19428836,0.00034627,0.22211224,0.07957174,0.01137773,0.53116481,1.12036911,0.08973109
-5.89794897,1.14473214,0.00036560,0.21481654,0.07733370,0.01118179,0.50701353,1.06028662,0.08979972
-5.89194597,1.09810675,0.00039017,0.20787399,0.07547509,0.01105373,0.48431546,0.99927834,0.09066785
-5.88594297,1.05526837,0.00042044,0.20144277,0.07404597,0.01100452,0.46345162,0.93813076,0.09240041
-5.87993997,1.01699758,0.00045684,0.19566755,0.07309247,0.01104480,0.44476962,0.87759966,0.09504732
-5.87393697,0.98397899,0.00049977,0.19067505,0.07265501,0.01118461,0.42857559,0.81839341,0.09864109
-5.86793397,0.95678430,0.00054961,0.18657018,0.07276661,0.01143325,0.41512746,0.76115879,0.10319480
-5.86193097,0.93585886,0.00060668,0.18343306,0.07345151,0.01179906,0.40462975,0.70646973,0.10870064
-5.85592796,0.92151247,0.00067128,0.18131681,0.07472397,0.01228922,0.39722990,0.65481919,0.11512893
-5.84992496,0.91391429,0.00074371,0.18024646,0.07658732,0.01290959,0.39301632,0.60661392,0.12242791
-5.84392196,0.91309219,0.00082424,0.18021873,0.07903340,0.01366446,0.39201811,0.56217229,0.13052416
-5.83791896,0.91893647,0.00091316,0.18120292,0.08204219,0.01455645,0.39420649,0.52172490,0.13932380
-5.83191596,0.93120772,0.00101079,0.18314269,0.08558195,0.01558630,0.39949771,0.48541770,0.14871453
-5.82591296,0.94954860,0.00111752,0.18595893,0.08960953,0.01675279,0.40775758,0.45331728,0.15856835
-5.81990995,0.97349913,0.00123377,0.18955334,0.09407118,0.01805262,0.41880721,0.42541799,0.16874505
-5.81390695,1.00251489,0.00136009,0.19381282,0.09890362,0.01948034,0.43242976,0.40165052,0.17909630
-5.80790395,1.03598751,0.00149709,0.19861442,0.10403540,0.02102834,0.44837816,0.38189139,0.18947035
-5.80190095,1.07326668,0.00164552,0.20383076,0.10938864,0.02268690,0.46638323,0.36597298,0.19971698
-5.79589795,1.11368295,0.00180622,0.20933557,0.11488086,0.02444419,0.48616201,0.35369372,0.20969281
-5.78989495,1.15657028,0.00198015,0.21500933,0.12042713,0.02628644,0.50742602,0.34482799,0.21926652
-5.78389195,1.20128772,0.00216831,0.22074469,0.12594221,0.02819807,0.52988908,0.33913535,0.22832399
-5.77788894,1.24723928,0.00237177,0.22645150,0.13134281,0.03016190,0.55327437,0.33636895,0.23677302
-5.77188594,1.29389127,0.00259156,0.23206116,0.13654984,0.03215936,0.57732055,0.33628265,0.24454747
-5.76588294,1.34078651,0.00282863,0.23753035,0.14149053,0.03417081,0.60178671,0.33863695,0.25161067
-5.75987994,1.38755496,0.00308379,0.24284361,0.14610043,0.03617581,0.62645599,0.34320336,0.25795793
-5.75387694,1.43392040,0.00335761,0.24801503,0.15032521,0.03815344,0.65113793,0.34976747,0.26361795
-5.74787394,1.47970303,0.00365030,0.25308870,0.15412219,0.04008266,0.67566938,0.35813054,0.26865318
-5.74187094,1.52481806,0.00396168,0.25813791,0.15746163,0.04194266,0.69991425,0.36810983,0.27315888
-5.73586793,1.56927051,0.00429102,0.26326323,0.16032764,0.04371319,0.72376214,0.37953789,0.27726111
-5.72986493,1.61314652,0.00463704,0.26858928,0.16271880,0.04537491,0.74712620,0.39226091,0.28111341
-5.72386193,1.65660168,0.00499775,0.27426043,0.16464842,0.04690975,0.76994029,0.40613643,0.28489250
-5.71785893,1.69984705,0.00537049,0.28043544,0.16614440,0.04830117,0.79215589,0.42103068,0.28879288
-5.71185593,1.74313335,0.00575189,0.28728125,0.16724886,0.04953444,0.81373890,0.43681578,0.29302068
-5.70585293,1.78673413,0.00613785,0.29496598,0.16801727,0.05059693,0.83466667,0.45336703,0.29778667
-5.69984992,1.83092839,0.00652364,0.30365154,0.16851735,0.05147828,0.85492530,0.47056039,0.30329898
-5.69384692,1.87598343,0.00690394,0.31348583,0.16882760,0.05217056,0.87450750,0.48827054,0.30975532
-5.68784392,1.92213824,0.00727298,0.32459498,0.16903552,0.05266840,0.89341092,0.50636928,0.31733533
-5.68184092,1.96958801,0.00762467,0.33707589,0.16923552,0.05296903,0.91163692,0.52472467,0.32619295
-5.67583792,2.01847010,0.00795277,0.35098914,0.16952656,0.05307231,0.92918984,0.54320055,0.33644935
-5.66983492,2.06885157,0.00825112,0.36635287,0.17000949,0.05298069,0.94607631,0.56165669,0.34818639
-5.66383192,2.12071866,0.00851379,0.38313759,0.17078415,0.05269910,0.96230470,0.57994925,0.36144110
-5.65782891,2.17396829,0.00873528,0.40126245,0.17194638,0.05223481,0.97788427,0.59793160,0.37620118
-5.65182591,2.22840163,0.00891077,0.42059296,0.17358469,0.05159722,0.99282389,0.61545521,0.39240187
-5.64582291,2.28371995,0.00903625,0.44094057,0.17577709,0.05079765,1.00713018,0.63237070,0.40992430
-5.63981991,2.33952276,0.00910869,0.46206405,0.17858772,0.04984899,1.02080495,0.64852876,0.42859547
-5.63381691,2.39530847,0.00912614,0.48367289,0.18206378,0.04876544,1.03384188,0.66378093,0.44818999
-5.62781391,2.45047764,0.00908784,0.50543267,0.18623254,0.04756215,1.04622261,0.67798036,0.46843360
-5.62181091,2.50433894,0.00899421,0.52697229,0.19109886,0.04625483,1.05791238,0.69098227,0.48900838
-5.61580790,2.55611815,0.00884685,0.54789293,0.19664312,0.04485943,1.06885555,0.70264444,0.50955972
-5.60980490,2.60497007,0.00864852,0.56777847,0.20281981,0.04339175,1.07897130,0.71282769,0.52970477
-5.60380190,2.64999355,0.00840298,0.58620710,0.20955694,0.04186711,1.08814998,0.72139640,0.54904220
-5.59779890,2.69024955,0.00811488,0.60276358,0.21675623,0.04030006,1.09625065,0.72821934,0.56716299
-5.59179590,2.72478204,0.00778962,0.61705190,0.22429437,0.03870410,1.10310002,0.73317086,0.58366186
-5.58579290,2.75264142,0.00743313,0.62870763,0.23202518,0.03709148,1.10849335,0.73613245,0.59814907
-5.57978989,2.77290999,0.00705167,0.63740968,0.23978287,0.03547305,1.11219751,0.73699488,0.61026197
-5.57378689,2.78472877,0.00665166,0.64289079,0.24738614,0.03385819,1.11395627,0.73566086,0.61967609
-5.56778389,2.78732489,0.00623948,0.64494650,0.25464323,0.03225475,1.11349793,0.73204824,0.62611521
-5.56178089,2.78003853,0.00582128,0.64344203,0.26135760,0.03066916,1.11054504,0.72609358,0.62936007
-5.55577789,2.76234851,0.00540283,0.63831699,0.26733415,0.02910645,1.10482578,0.71775604,0.62925536
-5.54977489,2.73389528,0.00498939,0.62958750,0.27238569,0.02757047,1.09608672,0.70702143,0.62571473
-5.54377189,2.69450043,0.00458565,0.61734591,0.27633935,0.02606405,1.08410613,0.69390610,0.61872363
-5.53776888,2.64418168,0.00419561,0.60175791,0.27904280,0.02458921,1.06870729,0.67846058,0.60833990
-5.53176588,2.58316251,0.00382258,0.58305740,0.28036983,0.02314738,1.04977099,0.66077260,0.59469205
-5.52576288,2.51187600,0.00346918,0.56153928,0.28022517,0.02173968,1.02724657,0.64096945,0.57797543
-5.51975988,2.43096242,0.00313735,0.53755058,0.27854818,0.02036704,1.00116080,0.61921936,0.55844642
-5.51375688,2.34126058,0.00282840,0.51148025,0.27531546,0.01903047,0.97162416,0.59573184,0.53641496
-5.50775388,2.24379319,0.00254310,0.48374828,0.27054198,0.01773115,0.93883395,0.57075695,0.51223567
-5.50175088,2.13974684,0.00228172,0.45479442,0.26428092,0.01647060,0.90307423,0.54458340,0.48629815
-5.49574787,2.03044739,0.00204413,0.42506717,0.25662209,0.01525068,0.86471245,0.51753569,0.45901666
-5.48974487,1.91733171,0.00182989,0.39501340,0.24768909,0.01407369,0.82419292,0.48997024,0.43081978
-5.48374187,1.80191716,0.00163835,0.36506892,0.23763532,0.01294231,0.78202746,0.46227085,0.40214033
-5.47773887,1.68576991,0.00146871,0.33565054,0.22663905,0.01185959,0.73878383,0.43484360,0.37340601
-5.47173587,1.57047344,0.00132010,0.30714954,0.21489784,0.01082885,0.69507227,0.40811144,0.34503100
-5.46573287,1.45759851,0.00119163,0.27992698,0.20262245,0.00985364,0.65153113,0.38250874,0.31740887
-5.45972986,1.34867552,0.00108250,0.25431069,0.19003065,0.00893760,0.60881193,0.35847594,0.29090680
-5.45372686,1.24517032,0.00099196,0.23059397,0.17734116,0.00808442,0.56756483,0.33645454,0.26586138
-5.44772386,1.14846395,0.00091941,0.20903577,0.16476788,0.00729775,0.52842481,0.31688253,0.24257586
-5.44172086,1.05983681,0.00086440,0.18986230,0.15251476,0.00658110,0.49199922,0.30019035,0.22131883
-5.43571786,0.98045721,0.00082664,0.17326964,0.14077138,0.00593787,0.45885706,0.28679739,0.20232416
-5.42971486,0.91137422,0.00080602,0.15942710,0.12970938,0.00537127,0.42952017,0.27710887,0.18579212
-5.42371186,0.85351436,0.00080259,0.14848104,0.11947984,0.00488436,0.40445637,0.27151321,0.17189119
-5.41770885,0.80768146,0.00081660,0.14055875,0.11021158,0.00448005,0.38407467,0.27037949,0.16076061
-5.41170585,0.77455891,0.00084842,0.13577217,0.10201039,0.00416119,0.36872219,0.27405500,0.15251315
-5.40570285,0.75471343,0.00089860,0.13422101,0.09495904,0.00393057,0.35868268,0.28286252,0.14723794
-5.39969985,0.74859947,0.00096780,0.13599524,0.08911804,0.00379102,0.35417621,0.29709726,0.14500310
-5.39369685,0.75656338,0.00105679,0.14117659,0.08452696,0.00374547,0.35535972,0.31702324,0.14585796
