energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,6.49770337,3.67645077,1.21306130,0.01385611,2.04805840,0.03325387,1.99784659,0.79148374,0.33420454
-5.99399700,6.24367002,3.48697036,1.15697784,0.01405925,1.94623679,0.03277087,1.94327061,0.76742443,0.32728796
-5.98799400,5.99535829,3.29920068,1.10186244,0.01420379,1.84593516,0.03233942,1.89068795,0.74458479,0.32077347
-5.98199100,5.75713676,3.11561641,1.04848660,0.01429202,1.74850611,0.03198069,1.84144205,0.72362800,0.31486887
-5.97598799,5.53293676,2.93843470,0.99755087,0.01432756,1.65515738,0.03171407,1.79675001,0.70517926,0.30975942
-5.96998499,5.32615028,2.76956867,0.94966540,0.01431508,1.56692321,0.03155661,1.75766827,0.68980769,0.30560232
-5.96398199,5.13954867,2.61059486,0.90533470,0.01426009,1.48464379,0.03152239,1.72506319,0.67800960,0.30252188
-5.95797899,4.97522414,2.46273502,0.86494739,0.01416866,1.40895321,0.03162212,1.69958729,0.67019344,0.30060579
-5.95197599,4.83455500,2.32685205,0.82877063,0.01404711,1.34027582,0.03186269,1.68166173,0.66666691,0.29990238
-5.94597299,4.71819459,2.20345939,0.79694969,0.01390171,1.27883074,0.03224689,1.67146556,0.66762651,0.30041899
-5.93996998,4.62608340,2.09274234,0.76951200,0.01373844,1.22464384,0.03277328,1.66893176,0.67314983,0.30212164
-5.93396698,4.55748281,1.99458987,0.74637555,0.01356267,1.17756602,0.03343606,1.67375039,0.68319085,0.30493580
-5.92796398,4.51102841,1.90863457,0.72736089,0.01337901,1.13729689,0.03422516,1.68537862,0.69757840,0.30874847
-5.92196098,4.48480026,1.83429869,0.71220614,0.01319113,1.10341225,0.03512640,1.70305728,0.71601792,0.31341132
-5.91595798,4.47640718,1.77084374,0.70058408,0.01300163,1.07539412,0.03612176,1.72583362,0.73809656,0.31874496
-5.90995498,4.48308161,1.71742144,0.69212064,0.01281201,1.05266168,0.03718981,1.75258951,0.76329154,0.32454406
-5.90395198,4.50178163,1.67312347,0.68641382,0.01262270,1.03460194,0.03830615,1.78207435,0.79098184,0.33058341
-5.89794897,4.52929663,1.63702822,0.68305228,0.01243312,1.02059863,0.03944407,1.81294175,0.82046279,0.33662445
-5.89194597,4.56235295,1.60824250,0.68163270,0.01224178,1.01005828,0.04057516,1.84378891,0.85096344,0.34242226
-5.88594297,4.59771643,1.58593681,0.68177539,0.01204646,1.00243248,0.04167005,1.87319758,0.88166629,0.34773283
-5.87993997,4.63228846,1.56937297,0.68313741,0.01184442,0.99723553,0.04269921,1.89977535,0.91172888,0.35232016
-5.87393697,4.66319301,1.55792340,0.68542280,0.01163258,0.99405714,0.04363373,1.92219612,0.94030666,0.35596322
