energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.92176332,0.02583558,0.28496833,1.79056647,2.43891491,1.08346830,0.00000000,0.39387012,0.29611216
-5.99399700,3.96003453,0.02505463,0.27982715,1.77656661,2.47400709,1.10367925,0.00000000,0.40567174,0.30551745
-5.98799400,4.00787577,0.02437349,0.27561127,1.76810924,2.51346302,1.12702748,0.00000000,0.41988027,0.31644985
-5.98199100,4.06616423,0.02380470,0.27255480,1.76599173,2.55761332,1.15360014,0.00000000,0.43656033,0.32897346
-5.97598799,4.13544503,0.02335643,0.27085962,1.77083444,2.60660950,1.18339723,0.00000000,0.45573564,0.34311951
-5.96998499,4.21591506,0.02303227,0.27069013,1.78306332,2.66042068,1.21632865,0.00000000,0.47738611,0.35888347
-5.96398199,4.30742095,0.02283131,0.27216922,1.80290003,2.71883835,1.25221515,0.00000000,0.50144633,0.37622344
-5.95797899,4.40947088,0.02274831,0.27537569,1.83035949,2.78148863,1.29079282,0.00000000,0.52780550,0.39505981
-5.95197599,4.52125845,0.02277405,0.28034303,1.86525427,2.84785089,1.33172071,0.00000000,0.55630870,0.41527616
-5.94597299,4.64169674,0.02289574,0.28705943,1.90720512,2.91728123,1.37459121,0.00000000,0.58675930,0.43672137
-5.93996998,4.76946030,0.02309767,0.29546918,1.95565652,2.98903939,1.41894229,0.00000000,0.61892238,0.45921281
-5.93396698,4.90303204,0.02336179,0.30547504,2.00989623,3.06231715,1.46427107,0.00000000,0.65252889,0.48254042
-5.92796398,5.04075259,0.02366846,0.31694164,2.06907753,3.13626651,1.51004776,0.00000000,0.68728042,0.50647148
-5.92196098,5.18086933,0.02399720,0.32969970,2.13224311,3.21002622,1.55572943,0.00000000,0.72285412,0.53075588
-5.91595798,5.32158277,0.02432738,0.34355077,2.19834955,3.28274509,1.60077285,0.00000000,0.75890793,0.55513161
-5.90995498,5.46108840,0.02463896,0.35827255,2.26629152,3.35360115,1.64464593,0.00000000,0.79508559,0.57933026
-5.90395198,5.59761247,0.02491314,0.37362432,2.33492492,3.42181603,1.68683726,0.00000000,0.83102152,0.60308231
-5.89794897,5.72944097,0.02513292,0.38935264,2.40308866,3.48666425,1.72686372,0.00000000,0.86634544,0.62612213
-5.89194597,5.85494148,0.02528360,0.40519690,2.46962468,3.54747762,1.76427589,0.00000000,0.90068662,0.64819230
-5.88594297,5.97257821,0.02535310,0.42089469,2.53339618,3.60364533,1.79866155,0.00000000,0.93367793,0.66904748
-5.87993997,6.08092099,0.02533226,0.43618698,2.59330412,3.65461039,1.82964727,0.00000000,0.96495955,0.68845755
-5.87393697,6.17864938,0.02521493,0.45082280,2.64830219,3.69986376,1.85689870,0.00000000,0.99418251,0.70621008
-5.86793397,6.26455326,0.02499799,0.46456357,2.69741044,3.73893710,1.88011974,0.00000000,1.02101218,0.72211224
-5.86193097,6.33753154,0.02468121,0.47718679,2.73972793,3.77139555,1.89905116,0.00000000,1.04513170,0.73599211
-5.85592796,6.39659041,0.02426708,0.48848931,2.77444440,3.79683154,1.91346904,0.00000000,1.06624547,0.74769966
