energy_ev,total_up,Ga_p_up,Ga_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.32050275,0.00394316,0.00000000,0.15027877,0.08280770,0.01415502,0.16893624
-5.99399700,0.27787015,0.00342028,0.00000000,0.13082389,0.07180369,0.01227201,0.14649430
-5.98799400,0.23926846,0.00294594,0.00000000,0.11308948,0.06184107,0.01056771,0.12617255
-5.98199100,0.20462297,0.00251957,0.00000000,0.09707282,0.05289964,0.00903853,0.10793101
-5.97598799,0.17379664,0.00213978,0.00000000,0.08273871,0.04494338,0.00767818,0.09169731
-5.96998499,0.14660202,0.00180448,0.00000000,0.07002472,0.03792353,0.00647820,0.07737284
-5.96398199,0.12281304,0.00151104,0.00000000,0.05884674,0.03178156,0.00542850,0.06483890
-5.95797899,0.10217642,0.00125646,0.00000000,0.04910427,0.02645208,0.00451781,0.05396258
-5.95197599,0.08442211,0.00103749,0.00000000,0.04068560,0.02186546,0.00373415,0.04460220
-5.94597299,0.06927270,0.00085078,0.00000000,0.03347244,0.01795026,0.00306525,0.03661221
-5.93996998,0.05645146,0.00069297,0.00000000,0.02734405,0.01463525,0.00249889,0.02984738
-5.93396698,0.04568911,0.00056076,0.00000000,0.02218076,0.01185111,0.00202315,0.02416632
-5.92796398,0.03672916,0.00045105,0.00000000,0.01786683,0.00953178,0.00162672,0.01943427
-5.92196098,0.02933196,0.00036096,0.00000000,0.01429271,0.00761554,0.00129897,0.01552522
-5.91595798,0.02327758,0.00028787,0.00000000,0.01135666,0.00604564,0.00103015,0.01232339
-5.90995498,0.01836757,0.00022946,0.00000000,0.00896589,0.00477083,0.00081142,0.00972418
-5.90395198,0.01442596,0.00018378,0.00000000,0.00703723,0.00374552,0.00063485,0.00763461
-5.89794897,0.01129945,0.00014921,0.00000000,0.00549738,0.00292984,0.00049349,0.00597342
-5.89194597,0.00885716,0.00012452,0.00000000,0.00428290,0.00228955,0.00038128,0.00467093
-5.88594297,0.00699002,0.00010890,0.00000000,0.00334003,0.00179583,0.00029302,0.00366857
-5.87993997,0.00561000,0.00010194,0.00000000,0.00262430,0.00142502,0.00022430,0.00291850
-5.87393697,0.00464933,0.00010372,0.00000000,0.00210020,0.00115834,0.00017146,0.00238300
-5.86793397,0.00405980,0.00011485,0.00000000,0.00174074,0.00098166,0.00013147,0.00203402
-5.86193097,0.00381239,0.00013648,0.00000000,0.00152722,0.00088526,0.00010189,0.00185281
-5.85592796,0.00389705,0.00017045,0.00000000,0.00144905,0.00086361,0.00008082,0.00182956
-5.84992496,0.00432299,0.00021934,0.00000000,0.00150371,0.00091534,0.00006680,0.00196336
-5.84392196,0.00511936,0.00028659,0.00000000,0.00169701,0.00104313,0.00005879,0.00226219
-5.83791896,0.00633632,0.00037666,0.00000000,0.00204348,0.00125382,0.00005609,0.00274320
-5.83191596,0.00804659,0.00049512,0.00000000,0.00256701,0.00155850,0.00005835,0.00343307
-5.82591296,0.01034740,0.00064888,0.00000000,0.00330178,0.00197266,0.00006553,0.00436866
-5.81990995,0.01336272,0.00084631,0.00000000,0.00429336,0.00251651,0.00007785,0.00559764
-5.81390695,0.01724574,0.00109744,0.00000000,0.00560002,0.00321516,0.00009582,0.00717937
-5.80790395,0.02218152,0.00141413,0.00000000,0.00729420,0.00409899,0.00012021,0.00918571
-5.80190095,0.02838947,0.00181019,0.00000000,0.00946414,0.00520379,0.00015206,0.01170184
-5.79589795,0.03612564,0.00230156,0.00000000,0.01221547,0.00657109,0.00019271,0.01482700
-5.78989495,0.04568445,0.00290634,0.00000000,0.01567280,0.00824814,0.00024372,0.01867504
-5.78389195,0.05739967,0.00364483,0.00000000,0.01998106,0.01028796,0.00030699,0.02337462
-5.77788894,0.07164435,0.00453946,0.00000000,0.02530658,0.01274908,0.00038467,0.02906909
-5.77188594,0.08882933,0.00561465,0.00000000,0.03183772,0.01569510,0.00047918,0.03591579
-5.76588294,0.10940008,0.00689653,0.00000000,0.03978476,0.01919401,0.00059322,0.04408477
-5.75987994,0.13383158,0.00841254,0.00000000,0.04937908,0.02331712,0.00072975,0.05375676
-5.75387694,0.16262096,0.01019087,0.00000000,0.06087125,0.02813779,0.00089190,0.06512038
-5.74787394,0.19627771,0.01225982,0.00000000,0.07452797,0.03372969,0.00108299,0.07836841
-5.74187094,0.23531139,0.01464692,0.00000000,0.09062776,0.04016480,0.00130644,0.09369323
