energy_ev,total_up,Sb_p_up,Sb_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.22948138,0.74288028,0.00668810,1.42630666,0.39303990,0.92371229,0.00000000
-5.99399700,2.30740884,0.76917154,0.00686907,1.46318486,0.40963311,0.95639311,0.00000000
-5.98799400,2.37734030,0.79241221,0.00703197,1.49347783,0.42491775,0.98623182,0.00000000
-5.98199100,2.43854863,0.81233404,0.00717600,1.51677776,0.43873636,1.01294988,0.00000000
-5.97598799,2.49046412,0.82873070,0.00730063,1.53280360,0.45096046,1.03632248,0.00000000
-5.96998499,2.53269307,0.84146382,0.00740556,1.54141414,0.46149459,1.05618642,0.00000000
-5.96398199,2.56503172,0.85046693,0.00749073,1.54261785,0.47027921,1.07244666,0.00000000
-5.95797899,2.58747462,0.85574699,0.00755638,1.53657894,0.47729258,1.08508105,0.00000000
-5.95197599,2.60021717,0.85738371,0.00760300,1.52361922,0.48255127,1.09414312,0.00000000
-5.94597299,2.60365187,0.85552643,0.00763134,1.50421568,0.48610940,1.09976244,0.00000000
-5.93996998,2.59835856,0.85038888,0.00764241,1.47899364,0.48805667,1.10214274,0.00000000
-5.93396698,2.58508880,0.84224211,0.00763745,1.44871583,0.48851507,1.10155758,0.00000000
-5.92796398,2.56474532,0.83140584,0.00761796,1.41426749,0.48763473,1.09834373,0.00000000
-5.92196098,2.53835716,0.81823880,0.00758563,1.37663824,0.48558887,1.09289254,0.00000000
-5.91595798,2.50705172,0.80312848,0.00754236,1.33690105,0.48256816,1.08563960,0.00000000
-5.90995498,2.47202482,0.78648078,0.00749022,1.29618918,0.47877482,1.07705295,0.00000000
-5.90395198,2.43451004,0.76870997,0.00743143,1.25567176,0.47441664,1.06762054,0.00000000
-5.89794897,2.39574846,0.75022953,0.00736833,1.21652873,0.46970122,1.05783709,0.00000000
-5.89194597,2.35695979,0.73144399,0.00730338,1.17992576,0.46483064,1.04819108,0.00000000
-5.88594297,2.31931600,0.71274219,0.00723908,1.14699004,0.45999671,1.03915213,0.00000000
-5.87993997,2.28391786,0.69449200,0.00717801,1.11878714,0.45537701,1.03115924,0.00000000
-5.87393697,2.25177511,0.67703645,0.00712272,1.09629977,0.45113175,1.02461014,0.00000000
-5.86793397,2.22379030,0.66069135,0.00707579,1.08040854,0.44740143,1.01985210,0.00000000
-5.86193097,2.20074638,0.64574409,0.00703971,1.07187507,0.44430545,1.01717429,0.00000000
-5.85592796,2.18329788,0.63245333,0.00701688,1.07132769,0.44194131,1.01680179,0.00000000
-5.84992496,2.17196529,0.62104940,0.00700958,1.07924969,0.44038463,1.01889140,0.00000000
-5.84392196,2.16713215,0.61173495,0.00701990,1.09597023,0.43968954,1.02352911,0.00000000
-5.83791896,2.16904447,0.60468560,0.00704973,1.12165790,0.43988958,1.03072919,0.00000000
-5.83191596,2.17781186,0.60005018,0.00710066,1.15631680,0.44099870,1.04043490,0.00000000
-5.82591296,2.19340990,0.59795045,0.00717395,1.19978521,0.44301249,1.05252059,0.00000000
-5.81990995,2.21568348,0.59848000,0.00727049,1.25173666,0.44590924,1.06679514,0.00000000
-5.81390695,2.24435060,0.60170232,0.00739072,1.31168337,0.44965104,1.08300650,0.00000000
-5.80790395,2.27900668,0.60764802,0.00753463,1.37898207,0.45418458,1.10084737,0.00000000
-5.80190095,2.31912922,0.61631128,0.00770163,1.45284206,0.45944183,1.11996167,0.00000000
-5.79589795,2.36408281,0.62764579,0.00789060,1.53233543,0.46534051,1.13995181,0.00000000
-5.78989495,2.41312478,0.64156043,0.00809981,1.61640954,0.47178439,1.16038656,0.00000000
-5.78389195,2.46541172,0.65791500,0.00832693,1.70390153,0.47866352,1.18080933,0.00000000
-5.77788894,2.52000704,0.67651652,0.00856903,1.79355479,0.48585447,1.20074687,0.00000000
-5.77188594,2.57589006,0.69711631,0.00882257,1.88403741,0.49322064,1.21971801,0.00000000
-5.76588294,2.63196688,0.71940850,0.00908346,1.97396232,0.50061278,1.23724258,0.00000000
-5.75987994,2.68708328,0.74303015,0.00934714,2.06190901,0.50786993,1.25285006,0.00000000
-5.75387694,2.74003987,0.76756337,0.00960860,2.14644660,0.51482061,1.26608818,0.00000000
-5.74787394,2.78960970,0.79253971,0.00986250,2.22615803,0.52128469,1.27653103,0.00000000
-5.74187094,2.83455820,0.81744685,0.01010328,2.29966493,0.52707573,1.28378677,0.00000000
-5.73586793,2.87366528,0.84173770,0.01032528,2.36565288,0.53200396,1.28750475,0.00000000
-5.72986493,2.90574946,0.86484168,0.01052287,2.42289665,0.53587978,1.28738204,0.00000000
-5.72386193,2.92969337,0.88617798,0.01069061,2.47028472,0.53851791,1.28316915,0.00000000
-5.71785893,2.94447013,0.90517037,0.01082337,2.50684277,0.53974191,1.27467503,0.00000000
-5.71185593,2.94916972,0.92126309,0.01091649,2.53175531,0.53938900,1.26177110,0.00000000
-5.70585293,2.94302456,0.93393718,0.01096593,2.54438495,0.53731507,1.24439438,0.00000000
-5.69984992,2.92543333,0.94272659,0.01096837,2.54428864,0.53339958,1.22254962,0.00000000
-5.69384692,2.89598190,0.94723342,0.01092132,2.53123015,0.52755029,1.19631024,0.00000000
-5.68784392,2.85446060,0.94714147,0.01082325,2.50518845,0.51970732,1.16581818,0.00000000
-5.68184092,2.80087670,0.94222768,0.01067360,2.46636119,0.50984665,1.13128251,0.00000000
-5.67583792,2.73546153,0.93237063,0.01047287,2.41516329,0.49798261,1.09297671,0.00000000
-5.66983492,2.65867152,0.91755592,0.01022258,2.35222013,0.48416932,1.05123478,0.00000000
-5.66383192,2.57118296,0.89787793,0.00992528,2.27835557,0.46850093,1.00644604,0.00000000
-5.65782891,2.47388034,0.87353802,0.00958448,2.19457489,0.45111058,0.95904871,0.00000000
-5.65182591,2.36783856,0.84483908,0.00920458,2.10204307,0.43216819,0.90952254,0.00000000
-5.64582291,2.25429959,0.81217675,0.00879077,2.00205920,0.41187693,0.85838040,0.00000000
-5.63981991,2.13464433,0.77602771,0.00834889,1.89602756,0.39046877,0.80615936,0.00000000
-5.63381691,2.01036083,0.73693550,0.00788532,1.78542668,0.36819907,0.75341119,0.00000000
-5.62781391,1.88301008,0.69549459,0.00740678,1.67177719,0.34534059,0.70069286,0.00000000
-5.62181091,1.75419062,0.65233344,0.00692026,1.55660976,0.32217708,0.64855716,0.00000000
-5.61580790,1.62550354,0.60809708,0.00643280,1.44143414,0.29899676,0.59754378,0.00000000
-5.60980490,1.49851906,0.56343031,0.00595137,1.32771050,0.27608601,0.54817122,0.00000000
-5.60380190,1.37474591,0.51896173,0.00548275,1.21682379,0.25372336,0.50092962,0.00000000
-5.59779890,1.25560446,0.47528960,0.00503345,1.11006195,0.23217422,0.45627478,0.00000000
-5.59179590,1.14240450,0.43296967,0.00460952,1.00859851,0.21168626,0.41462344,0.00000000
-5.58579290,1.03632781,0.39250548,0.00421660,0.91347974,0.19248576,0.37634991,0.00000000
-5.57978989,0.93841594,0.35434122,0.00385978,0.82561633,0.17477484,0.34178386,0.00000000
-5.57378689,0.84956289,0.31885714,0.00354356,0.74577948,0.15872965,0.31120924,0.00000000
-5.56778389,0.77051228,0.28636756,0.00327191,0.67460081,0.14449933,0.28486412,0.00000000
-5.56178089,0.70185832,0.25712105,0.00304817,0.61257551,0.13220582,0.26294117,0.00000000
-5.55577789,0.64404993,0.23130256,0.00287509,0.56006798,0.12194419,0.24558848,0.00000000
-5.54977489,0.59739695,0.20903715,0.00275483,0.51731911,0.11378343,0.23291052,0.00000000
-5.54377189,0.56207759,0.19039487,0.00268897,0.48445445,0.10776755,0.22496893,0.00000000
-5.53776888,0.53814641,0.17539635,0.00267849,0.46149256,0.10391674,0.22178293,0.00000000
-5.53176588,0.52554193,0.16401876,0.00272379,0.44835278,0.10222860,0.22332919,0.00000000
-5.52576288,0.52409357,0.15620178,0.00282464,0.44486219,0.10267921,0.22954125,0.00000000
-5.51975988,0.53352740,0.15185331,0.00298024,0.45076132,0.10522406,0.24030825,0.00000000
-5.51375688,0.55347084,0.15085471,0.00318912,0.46570863,0.10979881,0.25547347,0.00000000
-5.50775388,0.58345628,0.15306545,0.00344916,0.48928397,0.11631995,0.27483252,0.00000000
-5.50175088,0.62292408,0.15832704,0.00375756,0.52099121,0.12468530,0.29813186,0.00000000
-5.49574787,0.67122550,0.16646646,0.00411087,0.56026066,0.13477461,0.32506769,0.00000000
-5.48974487,0.72762602,0.17729888,0.00450491,0.60645167,0.14645031,0.35528583,0.00000000
-5.48374187,0.79130984,0.19062992,0.00493485,0.65885620,0.15955842,0.38838280,0.00000000
-5.47773887,0.86138619,0.20625760,0.00539523,0.71670377,0.17392996,0.42390858,0.00000000
-5.47173587,0.93689783,0.22397394,0.00588001,0.77916838,0.18938274,0.46137117,0.00000000
-5.46573287,1.01683225,0.24356644,0.00638267,0.84537766,0.20572369,0.50024326,0.00000000
-5.45972986,1.10013555,0.26481951,0.00689631,0.91442452,0.22275174,0.53997089,0.00000000
-5.45372686,1.18572909,0.28751576,0.00741381,0.98538113,0.24026118,0.57998414,0.00000000
-5.44772386,1.27252835,0.31143735,0.00792794,1.05731505,0.25804546,0.61970940,0.00000000
-5.44172086,1.35946355,0.33636720,0.00843160,1.12930699,0.27590125,0.65858306,0.00000000
-5.43571786,1.44550117,0.36209017,0.00891795,1.20046945,0.29363270,0.69606582,0.00000000
-5.42971486,1.52966535,0.38839403,0.00938064,1.26996551,0.31105551,0.73165719,0.00000000
-5.42371186,1.61105824,0.41507013,0.00981395,1.33702672,0.32800085,0.76490938,0.00000000
-5.41770885,1.68887811,0.44191389,0.01021296,1.40096924,0.34431872,0.79543995,0.00000000
-5.41170585,1.76243429,0.46872489,0.01057370,1.46120719,0.35988066,0.82294244,0.00000000
-5.40570285,1.83115817,0.49530662,0.01089326,1.51726258,0.37458166,0.84719448,0.00000000
-5.39969985,1.89460946,0.52146601,0.01116981,1.56877101,0.38834113,0.86806288,0.00000000
-5.39369685,1.95247760,0.54701270,0.01140265,1.61548294,0.40110293,0.88550530,0.00000000
-5.38769385,2.00457819,0.57175829,0.01159218,1.65726036,0.41283440,0.89956848,0.00000000
-5.38169085,2.05084471,0.59551559,0.01173980,1.69406897,0.42352458,0.91038310,0.00000000
-5.37568784,2.09131624,0.61809824,0.01184783,1.72596655,0.43318167,0.91815539,0.00000000
-5.36968484,2.12612195,0.63932067,0.01191934,1.75308801,0.44182999,0.92315616,0.00000000
-5.36368184,2.15546353,0.65899870,0.01195795,1.77562826,0.44950657,0.92570764,0.00000000
-5.35767884,2.17959665,0.67695093,0.01196767,1.79382380,0.45625769,0.92616906,0.00000000
-5.35167584,2.19881273,0.69300080,0.01195267,1.80793439,0.46213566,0.92492163,0.00000000
-5.34567284,2.21342217,0.70697965,0.01191708,1.81822577,0.46719581,0.92235371,0.00000000
-5.33966983,2.22374003,0.71873044,0.01186480,1.82495450,0.47149427,0.91884708,0.00000000
-5.33366683,2.23007494,0.72811219,0.01179938,1.82835592,0.47508623,0.91476480,0.00000000
-5.32766383,2.23272177,0.73500482,0.01172383,1.82863578,0.47802508,0.91044138,0.00000000
-5.32166083,2.23195820,0.73931419,0.01164055,1.82596585,0.48036229,0.90617543,0.00000000
-5.31565783,2.22804502,0.74097711,0.01155134,1.82048383,0.48214790,0.90222516,0.00000000
-5.30965483,2.22122982,0.73996581,0.01145731,1.81229708,0.48343166,0.89880650,0.00000000
-5.30365183,2.21175319,0.73629175,0.01135899,1.80148990,0.48426442,0.89609384,0.00000000
-5.29764882,2.19985662,0.73000827,0.01125635,1.78813340,0.48469976,0.89422279,0.00000000
-5.29164582,2.18579099,0.72121206,0.01114897,1.77229727,0.48479546,0.89329461,0.00000000
-5.28564282,2.16982447,0.71004303,0.01103611,1.75406225,0.48461466,0.89338157,0.00000000
-5.27963982,2.15224893,0.69668264,0.01091687,1.73353221,0.48422648,0.89453265,0.00000000
-5.27363682,2.13338375,0.68135054,0.01079035,1.71084488,0.48370591,0.89677898,0.00000000
-5.26763382,2.11357643,0.66429978,0.01065578,1.68618020,0.48313283,0.90013828,0.00000000
-5.26163082,2.09319935,0.64581053,0.01051258,1.65976547,0.48259025,0.90461796,0.00000000
-5.25562781,2.07264273,0.62618269,0.01036055,1.63187684,0.48216152,0.91021655,0.00000000
-5.24962481,2.05230375,0.60572769,0.01019984,1.60283670,0.48192684,0.91692316,0.00000000
-5.24362181,2.03257227,0.58475973,0.01003103,1.57300702,0.48195923,0.92471518,0.00000000
-5.23761881,2.01381408,0.56358699,0.00985508,1.54277892,0.48231992,0.93355419,0.00000000
-5.23161581,1.99635236,0.54250297,0.00967333,1.51255878,0.48305381,0.94338068,0.00000000
-5.22561281,1.98044871,0.52177848,0.00948739,1.48275201,0.48418498,0.95410791,0.00000000
-5.21960980,1.96628495,0.50165457,0.00929904,1.45374495,0.48571276,0.96561560,0.00000000
-5.21360680,1.95394680,0.48233658,0.00911013,1.42588642,0.48760853,0.97774406,0.00000000
-5.20760380,1.94341086,0.46398960,0.00892246,1.39946968,0.48981362,0.99028947,0.00000000
-5.20160080,1.93453579,0.44673544,0.00873762,1.37471611,0.49223848,1.00300090,0.00000000
-5.19559780,1.92705849,0.43065121,0.00855692,1.35176166,0.49476321,1.01557965,0.00000000
-5.18959480,1.92059602,0.41576943,0.00838124,1.33064684,0.49723972,1.02768116,0.00000000
-5.18359180,1.91465331,0.40207972,0.00821100,1.31131110,0.49949527,1.03891992,0.00000000
-5.17758879,1.90863672,0.38953187,0.00804610,1.29359195,0.50133748,1.04887723,0.00000000
-5.17158579,1.90187294,0.37804014,0.00788591,1.27722918,0.50256051,1.05711169,0.00000000
-5.16558279,1.89363262,0.36748857,0.00772929,1.26187381,0.50295227,1.06317214,0.00000000
-5.15957979,1.88315753,0.35773710,0.00757465,1.24710182,0.50230229,1.06661240,0.00000000
-5.15357679,1.86969026,0.34862825,0.00742005,1.23243159,0.50040984,1.06700719,0.00000000
-5.14757379,1.85250484,0.33999404,0.00726327,1.21734464,0.49709204,1.06396843,0.00000000
-5.14157079,1.83093708,0.33166298,0.00710198,1.20130829,0.49219145,1.05716113,0.00000000
-5.13556778,1.80441299,0.32346682,0.00693386,1.18379940,0.48558296,1.04631801,0.00000000
-5.12956478,1.77247403,0.31524688,0.00675673,1.16432791,0.47717936,1.03125201,0.00000000
-5.12356178,1.73479801,0.30685975,0.00656870,1.14245901,0.46693569,1.01186618,0.00000000
-5.11755878,1.69121466,0.29818216,0.00636827,1.11783299,0.45485186,0.98816027,0.00000000
-5.11155578,1.64171530,0.28911498,0.00615446,1.09018178,0.44097362,0.96023371,0.00000000
-5.10555278,1.58645611,0.27958614,0.00592684,1.05934155,0.42539179,0.92828488,0.00000000
-5.09954977,1.52575516,0.26955251,0.00568563,1.02526084,0.40823983,0.89260663,0.00000000
-5.09354677,1.46008338,0.25900074,0.00543166,0.98800401,0.38968994,0.85357838,0.00000000
-5.08754377,1.39005018,0.24794705,0.00516644,0.94775018,0.36994773,0.81165520,0.00000000
-5.08154077,1.31638443,0.23643605,0.00489206,0.90478767,0.34924606,0.76735436,0.00000000
-5.07553777,1.23991207,0.22453868,0.00461117,0.85950471,0.32783804,0.72124026,0.00000000
-5.06953477,1.16153125,0.21234955,0.00432691,0.81237699,0.30598971,0.67390820,0.00000000
-5.06353177,1.08218649,0.19998357,0.00404280,0.76395274,0.28397273,0.62596799,0.00000000
-5.05752876,1.00284291,0.18757224,0.00376270,0.71483644,0.26205725,0.57802812,0.00000000
-5.05152576,0.92446168,0.17525977,0.00349069,0.66567177,0.24050553,0.53068101,0.00000000
-5.04552276,0.84797770,0.16319896,0.00323101,0.61712492,0.21956617,0.48449013,0.00000000
