energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,9.49839226,2.37748321,5.02414389,0.04136586,0.58072677,1.19936378,0.74993174,0.06056080,2.29934537
-5.99399700,9.57297520,2.38633965,5.03682925,0.04261360,0.56461497,1.22073428,0.76967938,0.05947419,2.34601745
-5.98799400,9.65761355,2.39775676,5.05430275,0.04382208,0.54917165,1.24288953,0.79130411,0.05843548,2.39478339
-5.98199100,9.75137581,2.41164922,5.07628683,0.04498879,0.53458975,1.26560699,0.81466244,0.05744697,2.44508113
-5.97598799,9.85330122,2.42790787,5.10247376,0.04611250,0.52104355,1.28868571,0.83960351,0.05651199,2.49637476
-5.96998499,9.96242717,2.44640093,5.13253851,0.04719346,0.50868515,1.31194944,0.86597318,0.05563486,2.54816710
-5.96398199,10.07781759,2.46697605,5.16615376,0.04823351,0.49764198,1.33524886,0.89361763,0.05482088,2.60001053
-5.95797899,10.19859188,2.48946352,5.20300685,0.04923624,0.48801552,1.35846319,0.92238658,0.05407623,2.65151562
-5.95197599,10.32395405,2.51368067,5.24281828,0.05020697,0.47988097,1.38150113,0.95213596,0.05340797,2.70235771
-5.94597299,10.45322074,2.53943751,5.28536071,0.05115274,0.47328813,1.40430133,0.98272985,0.05282391,2.75228117
-5.93996998,10.58584688,2.56654334,5.33047763,0.05208217,0.46826302,1.42683228,1.01404171,0.05233252,2.80110134
-5.93396698,10.72144697,2.59481395,5.37809994,0.05300525,0.46481022,1.44909171,1.04595481,0.05194280,2.84870410
-5.92796398,10.85981002,2.62407893,5.42825926,0.05393298,0.46291566,1.47110532,1.07836170,0.05166406,2.89504279
-5.92196098,11.00090588,2.65418831,5.48109608,0.05487701,0.46254954,1.49292470,1.11116280,0.05150577,2.94013261
-5.91595798,11.14488116,2.68501793,5.53686151,0.05584910,0.46366907,1.51462431,1.14426406,0.05147719,2.98404236
-5.90995498,11.29204293,2.71647285,5.59591132,0.05686053,0.46622100,1.53629748,1.17757369,0.05158714,3.02688358
-5.90395198,11.44282935,2.74848798,5.65869144,0.05792153,0.47014342,1.55805107,1.21099820,0.05184353,3.06879725
-5.89794897,11.59776685,2.78102578,5.72571464,0.05904061,0.47536701,1.57999904,1.24443780,0.05225302,3.10993833
-5.89194597,11.75741474,2.81407044,5.79752860,0.06022390,0.48181538,1.60225477,1.27778143,0.05282054,3.15045855
-5.88594297,11.92229884,2.84761879,5.87467629,0.06147457,0.48940474,1.62492227,1.31090182,0.05354880,3.19048808
-5.87993997,12.09283687,2.88166810,5.95765017,0.06279227,0.49804278,1.64808678,1.34365079,0.05443789,3.23011683
-5.87393697,12.26925937,2.91620150,6.04684229,0.06417274,0.50762709,1.67180476,1.37585533,0.05548484,3.26937629
-5.86793397,12.45153050,2.95117172,6.14249299,0.06560745,0.51804315,1.69609421,1.40731467,0.05668326,3.30822288
-5.86193097,12.63927374,2.98648444,6.24464102,0.06708352,0.52916229,1.72092546,1.43779898,0.05802307,3.34652394
-5.85592796,12.83170767,3.02198249,6.35307823,0.06858372,0.54083989,1.74621340,1.46704979,0.05949036,3.38404737
-5.84992496,13.02759690,3.05743220,6.46731201,0.07008670,0.55291393,1.77181160,1.49478248,0.06106737,3.42045586
-5.84392196,13.22522266,3.09251329,6.58653827,0.07156746,0.56520445,1.79750894,1.52069104,0.06273262,3.45530660
-5.83791896,13.42237686,3.12681348,6.70962744,0.07299792,0.57751389,1.82302933,1.54445500,0.06446118,3.48805686
-5.83191596,13.61638208,3.15982880,6.83512540,0.07434773,0.58962862,1.84803484,1.56574848,0.06622516,3.51807595
-5.82591296,13.80413873,3.19097019,6.96127027,0.07558523,0.60132167,1.87213240,1.58425094,0.06799432,3.54466317
-5.81990995,13.98219892,3.21957670,7.08602554,0.07667846,0.61235678,1.89488424,1.59965943,0.06973678,3.56707159
-5.81390695,14.14686499,3.24493503,7.20712873,0.07759634,0.62249351,1.91582161,1.61170157,0.07141993,3.58453659
-5.80790395,14.29430930,3.26630475,7.32215413,0.07830981,0.63149345,1.93446163,1.62014865,0.07301134,3.59630815
-5.80190095,14.42071017,3.28294824,7.42858726,0.07879293,0.63912708,1.95032636,1.62482829,0.07447978,3.60168541
-5.79589795,14.52239805,3.29416377,7.52390809,0.07902402,0.64518108,1.96296353,1.62563573,0.07579616,3.60005179
-5.78989495,14.59600505,3.29932010,7.60567935,0.07898652,0.64946567,1.97196776,1.62254330,0.07693452,3.59090900
-5.78389195,14.63861078,3.29789063,7.67163624,0.07866986,0.65182167,1.97700150,1.61560720,0.07787288,3.57390812
-5.77788894,14.64787725,3.28948529,7.71977334,0.07806998,0.65212673,1.97781437,1.60497149,0.07859394,3.54887615
-5.77188594,14.62216641,3.27387805,7.74842507,0.07718977,0.65030059,1.97426018,1.59086855,0.07908568,3.51583648
-5.76588294,14.56063443,3.25102869,7.75633587,0.07603916,0.64630885,1.96631049,1.57361635,0.07934171,3.47502226
-5.75987994,14.46329826,3.22109715,7.74271738,0.07463509,0.64016516,1.95406409,1.55361219,0.07936149,3.42688180
-5.75387694,14.33107139,3.18444976,7.70728987,0.07300109,0.63193164,1.93775177,1.53132350,0.07915024,3.37207569
-5.74787394,14.16576713,3.14165657,7.65030655,0.07116683,0.62171739,1.91773605,1.50727592,0.07871874,3.31146565
-5.74187094,13.97006974,3.09348002,7.57255977,0.06916735,0.60967530,1.89450579,1.48203945,0.07808284,3.24609561
