energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-5.69384692,3.95497540,0.01738510,0.35857496,0.00838992,0.00000000,1.55389139,1.11866644,0.02440920,1.94975830
-5.68784392,3.83372749,0.01805839,0.34348419,0.00820473,0.00000000,1.47790502,1.09063533,0.02554876,1.88980509
-5.68184092,3.72136083,0.01891024,0.32887926,0.00804353,0.00000000,1.40267844,1.06565340,0.02694424,1.83401987
-5.67583792,3.62257199,0.01995676,0.31515262,0.00791838,0.00000000,1.33002825,1.04506005,0.02862312,1.78476118
-5.66983492,3.54174131,0.02121029,0.30266326,0.00784107,0.00000000,1.26166105,1.03010415,0.03060823,1.74424447
-5.66383192,3.48281415,0.02267877,0.29172734,0.00782287,0.00000000,1.19913314,1.02190871,0.03291665,1.71448263
-5.65782891,3.44919463,0.02436525,0.28261046,0.00787418,0.00000000,1.14381613,1.02143890,0.03555871,1.69723220
-5.65182591,3.44365451,0.02626747,0.27552156,0.00800435,0.00000000,1.09686913,1.02947401,0.03853712,1.69394675
-5.64582291,3.46825966,0.02837762,0.27060870,0.00822136,0.00000000,1.05921801,1.04658442,0.04184621,1.70573856
-5.63981991,3.52431562,0.03068217,0.26795665,0.00853168,0.00000000,1.03154183,1.07311384,0.04547154,1.73334938
-5.63381691,3.61233373,0.03316199,0.26758648,0.00894006,0.00000000,1.01426625,1.10916760,0.04938956,1.77713127
-5.62781391,3.73201847,0.03579250,0.26945691,0.00944941,0.00000000,1.00756386,1.15460714,0.05356773,1.83703762
-5.62181091,3.88227630,0.03854414,0.27346739,0.01006077,0.00000000,1.01136075,1.20905100,0.05796480,1.91262491
-5.61580790,4.06124592,0.04138291,0.27946285,0.01077319,0.00000000,1.02534902,1.27188238,0.06253146,2.00306506
-5.60980490,4.26634919,0.04427118,0.28723977,0.01158385,0.00000000,1.04900443,1.34226309,0.06721128,2.10716821
-5.60380190,4.49436159,0.04716852,0.29655351,0.01248810,0.00000000,1.08160865,1.41915370,0.07194194,2.22341539
-5.59779890,4.74150045,0.05003283,0.30712658,0.01347962,0.00000000,1.12227535,1.50133943,0.07665669,2.35000046
-5.59179590,5.00352872,0.05282143,0.31865767,0.01455058,0.00000000,1.16997932,1.58746117,0.08128605,2.48488009
-5.58579290,5.27587161,0.05549230,0.33083099,0.01569193,0.00000000,1.22358797,1.67605076,0.08575965,2.62583058
-5.57978989,5.55374244,0.05800529,0.34332588,0.01689362,0.00000000,1.28189426,1.76556966,0.09000815,2.77050985
-5.57378689,5.83227427,0.06032335,0.35582621,0.01814495,0.00000000,1.34365022,1.85444973,0.09396524,2.91652264
-5.56778389,6.10665283,0.06241370,0.36802935,0.01943486,0.00000000,1.40760033,1.94113494,0.09756947,3.06148681
-5.56178089,6.37224638,0.06424883,0.37965442,0.02075226,0.00000000,1.47251354,2.02412263,0.10076608,3.20309845
-5.55577789,6.62472794,0.06580737,0.39044962,0.02208633,0.00000000,1.53721337,2.10200275,0.10350850,3.33919342
-5.54977489,6.86018536,0.06707483,0.40019827,0.02342675,0.00000000,1.60060491,2.17349393,0.10575967,3.46780290
-5.54377189,7.07521520,0.06804402,0.40872358,0.02476396,0.00000000,1.66169813,2.23747481,0.10749295,3.58720081
-5.53776888,7.26699669,0.06871526,0.41589186,0.02608930,0.00000000,1.71962658,2.29300963,0.10869271,3.69594124
-5.53176588,7.43334317,0.06909636,0.42161409,0.02739509,0.00000000,1.77366115,2.33936702,0.10935455,3.79288423
-5.52576288,7.57272897,0.06920232,0.42584604,0.02867465,0.00000000,1.82321833,2.37603142,0.10948501,3.87720918
-5.51975988,7.68429127,0.06905477,0.42858666,0.02992223,0.00000000,1.86786299,2.40270676,0.10910103,3.94841515
-5.51375688,7.76780731,0.06868119,0.42987520,0.03113285,0.00000000,1.90730571,2.41931242,0.10822899,4.00630877
-5.50775388,7.82364884,0.06811401,0.42978705,0.03230217,0.00000000,1.94139510,2.42597183,0.10690344,4.05098036
-5.50175088,7.85271663,0.06738941,0.42842849,0.03342617,0.00000000,1.97010580,2.42299461,0.10516563,4.08277001
-5.49574787,7.85635923,0.06654616,0.42593084,0.03450096,0.00000000,1.99352297,2.41085317,0.10306183,4.10222581
-5.48974487,7.83628043,0.06562432,0.42244407,0.03552247,0.00000000,2.01182436,2.39015515,0.10064159,4.11005671
-5.48374187,7.79444101,0.06466395,0.41813035,0.03648624,0.00000000,2.02526112,2.36161327,0.09795604,4.10708288
-5.47773887,7.73296005,0.06370386,0.41315781,0.03738723,0.00000000,2.03413862,2.32601419,0.09505615,4.09418655
-5.47173587,7.65402121,0.06278043,0.40769463,0.03821968,0.00000000,2.03879832,2.28418785,0.09199125,4.07226619
-5.46573287,7.55978868,0.06192657,0.40190403,0.03897710,0.00000000,2.03960189,2.23697902,0.08880771,4.04219637
-5.45972986,7.45233700,0.06117080,0.39593998,0.03965230,0.00000000,2.03691825,2.18522217,0.08554783,4.00479566
-5.45372686,7.33359738,0.06053655,0.38994397,0.04023758,0.00000000,2.03111418,2.12972073,0.08224911,3.96080382
-5.44772386,7.20532263,0.06004157,0.38404292,0.04072494,0.00000000,2.02254884,2.07123152,0.07894374,3.91086908
-5.44172086,7.06907065,0.05969762,0.37834803,0.04110645,0.00000000,2.01157186,2.01045457,0.07565839,3.85554568
-5.43571786,6.92620599,0.05951025,0.37295465,0.04137463,0.00000000,1.99852500,1.94802833,0.07241431,3.79530078
-5.42971486,6.77791711,0.05947885,0.36794305,0.04152289,0.00000000,1.98374632,1.88452990,0.06922764,3.73052953
-5.42371186,6.62524638,0.05959682,0.36337973,0.04154598,0.00000000,1.96757627,1.82047952,0.06610994,3.66157645
-5.41770885,6.46912897,0.05985190,0.35931933,0.04144040,0.00000000,1.95036444,1.75634840,0.06306886,3.58876072
-5.41170585,6.31043634,0.06022662,0.35580666,0.04120478,0.00000000,1.93247598,1.69256874,0.06010890,3.51240304
-5.40570285,6.15002017,0.06069890,0.35287885,0.04084017,0.00000000,1.91429660,1.62954477,0.05723223,3.43285157
-5.39969985,5.98875233,0.06124275,0.35056728,0.04035024,0.00000000,1.89623504,1.56766361,0.05443948,3.35050464
-5.39369685,5.82755766,0.06182901,0.34889919,0.03974132,0.00000000,1.87872260,1.50730482,0.05173049,3.26582830
-5.38769385,5.66743647,0.06242620,0.34789888,0.03902235,0.00000000,1.86220882,1.44884772,0.04910494,3.17936725
-5.38169085,5.50947509,0.06300139,0.34758832,0.03820469,0.00000000,1.84715362,1.39267592,0.04656296,3.09174817
-5.37568784,5.35484356,0.06352113,0.34798728,0.03730178,0.00000000,1.83401570,1.33917835,0.04410543,3.00367531
-5.36968484,5.20478075,0.06395239,0.34911294,0.03632872,0.00000000,1.82323804,1.28874703,0.04173432,2.91591850
-5.36368184,5.06056815,0.06426349,0.35097911,0.03530178,0.00000000,1.81523107,1.24177131,0.03945278,2.82929461
-5.35767884,4.92349435,0.06442503,0.35359513,0.03423779,0.00000000,1.81035476,1.19862942,0.03726517,2.74464367
-5.35167584,4.79481310,0.06441074,0.35696465,0.03315355,0.00000000,1.80890080,1.15967761,0.03517690,2.66280156
-5.34567284,4.67569808,0.06419834,0.36108448,0.03206530,0.00000000,1.81107620,1.12523790,0.03319431,2.58457094
-5.33966983,4.56719777,0.06377021,0.36594357,0.03098809,0.00000000,1.81698950,1.09558531,0.03132436,2.51069272
-5.33366683,4.47019387,0.06311403,0.37152253,0.02993535,0.00000000,1.82664099,1.07093552,0.02957437,2.44181976
-5.32766383,4.38536625,0.06222327,0.37779353,0.02891850,0.00000000,1.83991773,1.05143396,0.02795169,2.37849464
-5.32166083,4.31316717,0.06109750,0.38472097,0.02794667,0.00000000,1.85659413,1.03714715,0.02646348,2.32113286
-5.31565783,4.25380650,0.05974250,0.39226289,0.02702652,0.00000000,1.87633854,1.02805704,0.02511636,2.27001259
-5.30965483,4.20724947,0.05817030,0.40037308,0.02616227,0.00000000,1.89872575,1.02405905,0.02391624,2.22527135
-5.30365183,4.17322710,0.05639889,0.40900408,0.02535575,0.00000000,1.92325516,1.02496387,0.02286809,2.18690988
-5.29764882,4.15125899,0.05445186,0.41811075,0.02460662,0.00000000,1.94937376,1.03050348,0.02197585,2.15480280
-5.29164582,4.14068745,0.05235780,0.42765453,0.02391266,0.00000000,1.97650298,1.04034102,0.02124229,2.12871525
-5.28564282,4.14072085,0.05014957,0.43760803,0.02327018,0.00000000,2.00406808,1.05408429,0.02066897,2.10832444
-5.27963982,4.15048403,0.04786341,0.44795992,0.02267439,0.00000000,2.03152858,1.07130227,0.02025623,2.09324478
-5.27363682,4.16907292,0.04553803,0.45871970,0.02211992,0.00000000,2.05840803,1.09154391,0.02000316,2.08305487
-5.26763382,4.19561015,0.04321347,0.46992230,0.02160120,0.00000000,2.08432173,1.11435835,0.01990766,2.07732498
-5.26163082,4.22929882,0.04093013,0.48163203,0.02111292,0.00000000,2.10900067,1.13931542,0.01996643,2.07564322
-5.25562781,4.26947118,0.03872760,0.49394581,0.02065044,0.00000000,2.13231050,1.16602562,0.02017497,2.07763900
-5.24962481,4.31562972,0.03664368,0.50699527,0.02021004,0.00000000,2.15426430,1.19415831,0.02052770,2.08300259
-5.24362181,4.36747816,0.03471334,0.52094764,0.01978921,0.00000000,2.17502855,1.22345722,0.02101785,2.09149973
-5.23761881,4.42494072,0.03296784,0.53600504,0.01938680,0.00000000,2.19492165,1.25375251,0.02163759,2.10298053
