energy_ev,total_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,1.65692980,0.53185298,0.65336611,0.00252379,0.32687999,0.62580577,0.00000000
-5.99399700,1.74231425,0.56356526,0.68969981,0.00289219,0.34382064,0.65831638,0.00000000
-5.98799400,1.83108239,0.59606757,0.72677464,0.00331789,0.36144789,0.69216187,0.00000000
-5.98199100,1.92239186,0.62902106,0.76420449,0.00380271,0.37960447,0.72702311,0.00000000
-5.97598799,2.01531840,0.66206801,0.80158791,0.00434749,0.39811337,0.76255309,0.00000000
-5.96998499,2.10887656,0.69483998,0.83851809,0.00495200,0.41678155,0.79838487,0.00000000
-5.96398199,2.20204052,0.72696578,0.87459253,0.00561476,0.43540373,0.83413958,0.00000000
-5.95797899,2.29376431,0.75807902,0.90942193,0.00633288,0.45376629,0.86943385,0.00000000
-5.95197599,2.38300074,0.78782502,0.94263808,0.00710201,0.47165104,0.90388677,0.00000000
-5.94597299,2.46871875,0.81586690,0.97390040,0.00791626,0.48883882,0.93712592,0.00000000
-5.93996998,2.54991876,0.84189071,1.00290110,0.00876821,0.50511296,0.96879268,0.00000000
-5.93396698,2.62564618,0.86560959,1.02936885,0.00964894,0.52026238,0.99854657,0.00000000
-5.92796398,2.69500314,0.88676701,1.05307108,0.01054820,0.53408452,1.02606892,0.00000000
-5.92196098,2.75715862,0.90513911,1.07381499,0.01145458,0.54638806,1.05106585,0.00000000
-5.91595798,2.81135747,0.92053633,1.09144752,0.01235576,0.55699546,1.07327080,0.00000000
-5.90995498,2.85692853,0.93280440,1.10585447,0.01323885,0.56574535,1.09244678,0.00000000
-5.90395198,2.89329230,0.94182484,1.11695906,0.01409073,0.57249486,1.10838839,0.00000000
-5.89794897,2.91996830,0.94751518,1.12472026,0.01489849,0.57712182,1.12092396,0.00000000
-5.89194597,2.93658220,0.94982891,1.12913089,0.01564982,0.57952696,1.12991758,0.00000000
-5.88594297,2.94287286,0.94875527,1.13021587,0.01633348,0.57963588,1.13527139,0.00000000
-5.87993997,2.93869881,0.94431898,1.12803069,0.01693970,0.57740095,1.13692767,0.00000000
-5.87393697,2.92404410,0.93657974,1.12265997,0.01746051,0.57280292,1.13487096,0.00000000
-5.86793397,2.89902275,0.92563167,1.11421638,0.01789013,0.56585222,1.12912987,0.00000000
-5.86193097,2.86388161,0.91160242,1.10283948,0.01822514,0.55658974,1.11977831,0.00000000
-5.85592796,2.81900071,0.89465193,1.08869464,0.01846466,0.54508715,1.10693607,0.00000000
-5.84992496,2.76489086,0.87497079,1.07197170,0.01861039,0.53144654,1.09076843,0.00000000
-5.84392196,2.70218786,0.85277804,1.05288329,0.01866652,0.51579934,1.07148455,0.00000000
-5.83791896,2.63164315,0.82831828,1.03166253,0.01863955,0.49830453,1.04933461,0.00000000
-5.83191596,2.55411074,0.80185824,1.00856016,0.01853805,0.47914603,1.02460556,0.00000000
-5.82591296,2.47053060,0.77368256,0.98384079,0.01837225,0.45852947,0.99761548,0.00000000
-5.81990995,2.38190880,0.74408906,0.95777848,0.01815359,0.43667821,0.96870665,0.00000000
-5.81390695,2.28929494,0.71338341,0.93065158,0.01789425,0.41382894,0.93823757,0.00000000
-5.80790395,2.19375772,0.68187347,0.90273694,0.01760659,0.39022681,0.90657412,0.00000000
-5.80190095,2.09635953,0.64986341,0.87430381,0.01730264,0.36612035,0.87408027,0.00000000
