energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-0.50725363,0.52233997,0.12493442,0.01791082,0.00099132,0.00946528,0.00283536,0.09734842,0.05954928,0.37884166
-0.50125063,0.52557985,0.12232081,0.01805221,0.00107857,0.00944830,0.00295615,0.09986336,0.06133894,0.37930842
-0.49524762,0.52971183,0.12033036,0.01823050,0.00117593,0.00944806,0.00311569,0.10244936,0.06317790,0.38034639
-0.48924462,0.53458302,0.11902421,0.01844171,0.00128467,0.00946256,0.00332001,0.10505356,0.06503423,0.38183184
-0.48324162,0.54000331,0.11845510,0.01868075,0.00140620,0.00948910,0.00357568,0.10761757,0.06687321,0.38360994
-0.47723862,0.54575845,0.11866938,0.01894179,0.00154218,0.00952459,0.00388979,0.11008029,0.06865902,0.38550415
-0.47123562,0.55162427,0.11970930,0.01921875,0.00169448,0.00956581,0.00426998,0.11238085,0.07035659,0.38732673
-0.46523262,0.55738139,0.12161499,0.01950579,0.00186516,0.00960979,0.00472437,0.11446148,0.07193333,0.38888975
-0.45922961,0.56282930,0.12442622,0.01979770,0.00205646,0.00965408,0.00526146,0.11627043,0.07336085,0.39001593
-0.45322661,0.56779924,0.12818357,0.02009031,0.00227076,0.00969710,0.00589000,0.11776443,0.07461644,0.39054883
-0.44722361,0.57216489,0.13292885,0.02038084,0.00251052,0.00973840,0.00661875,0.11891077,0.07568424,0.39036167
-0.44122061,0.57585042,0.13870473,0.02066800,0.00277814,0.00977894,0.00745627,0.11968888,0.07655606,0.38936453
-0.43521761,0.57883535,0.14555338,0.02095218,0.00307595,0.00982121,0.00841049,0.12009117,0.07723181,0.38750947
-0.42921461,0.58115596,0.15351425,0.02123531,0.00340598,0.00986944,0.00948845,0.12012323,0.07771945,0.38479323
-0.42321161,0.58290320,0.16262096,0.02152077,0.00376990,0.00992960,0.01069577,0.11980336,0.07803448,0.38125767
-0.41720860,0.58421721,0.17289745,0.02181307,0.00416881,0.01000941,0.01203628,0.11916135,0.07819908,0.37698769
-0.41120560,0.58527882,0.18435369,0.02211748,0.00460315,0.01011825,0.01351151,0.11823672,0.07824077,0.37210705
-0.40520260,0.58629853,0.19698102,0.02243956,0.00507249,0.01026699,0.01512028,0.11707646,0.07819085,0.36677223
