energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,12.09062609,3.15397857,7.00904910,0.06906065,0.86930441,0.99181427,0.98939354,0.05799043,2.70576499
-5.99399700,12.01408667,3.12725609,6.97102386,0.06834618,0.86134561,0.99448955,0.98103881,0.05556777,2.69264155
-5.98799400,11.92123683,3.09803273,6.92302124,0.06750514,0.85241416,0.99671439,0.97070524,0.05324764,2.67549279
-5.98199100,11.81570908,3.06732921,6.86739327,0.06653889,0.84276964,0.99866282,0.95863637,0.05105852,2.65485434
-5.97598799,11.70174598,3.03630833,6.80684386,0.06545209,0.83269924,1.00057240,0.94513049,0.04902881,2.63142676
-5.96998499,11.58406526,3.00624426,6.74433165,0.06425303,0.82250681,1.00274091,0.93053412,0.04718621,2.60606170
-5.96398199,11.46770634,2.97848714,6.68296291,0.06295382,0.81250139,1.00552083,0.91523371,0.04555712,2.57974212
-5.95797899,11.35786452,2.95442432,6.62587913,0.06157046,0.80298566,1.00931188,0.89964578,0.04416603,2.55355722
-5.95197599,11.25971957,2.93543953,6.57614402,0.06012265,0.79424491,1.01455148,0.88420586,0.04303486,2.52867290
-5.94597299,11.17826537,2.92287164,6.53663455,0.05863357,0.78653703,1.02170366,0.86935660,0.04218238,2.50629875
-5.93996998,11.11814690,2.91797409,6.50994024,0.05712931,0.78008395,1.03124632,0.85553548,0.04162365,2.48765278
-5.93396698,11.08351034,2.92187642,6.49827450,0.05563833,0.77506481,1.04365740,0.84316248,0.04136955,2.47392478
-5.92796398,11.07787124,2.93554895,6.50340102,0.05419067,0.77161112,1.05940006,0.83262825,0.04142637,2.46623984
-5.92196098,11.10400460,2.95977152,6.52657747,0.05281712,0.76980394,1.07890737,0.82428301,0.04179548,2.46562289
-5.91595798,11.16386001,2.99510704,6.56851796,0.05154832,0.76967310,1.10256696,0.81842655,0.04247315,2.47296563
-5.90995498,11.25850350,3.04188064,6.62937498,0.05041386,0.77119835,1.13070576,0.81529980,0.04345047,2.48899656
-5.90395198,11.38808716,3.10016472,6.70874059,0.04944132,0.77431222,1.16357575,0.81507790,0.04471336,2.51425537
-5.89794897,11.55184627,3.16977032,6.80566603,0.04865543,0.77890433,1.20134071,0.81786527,0.04624282,2.54907211
-5.89194597,11.74812320,3.25024498,6.91869837,0.04807734,0.78482688,1.24406480,0.82369253,0.04801515,2.59355207
-5.88594297,11.97441627,3.34087721,7.04593226,0.04772389,0.79190090,1.29170329,0.83251555,0.05000241,2.64756664
-5.87993997,12.22745140,3.44070749,7.18507430,0.04760712,0.79992311,1.34409581,0.84421649,0.05217302,2.71075059
-5.87393697,12.50327373,3.54854561,7.33351768,0.04773390,0.80867291,1.40096263,0.85860678,0.05449231,2.78250587
-5.86793397,12.79735621,3.66299397,7.48842404,0.04810570,0.81791930,1.46190425,0.87543208,0.05692335,2.86201189
-5.86193097,13.10472154,3.78247649,7.64680997,0.04871858,0.82742751,1.52640446,0.89437894,0.05942773,2.94824216
-5.85592796,13.42007405,3.90527237,7.80563513,0.04956325,0.83696512,1.59383706,0.91508301,0.06196642,3.03998687
-5.84992496,13.73793761,4.02955395,7.96188939,0.05062538,0.84630751,1.66347621,0.93713861,0.06450065,3.13588080
-5.84392196,14.05279592,4.15342771,8.11267632,0.05188596,0.85524252,1.73451022,0.96010942,0.06699280,3.23443595
-5.83791896,14.35923131,4.27497736,8.25529080,0.05332183,0.86357436,1.80605860,0.98353992,0.06940720,3.33407805
-5.83191596,14.65205844,4.39230770,8.38728861,0.05490625,0.87112657,1.87719182,1.00696744,0.07171099,3.43318574
-5.82591296,14.92644933,4.50358811,8.50654619,0.05660963,0.87774418,1.94695332,1.02993432,0.07387471,3.53013152
-5.81990995,15.17804658,4.60709425,8.61130928,0.05840017,0.88329505,2.01438301,1.05200002,0.07587294,3.62332322
-5.81390695,15.40306178,4.70124668,8.70022927,0.06024471,0.88767040,2.07854153,1.07275269,0.07768471,3.71124459
-5.80790395,15.59835673,4.78464518,8.77238679,0.06210940,0.89078467,2.13853450,1.09182010,0.07929376,3.79249402
-5.80190095,15.76150543,4.85609780,8.82730211,0.06396053,0.89257474,2.19353572,1.10887944,0.08068872,3.86581998
-5.79589795,15.89083563,4.91464350,8.86493277,0.06576522,0.89299865,2.24280865,1.12366574,0.08186301,3.93015213
-5.78989495,15.98544895,4.95956799,8.88565891,0.06749211,0.89203387,2.28572528,1.13597880,0.08281471,3.98462719
-5.78389195,16.04521989,4.99041223,8.89025723,0.06911205,0.88967531,2.32178165,1.14568836,0.08354616,4.02860867
-5.77788894,16.07077396,5.00697346,8.87986501,0.07059865,0.88593306,2.35060942,1.15273727,0.08406357,4.06169989
-5.77188594,16.06344647,5.00929913,8.85593565,0.07192880,0.88083007,2.37198315,1.15714278,0.08437641,4.08374998
-5.76588294,16.02522369,4.99767403,8.82018755,0.07308315,0.87439993,2.38582284,1.15899571,0.08449681,4.09485255
-5.75987994,15.95866877,4.97260136,8.77454817,0.07404639,0.86668461,2.39219180,1.15845771,0.08443887,4.09533749
-5.75387694,15.86683510,4.93477883,8.72109529,0.07480756,0.85773255,2.39128990,1.15575652,0.08421804,4.08575583
-5.74787394,15.75317028,4.88507060,8.66199736,0.07536020,0.84759692,2.38344248,1.15117949,0.08385041,4.06685860
-5.74187094,15.62141357,4.82447643,8.59945464,0.07570234,0.83633422,2.36908547,1.14506554,0.08335216,4.03957032
-5.73586793,15.47549032,4.75409919,8.53564288,0.07583651,0.82400321,2.34874731,1.13779559,0.08273902,4.00495799
-5.72986493,15.31940609,4.67511186,8.47266078,0.07576947,0.81066419,2.32302848,1.12978206,0.08202582,3.96419684
-5.72386193,15.15714355,4.58872512,8.41248243,0.07551199,0.79637854,2.29257948,1.12145732,0.08122622,3.91853375
-5.71785893,14.99256447,4.49615661,8.35691543,0.07507837,0.78120857,2.25807816,1.11326172,0.08035243,3.86924973
-5.71185593,14.82931918,4.39860259,8.30756530,0.07448602,0.76521751,2.22020734,1.10563125,0.07941510,3.81762253
-5.70585293,14.67076510,4.29721268,8.26580634,0.07375479,0.74846970,2.17963370,1.09898532,0.07842336,3.76489051
-5.69984992,14.51989575,4.19306823,8.23275900,0.07290639,0.73103081,2.13698853,1.09371476,0.07738482,3.71221895
-5.69384692,14.37928137,4.08716460,8.20927341,0.07196363,0.71296799,2.09285131,1.09017064,0.07630573,3.66066965
-5.68784392,14.25102158,3.98039753,8.19591902,0.07094971,0.69435001,2.04773653,1.08865375,0.07519116,3.61117467
-5.68184092,14.13671064,3.87355353,8.19297954,0.06988752,0.67524723,2.00208420,1.08940550,0.07404519,3.56451498
-5.67583792,14.03741526,3.76730434,8.20045314,0.06879886,0.65573142,1.95625427,1.09260007,0.07287114,3.52130447
-5.66983492,13.95366493,3.66220501,8.21805719,0.06770388,0.63587537,1.91052498,1.09833824,0.07167176,3.48197959
-5.66383192,13.88545455,3.55869554,8.24523736,0.06662040,0.61575237,1.86509498,1.10664312,0.07044941,3.44679501
-5.65782891,13.83225884,3.45710549,8.28118079,0.06556346,0.59543551,1.82008898,1.11745777,0.06920619,3.41582495
-5.65182591,13.79305824,3.35766126,8.32483316,0.06454494,0.57499684,1.77556634,1.13064502,0.06794406,3.38897033
-5.64582291,13.76637560,3.26049556,8.37491966,0.06357325,0.55450658,1.73153199,1.14598943,0.06666485,3.36597103
-5.63981991,13.75032308,3.16565864,8.42996978,0.06265324,0.53403218,1.68794916,1.16320150,0.06537035,3.34642306
-5.63381691,13.74265833,3.07313069,8.48834609,0.06178613,0.51363755,1.64475293,1.18192406,0.06406223,3.32979966
-5.62781391,13.74084912,2.98283509,8.54827690,0.06096970,0.49338239,1.60186398,1.20174075,0.06274203,3.31547571
-5.62181091,13.74214518,2.89465197,8.60789277,0.06019850,0.47332159,1.55920179,1.22218641,0.06141112,3.30275455
-5.61580790,13.74365592,2.80843162,8.66526669,0.05946419,0.45350493,1.51669654,1.24275918,0.06007067,3.29089616
-5.60980490,13.74243223,2.72400747,8.71845736,0.05875603,0.43397695,1.47429925,1.26293402,0.05872161,3.27914572
-5.60380190,13.73555069,2.64120815,8.76555511,0.05806142,0.41477697,1.43198949,1.28217716,0.05736466,3.26676155
-5.59779890,13.72019776,2.55986838,8.80472926,0.05736644,0.39593945,1.38978069,1.29996120,0.05600033,3.25304150
-5.59179590,13.69375169,2.47983848,8.83427589,0.05665654,0.37749438,1.34772246,1.31578030,0.05462907,3.23734670
-5.58579290,13.65385950,2.40099217,8.85266436,0.05591715,0.35946790,1.30590031,1.32916488,0.05325127,3.21912200
-5.57978989,13.59850647,2.32323266,8.85858106,0.05513428,0.34188301,1.26443272,1.33969549,0.05186752,3.19791237
-5.57378689,13.52607535,2.24649684,8.85096841,0.05429515,0.32476028,1.22346578,1.34701512,0.05047868,3.17337458
-5.56778389,13.43539304,2.17075761,8.82905736,0.05338868,0.30811859,1.18316610,1.35083961,0.04908609,3.14528411
-5.56178089,13.32576246,2.09602440,8.79239155,0.05240592,0.29197582,1.14371208,1.35096564,0.04769173,3.11353679
-5.55577789,13.19697800,2.02234195,8.74084172,0.05134041,0.27634937,1.10528450,1.34727612,0.04629835,3.07814551
