energy_ev,total_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
4.10905453,3.51819750,2.91460516,0.86339409,0.28562847,1.10518541,0.87969110,0.00000000
4.11505753,3.53985259,2.93797276,0.86998024,0.28626207,1.11655603,0.87889103,0.00000000
4.12106053,3.55428236,2.95527757,0.87504363,0.28574026,1.12694920,0.87647415,0.00000000
4.12706353,3.56277115,2.96743131,0.87891833,0.28414310,1.13683424,0.87289831,0.00000000
4.13306653,3.56658616,2.97532988,0.88192981,0.28156467,1.14664630,0.86861012,0.00000000
4.13906953,3.56691371,2.97980652,0.88437827,0.27810858,1.15676277,0.86402531,0.00000000
4.14507254,3.56480072,2.98158948,0.88652344,0.27388344,1.16748197,0.85951060,0.00000000
4.15107554,3.56110434,2.98126616,0.88857135,0.26899851,1.17900547,0.85536802,0.00000000
4.15707854,3.55645187,2.97925527,0.89066379,0.26355964,1.19142464,0.85182233,0.00000000
4.16308154,3.55121306,2.97578843,0.89287099,0.25766584,1.20471228,0.84901209,0.00000000
4.16908454,3.54548574,2.97090178,0.89518783,0.25140645,1.21871976,0.84698482,0.00000000
4.17508754,3.53909528,2.96443786,0.89753370,0.24485910,1.23317975,0.84569629,0.00000000
4.18109055,3.53160780,2.95605750,0.89975608,0.23808852,1.24771448,0.84501406,0.00000000
4.18709355,3.52235607,2.94526073,0.90163754,0.23114607,1.26184926,0.84472495,0.00000000
4.19309655,3.51047681,2.93141587,0.90290590,0.22407015,1.27503055,0.84454601,0.00000000
4.19909955,3.49495717,2.91379482,0.90324699,0.21688720,1.28664776,0.84413858,0.00000000
4.20510255,3.47468823,2.89161307,0.90231936,0.20961331,1.29605798,0.84312454,0.00000000
4.21110555,3.44852276,2.86407236,0.89977035,0.20225627,1.30261224,0.84110423,0.00000000
4.21710855,3.41533451,2.83040387,0.89525267,0.19481782,1.30568240,0.83767496,0.00000000
4.22311156,3.37407624,2.78991018,0.88844073,0.18729615,1.30468733,0.83244953,0.00000000
4.22911456,3.32383398,2.74200394,0.87904614,0.17968821,1.29911726,0.82507372,0.00000000
4.23511756,3.26387502,2.68624180,0.86683148,0.17199204,1.28855536,0.81524228,0.00000000
4.24112056,3.19368792,2.62235217,0.85162193,0.16420872,1.27269553,0.80271250,0.00000000
4.24712356,3.11301271,2.55025583,0.83331428,0.15634396,1.25135573,0.78731516,0.00000000
4.25312656,3.02186057,2.47007871,0.81188297,0.14840939,1.22448649,0.76896221,0.00000000
4.25912956,2.92052236,2.38215670,0.78738288,0.14042333,1.19217413,0.74765117,0.00000000
4.26513257,2.80956613,2.28703252,0.75994915,0.13241113,1.15463893,0.72346623,0.00000000
4.27113557,2.68982416,2.18544522,0.72979375,0.12440516,1.11222826,0.69657596,0.00000000
4.27713857,2.56237070,2.07831305,0.69719945,0.11644442,1.06540536,0.66722819,0.00000000
4.28314157,2.42849177,1.96671086,0.66251131,0.10857386,1.01473413,0.63574224,0.00000000
4.28914457,2.28964873,1.85184338,0.62612630,0.10084348,0.96086109,0.60249905,0.00000000
4.29514757,2.14743777,1.73501563,0.58848153,0.09330729,0.90449499,0.56792992,0.00000000
4.30115058,2.00354710,1.61760210,0.55004177,0.08602228,0.84638543,0.53250419,0.00000000
4.30715358,1.85971402,1.50101601,0.51128668,0.07904729,0.78730114,0.49671673,0.00000000
4.31315658,1.71768366,1.38668006,0.47269850,0.07244207,0.72800901,0.46107564,0.00000000
4.31915958,1.57917097,1.27599969,0.43475056,0.06626636,0.66925454,0.42609069,0.00000000
