energy_ev,total_up,Au_p_up,Au_d_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up
-6.00000000,8.57683922,0.63987486,7.33899784,0.39806998,0.00000000,0.08754344,0.71334489
-5.99399700,8.71377926,0.64468084,7.46185244,0.39909004,0.00000000,0.09144627,0.71648386
-5.98799400,8.84849887,0.64917005,7.58302161,0.40023603,0.00000000,0.09538069,0.71870095
-5.98199100,8.98062361,0.65333514,7.70210771,0.40146233,0.00000000,0.09932401,0.72013279
-5.97598799,9.10984260,0.65717947,7.81875983,0.40273216,0.00000000,0.10325391,0.72092394
-5.96998499,9.23586782,0.66071281,7.93264183,0.40401529,0.00000000,0.10714855,0.72121991
-5.96398199,9.35839790,0.66394745,8.04340444,0.40528578,0.00000000,0.11098653,0.72116057
-5.95797899,9.47708927,0.66689477,8.15066389,0.40652009,0.00000000,0.11474700,0.72087438
-5.95197599,9.59153683,0.66956261,8.25398861,0.40769546,0.00000000,0.11840974,0.72047356
-5.94597299,9.70126567,0.67195354,8.35289535,0.40878882,0.00000000,0.12195527,0.72005052
-5.93996998,9.80573447,0.67406406,8.44685522,0.40977620,0.00000000,0.12536508,0.71967564
-5.93396698,9.90435049,0.67588482,8.53530918,0.41063271,0.00000000,0.12862185,0.71939644
-5.92796398,9.99649512,0.67740168,8.61769239,0.41133299,0.00000000,0.13170982,0.71923811
-5.92196098,10.08155813,0.67859762,8.69346541,0.41185217,0.00000000,0.13461511,0.71920539
-5.91595798,10.15897835,0.67945520,8.76215039,0.41216705,0.00000000,0.13732620,0.71928541
-5.90995498,10.22828778,0.67995953,8.82336947,0.41225770,0.00000000,0.13983432,0.71945145
-5.90395198,10.28915593,0.68010141,8.87688284,0.41210894,0.00000000,0.14213394,0.71966732
-5.89794897,10.34143132,0.67988042,8.92262342,0.41171195,0.00000000,0.14422316,0.71989196
-5.89194597,10.38517694,0.67930793,8.96072578,0.41106557,0.00000000,0.14610405,0.72008409
-5.88594297,10.42069713,0.67840951,8.99154689,0.41017734,0.00000000,0.14778292,0.72020657
-5.87993997,10.44855375,0.67722700,9.01567705,0.40906414,0.00000000,0.14927047,0.72023026
-5.87393697,10.46957021,0.67581975,9.03393983,0.40775238,0.00000000,0.15058180,0.72013716
-5.86793397,10.48482287,0.67426519,9.04738074,0.40627763,0.00000000,0.15173622,0.71992270
-5.86193097,10.49561982,0.67265866,9.05724472,0.40468379,0.00000000,0.15275700,0.71959703
-5.85592796,10.50346825,0.67111238,9.06494375,0.40302178,0.00000000,0.15367086,0.71918546
-5.84992496,10.51003178,0.66975381,9.07201587,0.40134786,0.00000000,0.15450737,0.71872790
-5.84392196,10.51708015,0.66872332,9.08007784,0.39972160,0.00000000,0.15529823,0.71827742
-5.83791896,10.52643377,0.66817125,9.09077382,0.39820367,0.00000000,0.15607638,0.71789822
-5.83191596,10.53990572,0.66825464,9.10572235,0.39685360,0.00000000,0.15687513,0.71766295
-5.82591296,10.55924409,0.66913344,9.12646446,0.39572746,0.00000000,0.15772719,0.71764966
-5.81990995,10.58607709,0.67096660,9.15441472,0.39487586,0.00000000,0.15866374,0.71793865
-5.81390695,10.62186303,0.67390797,9.19081759,0.39434211,0.00000000,0.15971351,0.71860917
-5.80790395,10.66784703,0.67810206,9.23671013,0.39416068,0.00000000,0.16090195,0.71973630
-5.80190095,10.72502540,0.68367992,9.29289250,0.39435617,0.00000000,0.16225049,0.72138816
-5.79589795,10.79411859,0.69075501,9.35990628,0.39494260,0.00000000,0.16377592,0.72362332
-5.78989495,10.87555265,0.69941936,9.43802105,0.39592312,0.00000000,0.16548990,0.72648872
-5.78389195,10.96944894,0.70973980,9.52722859,0.39729016,0.00000000,0.16739863,0.73001805
-5.77788894,11.07562162,0.72175473,9.62724408,0.39902588,0.00000000,0.16950265,0.73423048
-5.77188594,11.19358181,0.73547114,9.73751355,0.40110295,0.00000000,0.17179682,0.73912989
-5.76588294,11.32254789,0.75086228,9.85722658,0.40348548,0.00000000,0.17427041,0.74470447
-5.75987994,11.46146076,0.76786592,9.98533331,0.40613018,0.00000000,0.17690735,0.75092668
-5.75387694,11.60900357,0.78638342,10.12056515,0.40898759,0.00000000,0.17968661,0.75775356
-5.74787394,11.76362535,0.80627965,10.26145858,0.41200324,0.00000000,0.18258263,0.76512724
-5.74187094,11.92356812,0.82738393,10.40638155,0.41511896,0.00000000,0.18556598,0.77297582
-5.73586793,12.08689759,0.84949204,10.55356254,0.41827397,0.00000000,0.18860394,0.78121445
-5.72986493,12.25153732,0.87236943,10.70112214,0.42140606,0.00000000,0.19166132,0.78974666
-5.72386193,12.41530648,0.89575550,10.84710717,0.42445256,0.00000000,0.19470120,0.79846595
-5.71785893,12.57596143,0.91936908,10.98952754,0.42735139,0.00000000,0.19768581,0.80725769
-5.71185593,12.73124085,0.94291498,11.12639582,0.43004194,0.00000000,0.20057738,0.81600128
-5.70585293,12.87891439,0.96609139,11.25576914,0.43246608,0.00000000,0.20333905,0.82457253
-5.69984992,13.01683406,0.98859801,11.37579320,0.43456901,0.00000000,0.20593570,0.83284640
-5.69384692,13.14298752,1.01014465,11.48474753,0.43630028,0.00000000,0.20833483,0.84069990
-5.68784392,13.25555207,1.03045995,11.58109086,0.43761470,0.00000000,0.21050732,0.84801518
-5.68184092,13.35294750,1.04929999,11.66350552,0.43847337,0.00000000,0.21242817,0.85468277
-5.67583792,13.43388606,1.06645627,11.73093892,0.43884465,0.00000000,0.21407712,0.86060472
-5.66983492,13.49741746,1.08176295,11.78264072,0.43870513,0.00000000,0.21543915,0.86569773
-5.66383192,13.54296663,1.09510275,11.81819366,0.43804050,0.00000000,0.21650488,0.86989595
-5.65782891,13.57036227,1.10641150,11.83753642,0.43684632,0.00000000,0.21727080,0.87315350
-5.65182591,13.57985432,1.11568085,11.84097689,0.43512862,0.00000000,0.21773938,0.87544636
-5.64582291,13.57211886,1.12295913,11.82919470,0.43290429,0.00000000,0.21791895,0.87677379
-5.63981991,13.54824940,1.12835022,11.80323207,0.43020112,0.00000000,0.21782356,0.87715887
-5.63381691,13.50973415,1.13201044,11.76447262,0.42705762,0.00000000,0.21747252,0.87664841
-5.62781391,13.45841947,1.13414346,11.71460849,0.42352239,0.00000000,0.21688993,0.87531188
-5.62181091,13.39646031,1.13499356,11.65559626,0.41965326,0.00000000,0.21610405,0.87323969
-5.61580790,13.32625923,1.13483734,11.58960312,0.41551593,0.00000000,0.21514655,0.87054055
-5.60980490,13.25039597,1.13397430,11.51894512,0.41118240,0.00000000,0.21405166,0.86733821
-5.60380190,13.17155020,1.13271662,11.44601948,0.40672904,0.00000000,0.21285531,0.86376765
-5.59779890,13.09242040,1.13137855,11.37323372,0.40223451,0.00000000,0.21159421,0.85997080
-5.59179590,13.01564194,1.13026591,11.30293417,0.39777748,0.00000000,0.21030491,0.85609202
-5.58579290,12.94370771,1.12966602,11.23733663,0.39343433,0.00000000,0.20902291,0.85227361
-5.57978989,12.87889419,1.12983854,11.17846181,0.38927687,0.00000000,0.20778174,0.84865130
-5.57378689,12.82319603,1.13100754,11.12807808,0.38537027,0.00000000,0.20661223,0.84535018
-5.56778389,12.77827133,1.13335513,11.08765352,0.38177112,0.00000000,0.20554170,0.84248106
-5.56178089,12.74539964,1.13701678,11.05831888,0.37852588,0.00000000,0.20459340,0.84013745
-5.55577789,12.72545386,1.14207856,11.04084266,0.37566971,0.00000000,0.20378596,0.83839322
-5.54977489,12.71888672,1.14857626,11.03561879,0.37322568,0.00000000,0.20313301,0.83730109
