energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,4.97539729,0.01838112,0.30856952,2.55981469,2.79798981,0.95063390,0.19838608,1.66896336,0.00000000
-5.99399700,4.91218236,0.01821550,0.30430901,2.54042389,2.76006543,0.93679039,0.19705484,1.65056218,0.00000000
-5.98799400,4.85482878,0.01807508,0.30162514,2.52626109,2.72630251,0.92334665,0.19536993,1.63204046,0.00000000
-5.98199100,4.80453413,0.01796407,0.30064516,2.51760850,2.69747482,0.91053927,0.19335916,1.61369809,0.00000000
-5.97598799,4.76212936,0.01788506,0.30146397,2.51461082,2.67412464,0.89852540,0.19104769,1.59573733,0.00000000
-5.96998499,4.72808834,0.01783909,0.30414497,2.51729531,2.65656625,0.88738047,0.18845856,1.57826502,0.00000000
-5.96398199,4.70255371,0.01782578,0.30872180,2.52559710,2.64489934,0.87709990,0.18561352,1.56129978,0.00000000
-5.95797899,4.68537651,0.01784352,0.31520092,2.53938772,2.63903127,0.86760438,0.18253417,1.54478373,0.00000000
-5.95197599,4.67616642,0.01788978,0.32356455,2.55850413,2.63870642,0.85874854,0.17924316,1.52859758,0.00000000
-5.94597299,4.67434926,0.01796131,0.33377391,2.58277627,2.64354069,0.85033219,0.17576543,1.51257817,0.00000000
-5.93996998,4.67922819,0.01805452,0.34577234,2.61205089,2.65305920,0.84211372,0.17212938,1.49653736,0.00000000
-5.93396698,4.69004528,0.01816582,0.35948820,2.64620995,2.66673515,0.83382487,0.16836779,1.48028124,0.00000000
-5.92796398,4.70604038,0.01829186,0.37483726,2.68518247,2.68402805,0.82518612,0.16451861,1.46362860,0.00000000
-5.92196098,4.72650460,0.01842990,0.39172454,2.72894903,2.70441962,0.81592205,0.16062529,1.44642797,0.00000000
-5.91595798,4.75082647,0.01857805,0.41004545,2.77753883,2.72744593,0.80577600,0.15673692,1.42857248,0.00000000
-5.90995498,4.77852931,0.01873552,0.42968625,2.83101975,2.75272479,0.79452339,0.15290807,1.41001205,0.00000000
-5.90395198,4.80929912,0.01890276,0.45052390,2.88948243,2.77997776,0.78198332,0.14919822,1.39076278,0.00000000
-5.89794897,4.84300291,0.01908164,0.47242537,2.95301976,2.80904627,0.76802802,0.14567116,1.37091331,0.00000000
-5.89194597,4.87969790,0.01927551,0.49524661,3.02170360,2.83990196,0.75258989,0.14239416,1.35062837,0.00000000
-5.88594297,4.91963264,0.01948924,0.51883138,3.09556082,2.87265154,0.73566617,0.13943705,1.33014964,0.00000000
-5.87993997,4.96324118,0.01972914,0.54301023,3.17455058,2.90753652,0.71732100,0.13687134,1.30979435,0.00000000
-5.87393697,5.01113190,0.02000294,0.56759977,3.25854513,2.94492863,0.69768524,0.13476946,1.28995190,0.00000000
-5.86793397,5.06407241,0.02031966,0.59240260,3.34731574,2.98532154,0.67695415,0.13320403,1.27107896,0.00000000
-5.86193097,5.12297199,0.02068938,0.61720800,3.44052537,3.02931968,0.65538311,0.13224738,1.25369335,0.00000000
-5.85592796,5.18886268,0.02112312,0.64179361,3.53772895,3.07762474,0.63328197,0.13197109,1.23836709,0.00000000
-5.84992496,5.26287994,0.02163252,0.66592815,3.63838193,3.13102051,0.61100810,0.13244584,1.22571867,0.00000000
-5.84392196,5.34624321,0.02222963,0.68937526,3.74185673,3.19035626,0.58895872,0.13374119,1.21640492,0.00000000
