energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.93393996,0.01937828,0.25957444,0.88075173,0.49248267,1.49241538,1.02333304,1.23868766,0.00000000
-5.99399700,3.04675590,0.01882881,0.27423314,0.92868344,0.49666109,1.54916258,1.07286314,1.28571419,0.00000000
-5.98799400,3.16003567,0.01828823,0.28910250,0.97750840,0.50073846,1.60878804,1.12261158,1.33270430,0.00000000
-5.98199100,3.27338192,0.01776375,0.30408000,1.02686162,0.50484381,1.67079324,1.17249762,1.37933757,0.00000000
-5.97598799,3.38635570,0.01726108,0.31905644,1.07633517,0.50909637,1.73459128,1.22244446,1.42526519,0.00000000
-5.96998499,3.49847370,0.01678441,0.33391726,1.12548228,0.51360150,1.79951674,1.27237417,1.47011368,0.00000000
-5.96398199,3.60920522,0.01633640,0.34854391,1.17382244,0.51844684,1.86483691,1.32220177,1.51348903,0.00000000
-5.95797899,3.71796910,0.01591833,0.36281514,1.22084777,0.52369894,1.92976429,1.37182862,1.55498132,0.00000000
-5.95197599,3.82413144,0.01553018,0.37660840,1.26603033,0.52940034,1.99347008,1.42113550,1.59416985,0.00000000
-5.94597299,3.92700436,0.01517078,0.38980106,1.30883076,0.53556731,2.05509865,1.46997606,1.63062880,0.00000000
-5.93996998,4.02584670,0.01483798,0.40227182,1.34870775,0.54218829,2.11378282,1.51817091,1.66393355,0.00000000
-5.93396698,4.11986718,0.01452880,0.41390197,1.38512857,0.54922320,2.16865974,1.56550300,1.69366749,0.00000000
-5.92796398,4.20823044,0.01423963,0.42457684,1.41758016,0.55660352,2.21888720,1.61171470,1.71942953,0.00000000
-5.92196098,4.29006655,0.01396641,0.43418721,1.44558074,0.56423337,2.26366022,1.65650705,1.74084204,0.00000000
-5.91595798,4.36448399,0.01370478,0.44263084,1.46869145,0.57199146,2.30222751,1.69954138,1.75755917,0.00000000
-5.90995498,4.43058624,0.01345023,0.44981406,1.48652773,0.57973393,2.33390755,1.74044356,1.76927531,0.00000000
-5.90395198,4.48749156,0.01319831,0.45565339,1.49877006,0.58729807,2.35810381,1.77881094,1.77573354,0.00000000
-5.89794897,4.53435560,0.01294469,0.46007721,1.50517353,0.59450666,2.37431881,1.81422171,1.77673362,0.00000000
-5.89194597,4.57039603,0.01268534,0.46302746,1.50557597,0.60117304,2.38216651,1.84624658,1.77213931,0.00000000
-5.88594297,4.59491830,0.01241661,0.46446118,1.49990422,0.60710657,2.38138259,1.87446224,1.76188461,0.00000000
-5.87993997,4.60734143,0.01213534,0.46435208,1.48817820,0.61211839,2.37183224,1.89846610,1.74597869,0.00000000
