energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.93785798,-2.13536508,0.93310023,-0.96228026,0.27161479,-0.16051532,2.22473620,-0.78795037,1.22610335,-0.35379457,0.00675372,-0.00059006,1.15329442,-0.32059359,0.03168140,-0.03069530,0.99777891,-1.01531379
-5.99399700,3.84829745,-2.19210153,0.91370284,-0.99281892,0.26991546,-0.16309906,2.15469070,-0.81912935,1.18173752,-0.37003222,0.00735099,-0.00059801,1.11308995,-0.33718122,0.03398438,-0.02922783,0.99019672,-1.03574734
-5.98799400,3.75888881,-2.24492506,0.89483022,-1.02007326,0.26848231,-0.16560903,2.08224566,-0.85010980,1.13776968,-0.38571427,0.00796096,-0.00060896,1.07194824,-0.35400616,0.03631820,-0.02773388,0.98349875,-1.05341570
-5.98199100,3.67101830,-2.29360815,0.87675101,-1.04368602,0.26729915,-0.16805939,2.00869721,-0.88076434,1.09481866,-0.40081316,0.00857675,-0.00062245,1.03054397,-0.37109597,0.03864674,-0.02623869,0.97776319,-1.06811510
-5.97598799,3.58582345,-2.33807281,0.85966850,-1.06339635,0.26632656,-0.17047087,1.93524089,-0.91099768,1.05341403,-0.41533373,0.00919070,-0.00063825,0.98949051,-0.38849456,0.04093263,-0.02476672,0.97299759,-1.07972155
-5.96998499,3.50416400,-2.37839377,0.84371801,-1.07904650,0.26550452,-0.17287057,1.86293717,-0.94074531,1.01398294,-0.42931294,0.00979450,-0.00065639,0.94932175,-0.40625950,0.04313814,-0.02334134,0.96914111,-1.08819615
-5.96398199,3.42660681,-2.41479439,0.82896729,-1.09058473,0.26475593,-0.17529156,1.79268416,-0.96996973,0.97684194,-0.44281768,0.01037943,-0.00067710,0.91047825,-0.42445805,0.04522616,-0.02198464,0.96607010,-1.09358700
-5.95797899,3.35342517,-2.44763530,0.81541991,-1.09806401,0.26399112,-0.17777211,1.72519855,-0.99865453,0.94219374,-0.45594086,0.01093656,-0.00070085,0.87329796,-0.44316177,0.04716119,-0.02071721,0.96360650,-1.09602784
-5.95197599,3.28461174,-2.47739622,0.80302119,-1.10163692,0.26311290,-0.18035470,1.66100514,-1.02679684,0.91012898,-0.46879567,0.01145701,-0.00072835,0.83801213,-0.46244017,0.04891033,-0.01955809,0.96152868,-1.09573332
-5.94597299,3.21990404,-2.50465182,0.79166629,-1.10154686,0.26202211,-0.18308473,1.60043511,-1.05439865,0.88063259,-0.48150849,0.01193227,-0.00076048,0.80474603,-0.48235365,0.05044420,-0.01852469,0.95958397,-1.09299119
-5.93996998,3.15882058,-2.53004281,0.78121006,-1.09811630,0.26062311,-0.18600908,1.54363261,-1.08145779,0.85359422,-0.49421064,0.01235447,-0.00079831,0.77352440,-0.50294612,0.05173776,-0.01763278,0.95750225,-1.08815172
-5.93396698,3.10070538,-2.55424398,0.77147808,-1.09173252,0.25882927,-0.18917445,1.49056892,-1.10795933,0.82882209,-0.50702952,0.01271666,-0.00084304,0.74428107,-0.52423782,0.05277100,-0.01689645,0.95500996,-1.08161497
-5.92796398,3.04477817,-2.57793098,0.76227825,-1.08283183,0.25656785,-0.19262573,1.44106302,-1.13386820,0.80605934,-0.52007962,0.01301311,-0.00089599,0.71687202,-0.54621892,0.05352947,-0.01632807,0.95184360,-1.07381650
-5.92196098,2.99018747,-2.60174773,0.75341247,-1.07188299,0.25378431,-0.19640429,1.39480738,-1.15912373,0.78500194,-0.53345395,0.01323953,-0.00095857,0.69109116,-0.56884426,0.05400460,-0.01593828,0.94776236,-1.06521217
-5.91595798,2.93606376,-2.62627637,0.74468779,-1.05937057,0.25044569,-0.20054634,1.35139710,-1.18363677,0.76531735,-0.54721651,0.01339329,-0.00103219,0.66668768,-0.59202997,0.05419381,-0.01573585,0.94255900,-1.05626277
-5.90995498,2.88156997,-2.65201162,0.73592659,-1.04577924,0.24654291,-0.20508140,1.31036105,-1.20728980,0.74666281,-0.56139627,0.01347357,-0.00111826,0.64338424,-0.61565212,0.05410038,-0.01572754,0.93606880,-1.04741924
-5.90395198,2.82594699,-2.67934081,0.72697538,-1.03157934,0.24209202,-0.21003099,1.27119326,-1.22994017,0.72870263,-0.57598315,0.01348143,-0.00121808,0.62089485,-0.63954791,0.05373315,-0.01591801,0.92817596,-1.03910881
-5.89794897,2.76855206,-2.70853077,0.71771183,-1.01721454,0.23713417,-0.21540743,1.23338299,-1.25142666,0.71112353,-0.59092630,0.01341984,-0.00133286,0.59894173,-0.66351946,0.05310602,-0.01630951,0.91881756,-1.03172291
-5.89194597,2.70888868,-2.73972217,0.70804986,-1.00309160,0.23173449,-0.22121297,1.19644214,-1.27157879,0.69364754,-0.60613491,0.01329361,-0.00146359,0.57727021,-0.68734024,0.05223722,-0.01690173,0.90798471,-1.02560684
-5.88594297,2.64662686,-2.77293143,0.69794263,-0.98957267,0.22597982,-0.22743903,1.15992888,-1.29022856,0.67604214,-0.62148163,0.01310930,-0.00161102,0.55566119,-0.71076395,0.05114859,-0.01769154,0.89572129,-1.02105171
-5.87993997,2.58161362,-2.80805972,0.68738349,-0.97696997,0.21997549,-0.23406580,1.12346667,-1.30722388,0.65812717,-0.63680846,0.01287498,-0.00177562,0.53394058,-0.73353556,0.04986460,-0.01867276,0.88212023,-1.01828855
-5.87393697,2.51387354,-2.84490832,0.67640479,-0.96554272,0.21384123,-0.24106200,1.08675802,-1.32244259,0.63977858,-0.65193477,0.01259998,-0.00195749,0.51198569,-0.75540396,0.04841149,-0.01983594,0.86731787,-1.01748461
-5.86793397,2.44360021,-2.88319901,0.66507494,-0.95549603,0.20770654,-0.24838489,1.04959287,-1.33580633,0.62092919,-0.66666719,0.01229458,-0.00215634,0.48972816,-0.77613557,0.04681631,-0.02116825,0.85148657,-1.01874170
-5.86193097,2.37113967,-2.92259795,0.65349380,-0.94698139,0.20170559,-0.25598048,1.01185164,-1.34729301,0.60156651,-0.68081063,0.01196967,-0.00237147,0.46715392,-0.79552823,0.04510605,-0.02265341,0.83482626,-1.02209630
-5.85592796,2.29696707,-2.96274136,0.64178671,-0.94009851,0.19597185,-0.26378395,0.97350318,-1.35694701,0.58172819,-0.69417999,0.01163632,-0.00260171,0.44430010,-0.81342452,0.04330685,-0.02427165,0.81755520,-1.02752131
-5.84992496,2.22165839,-3.00326125,0.63009756,-0.93489788,0.19063290,-0.27172032,0.93459840,-1.36488616,0.56149535,-0.70661164,0.01130545,-0.00284542,0.42124956,-0.82972372,0.04144334,-0.02599991,0.79990048,-1.03492894
-5.84392196,2.14585884,-3.04380945,0.61858120,-0.93138392,0.18580535,-0.27970529,0.89526015,-1.37130484,0.54098456,-0.71797423,0.01098737,-0.00310054,0.39812338,-0.84439164,0.03953812,-0.02781205,0.78208872,-1.04417475
-5.83791896,2.07024974,-3.08407845,0.60739550,-0.92951834,0.18159027,-0.28764634,0.85567030,-1.37647279,0.52033878,-0.72817800,0.01069146,-0.00336452,0.37507198,-0.85746761,0.03761133,-0.02967921,0.76433729,-1.05506240
