energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.14190727,0.65566094,0.34083352,0.01367070,0.28004689,1.28178877,0.59560007,0.95870403,0.00000000
-5.99399700,2.16975158,0.66266276,0.33779846,0.01331239,0.29094438,1.28581450,0.61346990,0.96435349,0.00000000
-5.98799400,2.19537748,0.66800459,0.33402876,0.01292227,0.30216363,1.28789861,0.63122553,0.96768261,0.00000000
-5.98199100,2.21818126,0.67154607,0.32956508,0.01250766,0.31359811,1.28807190,0.64848717,0.96852377,0.00000000
-5.97598799,2.23764082,0.67318253,0.32445699,0.01207554,0.32513919,1.28638560,0.66490925,0.96675930,0.00000000
-5.96998499,2.25332737,0.67285003,0.31876213,0.01163241,0.33667793,1.28290809,0.68018803,0.96232595,0.00000000
-5.96398199,2.26491766,0.67053023,0.31254579,0.01118417,0.34810735,1.27772338,0.69406868,0.95521938,0.00000000
-5.95797899,2.27220628,0.66625504,0.30588099,0.01073598,0.35932479,1.27093144,0.70635168,0.94549840,0.00000000
-5.95197599,2.27511766,0.66011067,0.29884884,0.01029222,0.37023460,1.26265009,0.71689815,0.93328881,0.00000000
-5.94597299,2.27371703,0.65224089,0.29153929,0.00985655,0.38075082,1.25301845,0.72563419,0.91878637,0.00000000
-5.93996998,2.26821958,0.64284914,0.28405205,0.00943188,0.39079996,1.24220115,0.73255383,0.90225867,0.00000000
-5.93396698,2.25899709,0.63219917,0.27649753,0.00902050,0.40032367,1.23039308,0.73772059,0.88404549,0.00000000
-5.92796398,2.24658123,0.62061402,0.26899780,0.00862415,0.40928106,1.21782388,0.74126736,0.86455730,0.00000000
-5.92196098,2.23166272,0.60847309,0.26168718,0.00824417,0.41765084,1.20476168,0.74339458,0.84427176,0.00000000
-5.91595798,2.21508586,0.59620716,0.25471255,0.00788160,0.42543277,1.19151541,0.74436670,0.82372782,0.00000000
-5.90995498,2.19783791,0.58429129,0.24823308,0.00753732,0.43264862,1.17843528,0.74450676,0.80351751,0.00000000
-5.90395198,2.18103306,0.57323560,0.24241938,0.00721215,0.43934236,1.16591085,0.74418921,0.78427528,0.00000000
-5.89794897,2.16589080,0.56357414,0.23745195,0.00690693,0.44557948,1.15436661,0.74383106,0.76666502,0.00000000
-5.89194597,2.15370909,0.55585182,0.23351884,0.00662259,0.45144552,1.14425469,0.74388142,0.75136506,0.00000000
-5.88594297,2.14583250,0.55061002,0.23081264,0.00636020,0.45704359,1.13604499,0.74480963,0.73905128,0.00000000
-5.87993997,2.14361599,0.54837095,0.22952669,0.00612096,0.46249106,1.13021267,0.74709223,0.73037893,0.00000000
-5.87393697,2.14838539,0.54962138,0.22985062,0.00590617,0.46791535,1.12722353,0.75119902,0.72596356,0.00000000
-5.86793397,2.16139531,0.55479621,0.23196541,0.00571721,0.47344907,1.12751770,0.75757856,0.72636161,0.00000000
