energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.89089393,0.10043917,0.07478790,0.79980421,0.40375447,0.00544746,0.83252732,0.47669321,0.16031064
-5.99399700,1.86411709,0.09349806,0.08215873,0.79710602,0.40469236,0.00502243,0.80697665,0.46150456,0.15471902
-5.98799400,1.84351911,0.08665487,0.09005182,0.79677337,0.40707548,0.00460974,0.78373932,0.44814478,0.14936017
-5.98199100,1.82940370,0.07997254,0.09841279,0.79884330,0.41092815,0.00421410,0.76303721,0.43673916,0.14430159
-5.97598799,1.82183708,0.07350807,0.10716965,0.80325459,0.41621989,0.00383950,0.74500054,0.42735160,0.13959635
-5.96998499,1.82063706,0.06731133,0.11623301,0.80984490,0.42286304,0.00348908,0.72966268,0.41998187,0.13528143
-5.96398199,1.82537191,0.06142427,0.12549695,0.81835201,0.43071265,0.00316519,0.71695894,0.41456515,0.13137674
-5.95797899,1.83536900,0.05588034,0.13484050,0.82841925,0.43956862,0.00286932,0.70672916,0.41097398,0.12788494
-5.95197599,1.84973333,0.05070425,0.14412990,0.83960503,0.44918018,0.00260215,0.69872412,0.40902239,0.12479189
-5.94597299,1.86737504,0.04591194,0.15322142,0.85139605,0.45925239,0.00236362,0.69261545,0.40847221,0.12206781
-5.93996998,1.88704505,0.04151094,0.16196480,0.86322389,0.46945476,0.00215301,0.68800859,0.40904125,0.11966905
-5.93396698,1.90737729,0.03750083,0.17020708,0.87448416,0.47943139,0.00196901,0.68445820,0.41041299,0.11754039
-5.92796398,1.92693593,0.03387403,0.17779686,0.88455741,0.48881236,0.00180983,0.68148538,0.41224757,0.11561769
-5.92196098,1.94426551,0.03061660,0.18458866,0.89283106,0.49722602,0.00167334,0.67859597,0.41419338,0.11383091
-5.91595798,1.95794204,0.02770933,0.19044728,0.89872123,0.50431148,0.00155711,0.67529904,0.41589910,0.11210717
-5.90995498,1.96662280,0.02512875,0.19525206,0.90169368,0.50973090,0.00145858,0.67112498,0.41702543,0.11037386
-5.90395198,1.96909292,0.02284825,0.19890069,0.90128277,0.51318106,0.00137514,0.66564220,0.41725631,0.10856161
-5.89794897,1.96430665,0.02083917,0.20131253,0.89710785,0.51440371,0.00130418,0.65847206,0.41630900,0.10660701
-5.89194597,1.95142195,0.01907180,0.20243129,0.88888624,0.51319426,0.00124322,0.64930116,0.41394281,0.10445493
-5.88594297,1.92982673,0.01751637,0.20222686,0.87644240,0.50940843,0.00118994,0.63789083,0.40996604,0.10206039
-5.87993997,1.89915617,0.01614388,0.20069634,0.85971279,0.50296672,0.00114224,0.62408334,0.40424097,0.09939001
-5.87393697,1.85930035,0.01492680,0.19786406,0.83874661,0.49385633,0.00109827,0.60780484,0.39668673,0.09642276
-5.86793397,1.81040237,0.01383966,0.19378073,0.81370219,0.48213078,0.00105647,0.58906483,0.38728007,0.09315030
-5.86193097,1.75284717,0.01285950,0.18852176,0.78483955,0.46790706,0.00101556,0.56795270,0.37605393,0.08957672
-5.85592796,1.68724198,0.01196612,0.18218471,0.75250942,0.45136056,0.00097454,0.54463123,0.36309419,0.08571779
-5.84992496,1.61438950,0.01114226,0.17488607,0.71713949,0.43271818,0.00093271,0.51932778,0.34853453,0.08159983
-5.84392196,1.53525531,0.01037365,0.16675758,0.67921844,0.41224982,0.00088961,0.49232356,0.33254991,0.07725818
-5.83791896,1.45093104,0.00964886,0.15794209,0.63927861,0.39025874,0.00084501,0.46394153,0.31534896,0.07273543
-5.83191596,1.36259512,0.00895919,0.14858931,0.59787812,0.36707122,0.00079890,0.43453357,0.29716555,0.06807955
-5.82591296,1.27147285,0.00829840,0.13885150,0.55558313,0.34302602,0.00075143,0.40446742,0.27825008,0.06334182
-5.81990995,1.17879743,0.00766237,0.12887932,0.51295102,0.31846401,0.00070289,0.37411413,0.25886071,0.05857493
-5.81390695,1.08577344,0.00704882,0.11881800,0.47051511,0.29371840,0.00065364,0.34383625,0.23925500,0.05383109
-5.80790395,0.99354421,0.00645693,0.10880398,0.42877137,0.26910596,0.00060416,0.31397738,0.21968222,0.04916037
-5.80190095,0.90316381,0.00588698,0.09896201,0.38816756,0.24491950,0.00055492,0.28485331,0.20037656,0.04460922
-5.79589795,0.81557476,0.00534003,0.08940294,0.34909495,0.22142170,0.00050643,0.25674495,0.18155154,0.04021933
-5.78989495,0.73159144,0.00481764,0.08022211,0.31188280,0.19884062,0.00045915,0.22989326,0.16339555,0.03602674
-5.78389195,0.65188969,0.00432157,0.07149841,0.27679549,0.17736671,0.00041353,0.20449603,0.14606879,0.03206123
-5.77788894,0.57700220,0.00385355,0.06329394,0.24403214,0.15715146,0.00036997,0.18070663,0.12970148,0.02834609
-5.77188594,0.50731926,0.00341514,0.05565431,0.21372854,0.13830746,0.00032880,0.15863445,0.11439331,0.02489805
-5.76588294,0.44309444,0.00300758,0.04860939,0.18596101,0.12090981,0.00029029,0.13834683,0.10021404,0.02172757
-5.75987994,0.38445421,0.00263169,0.04217448,0.16075179,0.10499860,0.00025465,0.11987231,0.08720499,0.01883925
-5.75387694,0.33141093,0.00228785,0.03635191,0.13807568,0.09058231,0.00022202,0.10320483,0.07538149,0.01623244
-5.74787394,0.28387802,0.00197598,0.03113273,0.11786746,0.07764183,0.00019247,0.08830872,0.06473576,0.01390197
-5.74187094,0.24168676,0.00169553,0.02649868,0.10002965,0.06613497,0.00016603,0.07512399,0.05524035,0.01183897
-5.73586793,0.20460369,0.00144557,0.02242412,0.08444049,0.05600106,0.00014270,0.06357197,0.04685178,0.01003172
-5.72986493,0.17234801,0.00122482,0.01887804,0.07096154,0.04716570,0.00012242,0.05356082,0.03951421,0.00846648
-5.72386193,0.14460829,0.00103173,0.01582583,0.05944501,0.03954522,0.00010514,0.04499079,0.03316307,0.00712833
-5.71785893,0.12105806,0.00086453,0.01323109,0.04974029,0.03305088,0.00009079,0.03775917,0.02772847,0.00600193
-5.71185593,0.10136980,0.00072137,0.01105714,0.04169983,0.02759274,0.00007929,0.03176469,0.02313833,0.00507224
-5.70585293,0.08522720,0.00060031,0.00926835,0.03518404,0.02308290,0.00007059,0.02691136,0.01932111,0.00432511
-5.69984992,0.07233537,0.00049945,0.00783126,0.03006537,0.01943835,0.00006468,0.02311163,0.01620815,0.00374778
-5.69384692,0.06242907,0.00041695,0.00671547,0.02623144,0.01658318,0.00006155,0.02028898,0.01373552,0.00332933
-5.68784392,0.05527883,0.00035109,0.00589431,0.02358729,0.01445030,0.00006126,0.01837977,0.01184553,0.00306095
-5.68184092,0.05069508,0.00030035,0.00534524,0.02205665,0.01298262,0.00006390,0.01733446,0.01048764,0.00293616
-5.67583792,0.04853036,0.00026335,0.00505013,0.02158255,0.01213363,0.00006963,0.01711821,0.00961913,0.00295089
-5.66983492,0.04867965,0.00023894,0.00499522,0.02212698,0.01186767,0.00007865,0.01771086,0.00920529,0.00310351
-5.66383192,0.05107906,0.00022619,0.00517106,0.02366993,0.01215961,0.00009120,0.01910629,0.00921920,0.00339468
-5.65782891,0.05570281,0.00022437,0.00557211,0.02620768,0.01299420,0.00010760,0.02131128,0.00964135,0.00382716
-5.65182591,0.06255879,0.00023294,0.00619635,0.02975048,0.01436502,0.00012820,0.02434377,0.01045881,0.00440553
-5.64582291,0.07168275,0.00025157,0.00704462,0.03431969,0.01627311,0.00015338,0.02823069,0.01166424,0.00513579
-5.63981991,0.08313119,0.00028006,0.00811992,0.03994428,0.01872532,0.00018355,0.03300524,0.01325471,0.00602491
-5.63381691,0.09697321,0.00031836,0.00942661,0.04665706,0.02173236,0.00021912,0.03870385,0.01523024,0.00708025
-5.62781391,0.11328146,0.00036650,0.01096949,0.05449036,0.02530670,0.00026050,0.04536268,0.01759235,0.00830898
-5.62181091,0.13212237,0.00042455,0.01275284,0.06347162,0.02946023,0.00030807,0.05301394,0.02034241,0.00971742
-5.61580790,0.15354588,0.00049263,0.01477942,0.07361870,0.03420192,0.00036216,0.06168197,0.02347999,0.01131031
-5.60980490,0.17757513,0.00057079,0.01704951,0.08493524,0.03953537,0.00042301,0.07137927,0.02700123,0.01309015
-5.60380190,0.20419631,0.00065902,0.01955991,0.09740628,0.04545647,0.00049079,0.08210258,0.03089730,0.01505646
-5.59779890,0.23334908,0.00075719,0.02230307,0.11099408,0.05195111,0.00056551,0.09382924,0.03515293,0.01720514
-5.59179590,0.26491804,0.00086501,0.02526631,0.12563460,0.05899326,0.00064706,0.10651391,0.03974518,0.01952790
-5.58579290,0.29872571,0.00098199,0.02843118,0.14123470,0.06654325,0.00073515,0.12008588,0.04464246,0.02201177
-5.57978989,0.33452734,0.00110744,0.03177302,0.15767025,0.07454653,0.00082930,0.13444715,0.04980386,0.02463877
-5.57378689,0.37200804,0.00124040,0.03526076,0.17478540,0.08293300,0.00092886,0.14947137,0.05517887,0.02738571
-5.56778389,0.41078263,0.00137967,0.03885694,0.19239303,0.09161682,0.00103296,0.16500392,0.06070745,0.03022424
-5.56178089,0.45039830,0.00152377,0.04251802,0.21027660,0.10049701,0.00114051,0.18086306,0.06632061,0.03312106
-5.55577789,0.49034046,0.00167099,0.04619503,0.22819341,0.10945864,0.00125028,0.19684238,0.07194140,0.03603840
