energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,7.74585423,2.14108669,3.23495052,0.02170879,0.72362299,0.06322720,3.38235929,1.13647292,0.32601031
-5.99399700,7.85166789,2.14268976,3.27650181,0.02271082,0.72546524,0.06505372,3.44322086,1.17668363,0.33433710
-5.98799400,7.95119026,2.14335933,3.31416111,0.02373632,0.72656218,0.06672762,3.50177685,1.21774083,0.34323221
-5.98199100,8.04349231,2.14282873,3.34779416,0.02477486,0.72685948,0.06821547,3.55749154,1.25914380,0.35260626
-5.97598799,8.12777110,2.14086882,3.37732347,0.02581552,0.72632341,0.06948848,3.60987120,1.30039424,0.36235948
-5.96998499,8.20335614,2.13729565,3.40272412,0.02684704,0.72494185,0.07052307,3.65846787,1.34100697,0.37238395
-5.96398199,8.26971270,2.13197653,3.42401906,0.02785794,0.72272438,0.07130133,3.70288258,1.38052020,0.38256620
-5.95797899,8.32644232,2.12483394,3.44127380,0.02883664,0.71970167,0.07181134,3.74276821,1.41850529,0.39278981
-5.95197599,8.37328057,2.11584750,3.45459101,0.02977160,0.71592407,0.07204729,3.77783176,1.45457550,0.40293815
-5.94597299,8.41009244,2.10505368,3.46410493,0.03065151,0.71145962,0.07200936,3.80783625,1.48839358,0.41289703
-5.93996998,8.43686557,2.09254356,3.46997593,0.03146540,0.70639152,0.07170355,3.83260200,1.51967779,0.42255722
-5.93396698,8.45370158,2.07845851,3.47238506,0.03220284,0.70081520,0.07114126,3.85200737,1.54820647,0.43181671
-5.92796398,8.46080602,2.06298426,3.47152886,0.03285411,0.69483521,0.07033877,3.86598880,1.57382080,0.44058278
-5.92196098,8.45847700,2.04634349,3.46761433,0.03341033,0.68856190,0.06931664,3.87454014,1.59642583,0.44877363
-5.91595798,8.44709311,2.02878734,3.46085405,0.03386367,0.68210820,0.06809895,3.87771117,1.61598981,0.45631976
-5.90995498,8.42710088,2.01058630,3.45146165,0.03420751,0.67558655,0.06671256,3.87560535,1.63254186,0.46316483
-5.90395198,8.39900206,1.99202069,3.43964746,0.03443659,0.66910605,0.06518628,3.86837671,1.64616807,0.46926631
-5.89794897,8.36334120,1.97337138,3.42561454,0.03454715,0.66276993,0.06355011,3.85622603,1.65700617,0.47459555
-5.89194597,8.32069374,1.95491095,3.40955515,0.03453712,0.65667337,0.06183441,3.83939623,1.66523901,0.47913761
-5.88594297,8.27165488,1.93689574,3.39164769,0.03440615,0.65090179,0.06006924,3.81816729,1.67108685,0.48289065
-5.87993997,8.21682957,1.91955909,3.37205441,0.03415579,0.64552947,0.05828365,3.79285068,1.67479886,0.48586505
-5.87393697,8.15682383,1.90310600,3.35091984,0.03378950,0.64061856,0.05650510,3.76378359,1.67664388,0.48808213
-5.86793397,8.09223748,1.88770940,3.32837017,0.03331268,0.63621851,0.05475902,3.73132314,1.67690071,0.48957273
-5.86193097,8.02365861,1.87350816,3.30451369,0.03273269,0.63236574,0.05306836,3.69584078,1.67584829,0.49037544
-5.85592796,7.95165971,1.86060692,3.27944234,0.03205877,0.62908368,0.05145335,3.65771711,1.67375582,0.49053475
-5.84992496,7.87679562,1.84907756,3.25323437,0.03130194,0.62638303,0.04993128,3.61733733,1.67087334,0.49009904
-5.84392196,7.79960321,1.83896234,3.22595801,0.03047488,0.62426226,0.04851642,3.57508743,1.66742285,0.48911854
-5.83791896,7.72060271,1.83027849,3.19767624,0.02959173,0.62270830,0.04722003,3.53135124,1.66359049,0.48764329
-5.83191596,7.64030042,1.82302392,3.16845206,0.02866789,0.62169743,0.04605046,3.48650840,1.65951994,0.48572123
-5.82591296,7.55919247,1.81718372,3.13835436,0.02771972,0.62119635,0.04501326,3.44093320,1.65530734,0.48339637
-5.81990995,7.47776933,1.81273722,3.10746372,0.02676432,0.62116340,0.04411146,3.39499404,1.65099803,0.48070728
-5.81390695,7.39652034,1.80966492,3.07587792,0.02581920,0.62154995,0.04334586,3.34905355,1.64658524,0.47768580
-5.80790395,7.31593782,1.80795508,3.04371660,0.02490196,0.62230181,0.04271526,3.30346875,1.64201086,0.47435612
-5.80190095,7.23651993,1.80760935,3.01112459,0.02402999,0.62336085,0.04221690,3.25859129,1.63716836,0.47073423
-5.79589795,7.15877172,1.80864704,2.97827369,0.02322015,0.62466653,0.04184671,3.21476704,1.63190762,0.46682773
-5.78989495,7.08320354,1.81110757,2.94536224,0.02248851,0.62615749,0.04159970,3.17233495,1.62604170,0.46263612
-5.78389195,7.01032641,1.81505086,2.91261252,0.02185000,0.62777294,0.04147018,3.13162465,1.61935518,0.45815134
-5.77788894,6.94064372,1.82055529,2.88026562,0.02131824,0.62945391,0.04145205,3.09295266,1.61161361,0.45335878
-5.77188594,6.87463928,1.82771319,2.84857401,0.02090526,0.63114426,0.04153898,3.05661692,1.60257381,0.44823854
-5.76588294,6.81276147,1.83662386,2.81779178,0.02062133,0.63279129,0.04172448,3.02288974,1.59199448,0.44276687
-5.75987994,6.75540421,1.84738431,2.78816312,0.02047481,0.63434600,0.04200196,2.99200919,1.57964660,0.43691784
-5.75387694,6.70288513,1.86007815,2.75990947,0.02047203,0.63576294,0.04236470,2.96416930,1.56532320,0.43066512
-5.74787394,6.65542218,1.87476302,2.73321592,0.02061726,0.63699962,0.04280571,2.93950952,1.54884806,0.42398367
-5.74187094,6.61310998,1.89145746,2.70821785,0.02091265,0.63801553,0.04331754,2.91810404,1.53008308,0.41685147
-5.73586793,6.57589747,1.91012783,2.68498844,0.02135827,0.63877092,0.04389211,2.89995166,1.50893388,0.40925113
-5.72986493,6.54356859,1.93067631,2.66352814,0.02195222,0.63922528,0.04452044,2.88496723,1.48535374,0.40117127
-5.72386193,6.51572791,1.95293090,2.64375667,0.02269071,0.63933588,0.04519242,2.87297526,1.45934562,0.39260779
-5.71785893,6.49179279,1.97663826,2.62550856,0.02356827,0.63905631,0.04589661,2.86370671,1.43096248,0.38356491
-5.71185593,6.47099366,2.00146023,2.60853262,0.02457796,0.63833537,0.04662006,2.85679954,1.40030601,0.37405587
-5.70585293,6.45238349,2.02697465,2.59249578,0.02571165,0.63711636,0.04734829,2.85180366,1.36752405,0.36410362
-5.69984992,6.43485722,2.05268099,2.57699155,0.02696027,0.63533693,0.04806530,2.84819051,1.33280695,0.35374107
-5.69384692,6.41718116,2.07801076,2.56155277,0.02831418,0.63292973,0.04875372,2.84536729,1.29638318,0.34301132
-5.68784392,6.39803173,2.10234283,2.54566842,0.02976346,0.62982370,0.04939505,2.84269569,1.25851456,0.33196763
-5.68184092,6.37604258,2.12502288,2.52880381,0.03129823,0.62594624,0.04997011,2.83951436,1.21949136,0.32067320
-5.67583792,6.34985790,2.14538651,2.51042314,0.03290894,0.62122606,0.05045949,2.83516431,1.17962739,0.30920088
-5.66983492,6.31818985,2.16278480,2.49001346,0.03458663,0.61559674,0.05084415,2.82901609,1.13925546,0.29763265
-5.66383192,6.27987706,2.17661116,2.46710877,0.03632313,0.60900065,0.05110607,2.82049742,1.09872301,0.28605903
-5.65782891,6.23394127,2.18632800,2.44131296,0.03811115,0.60139325,0.05122892,2.80911968,1.05838819,0.27457830
-5.65182591,6.17963894,2.19149188,2.41232034,0.03994431,0.59274732,0.05119875,2.79450197,1.01861614,0.26329555
-5.64582291,6.11650481,2.19177557,2.37993270,0.04181710,0.58305698,0.05100462,2.77639119,0.97977548,0.25232163
-5.63981991,6.04438484,2.18698592,2.34407177,0.04372471,0.57234120,0.05063910,2.75467692,0.94223479,0.24177187
-5.63381691,5.96345653,2.17707630,2.30478659,0.04566276,0.56064652,0.05009876,2.72940027,0.90635906,0.23176468
-5.62781391,5.87423505,2.16215299,2.26225515,0.04762699,0.54804886,0.04938443,2.70075599,0.87250585,0.22241992
-5.62181091,5.77756493,2.14247503,2.21678035,0.04961285,0.53465411,0.04850135,2.66908767,0.84102122,0.21385719
-5.61580790,5.67459734,2.11844750,2.16878050,0.05161511,0.52059759,0.04745911,2.63487627,0.81223520,0.20619393
-5.60980490,5.56675429,2.09060867,2.11877490,0.05362737,0.50604218,0.04627149,2.59872261,0.78645712,0.19954351
-5.60380190,5.45568172,2.05961163,2.06736529,0.05564169,0.49117530,0.04495609,2.56132474,0.76397050,0.19401316
-5.59779890,5.34319387,2.02620155,2.01521441,0.05764823,0.47620478,0.04353384,2.52345165,0.74502809,0.18970202
-5.59179590,5.23121220,1.99118974,1.96302263,0.05963501,0.46135385,0.04202838,2.48591459,0.72984686,0.18669920
-5.58579290,5.12170197,1.95542599,1.91150409,0.06158776,0.44685544,0.04046543,2.44953781,0.71860348,0.18508201
-5.57978989,5.01660984,1.91977063,1.86136356,0.06348989,0.43294607,0.03887202,2.41513022,0.71143035,0.18491434
-5.57378689,4.91780551,1.88506777,1.81327504,0.06532272,0.41985963,0.03727582,2.38345940,0.70841255,0.18624530
-5.56778389,4.82703012,1.85212084,1.76786325,0.06706571,0.40782128,0.03570437,2.35522917,0.70958582,0.18910816
-5.56178089,4.74585340,1.82167167,1.72568850,0.06869701,0.39704174,0.03418448,2.33106178,0.71493572,0.19351959
-5.55577789,4.67564080,1.79438361,1.68723552,0.07019397,0.38771226,0.03274162,2.31148502,0.72439819,0.19947919
-5.54977489,4.61753137,1.77082932,1.65290630,0.07153390,0.38000026,0.03139948,2.29692456,0.73786131,0.20696933
-5.54377189,4.57242592,1.75148313,1.62301684,0.07269484,0.37404597,0.03017949,2.28770132,0.75516828,0.21595536
-5.53776888,4.54098457,1.73671777,1.59779740,0.07365634,0.36995996,0.02910065,2.28403305,0.77612151,0.22638593
-5.53176588,4.52363222,1.72680497,1.57739558,0.07440028,0.36782162,0.02817921,2.28603949,0.80048737,0.23819360
-5.52576288,4.52056982,1.72191911,1.56188149,0.07491160,0.36767846,0.02742865,2.29374992,0.82800153,0.25129555
-5.51975988,4.53178934,1.72214305,1.55125422,0.07517894,0.36954628,0.02685953,2.30711186,0.85837443,0.26559440
-5.51375688,4.55709003,1.72747514,1.54544872,0.07519515,0.37340987,0.02647956,2.32599991,0.89129649,0.28097900
-5.50775388,4.59609402,1.73783657,1.54434234,0.07495763,0.37922422,0.02629353,2.35022352,0.92644295,0.29732529
-5.50175088,4.64825941,1.75307801,1.54776036,0.07446850,0.38691603,0.02630340,2.37953298,0.96347782,0.31449706
-5.49574787,4.71288970,1.77298523,1.55548024,0.07373458,0.39638541,0.02650827,2.41362291,1.00205691,0.33234668
-5.48974487,4.78913881,1.79728288,1.56723407,0.07276714,0.40750759,0.02690442,2.45213310,1.04182983,0.35071585
-5.48374187,4.87601182,1.82563654,1.58270953,0.07158157,0.42013460,0.02748526,2.49464671,1.08244079,0.36943627
-5.47773887,4.97236200,1.85765308,1.60154936,0.07019678,0.43409687,0.02824139,2.54068639,1.12352853,0.38833042
-5.47173587,5.07688541,1.89287953,1.62334993,0.06863458,0.44920473,0.02916050,2.58970882,1.16472538,0.40721245
-5.46573287,5.18811467,1.93080120,1.64765939,0.06691890,0.46524985,0.03022742,2.64109885,1.20565583,0.42588926
-5.45972986,5.30441408,1.97083969,1.67397611,0.06507504,0.48200669,0.03142416,2.69416411,1.24593491,0.44416179
-5.45372686,5.42397802,2.01235166,1.70174815,0.06312884,0.49923405,0.03272992,2.74813151,1.28516680,0.46182673
-5.44772386,5.54483493,2.05462904,1.73037446,0.06110592,0.51667692,0.03412132,2.80214656,1.32294400,0.47867849
-5.44172086,5.66485853,2.09690180,1.75920842,0.05903104,0.53406863,0.03557258,2.85527650,1.35884746,0.49451163
-5.43571786,5.78178784,2.13834353,1.78756412,0.05692748,0.55113344,0.03705588,2.90651818,1.39244803,0.50912364
-5.42971486,5.89325684,2.17808071,1.81472581,0.05481661,0.56758976,0.03854178,2.95481087,1.42330934,0.52231813
-5.42371186,5.99683397,2.21520556,1.83996039,0.05271757,0.58315390,0.03999979,2.99905445,1.45099232,0.53390825
-5.41770885,6.09007099,2.24879272,1.86253294,0.05064712,0.59754447,0.04139899,3.03813237,1.47506145,0.54372033
-5.41170585,6.17056016,2.27791922,1.88172477,0.04861967,0.61048735,0.04270883,3.07093917,1.49509240,0.55159757
