energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,6.03620956,0.13248565,0.04954385,0.03323713,0.62790405,0.24118208,0.12765019,0.52931266,4.22279425
-5.99399700,5.67651692,0.13230418,0.04768726,0.03232616,0.61847730,0.24339063,0.12490382,0.52601625,3.90972414
-5.98799400,5.33796125,0.13184334,0.04581114,0.03138631,0.61013055,0.24636521,0.12247331,0.52240564,3.61549368
-5.98199100,5.02096622,0.13109002,0.04394281,0.03043518,0.60313608,0.25014922,0.12043620,0.51851112,3.33992283
-5.97598799,4.72585010,0.13003110,0.04210873,0.02949092,0.59776316,0.25477557,0.11886850,0.51436176,3.08273874
-5.96998499,4.45284803,0.12865438,0.04033404,0.02857199,0.59427586,0.26026705,0.11784344,0.50998712,2.84360154
-5.96398199,4.20213005,0.12694977,0.03864226,0.02769672,0.59293084,0.26663683,0.11743024,0.50541912,2.62212547
-5.95797899,3.97381511,0.12491041,0.03705494,0.02688308,0.59397539,0.27388921,0.11769296,0.50069418,2.41789586
-5.95197599,3.76798168,0.12253384,0.03559144,0.02614837,0.59764550,0.28202050,0.11868943,0.49585531,2.23048210
-5.94597299,3.58467548,0.11982312,0.03426882,0.02550896,0.60416426,0.29102006,0.12047031,0.49095405,2.05944742
-5.93996998,3.42391503,0.11678777,0.03310175,0.02498007,0.61374053,0.30087151,0.12307837,0.48605219,1.90435575
-5.93396698,3.28569555,0.11344456,0.03210252,0.02457564,0.62656797,0.31155416,0.12654803,0.48122313,1.76477643
-5.92796398,3.16999192,0.10981804,0.03128114,0.02430818,0.64282452,0.32304459,0.13090513,0.47655272,1.64028705
-5.92196098,3.07676089,0.10594077,0.03064544,0.02418877,0.66267246,0.33531854,0.13616702,0.47213958,1.53047491
-5.91595798,3.00594310,0.10185330,0.03020137,0.02422701,0.68625895,0.34835302,0.14234306,0.46809490,1.43493733
-5.90995498,2.95746496,0.09760376,0.02995316,0.02443111,0.71371730,0.36212877,0.14943529,0.46454169,1.35328106
-5.90395198,2.93124048,0.09324719,0.02990366,0.02480799,0.74516867,0.37663292,0.15743957,0.46161346,1.28512088
-5.89794897,2.92717315,0.08884460,0.03005470,0.02536336,0.78072443,0.39186194,0.16634687,0.45945252,1.23007763
-5.89194597,2.94515754,0.08446166,0.03040735,0.02610194,0.82048882,0.40782472,0.17614484,0.45820785,1.18777555
-5.88594297,2.98508056,0.08016736,0.03096238,0.02702757,0.86456194,0.42454570,0.18681950,0.45803280,1.15783922
-5.87993997,3.04682210,0.07603233,0.03172049,0.02814339,0.91304273,0.44206791,0.19835696,0.45908248,1.13989001
-5.87393697,3.13025449,0.07212718,0.03268274,0.02945200,0.96603173,0.46045571,0.21074517,0.46151123,1.13354222
-5.86793397,3.23524074,0.06852073,0.03385076,0.03095550,1.02363326,0.47979695,0.22397540,0.46546991,1.13839899
-5.86193097,3.36163068,0.06527834,0.03522705,0.03265558,1.08595685,0.50020442,0.23804350,0.47110338,1.15404802
-5.85592796,3.50925493,0.06246020,0.03681511,0.03455353,1.15311730,0.52181625,0.25295083,0.47854795,1.18005728
-5.84992496,3.67791602,0.06011980,0.03861956,0.03665014,1.22523343,0.54479503,0.26870466,0.48792895,1.21597074
-5.84392196,3.86737635,0.05830258,0.04064618,0.03894555,1.30242482,0.56932544,0.28531801,0.49935831,1.26130422
-5.83791896,4.07734263,0.05704469,0.04290174,0.04143903,1.38480670,0.59561023,0.30280891,0.51293219,1.31554136
-5.83191596,4.30744669,0.05637202,0.04539386,0.04412874,1.47248258,0.62386443,0.32119904,0.52872853,1.37812981
-5.82591296,4.55722254,0.05629947,0.04813060,0.04701128,1.56553474,0.65430776,0.34051168,0.54680457,1.44847759
-5.81990995,4.82608003,0.05683041,0.05112007,0.05008137,1.66401262,0.68715530,0.36076910,0.56719418,1.52594963
-5.81390695,5.11327551,0.05795641,0.05436982,0.05333138,1.76791942,0.72260670,0.38198941,0.58990511,1.60986456
-5.80790395,5.41788032,0.05965724,0.05788612,0.05675089,1.87719721,0.76083404,0.40418298,0.61491615,1.69949174
-5.80190095,5.73874824,0.06190108,0.06167323,0.06032626,1.99171118,0.80196895,0.42734859,0.64217414,1.79404864
-5.79589795,6.07448329,0.06464504,0.06573249,0.06404021,2.11123363,0.84608931,0.45146938,0.67159107,1.89269868
-5.78989495,6.42340958,0.06783581,0.07006149,0.06787156,2.23542863,0.89320624,0.47650899,0.70304137,1.99454981
-5.78389195,6.78354526,0.07141066,0.07465313,0.07179494,2.36383800,0.94325202,0.50240783,0.73635947,2.09865390
-5.77788894,7.15258249,0.07529857,0.07949480,0.07578069,2.49586978,0.99606950,0.52907984,0.77133791,2.20400756
-5.77188594,7.52787570,0.07942161,0.08456765,0.07979495,2.63079000,1.05140390,0.55640991,0.80772618,2.30955443
-5.76588294,7.90644017,0.08369645,0.08984595,0.08379980,2.76771855,1.10889747,0.58425213,0.84523057,2.41418958
-5.75987994,8.28496272,0.08803611,0.09529670,0.08775370,2.90563017,1.16808771,0.61242903,0.88351509,2.51676617
-5.75387694,8.65982606,0.09235169,0.10087946,0.09161196,3.04336086,1.22840951,0.64073189,0.92220383,2.61610490
-5.74787394,9.02714776,0.09655434,0.10654644,0.09532760,3.17962032,1.28920165,0.66892233,0.96088467,2.71100629
-5.74187094,9.38283416,0.10055716,0.11224288,0.09885213,3.31301056,1.34971768,0.69673508,0.99911468,2.80026600
-5.73586793,9.72264892,0.10427709,0.11790782,0.10213672,3.44205040,1.40914124,0.72388201,1.03642694,2.88269304
-5.72986493,10.04229504,0.10763682,0.12347507,0.10513330,3.56520558,1.46660541,0.75005732,1.07233893,2.95713077
-5.72386193,10.33750842,0.11056651,0.12887461,0.10779585,3.68092355,1.52121562,0.77494378,1.10636217,3.02248006
-5.71785893,10.60416020,0.11300537,0.13403416,0.11008174,3.78767210,1.57207549,0.79821990,1.13801302,3.07772412
-5.71185593,10.83836455,0.11490305,0.13888106,0.11195299,3.88398035,1.61831455,0.81956766,1.16682424,3.12195414
-5.70585293,11.03658792,0.11622071,0.14334426,0.11337756,3.96848068,1.65911678,0.83868080,1.19235696,3.15439462
-5.69984992,11.19575537,0.11693192,0.14735650,0.11433049,4.03994987,1.69374888,0.85527313,1.21421264,3.17442761
-5.69384692,11.31334955,0.11702308,0.15085637,0.11479491,4.09734788,1.72158691,0.86908676,1.23204465,3.18161440
-5.68784392,11.38749786,0.11649369,0.15379047,0.11476283,4.13985239,1.74214010,0.87989979,1.24556892,3.17571381
-5.68184092,11.41704359,0.11535614,0.15611535,0.11423571,4.16688769,1.75507067,0.88753331,1.25457326,3.15669579
-5.67583792,11.40159750,0.11363522,0.15779920,0.11322474,4.17814641,1.76020854,0.89185731,1.25892501,3.12474975
-5.66983492,11.34156700,0.11136739,0.15882330,0.11175083,4.17360311,1.75756030,0.89279528,1.25857660,3.08028660
-5.66383192,11.23816099,0.10859965,0.15918312,0.10984430,4.15351884,1.74731157,0.89032741,1.25356881,3.02393441
-5.65782891,11.09336950,0.10538828,0.15888892,0.10754426,4.11843648,1.72982275,0.88449205,1.24403155,2.95652724
-5.65182591,10.90991833,0.10179731,0.15796605,0.10489769,4.06916667,1.70561805,0.87538557,1.23018201,2.87908762
-5.64582291,10.69120023,0.09789688,0.15645462,0.10195825,4.00676510,1.67536819,0.86316035,1.21232030,2.79280297
-5.63981991,10.44118480,0.09376152,0.15440886,0.09878489,3.93250171,1.63986754,0.84802126,1.19082262,2.69899676
-5.63381691,10.16431075,0.08946837,0.15189593,0.09544026,3.84782327,1.60000663,0.83022041,1.16613222,2.59909554
-5.62781391,9.86536445,0.08509539,0.14899434,0.09198897,3.75431082,1.55674126,0.81005061,1.13874833,2.49459286
-5.62181091,9.54934962,0.08071973,0.14579199,0.08849583,3.65363357,1.51105967,0.78783764,1.10921361,2.38701166
-5.61580790,9.22135314,0.07641606,0.14238392,0.08502410,3.54750136,1.46394931,0.76393168,1.07810038,2.27786629
-5.60980490,8.88641203,0.07225519,0.13886975,0.08163372,3.43761743,1.41636462,0.73869807,1.04599607,2.16862572
-5.60380190,8.54938662,0.06830273,0.13535094,0.07837979,3.32563346,1.36919752,0.71250795,1.01348849,2.06067917
-5.59779890,8.21484447,0.06461803,0.13192801,0.07531114,3.21310862,1.32325182,0.68572889,0.98115131,1.95530532
-5.59179590,7.88695880,0.06125327,0.12869768,0.07246919,3.10147401,1.27922267,0.65871600,0.94953018,1.85364614
-5.58579290,7.56942499,0.05825281,0.12575009,0.06988703,2.99200391,1.23768202,0.63180370,0.91913001,1.75668595
-5.57978989,7.26539715,0.05565271,0.12316616,0.06758889,2.88579456,1.19907052,0.60529852,0.89040375,1.66523641
-5.57378689,6.97744644,0.05348047,0.12101526,0.06558979,2.78375105,1.16369613,0.57947311,0.86374301,1.57992747
-5.56778389,6.70754159,0.05175499,0.11935307,0.06389568,2.68658249,1.13173923,0.55456165,0.83947083,1.50120442
-5.56178089,6.45705116,0.05048671,0.11821999,0.06250371,2.59480517,1.10326368,0.53075676,0.81783681,1.42933077
-5.55577789,6.22676637,0.04967795,0.11763990,0.06140294,2.50875321,1.07823315,0.50820798,0.79901469,1.36439646
-5.54977489,6.01694244,0.04932335,0.11761949,0.06057521,2.42859568,1.05653140,0.48702185,0.78310249,1.30633091
-5.54377189,5.82735596,0.04941054,0.11814818,0.05999628,2.35435925,1.03798553,0.46726346,0.77012519,1.25492002
-5.53776888,5.65737492,0.04992088,0.11919859,0.05963710,2.28595480,1.02239049,0.44895944,0.76003969,1.20982644
-5.53176588,5.50603829,0.05083035,0.12072766,0.05946526,2.22320672,1.00953362,0.43210207,0.75274211,1.17061218
-5.52576288,5.37214122,0.05211048,0.12267830,0.05944644,2.16588324,0.99921769,0.41665454,0.74807689,1.13676256
-5.51975988,5.25432230,0.05372935,0.12498164,0.05954595,2.11372637,0.99128116,0.40255682,0.74584745,1.10771080
-5.51375688,5.15114930,0.05565270,0.12755977,0.05973016,2.06648001,0.98561457,0.38973214,0.74582797,1.08286223
-5.50775388,5.06119990,0.05784490,0.13032876,0.05996785,2.02391484,0.98217213,0.37809362,0.74777582,1.06161744
-5.50175088,4.98313450,0.06026998,0.13320212,0.06023153,1.98584905,0.98097792,0.36755084,0.75144404,1.04339359
-5.49574787,4.91575827,0.06289262,0.13609424,0.06049840,1.95216398,0.98212647,0.35801608,0.75659342,1.02764341
-5.48974487,4.85807053,0.06567892,0.13892398,0.06075131,1.92281403,0.98577765,0.34940996,0.76300360,1.01387113
-5.48374187,4.80929978,0.06859717,0.14161794,0.06097931,1.89783067,0.99214629,0.34166622,0.77048262,1.00164524
-5.47773887,4.76892343,0.07161838,0.14411357,0.06117805,1.87732027,1.00148718,0.33473553,0.77887459,0.99060757
-5.47173587,4.73667194,0.07471660,0.14636168,0.06134989,1.86145637,1.01407620,0.32858814,0.78806495,0.98047875
-5.46573287,4.71251768,0.07786913,0.14832844,0.06150374,1.85046656,1.03018886,0.32321521,0.79798311,0.97105983
-5.45972986,4.69664942,0.08105644,0.14999663,0.06165462,1.84461488,1.05007721,0.31862893,0.80860231,0.96223031
-5.45372686,4.68943399,0.08426189,0.15136614,0.06182304,1.84418075,1.07394664,0.31486129,0.81993660,0.95394281
-5.44772386,4.69136706,0.08747131,0.15245357,0.06203408,1.84943533,1.10193367,0.31196162,0.83203513,0.94621465
-5.44172086,4.70301566,0.09067235,0.15329112,0.06231632,1.86061667,1.13408599,0.30999302,0.84497386,0.93911686
-5.43571786,4.72495509,0.09385370,0.15392458,0.06270063,1.87790479,1.17034590,0.30902790,0.85884522,0.93276118
-5.42971486,4.75770340,0.09700433,0.15441071,0.06321881,1.90139803,1.21053795,0.30914268,0.87374619,0.92728564
-5.42371186,4.80165661,0.10011252,0.15481399,0.06390219,1.93109171,1.25436149,0.31041210,0.88976525,0.92283942
-5.41770885,4.85702785,0.10316507,0.15520296,0.06478029,1.96686037,1.30138869,0.31290323,0.90696916,0.91956769
-5.41170585,4.92379346,0.10614652,0.15564634,0.06587943,2.00844437,1.35106792,0.31666956,0.92539002,0.91759714
-5.40570285,5.00164881,0.10903850,0.15620907,0.06722152,2.05544176,1.40273278,0.32174549,0.94501349,0.91702282
-5.39969985,5.08997637,0.11181928,0.15694855,0.06882302,2.10730582,1.45561604,0.32814143,0.96576886,0.91789703
-5.39369685,5.18782772,0.11446358,0.15791116,0.07069413,2.16334881,1.50886824,0.33583979,0.98752157,0.92022056
-5.38769385,5.29392088,0.11694256,0.15912942,0.07283820,2.22275166,1.56157997,0.34479208,1.01006859,0.92393686
-5.38169085,5.40665365,0.11922416,0.16061965,0.07525147,2.28457984,1.61280700,0.35491741,1.03313731,0.92892938
-5.37568784,5.52413266,0.12127365,0.16238065,0.07792315,2.34780451,1.66159723,0.36610232,1.05638787,0.93502203
-5.36968484,5.64421738,0.12305447,0.16439305,0.08083578,2.41132858,1.70701835,0.37820213,1.07941915,0.94198302
-5.36368184,5.76457739,0.12452928,0.16661967,0.08396597,2.47401661,1.74818508,0.39104378,1.10177823,0.94953148
-5.35767884,5.88276076,0.12566123,0.16900673,0.08728534,2.53472737,1.78428498,0.40443001,1.12297296,0.95734694
-5.35167584,5.99627038,0.12641530,0.17148587,0.09076176,2.59234785,1.81460192,0.41814476,1.14248719,0.96508080
