energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,8.37398797,0.01802554,0.00000000,0.01306160,0.58650530,4.20809847,4.30599448,0.04276598,3.96910534
-5.99399700,8.03947700,0.01786713,0.00000000,0.01354562,0.55939922,4.05700314,4.12693130,0.04127631,3.81810593
-5.98799400,7.70387653,0.01765108,0.00000000,0.01415352,0.53169949,3.90780143,3.94564671,0.03980030,3.66777626
-5.98199100,7.37140937,0.01737972,0.00000000,0.01489117,0.50370020,3.76211175,3.76438458,0.03834816,3.52012199
-5.97598799,7.04611170,0.01705684,0.00000000,0.01576246,0.47568637,3.62146763,3.58529629,0.03693068,3.37704812
-5.96998499,6.73174801,0.01668765,0.00000000,0.01676907,0.44792990,3.48729126,3.41039361,0.03555907,3.24031670
-5.96398199,6.43173337,0.01627859,0.00000000,0.01791018,0.42068576,3.36086816,3.24150616,0.03424488,3.11150817
-5.95797899,6.14906516,0.01583714,0.00000000,0.01918234,0.39418863,3.24332363,3.08024477,0.03299981,2.99198761
-5.95197599,5.88626654,0.01537158,0.00000000,0.02057929,0.36865002,3.13560146,2.92797196,0.03183549,2.88287702
-5.94597299,5.64534321,0.01489077,0.00000000,0.02209193,0.34425578,3.03844594,2.78578034,0.03076325,2.78503452
-5.93996998,5.42775483,0.01440389,0.00000000,0.02370837,0.32116425,2.95238761,2.65447948,0.02979382,2.69904102
-5.93396698,5.23440188,0.01392018,0.00000000,0.02541400,0.29950483,2.87773370,2.53459157,0.02893708,2.62519495
-5.92796398,5.06562828,0.01344868,0.00000000,0.02719174,0.27937732,2.81456376,2.42635572,0.02820177,2.56351515
-5.92196098,4.92123967,0.01299806,0.00000000,0.02902235,0.26085174,2.76273109,2.32974048,0.02759523,2.51375170
-5.91595798,4.80053649,0.01257638,0.00000000,0.03088482,0.24396891,2.72187019,2.24446398,0.02712325,2.47540442
-5.90995498,4.70236070,0.01219095,0.00000000,0.03275686,0.22874156,2.69141042,2.17002074,0.02678984,2.44774834
-5.90395198,4.62515453,0.01184821,0.00000000,0.03461549,0.21515612,2.67059572,2.10571394,0.02659719,2.42986517
-5.89794897,4.56702903,0.01155362,0.00000000,0.03643765,0.20317507,2.65850992,2.05069194,0.02654560,2.42067978
-5.89194597,4.52584002,0.01131165,0.00000000,0.03820090,0.19273974,2.65410704,2.00398754,0.02663355,2.41900017
-5.88594297,4.49926877,0.01112572,0.00000000,0.03988410,0.18377353,2.65624559,1.96455854,0.02685775,2.42355988
-5.87993997,4.48490452,0.01099829,0.00000000,0.04146814,0.17618546,2.66372566,1.93132823,0.02721336,2.43306084
-5.87393697,4.48032587,0.01093080,0.00000000,0.04293664,0.16987382,2.67532750,1.90322419,0.02769414,2.44621565
-5.86793397,4.48317816,0.01092382,0.00000000,0.04427653,0.16472988,2.68985009,1.87921429,0.02829269,2.46178737
-5.86193097,4.49124428,0.01097709,0.00000000,0.04547869,0.16064151,2.70614814,1.85833858,0.02900073,2.47862569
-5.85592796,4.50250631,0.01108960,0.00000000,0.04653836,0.15749656,2.72316600,1.83973614,0.02980930,2.49569820
-5.84992496,4.51519602,0.01125967,0.00000000,0.04745550,0.15518584,2.73996718,1.82266624,0.03070902,2.51211556
-5.84392196,4.52783272,0.01148503,0.00000000,0.04823502,0.15360564,2.75575803,1.80652310,0.03169030,2.52715005
-5.83791896,4.53924732,0.01176286,0.00000000,0.04888681,0.15265979,2.76990496,1.79084414,0.03274343,2.54024676
-5.83191596,4.54859235,0.01208990,0.00000000,0.04942561,0.15226104,2.78194411,1.77531179,0.03385875,2.55102738
-5.82591296,4.55533788,0.01246240,0.00000000,0.04987080,0.15233182,2.79158359,1.75974890,0.03502664,2.55928663
-5.81990995,4.55925434,0.01287624,0.00000000,0.05024586,0.15280449,2.79869805,1.74410859,0.03623752,2.56498182
-5.81390695,4.56038344,0.01332684,0.00000000,0.05057785,0.15362095,2.80331613,1.72845902,0.03748182,2.56821623
-5.80790395,4.55899911,0.01380927,0.00000000,0.05089663,0.15473187,2.80560156,1.71296410,0.03874982,2.56921732
-5.80190095,4.55556070,0.01431814,0.00000000,0.05123398,0.15609541,2.80582908,1.69786127,0.04003156,2.56831086
-5.79589795,4.55066095,0.01484770,0.00000000,0.05162264,0.15767589,2.80435633,1.68343742,0.04131667,2.56589255
-5.78989495,4.54497153,0.01539174,0.00000000,0.05209531,0.15944214,2.80159343,1.67000415,0.04259427,2.56239816
-5.78389195,4.53918881,0.01594370,0.00000000,0.05268352,0.16136598,2.79797174,1.65787362,0.04385286,2.55827407
-5.77788894,4.53398256,0.01649660,0.00000000,0.05341657,0.16342086,2.79391342,1.64733607,0.04508025,2.55394918
-5.77188594,4.52994997,0.01704317,0.00000000,0.05432052,0.16558067,2.78980335,1.63863992,0.04626358,2.54980965
