energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up
-6.00000000,6.44067241,1.53750070,3.71444672,0.01322157,0.35490037,2.03969197,0.62029342,0.00665223,1.66886750
-5.99399700,6.40630478,1.52253825,3.72593892,0.01269319,0.36346204,2.00535873,0.60619778,0.00645199,1.62965540
-5.98799400,6.37173525,1.50780593,3.73782504,0.01216148,0.37223147,1.97039291,0.59132555,0.00625841,1.58976786
-5.98199100,6.33701843,1.49334462,3.74984959,0.01162872,0.38110367,1.93499429,0.57581485,0.00607249,1.54952229
-5.97598799,6.30192523,1.47912456,3.76158027,0.01109697,0.38995211,1.89929832,0.55979134,0.00589515,1.50917777
-5.96998499,6.26595868,1.46504782,3.77242133,0.01056815,0.39863048,1.86337967,0.54336739,0.00572720,1.46893517
-5.96398199,6.22838057,1.45095359,3.78163376,0.01004402,0.40697534,1.82725756,0.52664186,0.00556932,1.42893927
-5.95797899,6.18824750,1.43662577,3.78836148,0.00952625,0.41480975,1.79090270,0.50970029,0.00542197,1.38928261
-5.95197599,6.14445491,1.42180270,3.79166258,0.00901641,0.42194764,1.75424532,0.49261564,0.00528536,1.35001083
-5.94597299,6.09578734,1.40618868,3.79054435,0.00851598,0.42819887,1.71718407,0.47544929,0.00515944,1.31112911
-5.93996998,6.04097311,1.38946688,3.78400107,0.00802637,0.43337483,1.67959540,0.45825243,0.00504385,1.27260950
-5.93396698,5.97874107,1.37131302,3.77105288,0.00754888,0.43729429,1.64134304,0.44106754,0.00493794,1.23439877
-5.92796398,5.90787770,1.35140943,3.75078456,0.00708473,0.43978937,1.60228739,0.42393009,0.00484074,1.19642649
-5.92196098,5.82728210,1.32945896,3.72238270,0.00663502,0.44071124,1.56229453,0.40687023,0.00475105,1.15861295
-5.91595798,5.73601714,1.30519811,3.68516992,0.00620070,0.43993553,1.52124456,0.38991442,0.00466741,1.12087691
-5.90995498,5.63335471,1.27840893,3.63863490,0.00578258,0.43736697,1.47903907,0.37308711,0.00458821,1.08314257
-5.90395198,5.51881354,1.24892936,3.58245707,0.00538134,0.43294325,1.43560770,0.35641205,0.00451170,1.04534590
-5.89794897,5.39218827,1.21666132,3.51652516,0.00499744,0.42663779,1.39091336,0.33991361,0.00443610,1.00743983
-5.89194597,5.25356867,1.18157661,3.44094880,0.00463124,0.41846141,1.34495636,0.32361775,0.00435968,0.96939847
-5.88594297,5.10334845,1.14372017,3.35606282,0.00428289,0.40846274,1.29777707,0.30755271,0.00428079,0.93121999
-5.87993997,4.94222341,1.10321069,3.26242416,0.00395242,0.39672738,1.24945721,0.29174949,0.00419801,0.89292835
-5.87393697,4.77117919,1.06023864,3.16080130,0.00363972,0.38337585,1.20011978,0.27624203,0.00411014,0.85457368
-5.86793397,4.59146899,1.01506172,3.05215692,0.00334454,0.36856043,1.14992759,0.26106704,0.00401630,0.81623157
-5.86193097,4.40458252,0.96799811,2.93762417,0.00306658,0.35246094,1.09908056,0.24626373,0.00391600,0.77800119
-5.85592796,4.21220710,0.91941771,2.81847759,0.00280540,0.33527984,1.04781171,0.23187316,0.00380911,0.74000252
-5.84992496,4.01618275,0.86973177,2.69609973,0.00256056,0.31723659,0.99638225,0.21793756,0.00369592,0.70237274
-5.84392196,3.81845282,0.81938143,2.57194462,0.00233154,0.29856170,0.94507565,0.20449936,0.00357710,0.66526211
-5.83791896,3.62101202,0.76882553,2.44749945,0.00211783,0.27949060,0.89419105,0.19160030,0.00345372,0.62882935
-5.83191596,3.42585382,0.71852815,2.32424581,0.00191887,0.26025765,0.84403621,0.17928035,0.00332718,0.59323700
-5.82591296,3.23491902,0.66894647,2.20362179,0.00173413,0.24109033,0.79492009,0.16757670,0.00319915,0.55864664
-5.81990995,3.05004715,0.62051915,2.08698615,0.00156307,0.22220405,0.74714545,0.15652286,0.00307152,0.52521445
