energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,1.02083061,0.01203205,0.05861937,0.59451718,0.00000000,0.29789482,0.30944650,0.60633647,0.00000000
-5.99399700,0.95315372,0.01268139,0.05401663,0.55867923,0.00000000,0.27664089,0.28751757,0.56744038,0.00000000
-5.98799400,0.88607906,0.01327509,0.04952473,0.52216711,0.00000000,0.25623987,0.26567370,0.52889705,0.00000000
-5.98199100,0.82007813,0.01380115,0.04517147,0.48538256,0.00000000,0.23672653,0.24410717,0.49096045,0.00000000
-5.97598799,0.75560160,0.01424858,0.04098275,0.44871902,0.00000000,0.21812906,0.22300243,0.45387268,0.00000000
-5.96998499,0.69306819,0.01460781,0.03698201,0.41255107,0.00000000,0.20046887,0.20253139,0.41785813,0.00000000
-5.96398199,0.63285534,0.01487096,0.03318979,0.37722538,0.00000000,0.18376054,0.18284944,0.38311864,0.00000000
-5.95797899,0.57529193,0.01503213,0.02962339,0.34305331,0.00000000,0.16801201,0.16409225,0.34982969,0.00000000
-5.95197599,0.52065328,0.01508757,0.02629673,0.31030561,0.00000000,0.15322503,0.14637349,0.31813783,0.00000000
-5.94597299,0.46915845,0.01503582,0.02322030,0.27920899,0.00000000,0.13939570,0.12978360,0.28815919,0.00000000
-5.93996998,0.42096993,0.01487776,0.02040126,0.24994481,0.00000000,0.12651534,0.11438947,0.25997929,0.00000000
-5.93396698,0.37619536,0.01461659,0.01784376,0.22264955,0.00000000,0.11457145,0.10023501,0.23365385,0.00000000
-5.92796398,0.33489127,0.01425765,0.01554930,0.19741702,0.00000000,0.10354882,0.08734260,0.20921055,0.00000000
-5.92196098,0.29706831,0.01380831,0.01351721,0.17430192,0.00000000,0.09343081,0.07571527,0.18665160,0.00000000
-5.91595798,0.26269780,0.01327764,0.01174529,0.15332462,0.00000000,0.08420065,0.06533933,0.16595685,0.00000000
-5.90995498,0.23171913,0.01267617,0.01023046,0.13447668,0.00000000,0.07584274,0.05618756,0.14708734,0.00000000
-5.90395198,0.20404757,0.01201547,0.00896941,0.11772692,0.00000000,0.06834404,0.04822255,0.12998895,0.00000000
-5.89794897,0.17958235,0.01130782,0.00795938,0.10302763,0.00000000,0.06169536,0.04140018,0.11459618,0.00000000
-5.89194597,0.15821443,0.01056583,0.00719881,0.09032083,0.00000000,0.05589260,0.03567309,0.10083576,0.00000000
-5.88594297,0.13983391,0.00980206,0.00668804,0.07954410,0.00000000,0.05093793,0.03099395,0.08862991,0.00000000
-5.87993997,0.12433668,0.00902871,0.00642989,0.07063594,0.00000000,0.04684088,0.02731843,0.07789944,0.00000000
-5.87393697,0.11163020,0.00825726,0.00643020,0.06354053,0.00000000,0.04361929,0.02460790,0.06856623,0.00000000
-5.86793397,0.10163836,0.00749829,0.00669824,0.05821152,0.00000000,0.04130017,0.02283157,0.06055539,0.00000000
-5.86193097,0.09430516,0.00676123,0.00724707,0.05461513,0.00000000,0.03992052,0.02196827,0.05379687,0.00000000
