energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,7.02040895,1.08346095,0.01217565,1.80219805,5.19712001,1.28647173,0.00000000
-5.99399700,7.17985318,1.07544614,0.01261709,1.84990889,5.31492590,1.31406198,0.00000000
-5.98799400,7.34142967,1.06759653,0.01308401,1.89841988,5.43456145,1.33989198,0.00000000
-5.98199100,7.50493067,1.05991965,0.01357546,1.94721098,5.55612008,1.36404484,0.00000000
-5.97598799,7.67033620,1.05244406,0.01409088,1.99578926,5.67984334,1.38665762,0.00000000
-5.96998499,7.83782534,1.04522327,0.01463020,2.04370770,5.80612241,1.40791581,0.00000000
-5.96398199,8.00777750,1.03833867,0.01519389,2.09058187,5.93549180,1.42804592,0.00000000
-5.95797899,8.18076278,1.03190106,0.01578298,2.13610351,6.06861494,1.44730653,0.00000000
-5.95197599,8.35752141,1.02605080,0.01639904,2.18005044,6.20626195,1.46597790,0.00000000
-5.94597299,8.53893255,1.02095648,0.01704413,2.22229220,6.34928000,1.48435067,0.00000000
-5.93996998,8.72597365,1.01681205,0.01772067,2.26279132,6.49855756,1.50271390,0.00000000
-5.93396698,8.91967185,1.01383251,0.01843137,2.30160009,6.65498357,1.52134301,0.00000000
-5.92796398,9.12104969,1.01224843,0.01917902,2.33885321,6.81940364,1.54048797,0.00000000
-5.92196098,9.33106758,1.01229929,0.01996634,2.37475678,6.99257506,1.56036231,0.00000000
-5.91595798,9.55056592,1.01422607,0.02079574,2.40957433,7.17512274,1.58113342,0.00000000
-5.90995498,9.78020978,1.01826339,0.02166916,2.44361073,7.36749838,1.60291447,0.00000000
-5.90395198,10.02043901,1.02463139,0.02258787,2.47719493,7.56994486,1.62575845,0.00000000
-5.89794897,10.27142635,1.03352787,0.02355227,2.51066249,7.78246758,1.64965453,0.00000000
-5.89194597,10.53304577,1.04512084,0.02456179,2.54433871,8.00481445,1.67452692,0.00000000
-5.88594297,10.80485268,1.05954182,0.02561472,2.57852335,8.23646541,1.70023638,0.00000000
-5.87993997,11.08607695,1.07688017,0.02670819,2.61347737,8.47663205,1.72658430,0.00000000
-5.87393697,11.37562895,1.09717851,0.02783812,2.64941228,8.72426740,1.75331907,0.00000000
-5.86793397,11.67211806,1.12042943,0.02899925,2.68648236,8.97808514,1.78014471,0.00000000
-5.86193097,11.97388245,1.14657349,0.03018520,2.72477969,9.23658721,1.80673108,0.00000000
-5.85592796,12.27902813,1.17549844,0.03138859,2.76433203,9.49809824,1.83272538,0.00000000
-5.84992496,12.58547491,1.20703964,0.03260119,2.80510301,9.76080475,1.85776434,0.00000000
-5.84392196,12.89100655,1.24098155,0.03381405,2.84699447,10.02279700,1.88148650,0.00000000
-5.83791896,13.19332208,1.27706001,0.03501775,2.88985028,10.28211119,1.90354407,0.00000000
-5.83191596,13.49008564,1.31496533,0.03620253,2.93346129,10.53676981,1.92361375,0.00000000
-5.82591296,13.77897218,1.35434591,0.03735854,2.97757081,10.78481814,1.94140614,0.00000000
-5.81990995,14.05770688,1.39481222,0.03847598,3.02188037,11.02435531,1.95667322,0.00000000
-5.81390695,14.32409693,1.43594115,0.03954529,3.06605546,11.25355873,1.96921379,0.00000000
-5.80790395,14.57605481,1.47728059,0.04055727,3.10973108,11.47070151,1.97887655,0.00000000
-5.80190095,14.81161309,1.51835427,0.04150319,3.15251708,11.67416265,1.98556102,0.00000000
